ticker,date,open,high,low,close
WLAC,2025-01-27,9.98,9.9801,9.91,9.92
WLAC,2025-01-28,9.9241,9.94,9.92,9.92
WLAC,2025-01-29,9.92,9.95,9.92,9.95
WLAC,2025-01-30,9.92,9.9295,9.92,9.9295
WLAC,2025-01-31,9.9305,9.95,9.9305,9.94
WLAC,2025-02-03,9.93,9.93,9.93,9.93
WLAC,2025-02-04,9.93,9.93,9.93,9.93
WLAC,2025-02-05,9.94,9.94,9.94,9.94
WLAC,2025-02-06,9.94,9.94,9.94,9.94
WLAC,2025-02-07,9.93,9.95,9.93,9.95
WLAC,2025-02-10,9.95,9.95,9.94,9.94
WLAC,2025-02-11,9.95,9.95,9.9449,9.95
WLAC,2025-02-12,9.9416,9.95,9.9416,9.9449
WLAC,2025-02-13,9.95,9.95,9.95,9.95
WLAC,2025-02-14,9.9512,9.9512,9.9512,9.9512
WLAC,2025-02-18,9.95,10.0258,9.95,9.97
WLAC,2025-02-19,9.96,9.96,9.95,9.96
WLAC,2025-02-20,9.96,9.96,9.9552,9.9552
WLAC,2025-02-21,9.9599,9.97,9.9599,9.96
WLAC,2025-02-24,9.97,9.98,9.97,9.98
WLAC,2025-02-25,9.99,9.99,9.971,9.971
WLAC,2025-02-26,9.98,9.9851,9.98,9.9801
WLAC,2025-02-27,9.975,9.98,9.965,9.98
WLAC,2025-02-28,9.98,9.99,9.98,9.99
WLAC,2025-03-03,9.99,9.99,9.98,9.98
WLAC,2025-03-04,9.97,9.97,9.97,9.97
WLAC,2025-03-05,9.98,9.99,9.98,9.98
WLAC,2025-03-06,9.98,9.98,9.98,9.98
WLAC,2025-03-07,9.98,9.99,9.98,9.99
WLAC,2025-03-10,9.9867,9.9867,9.9867,9.9867
WLAC,2025-03-11,9.995,9.995,9.99,9.99
WLAC,2025-03-12,9.99,9.99,9.99,9.99
WLAC,2025-03-13,10.19,10.19,9.995,10.02
WLAC,2025-03-14,10.0,10.0,10.0,10.0
WLAC,2025-03-18,10.02,10.02,10.0,10.02
WLAC,2025-03-19,10.03,10.03,10.03,10.03
WLAC,2025-03-24,10.04,10.04,10.01,10.01
WLAC,2025-03-25,10.01,10.01,10.01,10.01
WLAC,2025-03-26,10.01,10.01,10.01,10.01
WLAC,2025-03-27,10.02,10.02,10.02,10.02
WLAC,2025-03-28,10.035,10.035,10.01,10.01
WLAC,2025-03-31,10.02,10.03,10.01,10.02
WLAC,2025-04-01,10.0244,10.0244,10.0244,10.0244
WLAC,2025-04-07,10.0201,10.0201,10.0201,10.0201
WLAC,2025-04-08,10.0113,10.03,10.0113,10.03
WLAC,2025-04-09,10.03,10.03,10.021,10.021
WLAC,2025-04-10,10.03,10.03,10.0298,10.03
WLAC,2025-04-11,10.0191,10.02,10.01,10.015
WLAC,2025-04-15,10.0281,10.03,10.0249,10.0281
WLAC,2025-04-16,10.02,10.02,10.02,10.02
WLAC,2025-04-21,10.03,10.03,10.03,10.03
WLAC,2025-04-23,10.03,10.03,10.01,10.02
WLAC,2025-04-25,10.035,10.04,10.03,10.04
WLAC,2025-04-28,10.045,10.05,10.045,10.05
WLAC,2025-04-29,10.06,10.06,10.055,10.06
WLAC,2025-05-05,10.06,10.06,10.06,10.06
WLAC,2025-05-12,10.07,10.07,10.07,10.07
WLAC,2025-05-13,10.08,10.08,10.075,10.08
WLAC,2025-05-14,10.1,10.1,10.09,10.09
WLAC,2025-05-15,10.1,10.1,10.1,10.1
WLAC,2025-05-16,10.11,10.11,10.11,10.11
WLAC,2025-05-20,10.11,10.13,10.11,10.12
WLAC,2025-05-21,10.13,10.13,10.1247,10.1299
WLAC,2025-05-22,10.35,10.6,10.13,10.16
WLAC,2025-05-27,10.1362,10.15,10.1362,10.15
WLAC,2025-05-30,10.14,10.14,10.14,10.14
WLAC,2025-06-02,10.25,10.25,10.1347,10.15
WLAC,2025-06-03,10.1593,10.16,10.155,10.16
WLAC,2025-06-04,10.16,10.1865,10.16,10.1605
WLAC,2025-06-06,10.1701,10.1912,10.1701,10.18
WLAC,2025-06-11,10.175,10.175,10.175,10.175
WLAC,2025-06-12,10.18,10.18,10.18,10.18
WLAC,2025-06-16,10.185,10.185,10.185,10.185
WLAC,2025-06-17,10.19,10.19,10.19,10.19
WLAC,2025-06-18,10.185,10.185,10.185,10.185
WLAC,2025-06-20,10.19,10.2,10.19,10.2
WLAC,2025-06-23,10.21,10.227,10.21,10.227
WLAC,2025-06-27,10.25,10.25,10.25,10.25
WLAC,2025-06-30,10.19,10.23,10.19,10.23
WLAC,2025-07-01,10.21,10.21,10.21,10.21
WLAC,2025-07-02,10.21,10.21,10.21,10.21
WLAC,2025-07-09,10.22,10.22,10.22,10.22
WLAC,2025-07-10,10.22,10.22,10.22,10.22
WLAC,2025-07-15,10.23,10.23,10.23,10.23
WLAC,2025-07-18,10.23,10.23,10.23,10.23
WLAC,2025-07-21,10.24,10.26,10.24,10.26
WLAC,2025-07-22,10.25,10.25,10.25,10.25
WLAC,2025-07-23,10.2504,10.2504,10.25,10.25
WLAC,2025-07-24,10.2534,10.404,10.2534,10.29
WLAC,2025-07-25,10.2902,10.33,10.29,10.33
WLAC,2025-07-29,10.32,10.5,10.28,10.33
WLAC,2025-07-31,10.3638,10.38,10.26,10.33
WLAC,2025-08-04,10.3643,10.38,10.27,10.27
WLAC,2025-08-05,10.33,10.33,10.27,10.27
WLAC,2025-08-06,10.33,10.33,10.33,10.33
WLAC,2025-08-07,10.369,10.3759,10.27,10.32
WLAC,2025-08-08,10.275,10.2899,10.275,10.275
WLAC,2025-08-11,10.32,10.32,10.26,10.3
WLAC,2025-08-12,10.3544,10.3544,10.25,10.26
WLAC,2025-08-13,10.26,10.27,10.25,10.26
WLAC,2025-08-14,10.27,10.3038,10.26,10.29
WLAC,2025-08-15,10.271,10.271,10.27,10.2706
WLAC,2025-08-19,10.29,10.29,10.2704,10.2704
WLAC,2025-08-25,10.27,10.27,10.27,10.27
WLAC,2025-08-26,10.27,10.27,10.27,10.27
WLAC,2025-08-27,10.35,10.35,10.265,10.27
WLAC,2025-08-28,10.26,10.27,10.26,10.27
WLAC,2025-08-29,10.26,10.26,10.26,10.26
WLAC,2025-09-03,10.28,10.28,10.28,10.28
WLAC,2025-09-08,10.35,10.35,10.27,10.29
WLAC,2025-09-09,10.35,10.35,10.29,10.29
WLAC,2025-09-10,10.3,10.3,10.3,10.3
WLAC,2025-09-11,10.32,10.32,10.29,10.3
WLAC,2025-09-12,10.3,10.3,10.3,10.3
WLAC,2025-09-15,10.3,10.3,10.3,10.3
WLAC,2025-09-16,11.0,11.15,10.73,10.84
WLAC,2025-09-17,10.93,10.96,10.7905,10.885
WLAC,2025-09-18,10.95,11.689,10.82,11.5
WLAC,2025-09-19,11.5,11.68,11.22,11.62
WLAC,2025-09-22,12.0,12.35,11.61,11.99
WLAC,2025-09-23,12.25,12.68,12.02,12.44
WLAC,2025-09-24,12.69,13.0811,12.4,12.88
WLAC,2025-09-25,12.89,13.15,12.6501,12.93
WLAC,2025-09-26,12.92,12.92,12.11,12.46
WLAC,2025-09-29,12.4,12.5877,11.618,11.77
WLAC,2025-09-30,11.81,12.05,11.4,11.65
WLAC,2025-10-01,11.53,11.72,11.4,11.68
