ticker,date,open,high,low,close
CSPI,1982-01-29,0.0,6.39,6.29,6.29
CSPI,1982-02-01,0.0,6.29,6.2,6.2
CSPI,1982-02-02,0.0,6.29,6.2,6.2
CSPI,1982-02-03,0.0,6.39,6.2,6.2
CSPI,1982-02-04,0.0,6.39,6.2,6.2
CSPI,1982-02-05,0.0,6.39,6.2,6.2
CSPI,1982-02-08,0.0,6.57,6.29,6.29
CSPI,1982-02-09,0.0,6.39,6.2,6.2
CSPI,1982-02-10,0.0,6.39,6.2,6.2
CSPI,1982-02-11,0.0,6.39,6.2,6.2
CSPI,1982-02-12,0.0,6.39,6.2,6.2
CSPI,1982-02-16,0.0,6.39,6.2,6.2
CSPI,1982-02-17,0.0,6.39,6.2,6.2
CSPI,1982-02-18,0.0,6.39,6.2,6.2
CSPI,1982-02-19,0.0,6.39,6.2,6.2
CSPI,1982-02-22,0.0,6.39,6.2,6.2
CSPI,1982-02-23,0.0,6.39,6.2,6.2
CSPI,1982-02-24,0.0,6.39,6.2,6.2
CSPI,1982-02-25,0.0,6.29,6.2,6.2
CSPI,1982-02-26,6.2,6.2,6.2,6.2
CSPI,1982-03-01,0.0,6.29,6.2,6.2
CSPI,1982-03-02,0.0,6.29,6.2,6.2
CSPI,1982-03-03,0.0,6.29,6.2,6.2
CSPI,1982-03-04,0.0,6.29,6.2,6.2
CSPI,1982-03-05,0.0,6.29,6.2,6.2
CSPI,1982-03-08,0.0,6.29,6.2,6.2
CSPI,1982-03-09,6.2,6.2,6.2,6.2
CSPI,1982-03-10,0.0,6.29,6.2,6.2
CSPI,1982-03-11,0.0,6.29,6.2,6.2
CSPI,1982-03-12,0.0,6.29,6.2,6.2
CSPI,1982-03-15,0.0,6.29,6.2,6.2
CSPI,1982-03-16,0.0,6.29,6.2,6.2
CSPI,1982-03-17,0.0,6.29,6.2,6.2
CSPI,1982-03-18,6.2,6.2,6.2,6.2
CSPI,1982-03-19,0.0,6.29,6.2,6.2
CSPI,1982-03-22,0.0,6.29,6.2,6.2
CSPI,1982-03-23,6.2,6.2,6.2,6.2
CSPI,1982-03-24,0.0,6.29,6.2,6.2
CSPI,1982-03-25,6.2,6.2,6.2,6.2
