ticker,date,open,high,low,close
ATMC,2023-01-19,10.05,10.26,10.05,10.08
ATMC,2023-01-20,10.08,10.08,10.08,10.08
ATMC,2023-01-23,10.08,10.1,10.08,10.08
ATMC,2023-01-24,10.08,10.08,10.08,10.08
ATMC,2023-01-25,10.12,10.13,10.09,10.11
ATMC,2023-01-26,10.1228,10.13,10.09,10.13
ATMC,2023-01-27,10.09,10.16,10.09,10.16
ATMC,2023-01-30,10.1573,10.6,10.12,10.14
ATMC,2023-01-31,10.14,10.23,10.12,10.12
ATMC,2023-02-01,10.12,10.13,10.12,10.12
ATMC,2023-02-02,10.15,10.15,10.12,10.12
ATMC,2023-02-03,10.13,10.55,10.11,10.13
ATMC,2023-02-06,10.13,10.13,10.13,10.13
ATMC,2023-02-07,10.1499,10.16,10.12,10.15
ATMC,2023-02-08,10.12,10.1507,10.12,10.15
ATMC,2023-02-09,10.15,10.15,10.15,10.15
ATMC,2023-02-10,10.1413,10.1468,10.14,10.1468
ATMC,2023-02-13,10.15,10.16,10.13,10.15
ATMC,2023-02-14,10.14,10.14,10.14,10.14
ATMC,2023-02-15,10.16,10.53,10.13,10.13
ATMC,2023-02-16,10.14,10.14,10.14,10.14
ATMC,2023-02-17,10.13,10.13,10.13,10.13
ATMC,2023-02-21,10.4,10.4,10.14,10.14
ATMC,2023-02-22,10.14,10.14,10.14,10.14
ATMC,2023-02-23,10.155,10.155,10.155,10.155
ATMC,2023-02-24,10.15,10.15,10.15,10.15
ATMC,2023-02-27,10.16,10.16,10.15,10.15
ATMC,2023-02-28,10.65,10.65,10.15,10.17
ATMC,2023-03-01,10.17,10.17,10.16,10.16
ATMC,2023-03-02,10.16,10.16,10.16,10.16
ATMC,2023-03-03,10.18,10.21,10.15,10.15
ATMC,2023-03-06,10.15,10.21,10.15,10.17
ATMC,2023-03-07,10.18,10.18,10.15,10.15
ATMC,2023-03-08,10.35,10.3711,10.16,10.2
ATMC,2023-03-09,10.2,10.2,10.2,10.2
ATMC,2023-03-10,10.21,10.2195,10.2,10.2
ATMC,2023-03-13,10.2,10.21,10.2,10.21
ATMC,2023-03-14,10.21,10.21,10.21,10.21
ATMC,2023-03-15,10.22,10.22,10.21,10.21
ATMC,2023-03-16,10.21,10.21,10.21,10.21
ATMC,2023-03-17,10.21,10.21,10.21,10.21
ATMC,2023-03-20,10.21,10.21,10.21,10.21
ATMC,2023-03-21,10.23,10.23,10.21,10.21
ATMC,2023-03-22,10.21,10.21,10.21,10.21
ATMC,2023-03-23,10.21,10.21,10.21,10.21
ATMC,2023-03-24,10.21,10.21,10.21,10.21
ATMC,2023-03-27,10.21,10.21,10.21,10.21
ATMC,2023-03-28,10.21,10.21,10.21,10.21
ATMC,2023-03-29,10.2,10.2,10.2,10.2
ATMC,2023-03-30,10.215,10.22,10.21,10.22
ATMC,2023-03-31,10.235,10.25,10.22,10.22
ATMC,2023-04-03,10.226,10.226,10.226,10.226
ATMC,2023-04-04,10.23,10.23,10.23,10.23
ATMC,2023-04-05,10.23,10.23,10.23,10.23
ATMC,2023-04-06,10.17,10.1937,10.17,10.17
ATMC,2023-04-11,10.22,10.23,10.22,10.23
ATMC,2023-04-12,10.23,10.23,10.23,10.23
ATMC,2023-04-14,10.23,10.23,10.23,10.23
ATMC,2023-04-19,10.245,10.25,10.245,10.25
ATMC,2023-04-24,10.25,10.26,10.25,10.25
ATMC,2023-04-26,10.28,10.48,10.28,10.3131
ATMC,2023-04-27,10.3,10.411,10.3,10.36
ATMC,2023-04-28,10.32,10.33,10.32,10.32
ATMC,2023-05-01,10.51,10.59,10.26,10.425
ATMC,2023-05-02,11.41,11.41,10.37,10.4
ATMC,2023-05-03,10.4,10.4,10.4,10.4
ATMC,2023-05-04,10.37,10.37,10.36,10.36
ATMC,2023-05-08,10.36,10.38,10.36,10.38
ATMC,2023-05-09,10.3901,10.455,10.39,10.41
