ticker,date,open,high,low,close
HCAI,2025-02-05,4.39,5.32,3.81,3.84
HCAI,2025-02-06,3.74,4.18,3.7,3.76
HCAI,2025-02-07,3.71,5.12,3.7,5.12
HCAI,2025-02-10,4.25,4.5,3.8,4.2
HCAI,2025-02-11,4.1,4.1,3.76,3.76
HCAI,2025-02-12,3.7,3.97,3.7,3.72
HCAI,2025-02-13,3.75,4.17,3.71,3.97
HCAI,2025-02-14,4.25,4.3899,3.94,4.09
HCAI,2025-02-18,4.19,4.2,3.75,3.8
HCAI,2025-02-19,3.99,4.3706,3.8,4.13
HCAI,2025-02-20,4.11,4.2,3.9,4.11
HCAI,2025-02-21,4.1,4.428,3.87,3.95
HCAI,2025-02-24,4.0378,4.19,3.75,3.99
HCAI,2025-02-25,4.27,4.32,3.9233,4.05
HCAI,2025-02-26,4.0,4.93,3.97,4.25
HCAI,2025-02-27,4.18,4.8551,4.18,4.56
HCAI,2025-02-28,4.6,4.6,4.5001,4.6
HCAI,2025-03-03,4.6,4.67,4.19,4.19
HCAI,2025-03-04,4.2,4.99,4.2,4.99
HCAI,2025-03-05,4.73,6.1599,4.73,5.65
HCAI,2025-03-06,5.79,5.79,5.4,5.4
HCAI,2025-03-07,5.465,5.8,5.465,5.5399
HCAI,2025-03-10,5.5911,5.5911,5.41,5.5911
HCAI,2025-03-11,5.5552,5.98,5.5552,5.93
HCAI,2025-03-12,5.86,5.86,5.66,5.86
HCAI,2025-03-13,5.98,6.5,5.98,6.45
HCAI,2025-03-14,6.58,8.8,6.58,8.4
HCAI,2025-03-17,8.4,10.9742,7.65,9.985
HCAI,2025-03-18,9.89,10.7596,7.02,8.13
HCAI,2025-03-19,7.66,7.9,6.9496,7.1
HCAI,2025-03-20,7.19,7.41,6.45,6.55
HCAI,2025-03-21,6.9,7.89,5.4,6.93
HCAI,2025-03-24,6.56,7.0,6.38,6.4
HCAI,2025-03-25,6.7,6.84,5.5947,5.96
HCAI,2025-03-26,6.26,9.16,6.26,7.03
HCAI,2025-03-27,7.25,8.2,6.4662,7.41
HCAI,2025-03-28,7.28,7.28,5.6,6.4
HCAI,2025-03-31,6.552,8.2,6.552,8.1
HCAI,2025-04-01,8.38,8.5918,8.01,8.21
HCAI,2025-04-02,8.02,8.02,7.0,7.38
HCAI,2025-04-03,7.1532,7.76,6.95,7.4
HCAI,2025-04-04,7.0,7.47,6.95,7.3
HCAI,2025-04-07,7.4,7.47,6.8585,7.04
HCAI,2025-04-08,6.98,7.06,6.67,6.86
HCAI,2025-04-09,7.1,7.45,6.98,7.3714
HCAI,2025-04-10,7.34,7.76,7.3,7.3
HCAI,2025-04-11,7.49,7.91,7.375,7.91
HCAI,2025-04-14,7.92,8.2764,7.3689,7.95
HCAI,2025-04-15,7.5101,7.985,7.38,7.55
HCAI,2025-04-16,7.72,7.91,7.4409,7.84
HCAI,2025-04-17,7.84,7.85,7.56,7.84
HCAI,2025-04-21,7.995,8.85,7.9,8.75
HCAI,2025-04-22,8.72,8.72,8.4,8.72
HCAI,2025-04-23,9.03,9.2,8.57,8.57
HCAI,2025-04-24,8.59,8.8078,8.01,8.49
HCAI,2025-04-25,8.55,8.55,7.935,8.41
HCAI,2025-04-28,8.4,8.76,7.92,8.08
HCAI,2025-04-29,8.2,8.54,8.05,8.5
HCAI,2025-04-30,8.26,8.29,7.95,8.29
HCAI,2025-05-01,8.25,8.3,7.92,7.95
HCAI,2025-05-02,8.2,8.28,7.54,7.76
HCAI,2025-05-05,7.65,7.92,7.54,7.65
HCAI,2025-05-06,7.8,8.2,7.2,7.37
HCAI,2025-05-07,7.7,8.6,7.675,8.01
HCAI,2025-05-08,8.3,8.5,7.58,7.61
HCAI,2025-05-09,8.0,9.5,7.75,9.15
HCAI,2025-05-12,8.69,9.2016,8.16,8.52
HCAI,2025-05-13,8.8,10.615,7.59,8.61
HCAI,2025-05-14,8.4652,9.19,8.4652,9.19
HCAI,2025-05-15,9.26,9.6424,8.61,9.25
HCAI,2025-05-16,9.0,9.35,8.52,9.35
HCAI,2025-05-19,9.3,10.6,9.3,10.0
HCAI,2025-05-20,9.87,9.87,9.45,9.87
HCAI,2025-05-21,9.7,10.5,9.0,9.07
HCAI,2025-05-22,9.3,10.35,8.6,8.96
HCAI,2025-05-23,8.96,9.86,8.7162,9.86
HCAI,2025-05-27,9.54,10.0,9.09,9.58
HCAI,2025-05-28,9.76,9.87,7.95,9.0
HCAI,2025-05-29,8.38,9.1,8.07,8.23
HCAI,2025-05-30,8.135,8.6,5.84,6.35
HCAI,2025-06-02,6.34,6.91,4.001,4.04
HCAI,2025-06-03,4.0,4.2,1.42,1.57
HCAI,2025-06-04,1.48,1.61,1.32,1.53
HCAI,2025-06-05,1.4,1.4999,1.35,1.37
HCAI,2025-06-06,1.35,1.44,1.3001,1.35
HCAI,2025-06-09,1.3,1.3462,1.2245,1.25
HCAI,2025-06-10,1.22,1.24,1.12,1.15
HCAI,2025-06-11,1.15,1.28,1.12,1.21
HCAI,2025-06-12,1.2,1.2,1.11,1.19
HCAI,2025-06-13,1.15,1.1796,1.06,1.1
HCAI,2025-06-16,1.14,1.14,1.06,1.09
HCAI,2025-06-17,1.09,1.11,1.05,1.05
HCAI,2025-06-18,1.03,1.055,0.98,1.02
HCAI,2025-06-20,0.99,1.03,0.9501,0.9821
HCAI,2025-06-23,1.145,1.25,0.9603,0.99
HCAI,2025-06-24,0.97,1.0,0.89,0.918
HCAI,2025-06-25,0.908,0.908,0.8379,0.87
HCAI,2025-06-26,0.8577,0.87,0.7531,0.8698
HCAI,2025-06-27,0.84,0.84,0.7555,0.7822
HCAI,2025-06-30,0.816,0.8285,0.775,0.799071
HCAI,2025-07-01,0.7638,0.7988,0.7638,0.7797
HCAI,2025-07-02,0.74,0.77,0.713,0.7675
HCAI,2025-07-03,0.7675,0.8375,0.7588,0.806422
HCAI,2025-07-07,0.79,0.8402,0.79,0.81
HCAI,2025-07-08,0.7857,0.7875,0.7647,0.7787
HCAI,2025-07-09,0.785,0.791,0.7601,0.7899
HCAI,2025-07-10,0.778,0.7995,0.778,0.7877
HCAI,2025-07-11,0.81,0.81,0.81,0.81
HCAI,2025-07-14,0.79,0.8496,0.7809,0.8
HCAI,2025-07-15,0.7922,0.809258,0.76,0.792
HCAI,2025-07-16,0.7789,0.794999,0.763101,0.7885
HCAI,2025-07-17,0.7717,0.7955,0.7717,0.7955
HCAI,2025-07-18,0.78,0.7955,0.7705,0.7803
HCAI,2025-07-21,0.7611,0.8149,0.7611,0.8058
HCAI,2025-07-22,0.781,0.8,0.77,0.8
HCAI,2025-07-23,0.78,0.9599,0.7677,0.92
HCAI,2025-07-24,0.92,0.92,0.83,0.8399
HCAI,2025-07-25,0.8399,0.849,0.8,0.8285
HCAI,2025-07-28,0.828,0.835,0.7811,0.8225
HCAI,2025-07-29,0.8114,0.8225,0.7356,0.7665
HCAI,2025-07-30,0.7435,0.8225,0.7435,0.7702
HCAI,2025-07-31,0.7995,0.8055,0.76,0.787
HCAI,2025-08-01,0.75,0.7713,0.7003,0.7311
HCAI,2025-08-04,0.7151,0.7622,0.7151,0.747
HCAI,2025-08-05,0.7225,0.7475,0.7225,0.7475
HCAI,2025-08-06,0.7055,0.75,0.7055,0.73
HCAI,2025-08-07,0.75,0.75,0.6613,0.705
HCAI,2025-08-08,0.6838,0.7201,0.6701,0.6703
HCAI,2025-08-11,0.651,0.71,0.651,0.6905
HCAI,2025-08-12,0.6702,0.7,0.67,0.6999
HCAI,2025-08-13,0.6613,0.6989,0.66,0.6948
HCAI,2025-08-14,0.674,0.674,0.5873,0.618
HCAI,2025-08-15,0.593,0.622501,0.4711,0.55
HCAI,2025-08-18,0.5538,0.58,0.5325,0.5799
HCAI,2025-08-19,0.5625,0.61,0.5625,0.579449
HCAI,2025-08-20,0.5812,0.65,0.56,0.65
HCAI,2025-08-21,0.64,0.66,0.6399,0.6401
HCAI,2025-08-22,0.65,0.661,0.6026,0.6371
HCAI,2025-08-25,0.65,0.65,0.6051,0.6138
HCAI,2025-08-26,0.615,0.6497,0.6,0.6269
HCAI,2025-08-27,0.631,0.655,0.605,0.6311
HCAI,2025-08-28,0.625962,0.6499,0.6212,0.648
HCAI,2025-08-29,0.63,0.639001,0.6002,0.6134
HCAI,2025-09-02,0.6003,0.725,0.5739,0.7002
HCAI,2025-09-03,0.669,0.6918,0.6307,0.6411
HCAI,2025-09-04,0.6412,0.659,0.5878,0.5939
HCAI,2025-09-05,0.5761,0.5895,0.5266,0.58
HCAI,2025-09-08,0.553,0.649999,0.5163,0.59899
HCAI,2025-09-09,0.5894,0.8279,0.5702,0.74
HCAI,2025-09-10,0.739,0.8398,0.6586,0.8199
HCAI,2025-09-11,0.7699,0.9399,0.73,0.855
HCAI,2025-09-12,0.7912,0.8,0.701,0.732
HCAI,2025-09-15,0.71,0.72,0.65,0.6801
HCAI,2025-09-16,0.6802,0.7195,0.65,0.667
HCAI,2025-09-17,0.65,0.6802,0.634,0.6553
HCAI,2025-09-18,0.73,0.73,0.657,0.686
HCAI,2025-09-19,0.6654,0.694028,0.66,0.6731
HCAI,2025-09-22,0.6416,0.939,0.6416,0.6556
HCAI,2025-09-23,0.67,0.685,0.5716,0.58
HCAI,2025-09-24,0.567,0.627999,0.5551,0.586
HCAI,2025-09-25,0.572,0.59,0.5303,0.579
HCAI,2025-09-26,0.5616,0.5998,0.5515,0.576
HCAI,2025-09-29,0.57,0.589999,0.57,0.578
HCAI,2025-09-30,0.5581,0.59,0.5581,0.5719
HCAI,2025-10-01,0.59,0.59,0.5674,0.58
