ticker,date,open,high,low,close
GBFH,2025-04-30,39.9,41.9,39.9,40.0
GBFH,2025-05-01,41.0,41.6,39.0,41.6
GBFH,2025-05-02,40.0,43.81,40.0,43.2
GBFH,2025-05-05,42.91,45.0,42.0,43.38
GBFH,2025-05-06,43.51,43.51,40.97,41.89
GBFH,2025-05-07,42.09,42.485,40.61,41.22
GBFH,2025-05-08,42.0,42.2726,41.2,41.51
GBFH,2025-05-09,41.84,41.84,39.0,39.25
GBFH,2025-05-12,40.7,40.7,38.54,39.46
GBFH,2025-05-13,38.63,40.835,38.205,40.25
GBFH,2025-05-14,40.89,41.79,40.474,41.75
GBFH,2025-05-15,41.87,42.25,40.95,41.68
GBFH,2025-05-16,41.99,41.99,40.75,41.93
GBFH,2025-05-19,41.99,42.0,41.36,41.71
GBFH,2025-05-20,41.35,42.25,41.0,42.25
GBFH,2025-05-21,41.99,42.0,41.0,41.48
GBFH,2025-05-22,41.16,42.0,41.16,41.25
GBFH,2025-05-23,40.63,42.5,40.63,42.05
GBFH,2025-05-27,42.68,43.26,41.4,41.9
GBFH,2025-05-28,41.87,42.13,41.0904,41.85
GBFH,2025-05-29,40.01,42.25,39.005,39.66
GBFH,2025-05-30,40.23,40.23,37.5,38.81
GBFH,2025-06-02,39.39,39.39,38.48,38.64
GBFH,2025-06-03,39.0,39.08,38.61,38.61
GBFH,2025-06-04,38.55,39.0,38.25,38.74
GBFH,2025-06-05,38.51,39.1,38.202,39.04
GBFH,2025-06-06,38.97,39.57,38.61,38.87
GBFH,2025-06-09,39.0,40.0,38.695,39.68
GBFH,2025-06-10,39.7,40.0,38.99,38.99
GBFH,2025-06-11,38.8,38.8,37.095,37.39
GBFH,2025-06-12,37.0,37.27,36.09,36.68
GBFH,2025-06-13,35.675,36.69,35.37,35.39
GBFH,2025-06-16,35.5,36.39,35.25,35.43
GBFH,2025-06-17,34.97,36.375,34.415,34.93
GBFH,2025-06-18,34.9,36.89,33.84,35.64
GBFH,2025-06-20,35.6,36.805,34.42,35.85
GBFH,2025-06-23,35.34,36.355,33.4475,35.82
GBFH,2025-06-24,35.83,36.25,34.07,35.7
GBFH,2025-06-25,35.7,35.92,34.26,34.31
GBFH,2025-06-26,34.6,35.86,34.49,35.86
GBFH,2025-06-27,35.87,35.99,34.38,34.95
GBFH,2025-06-30,35.0,35.86,34.755,35.31
GBFH,2025-07-01,35.35,35.7,34.205,35.5
GBFH,2025-07-02,35.3,35.655,35.06,35.35
GBFH,2025-07-03,36.0,36.1064,35.34,35.9
GBFH,2025-07-07,36.04,37.39,35.12,37.25
GBFH,2025-07-08,37.5,39.85,36.545,39.715
GBFH,2025-07-09,39.99,40.39,38.3,38.3
GBFH,2025-07-10,38.4,38.865,37.745,38.31
GBFH,2025-07-11,37.42,37.42,37.42,37.42
GBFH,2025-07-14,37.67,38.045,36.3693,37.97
GBFH,2025-07-15,38.26,38.71,37.32,38.7
GBFH,2025-07-16,38.46,39.28,37.41,39.01
GBFH,2025-07-17,38.63,42.385,38.63,42.13
GBFH,2025-07-18,42.69,43.0,41.525,42.72
GBFH,2025-07-21,42.72,43.97,41.0775,42.97
GBFH,2025-07-22,42.63,43.68,40.7,43.07
GBFH,2025-07-23,43.47,43.47,42.0,43.22
GBFH,2025-07-24,43.6,43.6,42.605,43.24
GBFH,2025-07-25,43.55,43.55,41.585,41.86
GBFH,2025-07-28,41.66,44.0,41.19,43.86
GBFH,2025-07-29,42.3,42.33,38.535,38.535
GBFH,2025-07-30,39.02,40.365,36.01,36.32
GBFH,2025-07-31,37.08,38.66,36.91,37.64
GBFH,2025-08-01,37.51,37.51,36.55,37.045
GBFH,2025-08-04,37.69,38.75,37.5,37.75
GBFH,2025-08-05,37.83,37.9,36.91,37.78
GBFH,2025-08-06,37.77,37.95,37.24,37.24
GBFH,2025-08-07,37.72,37.72,36.5,37.41
GBFH,2025-08-08,37.82,38.79,37.82,38.1
GBFH,2025-08-11,38.09,38.95,37.95,38.56
GBFH,2025-08-12,38.99,40.26,38.3601,39.81
GBFH,2025-08-13,40.53,40.53,38.97,39.17
GBFH,2025-08-14,38.99,39.9,38.935,39.09
GBFH,2025-08-15,39.24,39.3376,38.385,38.55
GBFH,2025-08-18,38.725,38.935,37.745,37.91
GBFH,2025-08-19,38.705,39.05,37.88,38.11
GBFH,2025-08-20,38.45,39.17,38.1467,39.13
GBFH,2025-08-21,39.44,39.44,38.18,38.54
GBFH,2025-08-22,38.97,40.76,38.95,39.95
GBFH,2025-08-25,40.4,40.4721,39.25,39.97
GBFH,2025-08-26,40.24,41.595,40.03,41.41
GBFH,2025-08-27,40.92,42.0,40.6,41.08
GBFH,2025-08-28,40.455,41.29,40.4051,40.99
