ticker,date,open,high,low,close
PETS,1999-04-26,8.5,8.5,8.25,8.38
PETS,1999-04-27,8.5,8.62,8.25,8.62
PETS,1999-04-28,8.62,8.62,8.38,8.5
PETS,1999-04-29,8.75,8.75,8.5,8.75
PETS,1999-04-30,8.56,8.88,8.38,8.5
PETS,1999-05-03,8.38,8.5,7.75,7.75
PETS,1999-05-04,7.75,8.0,7.75,7.75
PETS,1999-05-05,7.5,7.75,6.75,7.0
PETS,1999-05-06,6.75,7.0,5.75,6.75
PETS,1999-05-07,7.0,7.12,7.0,7.12
PETS,1999-05-10,7.12,7.12,6.75,7.0
PETS,1999-05-11,7.0,7.12,6.75,7.12
PETS,1999-05-12,7.12,7.5,7.0,7.12
PETS,1999-05-13,7.19,7.19,7.0,7.0
PETS,1999-05-14,7.38,7.38,7.0,7.0
PETS,1999-05-17,6.88,6.88,6.88,6.88
PETS,1999-05-18,7.12,7.5,7.0,7.5
PETS,1999-05-19,7.5,7.5,7.25,7.27
PETS,1999-05-20,7.5,7.5,7.12,7.25
PETS,1999-05-21,7.5,7.5,7.12,7.25
PETS,1999-05-24,7.5,7.5,7.0,7.06
PETS,1999-05-25,7.0,7.0,7.0,7.0
PETS,1999-05-26,7.0,7.12,6.75,6.88
PETS,1999-05-27,6.88,6.88,6.88,6.88
PETS,1999-05-28,6.75,7.12,6.62,6.88
PETS,1999-06-01,6.5,6.88,6.5,6.88
PETS,1999-06-02,6.5,6.75,6.5,6.5
PETS,1999-06-03,6.5,6.75,6.5,6.62
PETS,1999-06-04,6.62,6.62,6.5,6.62
PETS,1999-06-07,6.5,6.56,6.25,6.38
PETS,1999-06-08,6.12,6.12,6.12,6.12
PETS,1999-06-09,6.5,6.5,6.25,6.5
PETS,1999-06-10,6.25,7.12,6.25,6.62
PETS,1999-06-11,6.88,7.12,6.52,7.12
PETS,1999-06-14,6.75,7.12,6.75,7.12
PETS,1999-06-15,6.94,7.0,6.94,7.0
PETS,1999-06-16,6.94,7.12,6.94,7.06
PETS,1999-06-17,7.09,7.09,6.5,6.75
PETS,1999-06-18,6.88,6.88,6.5,6.88
PETS,1999-06-21,6.88,6.88,6.52,6.62
PETS,1999-06-22,6.88,7.12,6.75,7.12
PETS,1999-06-23,7.12,7.12,7.12,7.12
PETS,1999-06-24,7.12,7.12,7.12,7.12
PETS,1999-06-25,7.12,7.12,6.88,7.06
PETS,1999-06-28,6.88,7.0,6.88,6.88
PETS,1999-06-29,7.06,7.06,6.75,6.75
PETS,1999-06-30,6.75,6.88,6.62,6.88
PETS,1999-07-01,6.62,6.75,6.5,6.75
PETS,1999-07-02,6.5,6.75,6.5,6.75
PETS,1999-07-06,6.75,6.75,6.5,6.5
PETS,1999-07-07,6.5,6.75,6.5,6.62
PETS,1999-07-08,6.56,6.56,6.38,6.56
PETS,1999-07-09,6.56,6.56,6.25,6.25
PETS,1999-07-12,6.25,6.38,6.25,6.31
PETS,1999-07-13,6.19,6.19,6.19,6.19
PETS,1999-07-14,6.19,6.25,6.12,6.25
PETS,1999-07-15,6.12,6.25,6.0,6.19
PETS,1999-07-16,6.19,6.31,6.12,6.25
PETS,1999-07-19,6.38,6.38,6.12,6.25
PETS,1999-07-20,6.25,6.25,6.19,6.19
PETS,1999-07-21,6.38,6.38,6.12,6.25
PETS,1999-07-22,6.12,6.25,6.12,6.12
PETS,1999-07-23,6.12,6.38,6.0,6.19
PETS,1999-07-26,6.19,6.19,6.0,6.12
PETS,1999-07-27,6.5,6.5,6.0,6.06
PETS,1999-07-28,6.12,6.12,6.0,6.12
PETS,1999-07-29,6.12,6.12,6.12,6.12
PETS,1999-07-30,6.06,6.31,6.06,6.31
PETS,1999-08-02,6.31,6.31,6.12,6.12
PETS,1999-08-03,6.12,6.25,6.06,6.25
PETS,1999-08-04,6.25,6.25,6.0,6.0
PETS,1999-08-05,6.12,6.12,5.5,5.5
PETS,1999-08-06,5.44,5.69,5.38,5.69
PETS,1999-08-09,5.62,5.69,5.5,5.69
PETS,1999-08-10,5.69,6.0,5.62,5.84
PETS,1999-08-11,5.75,5.94,5.75,5.75
PETS,1999-08-12,5.75,5.81,5.75,5.81
PETS,1999-08-13,5.88,5.88,5.75,5.88
PETS,1999-08-16,5.88,6.0,5.88,5.88
PETS,1999-08-17,5.88,6.38,5.75,6.38
PETS,1999-08-18,6.0,6.38,6.0,6.38
PETS,1999-08-19,6.38,6.38,6.38,6.38
PETS,1999-08-20,6.5,6.5,6.25,6.38
PETS,1999-08-23,6.38,6.44,6.38,6.44
PETS,1999-08-24,6.5,6.5,5.62,6.31
PETS,1999-08-25,6.31,6.47,6.31,6.47
PETS,1999-08-26,6.47,6.5,6.12,6.12
PETS,1999-08-27,6.06,6.25,6.0,6.06
PETS,1999-08-30,6.25,6.25,5.94,6.0
PETS,1999-08-31,6.12,6.25,6.12,6.25
PETS,1999-09-01,6.25,6.25,6.12,6.12
PETS,1999-09-02,6.0,6.12,6.0,6.0
PETS,1999-09-03,6.0,6.0,6.0,6.0
PETS,1999-09-07,6.12,6.12,6.12,6.12
PETS,1999-09-08,6.12,6.12,6.12,6.12
PETS,1999-09-09,6.12,6.12,6.12,6.12
PETS,1999-09-10,6.12,6.12,5.75,5.75
PETS,1999-09-13,5.75,5.75,5.75,5.75
PETS,1999-09-14,5.75,5.75,5.75,5.75
PETS,1999-09-15,5.75,5.88,5.75,5.88
PETS,1999-09-16,6.0,6.0,5.62,6.0
PETS,1999-09-17,5.62,5.62,5.62,5.62
PETS,1999-09-20,5.62,5.62,5.62,5.62
PETS,1999-09-21,5.88,5.88,5.12,5.25
PETS,1999-09-22,5.38,5.38,4.0,4.88
PETS,1999-09-23,4.5,4.88,4.38,4.47
PETS,1999-09-24,4.62,4.62,4.62,4.62
PETS,1999-09-27,4.38,4.5,4.38,4.38
PETS,1999-09-28,4.44,4.5,4.38,4.38
PETS,1999-09-29,4.38,4.38,4.25,4.25
PETS,1999-09-30,4.38,4.38,4.0,4.0
PETS,1999-10-01,3.88,4.25,3.88,4.25
PETS,1999-10-04,4.25,4.25,4.12,4.12
PETS,1999-10-05,4.0,4.25,4.0,4.0
PETS,1999-10-06,4.25,4.25,4.25,4.25
PETS,1999-10-07,4.25,4.25,3.75,4.0
PETS,1999-10-08,4.12,4.12,3.75,3.75
PETS,1999-10-11,3.88,3.88,3.88,3.88
PETS,1999-10-12,3.88,4.0,3.75,3.75
PETS,1999-10-13,3.81,4.38,3.81,4.25
PETS,1999-10-14,4.25,4.5,4.25,4.5
PETS,1999-10-15,4.25,4.25,4.25,4.25
PETS,1999-10-18,3.88,4.12,3.88,4.12
PETS,1999-10-19,4.0,4.0,4.0,4.0
PETS,1999-10-20,4.25,4.25,4.25,4.25
PETS,1999-10-21,4.0,4.0,4.0,4.0
PETS,1999-10-22,4.25,4.25,4.25,4.25
PETS,1999-10-25,4.0,4.0,4.0,4.0
PETS,1999-10-26,4.12,4.12,4.0,4.0
PETS,1999-10-27,4.06,4.06,4.06,4.06
PETS,1999-10-28,4.06,4.06,4.06,4.06
PETS,1999-10-29,3.88,4.0,3.88,4.0
PETS,1999-11-01,4.0,4.0,4.0,4.0
PETS,1999-11-02,4.0,4.06,4.0,4.0
PETS,1999-11-03,4.0,4.12,4.0,4.0
PETS,1999-11-04,3.88,4.0,3.88,4.0
PETS,1999-11-05,4.03,4.03,3.88,4.0
PETS,1999-11-08,3.88,4.0,3.88,3.94
PETS,1999-11-09,3.75,3.94,3.75,3.94
PETS,1999-11-10,3.75,3.88,3.5,3.5
PETS,1999-11-11,3.88,3.88,3.38,3.5
PETS,1999-11-12,3.56,3.75,3.5,3.75
PETS,1999-11-15,3.5,4.94,3.5,4.94
PETS,1999-11-16,4.94,4.94,4.81,4.81
PETS,1999-11-17,4.88,4.88,4.75,4.75
PETS,1999-11-18,4.75,4.88,4.75,4.75
PETS,1999-11-19,4.75,4.81,4.75,4.75
PETS,1999-11-22,4.44,4.75,4.44,4.44
PETS,1999-11-23,4.25,4.25,4.25,4.25
PETS,1999-11-24,4.12,4.5,4.12,4.12
PETS,1999-11-26,4.75,4.75,4.0,4.0
PETS,1999-11-29,4.0,4.0,4.0,4.0
PETS,1999-11-30,4.5,4.5,4.38,4.38
PETS,1999-12-01,4.5,4.5,4.38,4.38
PETS,1999-12-02,4.38,4.38,4.38,4.38
PETS,1999-12-03,4.0,4.12,4.0,4.0
PETS,1999-12-06,4.38,4.38,3.75,3.75
PETS,1999-12-07,3.75,3.94,3.69,3.75
PETS,1999-12-08,3.94,4.06,3.94,4.0
PETS,1999-12-09,3.94,4.25,3.94,4.25
PETS,1999-12-10,3.94,4.0,3.88,3.88
PETS,1999-12-13,3.88,3.88,3.88,3.88
PETS,1999-12-14,3.75,3.75,3.75,3.75
PETS,1999-12-15,3.75,3.75,3.5,3.5
PETS,1999-12-16,3.5,3.5,3.25,3.25
PETS,1999-12-17,3.0,3.25,3.0,3.0
