ticker,date,open,high,low,close
MAAS,2025-05-05,5.02,6.76,5.02,5.52
MAAS,2025-05-06,5.35,5.35,5.19,5.35
MAAS,2025-05-07,5.17,5.17,4.34,4.34
MAAS,2025-05-08,4.35,4.64,4.34,4.36
MAAS,2025-05-09,4.36,4.7827,3.9,4.535
MAAS,2025-05-12,4.235,4.43,4.06,4.06
MAAS,2025-05-13,4.0,4.175,3.7,3.85
MAAS,2025-05-14,3.88,3.88,3.195,3.53
MAAS,2025-05-15,3.2,4.3,3.2,3.71
MAAS,2025-05-16,3.705,3.89,3.65,3.87
MAAS,2025-05-19,3.8055,4.34,3.7229,4.1776
MAAS,2025-05-20,3.91,4.3,3.91,3.97
MAAS,2025-05-21,3.4,3.4,3.1901,3.4
MAAS,2025-05-22,3.4,3.85,3.25,3.25
MAAS,2025-05-23,3.22,3.31,2.875,2.9882
MAAS,2025-05-27,3.1,3.18,2.775,2.9265
MAAS,2025-05-28,2.87,3.63,2.8,3.21
MAAS,2025-05-29,3.2,3.3,2.92,2.92
MAAS,2025-05-30,3.05,3.18,2.89,3.115
MAAS,2025-06-02,2.82,3.37,2.82,3.01
MAAS,2025-06-03,2.67,3.15,2.67,3.04
MAAS,2025-06-04,3.3,3.4035,3.13,3.29
MAAS,2025-06-05,3.36,3.47,3.1,3.34
MAAS,2025-06-06,3.04,3.38,3.04,3.14
MAAS,2025-06-09,3.1,3.45,3.088,3.088
MAAS,2025-06-10,3.08,3.5,2.85,2.9585
MAAS,2025-06-11,2.87,3.09,2.76,2.78
MAAS,2025-06-12,2.697,2.785,2.53,2.7
MAAS,2025-06-13,3.0,3.0,2.48,2.54
MAAS,2025-06-16,2.66,2.9,2.56,2.8
MAAS,2025-06-17,2.6,2.7477,2.41,2.61
MAAS,2025-06-18,2.715,2.9,2.53,2.53
MAAS,2025-06-20,2.5,2.8,2.445,2.7
MAAS,2025-06-23,4.36,13.33,4.36,9.93
MAAS,2025-06-24,5.2,10.8499,4.0667,6.79
MAAS,2025-06-25,6.97,7.56,5.0,5.1
MAAS,2025-06-26,5.01,5.14,3.79,4.14
MAAS,2025-06-27,3.83,4.4999,3.09,3.71
MAAS,2025-06-30,3.5,3.76,3.02,3.35
MAAS,2025-07-01,3.22,3.92,3.22,3.42
MAAS,2025-07-02,3.3,3.8,3.21,3.635
MAAS,2025-07-03,3.16,3.51,3.16,3.35
MAAS,2025-07-07,3.21,3.3899,3.02,3.125
MAAS,2025-07-08,3.24,3.4,3.12,3.4
MAAS,2025-07-09,3.4194,4.38,3.33,4.16
MAAS,2025-07-10,4.78,4.78,4.13,4.36
MAAS,2025-07-11,4.2,4.2,3.945,4.2
MAAS,2025-07-14,4.11,4.3556,3.7,3.94
MAAS,2025-07-15,3.94,4.02,3.5785,3.8
MAAS,2025-07-16,3.73,3.92,3.73,3.8266
MAAS,2025-07-17,3.94,4.3078,3.7094,4.02
MAAS,2025-07-18,4.16,4.1699,3.3,3.51
MAAS,2025-07-21,3.6,3.6727,3.33,3.67
MAAS,2025-07-22,3.595,3.805,3.56,3.67
MAAS,2025-07-23,3.64,4.1528,3.64,3.97
MAAS,2025-07-24,3.91,4.22,3.91,4.09
MAAS,2025-07-25,4.1,4.19,3.97,4.19
MAAS,2025-07-28,4.17,4.2915,4.09,4.2
MAAS,2025-07-29,4.45,4.4522,4.035,4.07
MAAS,2025-07-30,4.08,4.17,3.78,3.84
MAAS,2025-07-31,4.0484,4.08,3.6,3.74
MAAS,2025-08-01,3.75,4.16,3.6,3.65
MAAS,2025-08-04,3.65,3.8691,3.646,3.646
MAAS,2025-08-05,4.18,4.18,3.42,3.635
MAAS,2025-08-06,3.75,3.9067,3.56,3.571
MAAS,2025-08-07,3.56,3.75,3.3191,3.52
MAAS,2025-08-08,3.3398,3.5319,3.3388,3.49
MAAS,2025-08-11,3.39,3.5,3.36,3.4001
MAAS,2025-08-12,3.43,3.6,3.2337,3.54
MAAS,2025-08-13,3.705,3.885,3.605,3.85
MAAS,2025-08-14,3.78,3.98,3.78,3.91
MAAS,2025-08-15,3.99,3.99,3.8014,3.82
MAAS,2025-08-18,3.99,4.095,3.83,3.93
MAAS,2025-08-19,3.93,3.965,3.77,3.86
MAAS,2025-08-20,3.86,3.94915,3.86,3.8869
MAAS,2025-08-21,3.88,3.89,3.735,3.75
MAAS,2025-08-22,3.75,3.98,3.68,3.98
MAAS,2025-08-25,4.0,4.0698,3.93,4.04
MAAS,2025-08-26,4.04,4.05,3.83,3.83
MAAS,2025-08-27,4.05,4.06,3.95,4.05
MAAS,2025-08-28,4.045,4.2405,3.87,3.87
MAAS,2025-08-29,3.99,4.11,3.45,3.47
MAAS,2025-09-02,3.47,4.005,3.415,3.46
MAAS,2025-09-03,3.5,3.675,3.5,3.55
MAAS,2025-09-04,3.55,4.19,3.5,3.67
MAAS,2025-09-05,3.68,3.855,3.66,3.855
