ticker,date,open,high,low,close
NXPI,2010-08-05,13.1606,13.1606,13.1606,13.1606
NXPI,2010-08-06,12.2192,13.2354,12.2092,13.1606
NXPI,2010-08-09,13.1606,13.1606,12.877,13.1606
NXPI,2010-08-10,12.9449,13.01,12.7667,12.7844
NXPI,2010-08-11,12.4585,12.5756,11.7031,11.9848
NXPI,2010-08-12,11.5239,11.7592,11.3752,11.647
NXPI,2010-08-13,11.5151,11.7779,11.1408,11.2806
NXPI,2010-08-16,11.0827,11.4964,10.9873,11.0739
NXPI,2010-08-17,11.1477,11.5613,11.0463,11.4874
NXPI,2010-08-18,11.3565,11.8449,11.2806,11.2806
NXPI,2010-08-19,11.2324,11.3752,10.6307,10.8592
NXPI,2010-08-20,10.7617,10.8109,10.3688,10.4809
NXPI,2010-08-23,10.6022,10.8109,9.83303,10.3214
NXPI,2010-08-24,10.1137,10.6219,9.86947,10.0409
NXPI,2010-08-25,9.86947,10.4612,9.61639,10.1048
NXPI,2010-08-26,10.283,10.4809,10.152,10.3402
NXPI,2010-08-27,10.4809,10.8011,10.3304,10.4426
NXPI,2010-08-30,10.3501,10.5953,10.3501,10.4338
NXPI,2010-08-31,10.3501,10.5578,10.2191,10.4052
NXPI,2010-09-01,10.4151,11.2324,10.1137,11.0266
NXPI,2010-09-02,10.4151,11.195,10.4151,11.1566
NXPI,2010-09-03,11.1861,11.58,10.8848,11.1763
NXPI,2010-09-07,11.2806,11.6184,11.0739,11.3082
NXPI,2010-09-08,10.8011,11.449,10.735,11.4293
NXPI,2010-09-09,11.4777,11.8627,10.8208,11.1861
NXPI,2010-09-10,11.262,11.4028,11.1014,11.262
NXPI,2010-09-13,11.3653,11.5062,11.131,11.2226
NXPI,2010-09-14,11.1408,11.5151,11.1408,11.5062
NXPI,2010-09-15,11.7682,12.1443,11.6095,11.7208
NXPI,2010-09-16,11.712,11.8813,11.2895,11.2985
NXPI,2010-09-17,11.2895,11.5151,11.1113,11.3565
NXPI,2010-09-20,11.4777,12.1906,11.3752,11.9287
NXPI,2010-09-21,11.8528,12.0813,11.6184,11.7592
NXPI,2010-09-22,11.6568,11.8449,11.2895,11.449
NXPI,2010-09-23,11.2806,11.7405,11.1763,11.2806
NXPI,2010-09-24,11.3752,11.6283,11.1113,11.4874
NXPI,2010-09-27,11.4393,11.647,11.2985,11.5151
NXPI,2010-09-28,11.4777,11.8627,11.384,11.8528
NXPI,2010-09-29,11.8725,12.1088,11.7405,11.7976
NXPI,2010-09-30,11.8627,12.1719,11.5239,11.647
NXPI,2010-10-01,11.7208,12.0035,11.5239,11.6184
NXPI,2010-10-04,11.6371,11.9474,11.5151,11.6095
NXPI,2010-10-05,11.6854,11.9287,11.4874,11.6095
NXPI,2010-10-06,11.58,11.7405,11.4028,11.7208
NXPI,2010-10-07,11.7495,11.7495,10.9123,11.1408
NXPI,2010-10-08,11.0926,11.384,11.0167,11.262
NXPI,2010-10-11,11.2324,11.4205,11.195,11.3279
NXPI,2010-10-12,11.2895,11.5613,11.195,11.5613
NXPI,2010-10-13,11.5712,11.5899,11.2985,11.3466
NXPI,2010-10-14,11.3466,11.4964,11.2806,11.4205
NXPI,2010-10-15,11.6095,11.6095,11.1477,11.2226
NXPI,2010-10-18,11.2423,11.5525,10.9508,11.5062
NXPI,2010-10-19,11.3378,11.5151,11.2895,11.384
NXPI,2010-10-20,11.4393,11.7031,10.8306,11.4677
NXPI,2010-10-21,11.384,11.6568,11.384,11.5151
NXPI,2010-10-22,11.4677,11.8528,11.449,11.5899
NXPI,2010-10-25,11.4677,11.835,11.4677,11.6283
NXPI,2010-10-26,11.5151,11.7405,11.195,11.5436
NXPI,2010-10-27,11.5436,12.032,11.5436,12.0035
NXPI,2010-10-28,12.0517,12.5471,11.8449,12.3994
