ticker,date,open,high,low,close
NTCL,2025-01-27,7.2,7.557,7.16,7.23
NTCL,2025-01-28,7.22,9.86,6.93,8.41
NTCL,2025-01-29,8.21,9.03,7.64,8.96
NTCL,2025-01-30,8.89,9.7,8.03,8.28
NTCL,2025-01-31,8.51,8.725,7.5,7.76
NTCL,2025-02-03,7.66,7.9,7.2,7.27
NTCL,2025-02-04,7.19,8.0,7.05,7.77
NTCL,2025-02-05,7.82,8.79,7.4,8.72
NTCL,2025-02-06,8.88,8.88,7.9,8.17
NTCL,2025-02-07,8.36,8.6,8.03,8.15
NTCL,2025-02-10,8.31,8.47,8.1,8.47
NTCL,2025-02-11,8.21,8.53,8.125,8.15
NTCL,2025-02-12,8.095,8.28,7.98,8.28
NTCL,2025-02-13,8.23,8.23,7.53,7.8
NTCL,2025-02-14,7.5,7.89,7.5,7.89
NTCL,2025-02-18,7.714,7.714,7.01,7.32
NTCL,2025-02-19,7.68,7.745,7.3,7.32
NTCL,2025-02-20,7.2,8.12,7.06,7.84
NTCL,2025-02-21,7.75,8.0361,6.19,7.2
NTCL,2025-02-24,6.85,7.48,6.64,7.05
NTCL,2025-02-25,7.08,8.285,6.65,7.85
NTCL,2025-02-26,7.65,7.65,7.3,7.3
NTCL,2025-02-27,7.3,7.545,6.66,7.17
NTCL,2025-02-28,7.3,7.5,6.92,7.14
NTCL,2025-03-03,7.815,7.98,7.3,7.77
NTCL,2025-03-04,7.685,8.97,7.685,8.04
NTCL,2025-03-05,7.62,8.21,7.56,7.79
NTCL,2025-03-06,7.9,8.35,7.7712,8.0
NTCL,2025-03-07,8.42,10.755,8.41,10.34
NTCL,2025-03-10,10.18,10.64,9.7089,10.19
NTCL,2025-03-11,9.76,10.98,9.6,10.43
NTCL,2025-03-12,10.3,11.5,10.3,11.02
NTCL,2025-03-13,10.9243,11.4,10.805,10.9
NTCL,2025-03-14,11.21,11.21,10.51,10.87
NTCL,2025-03-17,10.7,11.49,10.7,10.99
NTCL,2025-03-18,10.5683,10.99,10.5683,10.96
NTCL,2025-03-19,9.32,9.32,9.32,9.32
NTCL,2025-03-20,10.7185,10.7185,8.4,9.69
NTCL,2025-03-21,9.0,10.98,9.0,10.37
NTCL,2025-03-24,10.1,10.98,7.31,7.95
NTCL,2025-03-25,7.67,8.92,6.81,7.9
NTCL,2025-03-26,7.3,8.45,7.29,8.1
NTCL,2025-03-27,7.78,7.78,7.59,7.78
NTCL,2025-03-28,7.75,7.77,6.7,6.86
NTCL,2025-03-31,6.2,7.32,5.88,6.79
NTCL,2025-04-01,6.5,7.179,6.5,6.85
NTCL,2025-04-02,7.37,7.74,6.4,7.3
NTCL,2025-04-03,7.0,7.0,6.62,7.0
NTCL,2025-04-04,7.4,11.8,6.14,9.31
NTCL,2025-04-07,9.17,11.2,9.0002,9.71
NTCL,2025-04-08,9.72,10.28,8.71,10.28
NTCL,2025-04-09,9.9901,10.9,8.92,10.7534
NTCL,2025-04-10,9.6,10.11,8.9,10.05
NTCL,2025-04-11,9.73,10.3999,8.515,9.2249
NTCL,2025-04-14,9.5995,10.4,9.5995,10.15
NTCL,2025-04-15,10.25,10.5,9.17,10.46
NTCL,2025-04-16,9.21,11.2,9.21,11.1
NTCL,2025-04-17,11.0,12.0072,10.6,11.24
NTCL,2025-04-21,11.24,12.02,10.87,11.25
NTCL,2025-04-22,11.53,11.53,10.65,11.39
NTCL,2025-04-23,11.16,12.5,11.05,11.82
NTCL,2025-04-24,11.43,12.21,11.22,12.11
NTCL,2025-04-25,12.2,12.99,11.625,12.99
NTCL,2025-04-28,12.69,13.25,11.46,13.0
NTCL,2025-04-29,12.84,14.7,12.84,14.36
NTCL,2025-04-30,13.0461,15.2,12.79,14.525
NTCL,2025-05-01,14.05,15.1,13.84,14.81
NTCL,2025-05-02,14.81,17.5,14.1,17.5
NTCL,2025-05-05,15.01,15.74,5.45,12.57
NTCL,2025-05-06,11.57,49.06,9.12,33.0
NTCL,2025-05-07,31.5,51.8,22.66,32.51
NTCL,2025-05-08,26.9,36.6499,26.9,31.58
NTCL,2025-05-09,30.59,35.77,26.0,28.3
NTCL,2025-05-12,28.99,28.99,17.5,28.99
NTCL,2025-05-13,25.51,28.8,19.0,20.27
NTCL,2025-05-14,21.4199,22.4,19.52,20.65
NTCL,2025-05-15,19.8305,24.0,16.25,19.16
NTCL,2025-05-16,17.85,19.01,12.55,14.12
NTCL,2025-05-19,13.01,14.5,12.05,13.12
NTCL,2025-05-20,13.0,14.0,12.31,12.81
NTCL,2025-05-21,12.35,12.81,8.2,8.85
NTCL,2025-05-22,7.2,7.3,4.74,5.21
NTCL,2025-05-23,4.405,4.405,3.7439,4.405
NTCL,2025-05-27,4.03,4.3,3.46,3.46
NTCL,2025-05-28,3.56,3.6496,2.93,3.0
NTCL,2025-05-29,3.0,3.96,2.9,3.31
