ticker,date,open,high,low,close
FLY,2025-08-07,70.0,73.8,60.03,60.35
FLY,2025-08-08,54.845,57.07,49.1101,50.17
FLY,2025-08-11,49.51,54.95,49.5,53.64
FLY,2025-08-12,53.7761,55.0,51.34,51.465
FLY,2025-08-13,51.12,53.5999,50.6,50.65
FLY,2025-08-14,50.21,51.25,46.3118,49.33
FLY,2025-08-15,49.28,49.28,46.39,47.34
FLY,2025-08-18,47.0,48.73,46.33,48.62
FLY,2025-08-19,48.551,49.19,45.01,45.48
FLY,2025-08-20,45.43,47.0,45.0,45.27
FLY,2025-08-21,45.37,46.6,44.0,46.27
FLY,2025-08-22,46.05,46.91,45.0001,46.11
FLY,2025-08-25,46.09,46.43,44.6,44.725
FLY,2025-08-26,44.69,45.255,44.45,45.05
FLY,2025-08-27,46.425,47.8,46.13,47.03
FLY,2025-08-28,47.6711,48.95,46.944,47.15
FLY,2025-08-29,46.54,46.89,45.155,45.39
FLY,2025-09-02,45.0,46.09,43.6064,44.23
FLY,2025-09-03,44.23,45.4,42.5068,44.315
FLY,2025-09-04,44.4,44.99,42.2745,42.82
FLY,2025-09-05,42.96,43.2769,41.57,42.63
FLY,2025-09-08,42.55,43.24,41.75,42.67
FLY,2025-09-09,42.7,44.75,42.26,44.54
FLY,2025-09-10,43.98,44.241,42.53,42.77
FLY,2025-09-11,42.61,43.33,42.12,42.97
FLY,2025-09-12,43.01,43.76,42.35,43.75
FLY,2025-09-15,44.26,45.0,43.5,43.86
FLY,2025-09-16,44.0,45.45,43.58,43.85
FLY,2025-09-17,43.73,44.59,43.16,43.44
FLY,2025-09-18,43.93,45.6,43.8,45.17
FLY,2025-09-19,45.64,46.21,44.5,45.2
FLY,2025-09-22,46.31,49.59,45.66,49.52
FLY,2025-09-23,43.56,44.89,41.368,41.94
FLY,2025-09-24,42.26,42.631,40.27,40.56
FLY,2025-09-25,39.9,40.0,36.69,37.66
FLY,2025-09-26,37.6,37.6576,35.01,35.98
FLY,2025-09-29,36.0,36.99,34.53,36.96
FLY,2025-09-30,31.755,32.0,27.55,29.31
FLY,2025-10-01,29.535,29.535,26.335,26.67
