ticker,date,open,high,low,close
Z,2015-08-03,27.65,28.82,25.72,27.74
Z,2015-08-04,27.0,27.03,24.61,25.8
Z,2015-08-05,27.11,27.47,24.56,25.24
Z,2015-08-06,24.81,26.95,22.99,26.95
Z,2015-08-07,27.5,27.5,24.2,26.5
Z,2015-08-10,25.76,26.5,25.46,26.14
Z,2015-08-11,25.44,26.02,24.56,25.38
Z,2015-08-12,25.0,26.21,25.0,25.99
Z,2015-08-13,26.0,26.6,25.76,26.2
Z,2015-08-14,26.13,26.21,24.66,25.19
Z,2015-08-17,26.58,26.72,24.35,24.8
Z,2015-08-18,24.65,26.95,24.5,26.06
Z,2015-08-19,25.6,27.09,25.49,26.77
Z,2015-08-20,26.4,26.5,25.03,25.17
Z,2015-08-21,24.89,26.85,24.5,25.18
Z,2015-08-24,23.93,25.64,23.0,24.37
Z,2015-08-25,25.49,25.54,24.29,24.6
Z,2015-08-26,25.05,26.25,24.21,25.0
Z,2015-08-27,25.29,25.45,24.64,25.16
Z,2015-08-28,25.12,25.72,24.71,24.86
Z,2015-08-31,24.66,24.92,24.24,24.66
Z,2015-09-01,24.05,24.89,24.01,24.43
Z,2015-09-02,24.83,26.2,24.83,25.32
Z,2015-09-03,25.26,25.73,24.63,25.51
Z,2015-09-04,25.17,25.49,24.84,25.07
Z,2015-09-08,25.48,25.85,25.23,25.24
Z,2015-09-09,25.49,26.1,24.87,25.07
Z,2015-09-10,24.98,26.06,24.9,25.45
Z,2015-09-11,25.33,26.0,24.7,25.87
Z,2015-09-14,25.9,26.5,25.75,26.12
Z,2015-09-15,26.33,27.79,26.12,27.65
Z,2015-09-16,27.62,27.95,27.35,27.45
Z,2015-09-17,27.61,28.06,27.27,27.91
Z,2015-09-18,27.5,28.54,26.76,28.07
Z,2015-09-21,28.15,28.35,27.27,27.36
Z,2015-09-22,27.08,27.67,26.88,27.26
Z,2015-09-23,27.35,27.61,27.0,27.49
Z,2015-09-24,27.41,27.51,27.05,27.26
Z,2015-09-25,27.58,28.51,27.57,27.9
Z,2015-09-28,27.63,28.335,26.79,27.58
Z,2015-09-29,27.56,28.01,27.18,27.5
Z,2015-09-30,27.7,27.87,26.53,27.0
Z,2015-10-01,27.03,27.12,25.67,26.11
Z,2015-10-02,25.84,26.9,25.7,26.56
Z,2015-10-05,26.55,27.47,26.42,27.12
Z,2015-10-06,26.89,28.96,26.89,28.55
Z,2015-10-07,28.72,30.13,28.12,29.99
Z,2015-10-08,29.78,31.75,29.66,31.6
Z,2015-10-09,31.61,33.52,31.51,33.45
Z,2015-10-12,33.37,33.62,31.11,32.0
Z,2015-10-13,31.54,32.97,31.36,31.65
Z,2015-10-14,31.75,32.35,31.38,31.87
Z,2015-10-15,31.99,32.63,30.81,31.15
Z,2015-10-16,31.35,31.59,30.13,30.45
Z,2015-10-19,30.47,31.12,30.32,30.66
Z,2015-10-20,30.62,31.58,30.62,31.16
Z,2015-10-21,30.9,31.7,29.11,29.89
Z,2015-10-22,30.07,30.85,29.87,29.95
Z,2015-10-23,30.58,30.8,29.9,29.99
Z,2015-10-26,30.03,30.24,29.4,29.43
Z,2015-10-27,29.37,29.67,27.85,28.46
Z,2015-10-28,28.62,28.7,27.83,28.23
Z,2015-10-29,28.57,28.93,27.4,27.57
Z,2015-10-30,27.49,28.03,26.39,27.69
Z,2015-11-02,27.75,29.426,27.75,28.46
Z,2015-11-03,28.29,30.25,28.22,29.5
Z,2015-11-04,27.8,28.33,26.51,27.65
Z,2015-11-05,27.64,27.64,25.31,25.79
Z,2015-11-06,26.05,26.25,24.83,25.48
Z,2015-11-09,25.53,25.92,25.25,25.3
Z,2015-11-10,25.31,25.31,24.2,24.4
Z,2015-11-11,24.57,24.75,24.07,24.36
Z,2015-11-12,24.33,24.39,23.64,23.79
Z,2015-11-13,23.66,23.87,23.11,23.27
Z,2015-11-16,23.18,24.11,23.16,23.73
Z,2015-11-17,23.67,24.86,23.38,24.71
Z,2015-11-18,24.71,25.46,24.59,25.28
Z,2015-11-19,25.18,25.56,25.05,25.23
Z,2015-11-20,25.2,25.8,25.01,25.29
Z,2015-11-23,25.04,25.33,24.23,24.48
Z,2015-11-24,23.99,24.85,23.85,24.81
Z,2015-11-25,24.74,25.06,24.38,24.94
Z,2015-11-27,24.77,24.93,24.25,24.55
Z,2015-11-30,24.82,25.25,24.16,24.65
Z,2015-12-01,24.51,24.83,24.09,24.1
Z,2015-12-02,24.2,24.87,24.18,24.65
Z,2015-12-03,24.76,25.0,23.59,24.5
Z,2015-12-04,24.58,24.8,23.91,24.66
Z,2015-12-07,24.5,25.19,24.25,24.95
Z,2015-12-08,24.42,25.06,24.25,24.71
Z,2015-12-09,24.63,24.89,23.26,23.57
Z,2015-12-10,23.55,23.74,23.0,23.46
Z,2015-12-11,23.35,24.39,23.14,23.28
Z,2015-12-14,23.15,24.05,22.8,23.55
Z,2015-12-15,23.72,24.87,23.49,24.56
Z,2015-12-16,24.8,25.59,24.63,25.46
Z,2015-12-17,25.46,25.46,24.03,24.43
Z,2015-12-18,24.39,24.93,24.09,24.61
Z,2015-12-21,24.86,25.06,24.05,24.09
Z,2015-12-22,24.05,24.49,23.36,23.95
Z,2015-12-23,23.92,24.23,23.62,24.08
Z,2015-12-24,24.0,24.6,23.93,24.41
Z,2015-12-28,24.27,24.46,23.82,23.95
Z,2015-12-29,23.93,24.51,23.88,24.17
Z,2015-12-30,24.18,24.82,24.17,24.24
Z,2015-12-31,24.21,24.24,23.48,23.48
Z,2016-01-04,23.08,23.33,22.07,22.11
Z,2016-01-05,22.21,22.87,21.35,21.99
Z,2016-01-06,21.72,22.335,21.5,21.96
Z,2016-01-07,21.49,22.02,21.43,21.5
Z,2016-01-08,21.66,22.395,21.5908,22.1
Z,2016-01-11,22.28,22.35,21.89,22.16
Z,2016-01-12,22.17,22.51,21.73,22.34
Z,2016-01-13,22.33,23.0,21.31,21.45
Z,2016-01-14,21.4,21.49,19.83,20.77
Z,2016-01-15,20.4,21.2,20.16,20.83
Z,2016-01-19,20.93,21.06,20.19,20.67
Z,2016-01-20,20.59,20.72,19.08,19.53
Z,2016-01-21,19.69,19.73,18.8501,18.94
Z,2016-01-22,19.12,20.31,19.12,20.18
Z,2016-01-25,20.08,20.74,19.66,19.75
Z,2016-01-26,19.65,20.17,19.15,20.12
Z,2016-01-27,20.01,20.55,19.585,19.65
Z,2016-01-28,19.99,20.32,19.475,19.5
Z,2016-01-29,19.52,20.52,19.52,20.5
Z,2016-02-01,20.47,20.51,19.06,19.25
Z,2016-02-02,19.06,19.37,17.67,17.92
Z,2016-02-03,18.0,18.64,17.28,17.65
Z,2016-02-04,17.62,18.46,17.16,18.43
Z,2016-02-05,18.34,18.34,16.71,16.92
Z,2016-02-08,16.65,16.83,15.36,16.01
Z,2016-02-09,15.67,16.61,15.62,16.2
Z,2016-02-10,16.2,17.07,16.09,16.78
Z,2016-02-11,16.33,18.78,16.28,17.97
Z,2016-02-12,18.0,18.56,16.61,17.81
Z,2016-02-16,17.92,19.4,17.21,18.83
Z,2016-02-17,18.94,20.34,18.65,19.38
Z,2016-02-18,19.29,19.95,18.84,19.55
Z,2016-02-19,19.73,20.48,19.12,20.31
Z,2016-02-22,20.37,20.82,19.5,20.0
Z,2016-02-23,20.5,22.14,20.45,20.77
Z,2016-02-24,20.5,20.77,19.27,20.2
Z,2016-02-25,20.34,21.25,20.34,21.0
Z,2016-02-26,21.0,21.26,20.31,21.01
Z,2016-02-29,21.1,22.0199,20.97,21.6
Z,2016-03-01,22.27,22.65,21.0801,21.46
Z,2016-03-02,21.83,22.52,21.82,22.38
Z,2016-03-03,22.37,24.01,22.3,23.37
Z,2016-03-04,23.37,24.16,22.75,23.28
Z,2016-03-07,23.0,24.19,23.0,23.55
Z,2016-03-08,23.3,24.64,23.23,24.27
Z,2016-03-09,24.1,24.13,22.29,22.44
Z,2016-03-10,22.67,22.75,21.86,22.52
