ticker,date,open,high,low,close
BTOC,2024-05-14,5.0,6.26,4.1392,4.62
BTOC,2024-05-15,4.69,4.88,4.26,4.6224
BTOC,2024-05-16,4.9,5.01,4.6101,5.0
BTOC,2024-05-17,5.01,5.2,4.85,4.935
BTOC,2024-05-20,5.04,5.04,4.68,4.82
BTOC,2024-05-21,4.99,5.1,4.7677,4.94
BTOC,2024-05-22,4.93,4.95,4.66,4.83
BTOC,2024-05-23,4.8,5.34,4.745,4.94
BTOC,2024-05-24,4.94,5.15,4.8,4.8
BTOC,2024-05-28,4.99,4.99,4.81,4.97
BTOC,2024-05-29,5.078,5.0898,4.8619,4.9
BTOC,2024-05-30,4.9517,5.08,4.85,4.9999
BTOC,2024-05-31,5.0485,5.15,4.88,5.06
BTOC,2024-06-03,4.985,5.04,4.94,5.01
BTOC,2024-06-04,4.88,4.931,4.86,4.93
BTOC,2024-06-05,5.0,5.4,4.96,5.03
BTOC,2024-06-06,5.12,5.15,4.89,4.8998
BTOC,2024-06-07,4.9,5.06,4.28,4.6
BTOC,2024-06-10,4.77,4.8835,4.57,4.72
BTOC,2024-06-11,5.11,5.11,4.76,4.88
BTOC,2024-06-12,4.85,4.85,4.64,4.8473
BTOC,2024-06-13,4.71,4.82,4.4,4.7301
BTOC,2024-06-14,4.57,4.75,4.52,4.67
BTOC,2024-06-17,4.84,4.84,4.6001,4.8
BTOC,2024-06-18,4.82,4.88,4.7,4.84
BTOC,2024-06-20,4.87,5.27,4.6101,5.14
BTOC,2024-06-21,5.32,5.32,4.8,5.04
BTOC,2024-06-24,4.92,5.02,4.54,4.54
BTOC,2024-06-25,4.53,4.9388,4.53,4.69
BTOC,2024-06-26,4.63,4.92,4.63,4.76
BTOC,2024-06-27,4.88,5.03,4.8,4.9
BTOC,2024-06-28,4.6184,5.0,4.61,4.72
BTOC,2024-07-01,4.64,4.94,4.64,4.94
BTOC,2024-07-02,4.61,5.0,4.61,4.73
BTOC,2024-07-03,4.8,4.84,4.6,4.67
BTOC,2024-07-05,4.74,4.875,4.71,4.75
BTOC,2024-07-08,4.72,4.95,4.68,4.95
BTOC,2024-07-09,4.7,4.835,4.7,4.7401
BTOC,2024-07-10,4.71,5.19,4.71,4.8
BTOC,2024-07-11,4.99,5.05,4.7808,4.89
BTOC,2024-07-12,4.74,4.9699,4.74,4.79
BTOC,2024-07-15,5.02,5.02,4.7761,4.83
BTOC,2024-07-16,4.86,4.86,4.8518,4.8518
BTOC,2024-07-17,4.99,4.99,4.8,4.8
BTOC,2024-07-18,4.88,4.97,4.81,4.82
BTOC,2024-07-19,4.85,4.91,4.8,4.895
BTOC,2024-07-22,4.85,4.89,4.8,4.89
BTOC,2024-07-23,4.89,4.9599,4.8,4.949
BTOC,2024-07-24,4.96,4.96,4.81,4.81
BTOC,2024-07-25,4.95,4.95,4.82,4.82
BTOC,2024-07-26,4.8,5.04,4.8,4.81
BTOC,2024-07-29,4.76,5.04,4.76,5.0
BTOC,2024-07-30,4.82,4.82,4.82,4.82
BTOC,2024-07-31,4.77,5.04,4.67,4.87
BTOC,2024-08-01,4.984,4.9999,4.82,4.9999
BTOC,2024-08-02,4.7,4.91,4.7,4.77
BTOC,2024-08-05,4.7,4.97,4.61,4.67
BTOC,2024-08-06,4.55,4.74,4.42,4.7201
BTOC,2024-08-07,4.752,4.835,4.74,4.775
BTOC,2024-08-09,4.68,4.9,4.66,4.9
BTOC,2024-08-12,4.68,4.8,4.57,4.79
BTOC,2024-08-13,4.68,4.94,4.51,4.51
BTOC,2024-08-14,4.51,4.8,4.51,4.8
BTOC,2024-08-15,4.94,4.94,4.5139,4.8999
BTOC,2024-08-16,4.55,4.67,4.48,4.49
BTOC,2024-08-19,4.59,4.82,4.37,4.695
BTOC,2024-08-20,4.71,4.71,4.53,4.53
BTOC,2024-08-21,4.56,4.7599,4.42,4.42
BTOC,2024-08-22,4.54,4.7599,4.37,4.415
BTOC,2024-08-23,4.64,4.64,4.43,4.43
BTOC,2024-08-26,4.58,4.58,4.43,4.4721
BTOC,2024-08-27,4.47,4.72,4.47,4.6
BTOC,2024-08-28,4.49,4.6,4.49,4.58
BTOC,2024-08-29,4.5,4.5693,4.46,4.46
BTOC,2024-08-30,4.47,4.72,4.3501,4.72
BTOC,2024-09-03,4.51,4.65,4.35,4.4
BTOC,2024-09-04,4.41,4.69,4.4001,4.4143
BTOC,2024-09-05,4.49,4.5,4.25,4.25
BTOC,2024-09-06,4.29,4.45,4.29,4.3
BTOC,2024-09-09,4.25,4.35,3.95,3.95
BTOC,2024-09-10,4.0,4.155,3.27,3.65
BTOC,2024-09-11,3.83,3.97,3.66,3.97
BTOC,2024-09-12,3.7,4.66,3.7,4.4
BTOC,2024-09-13,4.5,4.66,3.97,4.2
BTOC,2024-09-16,4.0,4.6,4.0,4.45
BTOC,2024-09-17,4.48,4.75,3.79,3.895
BTOC,2024-09-18,3.76,4.1,3.5,4.01
BTOC,2024-09-19,3.79,4.66,3.76,4.48
BTOC,2024-09-20,4.68,4.68,4.5,4.68
BTOC,2024-09-23,4.35,4.61,4.1,4.23
BTOC,2024-09-24,4.2,4.6499,4.07,4.48
BTOC,2024-09-25,4.59,4.7,4.4801,4.6
BTOC,2024-09-26,4.9,5.0,3.8,4.9
BTOC,2024-09-27,4.87,4.9435,4.29,4.36
BTOC,2024-09-30,4.52,4.52,4.08,4.3
BTOC,2024-10-01,4.375,4.5,3.82,4.01
BTOC,2024-10-02,4.01,4.7868,4.01,4.6
BTOC,2024-10-03,4.52,4.77,4.05,4.14
BTOC,2024-10-04,4.21,4.21,4.2,4.21
BTOC,2024-10-07,4.26,4.4,4.06,4.11
BTOC,2024-10-08,4.17,4.36,3.8,4.05
BTOC,2024-10-09,4.1,4.99,4.07,4.83
BTOC,2024-10-10,4.9,5.0,4.5,4.57
BTOC,2024-10-11,4.385,4.67,4.08,4.4
BTOC,2024-10-14,4.5,4.7543,4.3,4.57
BTOC,2024-10-15,4.67,4.67,4.18,4.32
BTOC,2024-10-16,4.205,4.94,4.11,4.58
BTOC,2024-10-17,4.31,5.1,4.31,4.75
BTOC,2024-10-18,4.73,5.09,4.725,4.9005
BTOC,2024-10-21,4.91,5.03,4.8,5.01
BTOC,2024-10-22,5.02,8.15,4.7501,7.4
BTOC,2024-10-23,7.51,8.74,7.0801,7.15
BTOC,2024-10-24,7.13,8.5,5.31,7.89
BTOC,2024-10-25,7.9,8.576,6.62,7.5
BTOC,2024-10-28,7.51,8.06,7.0,7.18
BTOC,2024-10-29,7.18,7.6,5.95,6.07
BTOC,2024-10-30,5.55,6.33,5.36,5.96
BTOC,2024-10-31,5.89,7.6,5.89,6.6
BTOC,2024-11-01,6.9,7.1,6.3,6.4
BTOC,2024-11-04,6.14,6.65,6.07,6.31
BTOC,2024-11-05,6.13,6.41,5.74,5.81
BTOC,2024-11-06,5.86,6.57,5.86,6.48
BTOC,2024-11-07,6.7,7.39,6.26,6.79
BTOC,2024-11-08,6.65,6.85,6.34,6.57
BTOC,2024-11-11,6.42,7.09,6.1501,6.27
BTOC,2024-11-12,6.32,6.79,5.62,5.65
BTOC,2024-11-13,5.93,6.0,5.1,5.22
BTOC,2024-11-14,5.26,5.71,4.68,5.39
BTOC,2024-11-15,5.46,5.85,4.4,5.85
BTOC,2024-11-18,6.0,6.2,5.5401,5.9
BTOC,2024-11-19,5.9,6.6,5.79,6.04
BTOC,2024-11-20,6.04,6.06,5.3201,5.9
BTOC,2024-11-21,5.99,6.28,5.53,5.9
BTOC,2024-11-22,5.98,6.08,5.19,5.94
BTOC,2024-11-25,6.0,6.66,5.44,6.18
BTOC,2024-11-26,6.15,6.49,5.88,6.03
BTOC,2024-11-27,6.0,6.5,5.85,6.08
BTOC,2024-11-29,6.09,6.48,5.6,5.84
BTOC,2024-12-02,5.81,5.94,5.495,5.69
BTOC,2024-12-03,5.72,5.94,5.43,5.76
BTOC,2024-12-04,5.85,6.18,5.69,6.01
BTOC,2024-12-05,6.1,6.1,5.63,5.79
BTOC,2024-12-06,5.75,5.99,5.21,5.49
BTOC,2024-12-09,5.45,5.56,5.1,5.28
BTOC,2025-01-27,3.8,3.99,3.6,3.78
BTOC,2025-01-28,3.77,3.96,3.7,3.89
BTOC,2025-01-29,3.86,3.9,3.62,3.84
BTOC,2025-01-30,3.88,4.25,3.84,4.03
BTOC,2025-01-31,4.04,4.27,3.91,3.99
BTOC,2025-02-03,3.85,3.975,3.65,3.77
BTOC,2025-02-04,3.75,3.9,3.6,3.82
BTOC,2025-02-05,3.83,4.14,3.71,4.02
BTOC,2025-02-06,4.08,4.37,3.93,4.18
BTOC,2025-02-07,4.19,4.46,4.16,4.28
BTOC,2025-02-10,4.27,4.4999,4.09,4.12
BTOC,2025-02-11,4.06,4.35,4.025,4.18
BTOC,2025-02-12,4.13,4.15,3.9,3.91
BTOC,2025-02-13,4.0,4.01,3.67,3.75
BTOC,2025-02-14,3.69,3.775,3.2801,3.4
BTOC,2025-02-18,3.4,3.51,2.88,3.03
BTOC,2025-02-19,3.0,3.0,2.56,2.62
BTOC,2025-02-20,2.57,2.7234,2.34,2.46
BTOC,2025-02-21,2.39,2.7099,2.39,2.66
BTOC,2025-02-24,2.66,2.68,2.39,2.46
BTOC,2025-02-25,2.39,2.4799,2.32,2.32
BTOC,2025-02-26,2.3,2.33,2.3,2.33
BTOC,2025-02-27,2.34,2.4,1.99,1.99
BTOC,2025-02-28,1.94,2.33,1.9,2.29
BTOC,2025-03-03,2.31,2.52,2.05,2.11
BTOC,2025-03-04,2.07,2.07,1.92,2.07
BTOC,2025-03-05,2.07,2.07,1.58,1.7
BTOC,2025-03-06,1.71,1.71,1.59,1.66
BTOC,2025-03-07,1.7,1.77,1.51,1.61
BTOC,2025-03-10,1.56,1.56,1.31,1.44
BTOC,2025-03-11,1.43,1.505,1.43,1.48
BTOC,2025-03-12,1.31,1.31,1.25,1.31
BTOC,2025-03-13,0.9875,0.9875,0.8947,0.9875
BTOC,2025-03-14,1.0,1.14,1.0,1.14
BTOC,2025-03-17,1.13,1.24,1.0,1.1
BTOC,2025-03-18,1.03,1.03,1.01,1.03
BTOC,2025-03-19,1.01,1.065,0.901,0.94
BTOC,2025-03-20,0.93,1.02,0.9,1.02
BTOC,2025-03-21,1.06,1.09,0.97,1.02
BTOC,2025-03-24,1.01,1.0459,0.958,1.01
BTOC,2025-03-25,1.0,1.01,0.95,0.97
BTOC,2025-03-26,0.9627,0.98,0.93,0.93
BTOC,2025-03-27,0.95,1.01,0.908,0.9806
BTOC,2025-03-28,0.9732,1.05,0.94,1.01
BTOC,2025-03-31,0.96,1.06,0.95,0.9787
BTOC,2025-04-01,0.9833,1.0,0.9,0.9378
BTOC,2025-04-02,0.9,0.974,0.9,0.9542
BTOC,2025-04-03,0.963,1.0,0.9,0.91
BTOC,2025-04-04,0.9023,0.9688,0.9023,0.95
BTOC,2025-04-07,0.9041,1.12,0.7986,1.0
BTOC,2025-04-08,1.09,1.09,0.91,1.0
BTOC,2025-04-09,0.9813,1.05,0.9257,1.0302
BTOC,2025-04-10,1.04,1.04,0.99,1.04
BTOC,2025-04-11,1.05,1.05,0.97,1.01
BTOC,2025-04-14,1.02,1.26,1.02,1.25
BTOC,2025-04-15,1.27,1.27,1.12,1.18
BTOC,2025-04-16,1.21,1.21,1.07,1.13
BTOC,2025-04-17,1.12,1.13,1.02,1.04
BTOC,2025-04-21,1.06,1.14,1.0,1.14
BTOC,2025-04-22,1.21,1.22,1.0907,1.18
BTOC,2025-04-23,1.145,1.145,1.12,1.145
BTOC,2025-04-24,1.19,1.24,1.11,1.19
BTOC,2025-04-25,1.2,1.2,1.12,1.18
BTOC,2025-04-28,1.19,1.19,1.12,1.16
BTOC,2025-04-29,1.14,1.15,1.06,1.08
BTOC,2025-04-30,0.9879,1.2199,0.9879,1.2199
BTOC,2025-05-01,1.17,1.2133,1.16,1.18
BTOC,2025-05-02,1.16,1.16,1.16,1.16
BTOC,2025-05-05,1.1868,1.1868,1.14,1.16
BTOC,2025-05-06,1.08,1.16,1.08,1.115
BTOC,2025-05-07,1.1545,1.16,1.13,1.14
BTOC,2025-05-08,1.13,1.2,1.13,1.18
BTOC,2025-05-09,1.145,1.2,1.145,1.18
BTOC,2025-05-12,1.24,1.26,1.24,1.26
BTOC,2025-05-13,1.27,1.8,1.265,1.765
BTOC,2025-05-14,1.74,1.9086,1.68,1.69
BTOC,2025-05-15,1.62,1.855,1.52,1.57
BTOC,2025-05-16,1.58,1.58,1.4201,1.58
BTOC,2025-05-19,1.5,1.655,1.4386,1.55
BTOC,2025-05-20,1.53,1.77,1.48,1.67
BTOC,2025-05-21,1.48,1.48,1.38,1.48
BTOC,2025-05-22,1.44,1.5582,1.43,1.43
BTOC,2025-05-23,1.4,1.61,1.4,1.41
BTOC,2025-05-27,1.38,1.43,1.257,1.32
BTOC,2025-05-28,1.33,1.335,1.16,1.22
BTOC,2025-05-29,1.1985,1.29,1.15,1.19
BTOC,2025-05-30,1.17,1.22,1.09,1.09
BTOC,2025-06-02,1.1,1.2899,1.06,1.17
BTOC,2025-06-03,1.2,1.35,1.11,1.27
BTOC,2025-06-04,1.305,1.4,1.1,1.2812
BTOC,2025-06-05,1.24,1.3847,1.19,1.19
BTOC,2025-06-06,1.21,1.32,1.161,1.29
BTOC,2025-06-09,1.31,1.4,1.26,1.39
BTOC,2025-06-10,1.36,1.62,1.36,1.57
BTOC,2025-06-11,1.75,1.77,1.51,1.52
BTOC,2025-06-12,1.5,1.6282,1.38,1.45
BTOC,2025-06-13,1.38,1.54,1.38,1.47
BTOC,2025-06-16,1.47,1.56,1.4215,1.51
BTOC,2025-06-17,1.53,1.65,1.39,1.51
BTOC,2025-06-18,1.5161,1.7,1.5161,1.66
BTOC,2025-06-20,1.61,1.72,1.61,1.7
BTOC,2025-06-23,1.62,1.62,1.48,1.5
BTOC,2025-06-24,1.44,1.55,1.44,1.48
BTOC,2025-06-25,1.43,1.52,1.3924,1.52
BTOC,2025-06-26,1.48,1.5787,1.4,1.55
BTOC,2025-06-27,1.4713,1.71,1.46,1.63
BTOC,2025-06-30,1.71,1.78,1.52,1.62
BTOC,2025-07-01,1.57,1.75,1.39,1.57
BTOC,2025-07-02,1.5,1.5592,1.45,1.54
BTOC,2025-07-03,1.56,1.56,1.53,1.54
BTOC,2025-07-07,1.49,1.54,1.49,1.52
BTOC,2025-07-08,1.49,1.53,1.4486,1.51
BTOC,2025-07-09,1.45,1.51,1.402,1.48
BTOC,2025-07-10,1.44,1.58,1.42,1.53
BTOC,2025-07-11,1.52,1.6,1.52,1.58
BTOC,2025-07-14,1.65,1.69,1.58,1.58
BTOC,2025-07-15,1.58,1.58,1.49,1.5
BTOC,2025-07-16,1.47,1.6,1.4605,1.52
BTOC,2025-07-17,1.54,1.6,1.4993,1.6
BTOC,2025-07-18,1.55,1.66,1.55,1.64
BTOC,2025-07-21,1.63,1.67,1.63,1.66
BTOC,2025-07-22,1.64,1.68,1.5492,1.67
BTOC,2025-07-23,1.61,1.68,1.61,1.68
BTOC,2025-07-24,1.64,1.68,1.56,1.62
BTOC,2025-07-25,1.59,1.66,1.58,1.62
BTOC,2025-07-28,1.62,1.68,1.49,1.68
BTOC,2025-07-29,1.59,1.78,1.5,1.5
BTOC,2025-07-30,1.5209,1.63,1.5209,1.6241
BTOC,2025-07-31,1.58,1.58,1.58,1.58
BTOC,2025-08-01,1.52,1.64,1.43,1.58
BTOC,2025-08-04,1.64,1.64,1.5,1.58
BTOC,2025-08-05,1.5452,1.63,1.5265,1.58
BTOC,2025-08-06,1.51,1.55,1.51,1.5492
BTOC,2025-08-07,1.52,1.64,1.52,1.59
BTOC,2025-08-08,1.59,1.635,1.5248,1.57
BTOC,2025-08-11,1.53,1.63,1.512,1.55
BTOC,2025-08-12,1.5908,1.64,1.55,1.57
BTOC,2025-08-13,1.5652,1.64,1.39,1.53
BTOC,2025-08-14,1.4735,1.6,1.35,1.5
BTOC,2025-08-15,1.5026,1.6,1.3,1.5
BTOC,2025-08-18,1.49,1.59,1.43,1.49
BTOC,2025-08-19,1.4991,1.55,1.49,1.5
BTOC,2025-08-20,1.45,1.53,1.4014,1.45
BTOC,2025-08-21,1.45,1.5,1.45,1.45
BTOC,2025-08-22,1.47,1.53,1.46,1.53
BTOC,2025-08-25,1.4688,1.57,1.38,1.51
BTOC,2025-08-26,1.55,1.55,1.32,1.4
BTOC,2025-08-27,1.3701,1.47,1.33,1.42
BTOC,2025-08-28,1.38,1.42,1.36,1.41
BTOC,2025-08-29,1.36,1.39,1.33,1.35
BTOC,2025-09-02,1.29,1.36,1.24,1.29
BTOC,2025-09-03,1.31,1.31,1.21,1.25
BTOC,2025-09-04,1.211,1.27,1.19,1.2
BTOC,2025-09-05,1.2498,1.28,1.2,1.255
BTOC,2025-09-08,1.25,1.25,1.13,1.2
BTOC,2025-09-09,1.21,1.21,1.11,1.16
BTOC,2025-09-10,1.18,1.255,1.16,1.21
BTOC,2025-09-11,1.225,1.45,1.18,1.26
BTOC,2025-09-12,1.24,1.32,1.24,1.3
BTOC,2025-09-15,1.28,1.3282,1.14,1.215
BTOC,2025-09-16,1.15,1.28,1.15,1.24
BTOC,2025-09-17,1.2,1.265,1.151,1.22
BTOC,2025-09-18,1.19,1.25,1.177,1.18
BTOC,2025-09-19,1.22,1.35,1.17,1.25
BTOC,2025-09-22,1.27,1.36,1.17,1.2
BTOC,2025-09-23,1.21,1.225,1.16,1.21
BTOC,2025-09-24,1.2215,1.2215,1.11,1.11
BTOC,2025-09-25,1.04,1.22,0.89,1.15
BTOC,2025-09-26,0.97,1.05,0.9113,0.9601
BTOC,2025-09-29,0.89,0.9,0.8084,0.8799
BTOC,2025-09-30,0.84,0.88,0.77,0.77
BTOC,2025-10-01,0.7641,0.8622,0.76,0.85
