ticker,date,open,high,low,close
WYHG,2024-11-26,4.0,4.4,3.55,4.24
WYHG,2024-11-27,3.8617,4.39,3.8617,4.04
WYHG,2024-11-29,3.97,4.0,3.8915,3.93
WYHG,2024-12-02,4.05,4.15,3.925,4.14
WYHG,2024-12-03,4.2,4.59,4.04,4.45
WYHG,2024-12-04,4.6311,5.25,4.52,4.99
WYHG,2024-12-05,5.2,5.345,4.18,4.5
WYHG,2024-12-06,4.4023,4.98,4.4023,4.91
WYHG,2024-12-09,4.98,5.05,4.17,4.22
WYHG,2025-01-27,5.55,5.99,5.55,5.95
WYHG,2025-01-28,5.66,7.4033,5.59,5.69
WYHG,2025-01-29,5.76,7.7,5.7,7.35
WYHG,2025-01-30,7.5,9.1601,7.35,8.14
WYHG,2025-01-31,8.43,9.0213,7.05,7.65
WYHG,2025-02-03,7.11,8.48,6.8682,8.14
WYHG,2025-02-04,8.3,8.58,7.8,8.12
WYHG,2025-02-05,8.11,8.28,7.885,8.06
WYHG,2025-02-06,8.29,8.43,8.01,8.05
WYHG,2025-02-07,8.17,8.5,8.02,8.35
WYHG,2025-02-10,8.425,8.45,7.31,7.7
WYHG,2025-02-11,7.72,8.44,7.352,8.13
WYHG,2025-02-12,8.13,8.13,7.59,7.9
WYHG,2025-02-13,7.9535,7.99,7.61,7.98
WYHG,2025-02-14,7.83,8.9529,7.64,8.6
WYHG,2025-02-18,8.36,9.87,8.36,9.5
WYHG,2025-02-19,9.4,10.6,9.4,10.03
WYHG,2025-02-20,10.04,10.29,9.81,10.24
WYHG,2025-02-21,10.14,10.6,9.9,10.06
WYHG,2025-02-24,9.95,10.1,9.7169,10.1
WYHG,2025-02-25,10.09,10.2,9.8,10.1
WYHG,2025-02-26,10.36,10.36,9.92,10.14
WYHG,2025-02-27,10.08,10.22,9.12,10.21
WYHG,2025-02-28,10.21,10.4799,10.01,10.08
WYHG,2025-03-03,10.2,10.25,9.88,10.21
WYHG,2025-03-04,10.2,10.65,9.8,10.5
WYHG,2025-03-05,10.05,10.99,9.95,10.3
WYHG,2025-03-06,10.05,10.05,9.25,10.05
WYHG,2025-03-07,9.91,10.1,9.7,9.7
WYHG,2025-03-10,9.8713,10.29,8.1156,9.4
WYHG,2025-03-11,9.61,9.61,9.04,9.61
WYHG,2025-03-12,9.42,9.99,9.225,9.71
WYHG,2025-03-13,9.7,10.6,9.7,10.18
WYHG,2025-03-14,10.25,11.0,9.095,9.29
WYHG,2025-03-17,9.92,9.92,9.25,9.25
WYHG,2025-03-18,9.46,9.75,9.17,9.58
WYHG,2025-03-19,8.82,8.82,8.3,8.82
WYHG,2025-03-20,8.85,9.16,8.4221,8.93
WYHG,2025-03-21,8.85,9.3,8.55,9.03
WYHG,2025-03-24,9.19,10.18,9.19,9.76
WYHG,2025-03-25,9.4,9.7,8.85,9.22
WYHG,2025-03-26,9.22,9.91,9.14,9.49
WYHG,2025-03-27,9.6,9.95,9.15,9.15
WYHG,2025-03-28,9.49,9.49,9.13,9.49
WYHG,2025-03-31,9.24,9.78,9.0,9.15
WYHG,2025-04-01,9.6,9.65,8.94,9.01
WYHG,2025-04-02,8.95,9.33,8.95,9.07
WYHG,2025-04-03,9.01,9.25,8.93,9.12
WYHG,2025-04-04,9.02,9.3999,8.95,9.3821
WYHG,2025-04-07,9.21,9.39,7.0,7.6
WYHG,2025-04-08,7.9,8.341,7.68,7.72
WYHG,2025-04-09,8.2,8.25,7.325,7.8
WYHG,2025-04-10,7.85,8.15,7.1,7.479
WYHG,2025-04-11,7.95,7.95,7.1,7.95
WYHG,2025-04-14,7.74,7.74,7.07,7.74
WYHG,2025-04-15,7.7,9.1,7.1501,9.1
WYHG,2025-04-16,9.52,9.63,7.315,8.0
WYHG,2025-04-17,8.2,8.25,7.16,7.6
WYHG,2025-04-21,7.5,8.0,7.2901,7.36
WYHG,2025-04-22,7.48,7.73,7.02,7.08
WYHG,2025-04-23,7.35,7.39,6.875,7.0
WYHG,2025-04-24,7.05,7.67,7.0,7.67
WYHG,2025-04-25,7.17,7.3,7.15,7.15
WYHG,2025-04-28,7.12,7.35,6.89,7.155
WYHG,2025-04-29,7.11,7.45,6.95,7.06
WYHG,2025-04-30,7.4,7.5,7.0,7.01
WYHG,2025-05-01,7.01,7.2,6.77,6.92
WYHG,2025-05-02,7.2,7.2,6.76,7.2
WYHG,2025-05-05,7.04,7.47,7.04,7.47
WYHG,2025-05-06,7.28,7.99,7.05,7.99
WYHG,2025-05-07,7.84,8.41,7.84,8.36
WYHG,2025-05-08,8.475,9.55,8.46,9.55
WYHG,2025-05-09,9.4,9.64,9.21,9.6
WYHG,2025-05-12,9.31,9.495,8.51,9.45
WYHG,2025-05-13,9.36,10.16,8.26,9.75
WYHG,2025-05-14,9.96,12.0,9.3,9.36
WYHG,2025-05-15,8.9,8.9,1.69,1.69
WYHG,2025-05-16,1.65,2.05,1.565,1.62
WYHG,2025-05-19,1.62,1.75,1.46,1.58
WYHG,2025-05-20,1.52,1.57,1.34,1.35
WYHG,2025-05-21,1.27,1.35,1.22,1.28
WYHG,2025-05-22,1.23,1.27,1.1201,1.18
WYHG,2025-05-23,1.18,1.3464,1.1501,1.22
WYHG,2025-05-27,1.24,1.45,1.24,1.3
WYHG,2025-05-28,1.33,1.42,1.29,1.38
WYHG,2025-05-29,1.41,1.61,1.38,1.55
WYHG,2025-05-30,1.59,1.91,1.5,1.73
WYHG,2025-06-02,1.8,1.89,1.58,1.65
WYHG,2025-06-03,1.61,1.76,1.55,1.58
WYHG,2025-06-04,1.57,1.7,1.5533,1.65
WYHG,2025-06-05,1.67,1.67,1.5806,1.62
WYHG,2025-06-06,1.55,1.7,1.55,1.69
WYHG,2025-06-09,1.6837,1.72,1.62,1.72
WYHG,2025-06-10,1.61,1.68,1.56,1.58
WYHG,2025-06-11,1.63,1.63,1.53,1.57
WYHG,2025-06-12,1.56,1.64,1.55,1.58
WYHG,2025-06-13,1.5,1.5342,1.4001,1.42
WYHG,2025-06-16,1.4699,1.57,1.45,1.53
WYHG,2025-06-17,1.5,1.51,1.3801,1.43
WYHG,2025-06-18,1.43,1.43,1.33,1.36
WYHG,2025-06-20,1.34,1.36,1.16,1.25
WYHG,2025-06-23,1.3193,1.3193,1.17,1.18
WYHG,2025-06-24,1.18,1.32,1.17,1.205
WYHG,2025-06-25,1.21,1.21,1.1402,1.18
WYHG,2025-06-26,1.18,1.18,1.1,1.12
WYHG,2025-06-27,1.15,1.22,1.11,1.16
WYHG,2025-06-30,1.26,1.68,1.17,1.46
WYHG,2025-07-01,1.47,1.47,1.29,1.39
WYHG,2025-07-02,1.33,1.45,1.3288,1.38
WYHG,2025-07-03,1.3,1.44,1.3,1.38
WYHG,2025-07-07,1.39,1.4,1.3,1.3
WYHG,2025-07-08,1.3,1.44,1.3,1.36
WYHG,2025-07-09,1.3,1.365,1.3,1.33
WYHG,2025-07-10,1.3,1.305,1.12,1.23
WYHG,2025-07-11,1.2502,1.2723,1.25,1.25
WYHG,2025-07-14,1.2116,1.29,1.2,1.22
WYHG,2025-07-15,1.23,1.275,1.22,1.25
WYHG,2025-07-16,1.25,1.3,1.25,1.274
WYHG,2025-07-17,1.26,1.32,1.26,1.28
WYHG,2025-07-18,1.24,1.2999,1.24,1.29
WYHG,2025-07-21,1.27,1.3,1.21,1.259
WYHG,2025-07-22,1.255,1.27,1.21,1.2313
WYHG,2025-07-23,1.23,1.28,1.2299,1.27
WYHG,2025-07-24,1.26,1.27,1.2101,1.23
WYHG,2025-07-25,1.23,1.24,1.18,1.24
WYHG,2025-07-28,1.27,1.27,1.17,1.2
WYHG,2025-07-29,1.22,1.22,1.1843,1.1843
WYHG,2025-07-30,1.17,1.175,1.15,1.16
WYHG,2025-07-31,1.15,1.1679,1.15,1.16
WYHG,2025-08-01,1.16,1.1799,1.11,1.1316
WYHG,2025-08-04,1.17,1.39,1.17,1.22
WYHG,2025-08-05,1.23,1.23,1.16,1.16
WYHG,2025-08-06,1.16,1.2,1.12,1.17
WYHG,2025-08-07,1.15,1.2027,1.14,1.15
WYHG,2025-08-08,1.1506,1.2765,1.15,1.24
WYHG,2025-08-11,1.18,1.4012,1.15,1.3
WYHG,2025-08-12,1.3,1.4,1.27,1.28
WYHG,2025-08-13,1.28,1.45,1.2201,1.4
WYHG,2025-08-14,1.38,1.536,1.35,1.48
WYHG,2025-08-15,1.4,1.59,1.39,1.5286
WYHG,2025-08-18,1.54,1.66,1.53,1.64
WYHG,2025-08-19,1.68,1.83,1.6,1.6001
WYHG,2025-08-20,1.62,1.65,1.44,1.5
WYHG,2025-08-21,1.55,1.55,1.29,1.47
WYHG,2025-08-22,1.5012,1.57,1.4325,1.57
WYHG,2025-08-25,1.53,1.66,1.53,1.58
WYHG,2025-08-26,1.58,1.67,1.54,1.62
WYHG,2025-08-27,1.59,1.63,1.54,1.575
WYHG,2025-08-28,1.58,1.61,1.4702,1.49
WYHG,2025-08-29,1.419,1.51,1.39,1.44
WYHG,2025-09-02,1.42,1.55,1.42,1.55
WYHG,2025-09-03,1.57,1.63,1.49,1.56
WYHG,2025-09-04,1.6,1.6,1.23,1.3775
WYHG,2025-09-05,1.42,1.42,1.17,1.23
WYHG,2025-09-08,1.2,1.3,1.16,1.22
WYHG,2025-09-09,1.2,1.24,1.14,1.19
WYHG,2025-09-10,1.23,1.29,1.17,1.28
WYHG,2025-09-11,1.19,1.4,1.19,1.39
