ticker,date,open,high,low,close
JCAP,2025-06-26,19.0,19.55,17.0,18.54
JCAP,2025-06-27,18.1,19.5,18.0732,19.13
JCAP,2025-06-30,18.43,19.28,18.342,18.545
JCAP,2025-07-01,18.12,18.25,16.4,17.77
JCAP,2025-07-02,17.5,18.33,16.725,18.005
JCAP,2025-07-03,17.77,18.3,17.77,18.0
JCAP,2025-07-07,17.95,18.34,17.5,17.78
JCAP,2025-07-08,17.69,18.0,17.36,17.48
JCAP,2025-07-09,17.48,17.605,17.15,17.35
JCAP,2025-07-10,17.17,17.4015,16.89,16.95
JCAP,2025-07-11,16.87,16.87,16.6,16.87
JCAP,2025-07-14,16.75,16.87,16.28,16.87
JCAP,2025-07-15,16.8,17.39,16.5,16.75
JCAP,2025-07-16,16.76,17.33,16.5001,17.01
JCAP,2025-07-17,16.88,17.0,16.6,16.85
JCAP,2025-07-18,16.88,16.93,16.4,16.7
JCAP,2025-07-21,17.4,17.4573,16.5,16.64
JCAP,2025-07-22,16.5,16.92,16.35,16.92
JCAP,2025-07-23,16.9,17.05,16.6301,16.94
JCAP,2025-07-24,17.0,17.0,16.5,16.75
JCAP,2025-07-25,16.65,17.03,16.5713,16.98
JCAP,2025-07-28,17.03,17.03,16.79,16.92
JCAP,2025-07-29,16.98,16.98,16.35,16.43
JCAP,2025-07-30,16.31,16.8799,16.18,16.67
JCAP,2025-07-31,16.54,16.92,16.46,16.855
JCAP,2025-08-01,16.53,16.9491,15.98,16.27
JCAP,2025-08-04,16.2,17.8,16.04,17.38
JCAP,2025-08-05,17.38,17.7499,16.81,17.13
JCAP,2025-08-06,17.14,17.27,16.76,17.03
JCAP,2025-08-07,17.19,17.22,16.71,17.11
JCAP,2025-08-08,17.22,17.64,16.85,17.61
JCAP,2025-08-11,17.63,17.7,17.19,17.5
JCAP,2025-08-12,17.33,17.64,17.21,17.58
JCAP,2025-08-13,17.55,18.56,17.248,18.36
JCAP,2025-08-14,18.17,18.9,17.89,18.87
JCAP,2025-08-15,18.89,18.89,17.58,18.63
JCAP,2025-08-18,18.72,19.4655,18.04,18.96
JCAP,2025-08-19,18.87,19.075,18.4,18.58
JCAP,2025-08-20,18.47,18.47,17.61,17.96
JCAP,2025-08-21,17.96,17.995,17.58,17.91
JCAP,2025-08-22,17.93,19.08,17.93,18.85
JCAP,2025-08-25,18.59,19.69,18.46,19.48
JCAP,2025-08-26,19.5,20.296,19.4,19.69
JCAP,2025-08-27,19.7,19.91,19.12,19.37
JCAP,2025-08-28,19.37,20.25,19.27,19.49
JCAP,2025-08-29,19.47,19.87,18.62,18.81
JCAP,2025-09-02,18.72,19.4616,18.3501,18.93
JCAP,2025-09-03,19.18,19.35,18.895,19.19
JCAP,2025-09-04,19.19,19.3451,18.3,18.64
JCAP,2025-09-05,18.67,18.785,18.06,18.58
JCAP,2025-09-08,18.85,19.0125,18.465,18.65
JCAP,2025-09-09,18.8,19.09,18.01,18.08
JCAP,2025-09-10,18.11,18.709,17.7193,18.04
JCAP,2025-09-11,18.08,18.6,17.54,18.47
JCAP,2025-09-12,18.51,18.55,17.97,18.39
JCAP,2025-09-15,18.39,18.485,17.65,17.75
JCAP,2025-09-16,17.75,18.35,17.64,18.16
JCAP,2025-09-17,18.27,18.5499,17.83,17.96
JCAP,2025-09-18,18.16,18.555,17.98,18.44
JCAP,2025-09-19,18.54,18.54,17.88,18.0
JCAP,2025-09-22,17.85,18.11,17.76,17.99
JCAP,2025-09-23,18.0,18.03,17.17,17.27
JCAP,2025-09-24,17.03,17.435,16.888,17.26
JCAP,2025-09-25,17.15,17.2,16.83,17.0
JCAP,2025-09-26,17.05,17.36,17.015,17.15
JCAP,2025-09-29,17.15,17.33,16.91,17.26
JCAP,2025-09-30,17.32,17.32,16.9,17.275
JCAP,2025-10-01,17.2,17.71,17.03,17.61
