ticker,date,open,high,low,close
AACB,2025-04-07,10.1,10.1,9.88,9.88
AACB,2025-04-09,9.9,9.9,9.9,9.9
AACB,2025-04-10,9.89,9.89,9.89,9.89
AACB,2025-04-11,9.88,9.89,9.88,9.885
AACB,2025-04-14,9.89,9.91,9.89,9.9
AACB,2025-04-15,9.94,9.94,9.89,9.93
AACB,2025-04-16,9.91,9.94,9.9,9.94
AACB,2025-04-17,9.91,9.91,9.9,9.9
AACB,2025-04-21,9.9,9.91,9.9,9.91
AACB,2025-04-22,9.9,9.91,9.9,9.91
AACB,2025-04-23,9.92,9.92,9.92,9.92
AACB,2025-04-24,9.92,9.93,9.92,9.93
AACB,2025-04-25,9.92,9.9276,9.92,9.92
AACB,2025-04-28,9.93,9.96,9.93,9.95
AACB,2025-04-29,9.95,9.965,9.95,9.965
AACB,2025-04-30,9.97,9.975,9.97,9.97
AACB,2025-05-01,9.98,9.98,9.98,9.98
AACB,2025-05-02,9.99,9.99,9.9625,9.9625
AACB,2025-05-05,9.98,9.99,9.96,9.99
AACB,2025-05-06,9.99,9.99,9.98,9.99
AACB,2025-05-07,9.99,9.99,9.99,9.99
AACB,2025-05-08,9.98,9.99,9.98,9.98
AACB,2025-05-09,9.98,9.98,9.975,9.98
AACB,2025-05-12,9.98,9.99,9.97,9.97
AACB,2025-05-13,9.95,10.01,9.95,9.98
AACB,2025-05-14,10.01,10.03,9.97,9.97
AACB,2025-05-15,10.01,10.01,10.01,10.01
AACB,2025-05-16,10.01,10.03,10.01,10.03
AACB,2025-05-19,10.03,10.03,10.01,10.01
AACB,2025-05-20,10.02,10.03,10.01,10.03
AACB,2025-05-21,10.03,10.03,10.03,10.03
AACB,2025-05-22,10.035,10.04,10.035,10.04
AACB,2025-05-23,10.04,10.06,10.04,10.04
AACB,2025-05-27,10.045,10.05,10.045,10.05
AACB,2025-05-28,10.05,10.05,10.05,10.05
AACB,2025-05-30,10.055,10.08,10.0504,10.075
AACB,2025-06-02,10.09,10.09,10.09,10.09
AACB,2025-06-03,10.09,10.09,10.09,10.09
AACB,2025-06-04,10.09,10.11,10.09,10.1
AACB,2025-06-05,10.11,10.12,10.11,10.11
AACB,2025-06-06,10.1,10.11,10.1,10.11
AACB,2025-06-09,10.11,10.12,10.105,10.11
AACB,2025-06-11,10.11,10.11,10.11,10.11
AACB,2025-06-12,10.12,10.13,10.12,10.13
AACB,2025-06-13,10.13,10.13,10.13,10.13
AACB,2025-06-16,10.13,10.14,10.11,10.14
AACB,2025-06-17,10.12,10.14,10.12,10.14
AACB,2025-06-20,10.0984,10.15,10.0984,10.15
AACB,2025-06-23,10.18,10.18,10.18,10.18
AACB,2025-06-25,10.12,10.12,10.09,10.09
AACB,2025-06-27,10.1,10.1,10.1,10.1
AACB,2025-06-30,10.12,10.12,10.12,10.12
AACB,2025-07-02,10.13,10.13,10.1,10.1
AACB,2025-07-03,10.1,10.1,10.1,10.1
AACB,2025-07-07,10.1,10.105,10.1,10.105
AACB,2025-07-08,10.11,10.11,10.1,10.11
AACB,2025-07-09,10.12,10.12,10.12,10.12
AACB,2025-07-11,10.12,10.12,10.12,10.12
AACB,2025-07-15,10.105,10.105,10.105,10.105
AACB,2025-07-17,10.11,10.11,10.11,10.11
AACB,2025-07-21,10.13,10.13,10.13,10.13
AACB,2025-07-23,10.13,10.14,10.13,10.14
AACB,2025-07-24,10.14,10.14,10.14,10.14
AACB,2025-07-29,10.14,10.14,10.14,10.14
AACB,2025-07-30,10.14,10.14,10.14,10.14
AACB,2025-08-05,10.12,10.12,10.12,10.12
AACB,2025-08-06,10.14,10.15,10.11,10.15
AACB,2025-08-07,10.12,10.15,10.12,10.15
AACB,2025-08-08,10.15,10.15,10.11,10.11
AACB,2025-08-11,10.13,10.13,10.13,10.13
AACB,2025-08-12,10.13,10.15,10.13,10.14
AACB,2025-08-13,10.135,10.135,10.13,10.13
AACB,2025-08-14,10.13,10.14,10.13,10.13
AACB,2025-08-15,10.13,10.13,10.12,10.125
AACB,2025-08-18,10.13,10.13,10.13,10.13
AACB,2025-08-20,10.14,10.14,10.14,10.14
AACB,2025-08-21,10.12,10.12,10.12,10.12
AACB,2025-08-26,10.14,10.14,10.14,10.14
AACB,2025-08-28,10.13,10.13,10.13,10.13
AACB,2025-09-02,10.13,10.13,10.13,10.13
AACB,2025-09-04,10.13,10.13,10.13,10.13
AACB,2025-09-05,10.13,10.13,10.13,10.13
AACB,2025-09-08,10.13,10.1459,10.13,10.1459
AACB,2025-09-10,10.13,10.13,10.13,10.13
AACB,2025-09-15,10.13,10.13,10.13,10.13
AACB,2025-09-18,10.13,10.13,10.13,10.13
AACB,2025-09-19,10.14,10.15,10.14,10.15
AACB,2025-09-22,10.15,10.15,10.15,10.15
AACB,2025-09-26,10.18,10.18,10.18,10.18
