ticker,date,open,high,low,close
META,2012-05-18,42.05,45.0,38.0,38.23
META,2012-05-21,36.53,36.66,33.0,34.03
META,2012-05-22,32.61,33.59,30.94,31.0
META,2012-05-23,31.37,32.5,31.36,32.0
META,2012-05-24,32.95,33.21,31.77,33.03
META,2012-05-25,32.9,32.95,31.11,31.91
META,2012-05-29,31.48,31.69,28.65,28.84
META,2012-05-30,28.69,29.55,27.86,28.19
META,2012-05-31,28.55,29.67,26.83,29.6
META,2012-06-01,28.89,29.15,27.39,27.72
META,2012-06-04,27.2,27.65,26.44,26.9
META,2012-06-05,26.7,27.76,25.75,25.87
META,2012-06-06,26.07,27.17,25.52,26.81
META,2012-06-07,27.0,27.35,26.15,26.31
META,2012-06-08,26.55,27.76,26.44,27.1
META,2012-06-11,27.18,28.07,26.83,27.0
META,2012-06-12,27.48,27.77,26.96,27.4
META,2012-06-13,27.66,28.1,27.1,27.27
META,2012-06-14,27.65,28.32,27.38,28.29
META,2012-06-15,28.5,30.1,28.35,30.01
META,2012-06-18,29.95,32.08,29.41,31.41
META,2012-06-19,31.53,32.18,30.7,31.91
META,2012-06-20,31.92,31.93,31.15,31.6
META,2012-06-21,31.67,32.5,31.51,31.84
META,2012-06-22,32.41,33.45,32.06,33.05
META,2012-06-25,32.86,33.02,31.55,32.06
META,2012-06-26,32.69,33.44,32.5,33.1
META,2012-06-27,32.46,32.9,31.9,32.23
META,2012-06-28,31.96,32.19,30.9,31.36
META,2012-06-29,31.92,31.99,30.76,31.09
META,2012-07-02,31.25,31.73,30.55,30.77
META,2012-07-03,30.91,31.44,30.8,31.2
META,2012-07-05,31.28,31.63,31.02,31.47
META,2012-07-06,31.44,31.9,31.26,31.73
META,2012-07-09,32.1,32.88,31.99,32.17
META,2012-07-10,32.43,32.48,31.16,31.47
META,2012-07-11,31.48,31.56,30.55,30.97
META,2012-07-12,30.7,31.4,30.6,30.81
META,2012-07-13,31.04,31.07,30.56,30.72
META,2012-07-16,30.5,30.5,28.21,28.25
META,2012-07-17,28.48,28.59,27.15,28.09
META,2012-07-18,28.31,29.29,28.15,29.11
META,2012-07-19,29.41,29.5,28.63,29.0
META,2012-07-20,29.0,29.47,28.72,28.76
META,2012-07-23,28.12,29.0,28.01,28.75
META,2012-07-24,28.82,29.45,28.1,28.45
META,2012-07-25,28.39,29.49,28.08,29.34
META,2012-07-26,27.75,28.23,26.73,26.84
META,2012-07-27,23.19,24.54,22.28,23.7
META,2012-07-30,24.0,24.04,23.03,23.15
META,2012-07-31,23.37,23.37,21.61,21.71
META,2012-08-01,21.5,21.58,20.84,20.88
META,2012-08-02,20.77,20.84,19.82,20.04
META,2012-08-03,20.36,22.16,19.9,21.09
META,2012-08-06,21.39,22.15,21.3,21.92
META,2012-08-07,22.2,22.45,20.5,20.72
META,2012-08-08,20.71,21.15,20.22,20.72
META,2012-08-09,20.75,21.17,20.61,21.01
META,2012-08-10,21.41,21.82,21.13,21.81
META,2012-08-13,22.15,22.45,21.4,21.6
META,2012-08-14,21.41,21.6,20.25,20.38
META,2012-08-15,20.64,21.41,20.4,21.2
META,2012-08-16,20.44,20.48,19.69,19.87
META,2012-08-17,20.0,20.08,19.0,19.05
META,2012-08-20,19.05,20.13,18.75,20.01
META,2012-08-21,19.58,19.98,19.09,19.16
META,2012-08-22,19.36,19.53,18.96,19.44
META,2012-08-23,19.5,19.73,19.36,19.44
META,2012-08-24,19.52,19.68,19.25,19.41
META,2012-08-27,19.49,19.53,19.1,19.15
META,2012-08-28,19.1,19.38,18.95,19.34
META,2012-08-29,19.32,19.38,19.07,19.1
META,2012-08-30,19.27,19.45,19.06,19.09
META,2012-08-31,18.68,18.7,18.03,18.06
META,2012-09-04,18.08,18.27,17.55,17.73
META,2012-09-05,18.27,18.75,18.18,18.58
META,2012-09-06,18.74,19.26,18.72,18.96
META,2012-09-07,19.1,19.42,18.78,18.98
META,2012-09-10,19.06,19.2,18.55,18.81
META,2012-09-11,18.92,19.58,18.85,19.43
META,2012-09-12,20.76,21.16,20.28,20.93
META,2012-09-13,20.95,21.48,20.61,20.71
META,2012-09-14,21.13,22.08,20.9,22.0
META,2012-09-17,22.67,22.75,21.5,21.52
META,2012-09-18,21.6,21.98,21.37,21.87
META,2012-09-19,21.99,23.37,21.77,23.29
META,2012-09-20,23.02,23.24,22.54,22.59
META,2012-09-21,22.97,23.24,22.6,22.86
META,2012-09-24,21.78,21.98,20.36,20.79
META,2012-09-25,21.2,21.21,20.22,20.28
META,2012-09-26,20.15,20.78,19.8,20.62
META,2012-09-27,20.99,21.0,20.16,20.32
META,2012-09-28,20.57,21.95,20.5,21.66
META,2012-10-01,22.08,22.59,21.73,21.99
META,2012-10-02,22.08,22.49,21.82,22.27
META,2012-10-03,22.3,22.49,21.8,21.83
META,2012-10-04,22.32,22.4,21.41,21.95
META,2012-10-05,21.49,21.63,20.88,20.91
META,2012-10-08,20.4,20.75,20.16,20.4
META,2012-10-09,20.39,20.55,19.97,20.23
META,2012-10-10,19.93,19.94,19.45,19.64
META,2012-10-11,19.88,19.96,19.61,19.75
META,2012-10-12,19.75,19.8,19.48,19.52
META,2012-10-15,19.68,19.88,19.49,19.52
META,2012-10-16,19.68,19.69,19.3,19.48
META,2012-10-17,19.5,20.48,19.37,19.88
META,2012-10-18,19.7,19.79,18.89,18.98
META,2012-10-19,19.0,19.06,18.8,19.0
META,2012-10-22,19.2,19.43,19.05,19.32
META,2012-10-23,19.25,19.8,19.1,19.5
META,2012-10-24,24.13,24.25,22.85,23.23
META,2012-10-25,23.29,23.31,22.47,22.56
META,2012-10-26,22.4,22.88,21.88,21.94
META,2012-10-31,20.82,21.5,20.73,21.11
META,2012-11-01,21.08,21.44,21.01,21.21
META,2012-11-02,21.26,21.69,21.07,21.18
META,2012-11-05,21.1,21.48,20.92,21.25
META,2012-11-06,21.24,21.37,20.99,21.17
META,2012-11-07,20.85,20.95,20.37,20.47
META,2012-11-08,20.52,20.73,19.98,19.99
META,2012-11-09,19.95,20.0,19.13,19.21
META,2012-11-12,19.15,20.17,18.87,20.07
META,2012-11-13,19.6,20.11,19.56,19.86
META,2012-11-14,20.1,22.5,19.93,22.36
META,2012-11-15,22.34,22.5,21.65,22.17
META,2012-11-16,22.25,23.93,22.18,23.56
META,2012-11-19,23.95,24.12,22.82,22.92
META,2012-11-20,22.73,23.9,22.7,23.1
META,2012-11-21,23.22,24.53,23.05,24.32
META,2012-11-23,24.58,24.68,23.88,24.0
META,2012-11-26,24.93,26.09,24.81,25.94
META,2012-11-27,26.04,26.5,25.46,26.15
META,2012-11-28,25.94,26.49,25.75,26.36
META,2012-11-29,26.5,27.52,26.16,27.32
META,2012-11-30,27.26,28.0,26.76,28.0
META,2012-12-03,28.0,28.88,26.98,27.04
META,2012-12-04,27.05,27.76,26.68,27.46
META,2012-12-05,27.75,27.9,27.26,27.71
META,2012-12-06,27.68,27.75,26.82,26.97
META,2012-12-07,27.07,27.78,26.84,27.49
META,2012-12-10,27.17,28.17,27.1,27.84
META,2012-12-11,28.07,28.24,27.66,27.98
META,2012-12-12,28.0,28.14,27.37,27.58
META,2012-12-13,27.59,28.75,27.43,28.24
META,2012-12-14,28.18,28.33,26.76,26.81
META,2012-12-17,26.77,27.0,26.32,26.75
META,2012-12-18,26.96,27.91,26.9,27.71
META,2012-12-19,27.83,28.22,26.95,27.41
META,2012-12-20,27.49,27.6,27.13,27.36
