ticker,date,open,high,low,close
DASH,2020-12-09,182.0,195.5,163.8,189.51
DASH,2020-12-10,179.71,187.695,172.636,186.0
DASH,2020-12-11,176.52,182.0,168.25,175.0
DASH,2020-12-14,169.1,170.0,151.2,160.0
DASH,2020-12-15,157.1,161.42,153.76,158.89
DASH,2020-12-16,161.18,167.47,157.2,158.05
DASH,2020-12-17,159.1,161.66,149.95,154.21
DASH,2020-12-18,154.21,169.95,147.32,166.35
DASH,2020-12-21,169.07,173.46,155.0,160.23
DASH,2020-12-22,161.05,163.21,153.421,156.79
DASH,2020-12-23,155.0,161.56,150.25,158.22
DASH,2020-12-24,157.38,158.6,153.07,158.46
DASH,2020-12-28,158.25,158.45,141.505,147.89
DASH,2020-12-29,146.12,147.4,139.64,141.27
DASH,2020-12-30,144.4,147.98,139.8,140.2
DASH,2020-12-31,140.2,146.5,135.38,142.75
DASH,2021-01-04,142.5,143.62,137.17,139.19
DASH,2021-01-05,138.0,146.12,137.835,144.43
DASH,2021-01-06,141.27,142.0,138.21,140.01
DASH,2021-01-07,140.0,154.64,139.435,152.77
DASH,2021-01-08,152.0,158.31,147.3,156.09
DASH,2021-01-11,153.19,169.0,153.19,167.0
DASH,2021-01-12,165.5,201.93,162.615,191.99
DASH,2021-01-13,192.41,215.5,188.07,198.0
DASH,2021-01-14,196.62,221.4,195.33,207.24
DASH,2021-01-15,207.0,212.09,186.95,187.15
DASH,2021-01-19,191.19,202.3,185.54,198.75
DASH,2021-01-20,200.0,203.82,189.04,189.46
DASH,2021-01-21,191.61,195.474,183.193,190.89
DASH,2021-01-22,190.2,197.07,187.11,192.0
DASH,2021-01-25,194.33,215.39,191.31,191.81
DASH,2021-01-26,198.0,204.38,196.41,198.22
DASH,2021-01-27,200.0,256.09,190.4,193.07
DASH,2021-01-28,198.99,201.5,183.48,183.8
DASH,2021-01-29,189.4,194.99,183.48,193.27
DASH,2021-02-01,194.59,203.67,187.563,191.17
DASH,2021-02-02,191.95,197.6,181.63,182.53
DASH,2021-02-03,184.66,186.66,178.326,180.58
DASH,2021-02-04,181.38,191.876,180.65,189.33
DASH,2021-02-05,189.57,190.916,180.245,181.23
DASH,2021-02-08,183.45,185.49,174.21,177.43
DASH,2021-02-09,177.71,192.28,177.6,187.75
DASH,2021-02-10,190.66,215.68,190.0,215.16
DASH,2021-02-11,208.5,222.0,208.5,213.26
DASH,2021-02-12,213.03,213.54,202.51,202.97
DASH,2021-02-16,205.6,226.47,205.0,212.17
DASH,2021-02-17,213.82,213.82,194.09,197.87
DASH,2021-02-18,194.3,201.41,188.91,200.06
DASH,2021-02-19,200.07,209.16,199.23,205.97
DASH,2021-02-22,198.0,201.99,176.36,178.07
DASH,2021-02-23,175.96,185.46,165.55,173.5
DASH,2021-02-24,174.36,180.55,173.52,176.32
DASH,2021-02-25,174.41,182.555,163.73,166.87
DASH,2021-02-26,155.5,172.97,155.02,169.49
DASH,2021-03-01,171.44,173.79,164.2,168.89
DASH,2021-03-02,168.0,170.8,155.22,160.59
DASH,2021-03-03,156.69,161.34,144.56,148.25
DASH,2021-03-04,147.32,152.47,138.82,150.0
DASH,2021-03-05,150.5,160.0,138.45,151.48
DASH,2021-03-08,146.41,150.4,130.03,133.41
DASH,2021-03-09,132.91,147.213,130.0,141.48
DASH,2021-03-10,143.14,147.735,134.04,135.77
DASH,2021-03-11,140.0,147.73,139.56,144.97
DASH,2021-03-12,139.48,145.46,136.55,142.03
DASH,2021-03-15,143.78,144.04,138.03,140.69
DASH,2021-03-16,140.79,141.99,133.09,133.66
DASH,2021-03-17,133.0,136.245,127.7,133.8
DASH,2021-03-18,131.456,134.67,129.314,130.62
DASH,2021-03-19,132.08,136.62,127.13,135.03
DASH,2021-03-22,136.0,139.48,133.44,135.91
DASH,2021-03-23,136.2,139.9,131.35,131.76
DASH,2021-03-24,131.77,132.54,124.9,125.53
DASH,2021-03-25,124.88,132.77,121.0,131.75
DASH,2021-03-26,131.63,136.99,129.57,134.01
DASH,2021-03-29,133.53,138.52,129.66,129.98
DASH,2021-03-30,128.21,132.0,126.16,130.6
DASH,2021-03-31,130.96,132.83,127.64,131.13
DASH,2021-04-01,136.88,140.9,130.94,133.14
DASH,2021-04-05,133.89,134.73,130.54,133.55
DASH,2021-04-06,131.75,135.5,130.51,131.09
DASH,2021-04-07,131.19,134.71,127.25,127.5
DASH,2021-04-08,129.02,130.45,126.14,128.14
DASH,2021-04-09,126.3,141.0,122.06,140.5
DASH,2021-04-12,138.0,149.01,136.28,147.83
DASH,2021-04-13,146.84,150.36,143.55,149.46
DASH,2021-04-14,150.01,153.275,143.11,143.65
DASH,2021-04-15,145.0,154.88,144.87,151.5
DASH,2021-04-16,151.29,151.29,148.25,149.49
DASH,2021-04-19,142.46,150.34,142.31,146.67
DASH,2021-04-20,146.72,148.81,142.25,144.35
DASH,2021-04-21,143.74,143.74,139.06,143.32
DASH,2021-04-22,144.9,149.5,142.21,143.96
DASH,2021-04-23,145.06,153.17,144.01,152.75
DASH,2021-04-26,153.2,157.34,150.44,153.8
DASH,2021-04-27,156.55,164.665,154.9,162.13
DASH,2021-04-28,160.01,167.23,158.397,162.45
DASH,2021-04-29,164.04,164.04,144.13,150.11
DASH,2021-04-30,148.31,150.63,142.13,143.17
DASH,2021-05-03,142.85,146.43,139.53,140.47
DASH,2021-05-04,137.31,138.03,129.59,135.22
DASH,2021-05-05,134.0,134.0,124.93,128.39
DASH,2021-05-06,127.88,131.11,120.05,122.77
DASH,2021-05-07,126.49,129.49,122.55,124.89
DASH,2021-05-10,124.9,125.09,118.56,120.45
DASH,2021-05-11,115.46,125.5,114.69,124.54
DASH,2021-05-12,119.52,120.17,112.05,112.99
DASH,2021-05-13,114.05,118.72,110.13,115.49
DASH,2021-05-14,125.0,146.63,123.57,141.07
DASH,2021-05-17,138.91,140.69,130.71,133.79
