ticker,date,open,high,low,close
EDHL,2025-04-17,4.6,4.99,4.2,4.2
EDHL,2025-04-21,4.0,4.3644,3.77,4.02
EDHL,2025-04-22,3.87,4.1621,3.543,3.93
EDHL,2025-04-23,3.82,4.01,3.8,3.9
EDHL,2025-04-24,3.8,3.905,3.8,3.82
EDHL,2025-04-25,3.8,3.9648,3.54,3.59
EDHL,2025-04-28,3.63,4.25,3.59,4.24
EDHL,2025-04-29,4.01,4.032,3.84,3.84
EDHL,2025-04-30,3.833,3.93,3.7011,3.93
EDHL,2025-05-01,3.8417,3.94,3.75,3.865
EDHL,2025-05-02,3.8,3.9704,3.78,3.94
EDHL,2025-05-05,3.93,3.93,3.82,3.85
EDHL,2025-05-06,3.86,3.98,3.8,3.9
EDHL,2025-05-07,3.95,4.06,3.91,3.945
EDHL,2025-05-08,3.9839,4.09,3.9839,4.03
EDHL,2025-05-09,3.98,4.125,3.95,4.07
EDHL,2025-05-12,4.02,4.17,3.97,3.98
EDHL,2025-05-13,4.0,4.0,3.7856,3.92
EDHL,2025-05-14,3.95,3.9992,3.9,3.91
EDHL,2025-05-15,3.92,4.29,3.92,4.18
EDHL,2025-05-16,4.035,4.21,4.0,4.08
EDHL,2025-05-19,4.04,4.15,3.84,4.08
EDHL,2025-05-20,3.98,4.2536,3.96,4.19
EDHL,2025-05-21,4.2788,4.2788,3.99,4.1
EDHL,2025-05-22,4.07,4.09,4.07,4.09
EDHL,2025-05-23,3.85,4.25,3.85,4.19
EDHL,2025-05-27,4.1,4.1,4.06,4.08
EDHL,2025-05-28,4.1,4.27,4.0871,4.24
EDHL,2025-05-29,4.2,4.5,4.2,4.4
EDHL,2025-05-30,4.465,4.465,4.39,4.39
EDHL,2025-06-02,4.33,4.85,4.23,4.73
EDHL,2025-06-03,4.66,4.8,4.4,4.8
EDHL,2025-06-04,4.8,5.0,4.31,4.54
EDHL,2025-06-05,4.54,4.6,4.3038,4.53
EDHL,2025-06-06,4.34,4.66,4.32,4.45
EDHL,2025-06-09,4.1665,4.55,4.1665,4.33
EDHL,2025-06-10,4.25,4.92,4.16,4.82
EDHL,2025-06-11,4.8,5.3,4.34,5.1
EDHL,2025-06-12,5.1,5.1,4.8702,5.0
EDHL,2025-06-13,4.98,5.19,4.8601,5.16
EDHL,2025-06-16,5.13,5.2,5.02,5.03
EDHL,2025-06-17,4.9,5.2495,4.7,5.18
EDHL,2025-06-18,5.18,6.06,5.1002,5.91
EDHL,2025-06-20,5.91,6.25,5.75,6.145
EDHL,2025-06-23,6.07,6.35,5.84,5.88
EDHL,2025-06-24,5.93,6.08,5.7,6.04
EDHL,2025-06-25,6.07,6.07,4.75,5.79
EDHL,2025-06-26,5.82,5.93,5.21,5.86
EDHL,2025-06-27,6.2799,6.64,6.0,6.03
EDHL,2025-06-30,5.9,6.66,5.818,6.02
EDHL,2025-07-01,5.96,6.539,5.83,6.27
EDHL,2025-07-02,6.22,6.31,5.81,6.03
EDHL,2025-07-03,6.22,6.34,5.85,6.14
EDHL,2025-07-07,6.15,6.88,5.96,6.08
EDHL,2025-07-08,6.11,6.78,6.1,6.27
EDHL,2025-07-09,6.18,6.26,6.06,6.12
EDHL,2025-07-10,6.05,6.39,5.66,5.72
EDHL,2025-07-11,5.56,6.29,4.08,4.3
EDHL,2025-07-14,1.05,1.05,0.67,0.9129
EDHL,2025-07-15,0.86985,0.8699,0.7028,0.728
EDHL,2025-07-16,0.72,0.7259,0.5999,0.6473
EDHL,2025-07-17,0.6041,0.6845,0.602,0.675
EDHL,2025-07-18,0.6501,0.79,0.65,0.745
EDHL,2025-07-21,0.745,0.799,0.735,0.7501
EDHL,2025-07-22,0.748,0.75,0.72,0.7305
EDHL,2025-07-23,0.73,0.769,0.72,0.72
EDHL,2025-07-24,0.74,0.79,0.7306,0.7888
EDHL,2025-07-25,0.797,0.797,0.75,0.7504
EDHL,2025-07-28,0.7536,0.78,0.7439,0.78
EDHL,2025-07-29,0.7889,0.7889,0.6709,0.7286
EDHL,2025-07-30,0.78,0.78,0.6613,0.6712
EDHL,2025-07-31,0.63,0.664199,0.6101,0.63
EDHL,2025-08-01,0.6,0.635,0.6,0.6169
EDHL,2025-08-04,0.649,0.649,0.5718,0.6
EDHL,2025-08-05,0.586,0.6314,0.5503,0.6314
EDHL,2025-08-06,0.5414,0.5912,0.5414,0.59
EDHL,2025-08-07,0.5723,0.6073,0.5651,0.6
EDHL,2025-08-08,0.52,0.583,0.52,0.5798
EDHL,2025-08-11,0.5624,0.5624,0.52,0.5499
EDHL,2025-08-12,0.5489,0.5489,0.4703,0.496
EDHL,2025-08-13,0.497,0.535,0.497,0.529
EDHL,2025-08-14,0.5,0.529,0.4915,0.5135
EDHL,2025-08-15,0.5048,0.513,0.48,0.499
EDHL,2025-08-18,0.4903,0.499,0.476,0.4853
EDHL,2025-08-19,0.4703,0.4811,0.445,0.454
EDHL,2025-08-20,0.4401,0.4577,0.4016,0.434
EDHL,2025-08-21,0.421,0.4269,0.4021,0.4268
EDHL,2025-08-22,0.414,0.455,0.414,0.453
EDHL,2025-08-25,0.4452,0.5175,0.4149,0.47
EDHL,2025-08-26,0.455,0.5798,0.383,0.4495
EDHL,2025-08-27,0.42,0.47,0.41,0.4355
EDHL,2025-08-28,0.4197,0.4694,0.4197,0.46
EDHL,2025-08-29,0.45,0.459045,0.414,0.4476
EDHL,2025-09-02,0.4342,0.4342,0.4055,0.4195
EDHL,2025-09-03,0.403,0.4127,0.3903,0.3934
EDHL,2025-09-04,0.3934,0.3951,0.3681,0.3721
EDHL,2025-09-05,0.36,0.43999,0.36,0.3999
EDHL,2025-09-08,0.4,0.4091,0.38,0.3995
EDHL,2025-09-09,0.39,0.4602,0.39,0.4321
EDHL,2025-09-10,0.6759,1.5999,0.56731,0.8206
EDHL,2025-09-11,0.77,1.15,0.72,0.9749
EDHL,2025-09-12,0.96,1.05,0.87,0.91
EDHL,2025-09-15,0.92,1.02,0.89,0.9658
EDHL,2025-09-16,0.937,0.9658,0.8113,0.9074
EDHL,2025-09-17,0.875,0.9,0.8201,0.89
EDHL,2025-09-18,0.87,0.98,0.733,0.9403
EDHL,2025-09-19,0.9388,0.96,0.869999,0.869999
EDHL,2025-09-22,0.8683,0.8683,0.7815,0.8184
EDHL,2025-09-23,0.81,0.849899,0.7,0.7148
EDHL,2025-09-24,0.71,0.7546,0.7,0.7347
EDHL,2025-09-25,0.71,0.7276,0.6777,0.7099
EDHL,2025-09-26,0.691,0.74,0.691,0.73
EDHL,2025-09-29,0.6808,0.73,0.56,0.69
EDHL,2025-09-30,0.736,0.736,0.5823,0.6706
EDHL,2025-10-01,0.6324,0.665,0.6241,0.6433
