ticker,date,open,high,low,close
HMR,2025-02-20,8.75,10.04,4.32,5.95
HMR,2025-02-21,5.85,5.99,4.22,4.33
HMR,2025-02-24,3.06,3.06,3.02,3.06
HMR,2025-02-25,2.62,3.8,2.2,3.03
HMR,2025-02-26,2.97,3.31,2.9,3.0
HMR,2025-02-27,2.86,2.8851,2.535,2.56
HMR,2025-02-28,2.37,2.41,2.23,2.2698
HMR,2025-03-03,2.45,2.4896,1.86,1.87
HMR,2025-03-04,1.77,1.7855,1.58,1.7
HMR,2025-03-05,1.77,1.93,1.665,1.68
HMR,2025-03-06,1.64,1.7,1.53,1.58
HMR,2025-03-07,1.61,1.61,1.45,1.51
HMR,2025-03-10,1.73,3.25,1.61,2.5599
HMR,2025-03-11,2.18,2.36,1.9601,2.1101
HMR,2025-03-12,2.155,2.94,1.95,2.55
HMR,2025-03-13,2.8511,4.79,2.6,4.08
HMR,2025-03-14,3.6999,3.88,3.09,3.43
HMR,2025-03-17,3.24,3.25,2.56,2.7
HMR,2025-03-18,2.82,4.04,2.82,3.46
HMR,2025-03-19,3.44,3.6,3.04,3.27
HMR,2025-03-20,3.2,3.5193,3.0,3.23
HMR,2025-03-21,3.28,3.28,3.05,3.195
HMR,2025-03-24,3.245,3.3899,2.88,3.07
HMR,2025-03-25,3.0,3.67,2.94,3.42
HMR,2025-03-26,3.375,3.47,3.06,3.16
HMR,2025-03-27,3.41,3.7798,3.255,3.54
HMR,2025-03-28,3.52,3.5499,3.15,3.17
HMR,2025-03-31,3.1,3.2,2.91,3.095
HMR,2025-04-01,3.05,3.15,2.89,2.89
HMR,2025-04-02,2.91,3.0902,2.83,3.02
HMR,2025-04-03,2.87,2.9374,2.7309,2.83
HMR,2025-04-04,2.76,2.815,2.6,2.73
HMR,2025-04-07,2.61,2.77,2.54,2.67
HMR,2025-04-08,2.76,2.76,2.4239,2.48
HMR,2025-04-09,2.48,2.74,2.3836,2.66
HMR,2025-04-10,2.68,2.68,2.49,2.51
HMR,2025-04-11,2.52,2.77,2.4475,2.75
HMR,2025-04-14,2.8,2.84,2.6622,2.79
HMR,2025-04-15,2.8,3.4,2.8,2.97
HMR,2025-04-16,2.91,3.1184,2.88,2.98
HMR,2025-04-17,3.1,3.1,2.96,3.0
HMR,2025-04-21,2.97,2.9824,2.7001,2.82
HMR,2025-04-22,2.821,2.94,2.785,2.94
HMR,2025-04-23,2.99,3.04,2.9023,3.0
HMR,2025-04-24,2.95,3.025,2.85,2.87
HMR,2025-04-25,2.87,2.87,2.75,2.77
HMR,2025-04-28,2.7638,2.82,2.67,2.68
HMR,2025-04-29,2.7313,2.7313,2.65,2.71
HMR,2025-04-30,2.62,2.7175,2.56,2.67
HMR,2025-05-01,2.65,2.755,2.59,2.66
HMR,2025-05-02,2.62,2.68,2.53,2.68
HMR,2025-05-05,2.615,2.64,2.5,2.5
HMR,2025-05-06,2.47,2.5137,2.3903,2.44
