ticker,date,open,high,low,close
VMAR,2020-11-24,11.03,17.2,10.7,14.44
VMAR,2020-11-25,14.49,15.9,12.9,14.21
VMAR,2020-11-27,14.28,15.2385,13.5,14.12
VMAR,2020-11-30,14.12,14.575,13.0,13.15
VMAR,2020-12-01,13.22,13.5,11.18,12.79
VMAR,2020-12-02,12.2,12.33,11.41,11.52
VMAR,2020-12-03,11.91,13.41,11.71,13.09
VMAR,2020-12-04,13.18,15.1,12.42,14.91
VMAR,2020-12-07,14.6,15.17,13.3,13.42
VMAR,2020-12-08,13.67,13.99,12.41,12.9
VMAR,2020-12-09,13.1,14.64,12.51,13.25
VMAR,2020-12-10,12.83,13.42,12.7,13.28
VMAR,2020-12-11,13.0,13.5,12.5,12.51
VMAR,2020-12-14,12.95,12.9502,11.65,12.01
VMAR,2020-12-15,12.05,12.29,11.2,11.89
VMAR,2020-12-16,11.71,12.15,11.5363,11.91
VMAR,2020-12-17,12.2,15.2,12.0771,12.93
VMAR,2020-12-18,13.11,13.8297,12.7,13.02
VMAR,2020-12-21,13.7,16.69,13.63,15.86
VMAR,2020-12-22,16.763,17.9,15.1364,15.66
VMAR,2020-12-23,15.5,16.3,14.66,15.05
VMAR,2020-12-24,15.46,15.46,13.65,14.12
VMAR,2020-12-28,14.3,14.38,13.4,13.99
VMAR,2020-12-29,13.65,13.89,12.67,13.22
VMAR,2020-12-30,13.18,14.29,13.02,13.89
VMAR,2020-12-31,13.54,13.83,13.23,13.45
VMAR,2021-01-04,13.51,13.89,12.9,13.67
VMAR,2021-01-05,13.55,14.54,13.37,14.31
VMAR,2021-01-06,14.72,15.9934,14.02,14.1
VMAR,2021-01-07,14.46,14.89,14.32,14.53
VMAR,2021-01-08,14.52,14.75,13.16,13.34
VMAR,2021-01-11,13.6,14.6,13.45,14.06
VMAR,2021-01-12,13.94,14.0,13.3701,13.73
VMAR,2021-01-13,13.77,14.55,13.5,14.24
VMAR,2021-01-14,14.49,16.91,14.4227,15.81
VMAR,2021-01-15,16.0,16.15,14.22,14.37
VMAR,2021-01-19,14.5,15.7,14.1004,15.4
VMAR,2021-01-20,15.09,15.4,14.44,14.79
VMAR,2021-01-21,15.02,15.71,14.75,15.6
VMAR,2021-01-22,15.5,16.5,15.3,15.64
VMAR,2021-01-25,15.91,15.99,14.36,15.18
VMAR,2021-01-26,14.98,15.83,14.8,15.43
VMAR,2021-01-27,14.98,15.8,14.1,15.0
VMAR,2021-01-28,15.14,15.74,14.37,15.62
VMAR,2021-01-29,15.32,15.57,14.45,14.83
VMAR,2021-02-01,14.81,15.09,14.3,14.8
VMAR,2021-02-02,14.8,14.8505,13.91,14.04
VMAR,2021-02-03,14.15,14.77,13.8,14.41
VMAR,2021-02-04,14.47,14.8268,14.31,14.48
VMAR,2021-02-05,14.54,15.14,14.16,14.65
VMAR,2021-02-08,14.91,17.4899,14.51,16.21
VMAR,2021-02-09,16.13,16.4,15.3,16.17
VMAR,2021-02-10,16.49,16.5,14.89,15.55
VMAR,2021-02-11,16.0,16.1239,14.89,15.0
VMAR,2021-02-12,15.0,15.49,15.0,15.15
VMAR,2021-02-16,15.5,15.575,15.0,15.07
VMAR,2021-02-17,15.2,15.375,14.25,14.39
VMAR,2021-02-18,14.33,14.43,13.41,13.515
VMAR,2021-02-19,13.65,14.2,13.55,13.95
VMAR,2021-02-22,13.9,14.01,13.1,13.12
VMAR,2021-02-23,13.0,13.0,10.7806,11.94
VMAR,2021-02-24,12.2,12.2,11.63,11.91
VMAR,2021-02-25,11.91,12.38,11.3349,11.48
VMAR,2021-02-26,11.5,11.97,11.1,11.41
VMAR,2021-03-01,11.77,11.8,11.35,11.36
VMAR,2021-03-02,11.56,11.58,11.11,11.24
VMAR,2021-03-03,11.2,11.38,10.1867,10.23
VMAR,2021-03-04,10.17,10.4296,9.0,9.23
VMAR,2021-03-05,9.5,9.79,8.31,9.28
VMAR,2021-03-08,9.62,9.66,9.0,9.1
VMAR,2021-03-09,9.25,9.6399,9.25,9.46
VMAR,2021-03-10,9.72,10.2,9.63,9.68
VMAR,2021-03-11,9.99,10.195,9.75,10.1
VMAR,2021-03-12,10.03,10.249,9.8,10.06
VMAR,2021-03-15,10.16,10.4,10.07,10.26
VMAR,2021-03-16,10.28,10.36,9.78,9.95
VMAR,2021-03-17,9.78,9.8899,9.5,9.56
VMAR,2021-03-18,9.68,9.68,9.0,9.05
VMAR,2021-03-19,9.18,9.356,8.9,9.01
VMAR,2021-03-22,9.08,9.23,8.67,8.67
VMAR,2021-03-23,8.65,8.7899,7.96,8.12
VMAR,2021-03-24,8.23,8.4923,7.58,7.69
VMAR,2021-03-25,7.45,7.5443,6.9,7.5
VMAR,2021-03-26,7.896,7.92,7.07,7.1
VMAR,2021-03-29,7.19,7.5,7.02,7.34
VMAR,2021-03-30,7.18,7.75,7.1601,7.71
VMAR,2021-03-31,7.98,7.98,7.5,7.5
VMAR,2021-04-01,7.52,7.9,7.52,7.57
VMAR,2021-04-05,7.67,7.9499,7.54,7.68
VMAR,2021-04-06,7.71,8.15,7.56,8.08
VMAR,2021-04-07,8.1,8.25,7.67,7.74
VMAR,2021-04-08,7.74,9.24,7.55,8.76
VMAR,2021-04-09,8.8,8.9391,7.91,7.94
VMAR,2021-04-12,7.9,8.12,7.14,7.24
VMAR,2021-04-13,7.27,7.27,6.92,7.02
VMAR,2021-04-14,7.17,7.17,6.63,6.75
VMAR,2021-04-15,6.9,6.9,6.07,6.16
