ticker,date,open,high,low,close
CLGN,2018-01-31,8.95,8.95,8.95,8.95
CLGN,2018-02-01,8.99,8.99,8.99,8.99
CLGN,2018-02-02,8.99,8.99,8.99,8.99
CLGN,2018-02-05,7.77,7.77,7.5,7.5
CLGN,2018-02-06,7.12,7.9,7.12,7.9
CLGN,2018-02-07,7.9,7.9,7.9,7.9
CLGN,2018-02-08,7.9,7.9,7.9,7.9
CLGN,2018-02-09,7.9,7.9,7.9,7.9
CLGN,2018-02-12,7.9,7.9,7.9,7.9
CLGN,2018-02-13,7.34,7.34,7.34,7.34
CLGN,2018-02-14,6.61,6.8,6.61,6.8
CLGN,2018-02-15,6.8,6.8,6.8,6.8
CLGN,2018-02-16,6.8,6.8,6.8,6.8
CLGN,2018-02-20,6.8,6.8,6.8,6.8
CLGN,2018-02-21,6.7,6.7,6.7,6.7
CLGN,2018-02-22,6.7,6.7,6.7,6.7
CLGN,2018-02-23,7.0,7.0,7.0,7.0
CLGN,2018-02-26,7.0,7.0,7.0,7.0
CLGN,2018-02-27,7.0,7.0,7.0,7.0
CLGN,2018-02-28,7.0,7.0,7.0,7.0
CLGN,2018-03-01,7.0,7.0,7.0,7.0
CLGN,2018-03-02,7.0,7.0,7.0,7.0
CLGN,2018-03-05,7.0,7.0,7.0,7.0
CLGN,2018-03-06,7.0,7.0,7.0,7.0
CLGN,2018-03-07,7.0,7.0,7.0,7.0
CLGN,2018-03-08,7.0,7.0,7.0,7.0
CLGN,2018-03-09,7.0,7.0,7.0,7.0
CLGN,2018-03-12,7.0,7.0,7.0,7.0
CLGN,2018-03-13,7.0,7.0,7.0,7.0
CLGN,2018-03-14,7.0,7.0,7.0,7.0
CLGN,2018-03-15,7.0,7.0,7.0,7.0
CLGN,2018-03-16,7.0,7.0,7.0,7.0
CLGN,2018-03-19,6.9,6.9,6.9,6.9
CLGN,2018-03-20,6.9,6.9,6.9,6.9
CLGN,2018-03-21,6.9,6.9,6.9,6.9
CLGN,2018-03-22,7.5,7.5,7.5,7.5
CLGN,2018-03-23,7.5,7.5,7.5,7.5
CLGN,2018-03-26,7.5,7.5,7.5,7.5
CLGN,2018-03-27,7.5,7.5,7.5,7.5
CLGN,2018-03-28,7.5,7.5,7.5,7.5
CLGN,2018-03-29,7.5,7.5,7.5,7.5
CLGN,2018-04-02,7.5,7.5,7.5,7.5
CLGN,2018-04-03,7.5,7.5,7.5,7.5
CLGN,2018-04-04,7.5,7.5,6.7,6.7
CLGN,2018-04-05,6.5,6.5,6.5,6.5
CLGN,2018-04-06,5.22,5.22,5.22,5.22
CLGN,2018-04-09,6.26,6.2777,6.15,6.15
CLGN,2018-04-10,6.0,6.0,5.4,5.4
CLGN,2018-04-11,5.4,5.4,5.4,5.4
CLGN,2018-04-12,5.4,5.4,5.4,5.4
CLGN,2018-04-13,5.75,6.0,5.75,6.0
CLGN,2018-04-16,6.0,6.0,6.0,6.0
CLGN,2018-04-17,6.0,6.0,6.0,6.0
CLGN,2018-04-18,6.0,6.0,6.0,6.0
CLGN,2018-04-19,6.0,6.0,6.0,6.0
CLGN,2018-04-20,6.0,6.0,6.0,6.0
CLGN,2018-04-23,5.58,5.58,5.58,5.58
CLGN,2018-04-24,5.58,5.58,5.58,5.58
CLGN,2018-04-25,5.54,5.54,5.54,5.54
CLGN,2018-04-26,5.54,5.54,5.54,5.54
CLGN,2018-04-27,5.54,5.54,5.54,5.54
CLGN,2018-04-30,5.54,5.54,5.54,5.54
CLGN,2018-05-01,5.54,5.54,5.54,5.54
CLGN,2018-05-02,5.54,5.54,5.54,5.54
CLGN,2018-05-03,5.54,5.54,5.54,5.54
