ticker,date,open,high,low,close
DEFT,2025-05-13,4.24,4.38,3.99,4.25
DEFT,2025-05-14,4.34,4.44,3.79,3.8
DEFT,2025-05-15,3.93,4.08,3.69,3.85
DEFT,2025-05-16,3.95,4.05,3.78,3.84
DEFT,2025-05-19,3.79,3.95,3.55,3.85
DEFT,2025-05-20,3.92,3.95,3.65,3.76
DEFT,2025-05-21,3.65,3.8,3.44,3.53
DEFT,2025-05-22,3.69,3.86,3.58,3.74
DEFT,2025-05-23,3.59,3.74,3.59,3.6
DEFT,2025-05-27,3.71,3.89,3.51,3.84
DEFT,2025-05-28,3.805,3.85,3.55,3.74
DEFT,2025-05-29,3.79,3.79,3.315,3.43
DEFT,2025-05-30,3.41,3.64,3.25,3.59
DEFT,2025-06-02,3.53,3.6,3.4,3.44
DEFT,2025-06-03,3.5,3.52,3.34,3.47
DEFT,2025-06-04,3.5,3.5,3.36,3.36
DEFT,2025-06-05,3.365,3.39,3.04,3.1
DEFT,2025-06-06,3.12,3.485,3.05,3.35
DEFT,2025-06-09,3.44,3.5,3.3,3.46
DEFT,2025-06-10,3.48,3.48,3.23,3.31
DEFT,2025-06-11,3.19,3.32,3.09,3.14
DEFT,2025-06-12,3.14,3.17,2.93,2.97
DEFT,2025-06-13,2.89,2.995,2.76,2.91
DEFT,2025-06-16,2.95,3.0,2.76,2.84
DEFT,2025-06-17,2.8,2.86,2.75,2.75
DEFT,2025-06-18,2.75,2.85,2.61,2.82
DEFT,2025-06-20,2.85,2.87,2.6,2.64
DEFT,2025-06-23,2.6,2.86,2.54,2.86
DEFT,2025-06-24,3.07,3.14,2.89,3.01
DEFT,2025-06-25,3.07,3.12,2.85,2.88
DEFT,2025-06-26,2.9,2.9299,2.8,2.89
DEFT,2025-06-27,2.92,2.92,2.75,2.79
DEFT,2025-06-30,2.85,3.01,2.798,2.92
DEFT,2025-07-01,2.89,2.89,2.7435,2.79
DEFT,2025-07-02,2.82,3.0,2.78,2.97
DEFT,2025-07-03,3.02,3.26,2.99,3.14
DEFT,2025-07-07,3.06,3.1,2.8,2.81
DEFT,2025-07-08,2.89,3.01,2.83,2.92
DEFT,2025-07-09,2.95,2.9798,2.8,2.85
DEFT,2025-07-10,2.91,2.98,2.81,2.95
DEFT,2025-07-11,3.0383,3.14,3.03,3.03
DEFT,2025-07-14,3.42,3.59,3.25,3.48
DEFT,2025-07-15,3.48,3.4836,3.13,3.28
DEFT,2025-07-16,3.32,3.4299,3.19,3.41
DEFT,2025-07-17,3.43,3.43,3.22,3.28
DEFT,2025-07-18,3.37,3.47,3.23,3.27
DEFT,2025-07-21,3.34,3.43,3.26,3.3
DEFT,2025-07-22,3.32,3.33,3.1,3.18
DEFT,2025-07-23,3.17,3.22,3.115,3.15
DEFT,2025-07-24,3.1,3.43,2.96,3.07
DEFT,2025-07-25,3.0,3.02,2.77,2.89
DEFT,2025-07-28,3.0,3.0,2.86,2.94
DEFT,2025-07-29,2.92,2.93,2.77,2.785
DEFT,2025-07-30,2.74,2.87,2.71,2.81
DEFT,2025-07-31,2.85,2.87,2.72,2.725
DEFT,2025-08-01,2.655,2.73,2.57,2.625
DEFT,2025-08-04,2.68,2.709,2.64,2.68
DEFT,2025-08-05,2.66,2.7,2.55,2.56
DEFT,2025-08-06,2.52,2.62,2.505,2.62
DEFT,2025-08-07,2.68,2.72,2.52,2.54
DEFT,2025-08-08,2.58,2.64,2.53,2.61
DEFT,2025-08-11,2.775,3.005,2.775,2.84
DEFT,2025-08-12,2.885,2.89,2.47,2.59
DEFT,2025-08-13,2.69,2.69,2.5,2.52
DEFT,2025-08-14,2.51,2.63,2.45,2.61
DEFT,2025-08-15,2.45,2.5,2.22,2.305
DEFT,2025-08-18,2.36,2.36,2.1,2.26096
DEFT,2025-08-19,2.27,2.29,2.13,2.15
DEFT,2025-08-20,2.12,2.14,2.04,2.11
DEFT,2025-08-21,2.12,2.14,2.07,2.1
DEFT,2025-08-22,2.14,2.3,2.12,2.24
DEFT,2025-08-25,2.17,2.24,2.17,2.19
DEFT,2025-08-26,2.18,2.21,2.14,2.2
DEFT,2025-08-27,2.18,2.24,2.135,2.15
DEFT,2025-08-28,2.185,2.2,2.13,2.15
DEFT,2025-08-29,2.13,2.145,2.07,2.08
DEFT,2025-09-02,2.05,2.15,1.99,2.14
DEFT,2025-09-03,2.14,2.15,2.045,2.06
DEFT,2025-09-04,2.05,2.05,1.96,1.98
DEFT,2025-09-05,2.02,2.057,1.95,2.03
DEFT,2025-09-08,2.02,2.13,2.0,2.13
DEFT,2025-09-09,2.13,2.16,2.05,2.1
DEFT,2025-09-10,2.14,2.24,2.11,2.13
DEFT,2025-09-11,2.19,2.37,2.17,2.37
DEFT,2025-09-12,2.51,2.535,2.36,2.455
DEFT,2025-09-15,2.58,2.77,2.46,2.6
DEFT,2025-09-16,2.68,2.72,2.55,2.64
DEFT,2025-09-17,2.64,2.6879,2.54,2.59
DEFT,2025-09-18,2.65,2.75,2.6111,2.72
DEFT,2025-09-19,2.725,2.7361,2.46,2.52
DEFT,2025-09-22,2.42,2.47,2.35,2.46
DEFT,2025-09-23,2.49,2.61,2.42,2.46
DEFT,2025-09-24,2.65,2.8,2.6,2.61
DEFT,2025-09-25,2.26,2.279,2.08,2.13
DEFT,2025-09-26,2.23,2.24,2.09,2.125
DEFT,2025-09-29,2.175,2.19,2.09,2.11
DEFT,2025-09-30,2.11,2.13,2.0,2.105
DEFT,2025-10-01,2.1,2.17,2.05,2.17
