ticker,date,open,high,low,close
CV,2025-07-02,5.0,5.72,3.49,3.5
CV,2025-07-03,4.96,4.96,4.0503,4.4
CV,2025-07-07,4.38,4.5523,4.05,4.19
CV,2025-07-08,4.15,4.69,4.1,4.63
CV,2025-07-09,4.63,5.0784,4.615,4.89
CV,2025-07-10,4.82,4.825,4.25,4.5
CV,2025-07-11,4.57,4.57,4.57,4.57
CV,2025-07-14,4.38,4.6214,4.3501,4.37
CV,2025-07-15,4.39,4.6353,4.39,4.59
CV,2025-07-16,4.6,4.81,4.5517,4.76
CV,2025-07-17,4.73,4.8816,4.6,4.7
CV,2025-07-18,4.75,4.76,4.5,4.55
CV,2025-07-21,4.45,4.48,4.2,4.45
CV,2025-07-22,4.15,4.42,4.15,4.4
CV,2025-07-23,4.33,4.39,4.25,4.25
CV,2025-07-24,4.4,4.4,4.18,4.27
CV,2025-07-25,4.27,4.3,4.0,4.0
CV,2025-07-28,4.04,4.35,4.02,4.35
CV,2025-07-29,4.3,4.6,4.3,4.45
CV,2025-07-30,4.34,4.52,4.11,4.11
CV,2025-07-31,4.13,4.39,3.82,3.84
CV,2025-08-01,3.86,4.0244,3.85,3.87
CV,2025-08-04,3.91,4.108,3.86,4.1
CV,2025-08-05,4.05,4.3,4.05,4.14
CV,2025-08-06,4.12,4.34,4.12,4.22
CV,2025-08-07,4.28,4.3,4.18,4.29
CV,2025-08-08,4.29,4.29,3.85,3.93
CV,2025-08-11,3.99,4.18,3.94,4.11
CV,2025-08-12,4.01,4.14,3.979,4.06
CV,2025-08-13,4.04,4.1038,3.9997,4.07
CV,2025-08-14,4.02,4.12,4.0,4.02
CV,2025-08-15,3.93,4.09,3.85,3.85
CV,2025-08-18,3.95,4.0,3.86,4.0
CV,2025-08-19,3.89,4.0,3.88,3.89
CV,2025-08-20,3.88,4.0,3.88,3.94
CV,2025-08-21,3.98,4.0,3.9,3.98
CV,2025-08-22,3.98,4.0,3.9,4.0
CV,2025-08-25,4.0,4.0,3.88,3.99
CV,2025-08-26,3.97,4.02,3.91,3.93
CV,2025-08-27,3.9,4.0,3.9,3.96
CV,2025-08-28,3.96,4.0,3.93,3.93
CV,2025-08-29,3.99,3.99,3.6,3.75
CV,2025-09-02,3.64,3.7734,3.61,3.65
CV,2025-09-03,3.69,3.69,3.6,3.6
CV,2025-09-04,3.6,3.8398,3.5,3.78
CV,2025-09-05,3.69,3.77,3.55,3.58
CV,2025-09-08,3.55,3.69,3.4341,3.58
CV,2025-09-09,3.65,3.65,3.52,3.56
CV,2025-09-10,3.58,3.74,3.5,3.63
CV,2025-09-11,3.74,3.8,3.62,3.7
CV,2025-09-12,3.62,4.285,3.6001,4.12
CV,2025-09-15,4.08,4.49,4.08,4.33
CV,2025-09-16,4.26,4.58,4.16,4.48
CV,2025-09-17,4.4,4.75,4.28,4.63
CV,2025-09-18,4.59,4.84,4.47,4.64
CV,2025-09-19,4.7,5.1,4.56,5.07
CV,2025-09-22,4.75,4.9899,4.5,4.75
CV,2025-09-23,4.73,4.94,4.53,4.57
CV,2025-09-24,4.6167,4.6167,4.4075,4.52
CV,2025-09-25,4.5,4.64,4.4078,4.55
CV,2025-09-26,4.59,4.6,4.34,4.58
CV,2025-09-29,4.61,4.68,4.4701,4.53
CV,2025-09-30,4.58,4.85,4.4,4.84
CV,2025-10-01,4.73,4.75,4.5316,4.7
