ticker,date,open,high,low,close
ASBP,2025-02-20,9.86,9.86,4.8,6.16
ASBP,2025-02-21,4.95,4.95,2.5,2.56
ASBP,2025-02-24,1.84,2.1,1.57,2.05
ASBP,2025-02-25,1.84,1.98,1.6,1.65
ASBP,2025-02-26,1.6,1.88,1.41,1.74
ASBP,2025-02-27,1.8,1.815,1.61,1.69
ASBP,2025-02-28,1.63,1.7,1.41,1.498
ASBP,2025-03-03,1.67,1.7415,0.95,1.01
ASBP,2025-03-04,0.9393,0.98,0.7583,0.826
ASBP,2025-03-05,0.81,0.82,0.7425,0.77
ASBP,2025-03-06,0.75,0.889999,0.725001,0.85
ASBP,2025-03-07,0.8491,0.912,0.8,0.86
ASBP,2025-03-10,0.851,0.879,0.7516,0.77
ASBP,2025-03-11,0.79,0.82,0.6646,0.771
ASBP,2025-03-12,0.75,0.7785,0.72,0.74
ASBP,2025-03-13,0.7535,0.7535,0.58,0.58
ASBP,2025-03-14,0.56,0.6225,0.545,0.62
ASBP,2025-03-17,0.5831,0.6369,0.5831,0.6369
ASBP,2025-03-18,0.615,0.62,0.561,0.609
ASBP,2025-03-19,0.5853,0.67,0.5801,0.6599
ASBP,2025-03-20,0.7499,0.818,0.6506,0.6882
ASBP,2025-03-21,0.6901,0.694999,0.6115,0.6375
ASBP,2025-03-24,0.6222,0.65,0.612,0.646101
ASBP,2025-03-25,0.6417,0.6417,0.61,0.64
ASBP,2025-03-26,0.6268,0.64,0.61,0.64
ASBP,2025-03-27,0.630001,0.6708,0.615,0.66
ASBP,2025-03-28,0.6595,0.6595,0.6121,0.64
ASBP,2025-03-31,0.62,0.62,0.55,0.5829
ASBP,2025-04-01,0.5696,0.59,0.5696,0.5782
ASBP,2025-04-02,0.565,0.624,0.565,0.605
ASBP,2025-04-03,0.572,0.6,0.54,0.54
ASBP,2025-04-04,0.5455,0.5455,0.45,0.451135
ASBP,2025-04-07,0.431,0.46,0.4011,0.4012
ASBP,2025-04-08,0.4122,0.44,0.401601,0.439
ASBP,2025-04-09,0.47,0.5559,0.42,0.51
ASBP,2025-04-10,0.499,0.53,0.47,0.529
ASBP,2025-04-11,0.55,0.6099,0.524,0.59
ASBP,2025-04-14,0.59,0.6202,0.59,0.6199
ASBP,2025-04-15,0.62,0.629999,0.54,0.5504
ASBP,2025-04-16,0.54,0.5515,0.501,0.5515
ASBP,2025-04-17,0.5599,0.567999,0.54,0.567999
ASBP,2025-04-21,0.5689,0.5689,0.4915,0.495
ASBP,2025-04-22,0.5125,0.54,0.5125,0.529
ASBP,2025-04-23,0.5299,0.55,0.51,0.521
ASBP,2025-04-24,0.491,0.55,0.491,0.5076
ASBP,2025-04-25,0.518,0.5201,0.4755,0.4871
ASBP,2025-04-28,0.49,0.508,0.45,0.453
ASBP,2025-04-29,0.47,0.51,0.4648,0.47
ASBP,2025-04-30,0.414,0.414,0.41,0.414
ASBP,2025-05-01,0.448,0.45,0.3298,0.359
ASBP,2025-05-02,0.394001,0.394001,0.34,0.34
ASBP,2025-05-05,0.355,0.38,0.341,0.3661
ASBP,2025-05-06,0.367,0.3775,0.355,0.37
ASBP,2025-05-07,0.35501,0.3729,0.32,0.3271
ASBP,2025-05-08,0.33,0.34,0.33,0.3354
ASBP,2025-05-09,0.331,0.4188,0.33,0.3565
ASBP,2025-05-12,0.36,0.369599,0.33,0.33
ASBP,2025-05-13,0.3261,0.358,0.315,0.3252
ASBP,2025-05-14,0.335,0.383,0.2285,0.237727
ASBP,2025-05-15,0.2305,0.2848,0.223,0.2317
ASBP,2025-05-16,0.2364,0.25,0.2364,0.249
ASBP,2025-05-19,0.24995,0.24995,0.235,0.24995
ASBP,2025-05-20,0.245,0.2556,0.2212,0.2403
ASBP,2025-05-21,0.2403,0.2404,0.221,0.2248
ASBP,2025-05-22,0.229,0.2526,0.220001,0.223974
ASBP,2025-05-23,0.226499,0.2398,0.2151,0.225
ASBP,2025-05-27,0.227,0.245,0.227,0.2375
ASBP,2025-05-28,0.3913,0.73,0.3362,0.7064
ASBP,2025-05-29,0.5789,0.7301,0.53,0.6024
ASBP,2025-05-30,0.5705,0.5763,0.4012,0.4321
ASBP,2025-06-02,0.4153,0.45,0.38,0.385
ASBP,2025-06-03,0.3617,0.4403,0.3617,0.384
ASBP,2025-06-04,0.386,0.4001,0.3734,0.39
ASBP,2025-06-05,0.39,0.39,0.3335,0.34
ASBP,2025-06-06,0.3348,0.388,0.33,0.3805
ASBP,2025-06-09,0.39,0.4198,0.3725,0.395
ASBP,2025-06-10,0.4035,0.4035,0.358,0.3768
ASBP,2025-06-11,0.3751,0.4,0.3557,0.3987
ASBP,2025-06-12,0.4,0.4,0.369,0.38
ASBP,2025-06-13,0.3686,0.3779,0.351,0.3655
ASBP,2025-06-16,0.36,0.3652,0.315,0.3529
ASBP,2025-06-17,0.35,0.35,0.3174,0.3223
ASBP,2025-06-18,0.3199,0.3298,0.2939,0.3179
ASBP,2025-06-20,0.32,0.32,0.2998,0.3076
ASBP,2025-06-23,0.2872,0.2909,0.2729,0.2819
ASBP,2025-06-24,0.285,0.285,0.2708,0.2723
ASBP,2025-06-25,0.27,0.27,0.237,0.2396
ASBP,2025-06-26,0.2999,0.335,0.263001,0.306
ASBP,2025-06-27,0.29,0.33,0.2852,0.2949
ASBP,2025-06-30,0.2846,0.285167,0.2571,0.2648
ASBP,2025-07-01,0.28,0.31,0.266,0.31
ASBP,2025-07-02,0.2989,0.2989,0.2807,0.2852
ASBP,2025-07-03,0.2805,0.3082,0.28,0.292
ASBP,2025-07-07,0.296,0.314,0.2803,0.2859
ASBP,2025-07-08,0.2866,0.3293,0.2866,0.3131
ASBP,2025-07-09,0.3306,0.5995,0.315,0.326
ASBP,2025-07-10,0.312,0.3697,0.3,0.3463
ASBP,2025-07-11,0.33,0.33,0.33,0.33
ASBP,2025-07-14,0.33,0.341,0.3201,0.3309
ASBP,2025-07-15,0.333,0.333,0.31,0.3179
ASBP,2025-07-16,0.3397,0.3598,0.32,0.3467
ASBP,2025-07-17,0.3527,0.3713,0.35,0.356
ASBP,2025-07-18,0.37,0.37,0.3501,0.358
ASBP,2025-07-21,0.37,0.4099,0.365,0.4086
ASBP,2025-07-22,0.4117,0.4267,0.3831,0.3901
ASBP,2025-07-23,0.39,0.4255,0.39,0.4152
ASBP,2025-07-24,0.42,0.535,0.42,0.5193
ASBP,2025-07-25,0.5,0.5,0.4311,0.4997
ASBP,2025-07-28,0.4997,0.5083,0.4742,0.481
ASBP,2025-07-29,0.473,0.4929,0.4606,0.476407
ASBP,2025-07-30,0.4779,0.4804,0.4201,0.428024
ASBP,2025-07-31,0.435,0.445,0.381,0.3811
