ticker,date,open,high,low,close
XAIR,2018-06-12,2.95,2.95,2.95,2.95
XAIR,2018-06-13,3.05,3.05,3.0,3.0
XAIR,2018-06-14,3.05,3.2,3.05,3.1
XAIR,2018-06-15,3.1,3.7,3.1,3.6
XAIR,2018-06-18,3.5,3.5,3.41,3.48
XAIR,2018-06-19,3.41,3.41,3.4,3.4
XAIR,2018-06-20,3.35,3.35,3.16,3.21
XAIR,2018-06-21,3.21,3.22,3.1,3.1
XAIR,2018-06-22,3.1,3.34,3.1,3.34
XAIR,2018-06-25,3.34,3.34,3.34,3.34
XAIR,2018-06-26,3.65,3.65,3.55,3.6
XAIR,2018-06-27,3.6,3.6,3.55,3.55
XAIR,2018-06-28,3.51,3.51,3.5,3.5
XAIR,2018-06-29,3.45,3.45,3.45,3.45
XAIR,2018-07-02,4.0,4.0,3.69,3.9
XAIR,2018-07-03,4.0,4.05,4.0,4.0
XAIR,2018-07-05,4.1,4.15,4.0,4.0
XAIR,2018-07-06,4.1,4.15,4.0,4.15
XAIR,2018-07-09,4.1,4.12,3.8,4.0
XAIR,2018-07-10,3.95,3.95,3.95,3.95
XAIR,2018-07-11,4.0,4.15,3.87,3.99
XAIR,2018-07-12,3.99,3.99,3.99,3.99
XAIR,2018-07-13,3.99,3.99,3.99,3.99
XAIR,2018-07-16,4.0,4.0,4.0,4.0
XAIR,2018-07-17,3.75,4.0,3.75,3.8
XAIR,2018-07-18,3.9,3.9,3.75,3.85
XAIR,2018-07-19,3.6,3.8,3.6,3.6
XAIR,2018-07-20,3.6,3.65,3.44,3.44
XAIR,2018-07-23,3.7,3.7,3.6,3.6
XAIR,2018-07-24,3.45,3.5,3.4,3.5
XAIR,2018-07-25,3.5,3.6,3.5,3.6
XAIR,2018-07-26,3.31,3.31,3.31,3.31
XAIR,2018-07-27,3.4,3.6,3.4,3.6
XAIR,2018-07-30,3.6,3.6,3.25,3.6
XAIR,2018-07-31,3.6,3.6,3.6,3.6
XAIR,2018-08-01,3.5,3.6,3.5,3.6
XAIR,2018-08-02,3.76,3.8,3.75,3.75
XAIR,2018-08-03,3.75,3.75,3.75,3.75
XAIR,2018-08-06,3.75,3.75,3.4,3.5
XAIR,2018-08-07,3.45,3.45,3.15,3.45
XAIR,2018-08-08,3.45,3.45,3.45,3.45
XAIR,2018-08-09,3.4,3.45,3.15,3.16
XAIR,2018-08-10,3.25,3.25,3.25,3.25
XAIR,2018-08-13,3.45,4.0,3.45,3.95
XAIR,2018-08-14,3.75,3.9,3.75,3.8
XAIR,2018-08-15,3.8,3.8,3.8,3.8
XAIR,2018-08-16,3.6,3.8,3.5,3.8
XAIR,2018-08-17,3.6,3.8,3.6,3.6
XAIR,2018-08-20,3.6,3.8,3.6,3.8
XAIR,2018-08-21,3.71,4.0,3.71,3.99
XAIR,2018-08-22,3.99,3.99,3.99,3.99
XAIR,2018-08-23,3.51,3.51,3.51,3.51
XAIR,2018-08-24,3.8,3.8,3.8,3.8
XAIR,2018-08-27,3.7,3.7,3.7,3.7
XAIR,2018-08-28,4.0,4.0,3.6,3.6
XAIR,2018-08-29,3.6,3.65,3.6,3.6
XAIR,2018-08-30,3.6,3.69,3.6,3.6
XAIR,2018-08-31,3.6,3.6,3.59,3.59
XAIR,2018-09-04,3.6,3.75,3.6,3.69
XAIR,2018-09-05,3.7,3.8,3.61,3.61
XAIR,2018-09-06,3.7,3.9,3.7,3.74
XAIR,2018-09-07,3.95,3.95,3.85,3.93
XAIR,2018-09-10,3.85,3.93,3.85,3.85
XAIR,2018-09-11,3.73,3.8,3.73,3.73
XAIR,2018-09-12,3.73,3.9,3.73,3.8
XAIR,2018-09-13,3.95,3.95,3.95,3.95
XAIR,2018-09-14,3.95,4.25,3.8,4.2
XAIR,2018-09-17,4.2,4.2,4.0,4.0
XAIR,2018-09-18,3.95,4.12,3.95,4.0
XAIR,2018-09-19,4.0,4.0,4.0,4.0
XAIR,2018-09-20,4.25,4.32,4.22,4.28
XAIR,2018-09-21,4.31,4.4,4.26,4.32
XAIR,2018-09-24,4.4,4.4,4.4,4.4
XAIR,2018-09-25,4.4,4.4,4.4,4.4
XAIR,2018-09-26,4.32,4.5,4.32,4.5
XAIR,2018-09-27,4.5,4.5,4.5,4.5
XAIR,2018-09-28,4.55,4.55,4.35,4.35
XAIR,2018-10-01,4.3,4.3,4.07,4.15
XAIR,2018-10-02,4.15,4.15,4.15,4.15
XAIR,2018-10-03,4.1,4.6,4.1,4.6
XAIR,2018-10-04,4.6,4.6,4.58,4.6
XAIR,2018-10-05,4.6,4.65,4.58,4.6
XAIR,2018-10-08,4.7,4.9,4.58,4.9
XAIR,2018-10-09,4.75,4.95,4.75,4.88
XAIR,2018-10-10,4.85,4.9,4.75,4.8
XAIR,2018-10-11,4.75,4.75,4.3,4.4
XAIR,2018-10-12,4.44,4.8,4.44,4.8
XAIR,2018-10-15,4.7,5.2,4.7,5.2
XAIR,2018-10-16,4.98,5.2,4.98,5.15
XAIR,2018-10-17,5.49,5.49,5.25,5.25
XAIR,2018-10-18,5.35,5.35,5.25,5.35
XAIR,2018-10-19,5.15,5.16,5.05,5.16
XAIR,2018-10-22,5.1,5.1,4.55,4.55
XAIR,2018-10-23,4.74,4.75,4.74,4.75
XAIR,2018-10-24,4.65,4.9,4.65,4.9
XAIR,2018-10-25,4.9,4.9,4.85,4.85
XAIR,2018-10-26,4.65,4.8,4.65,4.75
XAIR,2018-10-29,4.74,4.74,4.65,4.65
XAIR,2018-10-30,4.5,4.5,4.3,4.3
XAIR,2018-10-31,4.29,4.29,4.25,4.25
