ticker,date,open,high,low,close
PLPC,1999-04-28,18.25,18.25,18.25,18.25
PLPC,1999-04-29,18.25,18.25,18.25,18.25
PLPC,1999-04-30,19.0,19.0,19.0,19.0
PLPC,1999-05-03,19.0,19.0,19.0,19.0
PLPC,1999-05-04,20.25,20.25,20.25,20.25
PLPC,1999-05-05,20.25,20.25,20.25,20.25
PLPC,1999-05-06,20.25,20.25,20.25,20.25
PLPC,1999-05-07,20.25,20.25,20.25,20.25
PLPC,1999-05-10,20.25,20.25,20.25,20.25
PLPC,1999-05-11,20.75,20.75,20.75,20.75
PLPC,1999-05-12,20.75,20.75,20.75,20.75
PLPC,1999-05-13,20.75,20.75,20.75,20.75
PLPC,1999-05-14,20.75,20.75,20.75,20.75
PLPC,1999-05-17,20.75,20.75,20.75,20.75
PLPC,1999-05-18,20.75,20.75,20.75,20.75
PLPC,1999-05-19,20.75,20.75,20.75,20.75
PLPC,1999-05-20,19.75,19.75,19.75,19.75
PLPC,1999-05-21,19.75,19.75,19.75,19.75
PLPC,1999-05-24,19.75,19.75,19.75,19.75
PLPC,1999-05-25,19.75,19.75,19.75,19.75
PLPC,1999-05-26,19.0,19.0,18.25,18.5
PLPC,1999-05-27,21.0,21.0,21.0,21.0
PLPC,1999-05-28,21.0,21.0,21.0,21.0
PLPC,1999-06-01,21.0,21.0,21.0,21.0
PLPC,1999-06-02,21.0,21.0,21.0,21.0
PLPC,1999-06-03,21.0,21.0,21.0,21.0
PLPC,1999-06-04,21.0,21.0,21.0,21.0
PLPC,1999-06-07,21.0,21.0,21.0,21.0
PLPC,1999-06-08,21.0,21.0,21.0,21.0
PLPC,1999-06-09,21.0,21.0,21.0,21.0
PLPC,1999-06-10,21.0,21.0,21.0,21.0
PLPC,1999-06-11,21.0,21.0,21.0,21.0
PLPC,1999-06-14,21.0,21.0,21.0,21.0
PLPC,1999-06-15,21.0,21.0,21.0,21.0
PLPC,1999-06-16,21.0,21.0,21.0,21.0
PLPC,1999-06-17,21.0,21.0,21.0,21.0
PLPC,1999-06-18,21.0,21.0,21.0,21.0
PLPC,1999-06-21,21.0,21.0,21.0,21.0
PLPC,1999-06-22,21.0,21.0,21.0,21.0
PLPC,1999-06-23,19.0,20.25,19.0,20.25
PLPC,1999-06-24,20.25,20.25,20.25,20.25
PLPC,1999-06-25,19.25,19.25,19.25,19.25
PLPC,1999-06-28,19.0,19.5,18.25,18.5
PLPC,1999-06-29,18.75,19.0,18.75,19.0
PLPC,1999-06-30,19.0,19.0,19.0,19.0
PLPC,1999-07-01,19.0,19.0,19.0,19.0
PLPC,1999-07-02,19.0,19.0,19.0,19.0
PLPC,1999-07-06,19.0,19.0,19.0,19.0
PLPC,1999-07-07,19.0,19.05,19.0,19.05
PLPC,1999-07-08,19.05,19.05,19.05,19.05
PLPC,1999-07-09,19.0,19.5,19.0,19.0
PLPC,1999-07-12,19.0,19.0,19.0,19.0
PLPC,1999-07-13,19.0,19.0,19.0,19.0
PLPC,1999-07-14,19.5,19.5,19.0,19.0
PLPC,1999-07-15,19.0,19.0,19.0,19.0
PLPC,1999-07-16,19.0,19.0,19.0,19.0
PLPC,1999-07-19,19.0,19.05,19.0,19.05
PLPC,1999-07-20,19.05,19.05,19.05,19.05
PLPC,1999-07-21,18.75,18.75,18.75,18.75
PLPC,1999-07-22,18.75,18.75,18.75,18.75
PLPC,1999-07-23,18.75,18.75,18.75,18.75
PLPC,1999-07-26,19.5,19.5,19.5,19.5
PLPC,1999-07-27,19.5,19.5,19.5,19.5
PLPC,1999-07-28,19.5,19.5,19.5,19.5
PLPC,1999-07-29,19.5,19.5,19.5,19.5
PLPC,1999-07-30,19.5,19.5,19.5,19.5
PLPC,1999-08-02,19.5,19.5,19.0,19.0
PLPC,1999-08-03,19.0,19.0,19.0,19.0
PLPC,1999-08-04,19.0,19.0,19.0,19.0
PLPC,1999-08-05,19.0,19.0,19.0,19.0
PLPC,1999-08-06,19.0,19.0,19.0,19.0
PLPC,1999-08-09,19.0,19.0,19.0,19.0
PLPC,1999-08-10,19.0,19.0,19.0,19.0
PLPC,1999-08-11,19.0,19.0,19.0,19.0
PLPC,1999-08-12,19.0,19.0,19.0,19.0
PLPC,1999-08-13,20.0,20.5,20.0,20.0
PLPC,1999-08-16,18.88,18.88,18.88,18.88
PLPC,1999-08-17,18.88,18.88,18.88,18.88
PLPC,1999-08-18,18.88,19.0,18.62,19.0
PLPC,1999-08-19,19.0,19.0,19.0,19.0
PLPC,1999-08-20,19.0,19.0,19.0,19.0
PLPC,1999-08-23,19.0,19.0,19.0,19.0
PLPC,1999-08-24,19.38,19.75,19.38,19.38
PLPC,1999-08-25,19.38,19.5,19.38,19.5
PLPC,1999-08-26,19.5,19.5,19.5,19.5
PLPC,1999-08-27,19.12,19.12,19.0,19.0
PLPC,1999-08-30,19.0,19.0,19.0,19.0
PLPC,1999-08-31,18.5,18.5,18.5,18.5
PLPC,1999-09-01,18.5,18.5,18.5,18.5
PLPC,1999-09-02,18.5,18.5,18.5,18.5
PLPC,1999-09-03,18.5,18.5,18.5,18.5
PLPC,1999-09-07,18.38,18.38,18.0,18.0
PLPC,1999-09-08,18.0,18.0,18.0,18.0
PLPC,1999-09-09,18.0,18.0,17.5,18.0
PLPC,1999-09-10,17.5,17.5,17.5,17.5
PLPC,1999-09-13,17.25,17.38,17.25,17.25
PLPC,1999-09-14,17.25,17.25,17.25,17.25
PLPC,1999-09-15,17.25,17.25,17.25,17.25
PLPC,1999-09-16,17.25,17.25,17.25,17.25
PLPC,1999-09-17,17.0,17.0,16.0,16.0
PLPC,1999-09-20,16.0,16.0,16.0,16.0
PLPC,1999-09-21,16.25,17.5,16.25,17.5
PLPC,1999-09-22,17.5,17.5,17.5,17.5
PLPC,1999-09-23,17.5,17.5,17.5,17.5
PLPC,1999-09-24,16.5,17.5,16.5,17.5
PLPC,1999-09-27,17.0,17.0,16.5,16.5
PLPC,1999-09-28,16.5,16.75,16.5,16.75
PLPC,1999-09-29,16.0,16.0,15.5,15.5
PLPC,1999-09-30,15.5,15.75,15.5,15.75
PLPC,1999-10-01,16.5,16.5,16.5,16.5
PLPC,1999-10-04,16.5,16.5,16.5,16.5
PLPC,1999-10-05,16.5,16.5,16.5,16.5
PLPC,1999-10-06,16.5,16.5,16.5,16.5
PLPC,1999-10-07,16.5,16.5,16.5,16.5
PLPC,1999-10-08,15.38,16.0,15.0,16.0
PLPC,1999-10-11,16.0,16.0,16.0,16.0
PLPC,1999-10-12,16.0,16.0,16.0,16.0
PLPC,1999-10-13,16.0,16.0,16.0,16.0
PLPC,1999-10-14,16.0,16.0,16.0,16.0
PLPC,1999-10-15,16.0,16.0,16.0,16.0
PLPC,1999-10-18,15.0,15.0,15.0,15.0
PLPC,1999-10-19,16.0,16.0,16.0,16.0
PLPC,1999-10-20,16.0,16.0,16.0,16.0
PLPC,1999-10-21,16.0,16.0,16.0,16.0
PLPC,1999-10-22,16.0,16.0,16.0,16.0
PLPC,1999-10-25,16.0,16.0,16.0,16.0
PLPC,1999-10-26,16.0,16.0,16.0,16.0
PLPC,1999-10-27,16.0,16.0,16.0,16.0
PLPC,1999-10-28,16.0,16.25,16.0,16.25
PLPC,1999-10-29,16.25,16.25,16.25,16.25
PLPC,1999-11-01,16.25,16.25,16.25,16.25
PLPC,1999-11-02,16.25,16.25,16.25,16.25
PLPC,1999-11-03,16.25,16.25,16.25,16.25
PLPC,1999-11-04,16.25,16.25,16.25,16.25
PLPC,1999-11-05,16.25,16.25,16.25,16.25
PLPC,1999-11-08,16.25,16.25,16.25,16.25
PLPC,1999-11-09,16.12,16.25,16.12,16.25
PLPC,1999-11-10,16.12,16.75,16.12,16.75
PLPC,1999-11-11,16.75,16.75,16.75,16.75
PLPC,1999-11-12,16.25,16.5,16.25,16.5
PLPC,1999-11-15,16.12,16.25,16.12,16.25
PLPC,1999-11-16,16.25,16.25,16.25,16.25
PLPC,1999-11-17,16.12,16.12,16.12,16.12
PLPC,1999-11-18,16.12,16.75,16.12,16.25
PLPC,1999-11-19,16.12,16.38,16.12,16.38
PLPC,1999-11-22,16.38,16.38,16.38,16.38
PLPC,1999-11-23,16.12,16.12,16.12,16.12
PLPC,1999-11-24,16.12,16.12,16.12,16.12
PLPC,1999-11-26,18.88,18.88,18.88,18.88
PLPC,1999-11-29,18.88,18.88,18.88,18.88
PLPC,1999-11-30,18.88,18.88,18.88,18.88
PLPC,1999-12-01,16.12,16.25,16.0,16.12
PLPC,1999-12-02,16.12,16.38,16.12,16.38
PLPC,1999-12-03,16.38,16.38,16.38,16.38
PLPC,1999-12-06,16.38,16.38,16.38,16.38
PLPC,1999-12-07,18.0,18.0,18.0,18.0
PLPC,1999-12-08,17.94,17.94,17.94,17.94
PLPC,1999-12-09,16.12,18.0,16.12,18.0
PLPC,1999-12-10,18.0,18.0,18.0,18.0
PLPC,1999-12-13,16.12,17.0,16.12,17.0
PLPC,1999-12-14,17.0,17.0,16.12,16.12
PLPC,1999-12-15,16.25,16.25,16.25,16.25
PLPC,1999-12-16,16.25,16.25,16.25,16.25
PLPC,1999-12-17,16.25,16.25,16.25,16.25
PLPC,1999-12-20,16.25,16.25,16.25,16.25
PLPC,1999-12-21,16.5,16.62,16.5,16.5
PLPC,1999-12-22,16.38,16.38,16.38,16.38
PLPC,1999-12-23,16.38,16.38,16.38,16.38
PLPC,1999-12-27,16.62,16.62,16.38,16.38
PLPC,1999-12-28,16.5,16.5,16.5,16.5
PLPC,1999-12-29,16.5,16.5,16.12,16.25
PLPC,1999-12-30,16.5,16.5,16.5,16.5
PLPC,1999-12-31,16.12,16.12,16.12,16.12
PLPC,2000-01-03,16.5,16.5,16.5,16.5
PLPC,2000-01-04,16.12,16.12,16.12,16.12
PLPC,2000-01-05,16.0,16.0,16.0,16.0
PLPC,2000-01-06,16.06,16.06,16.0,16.0
PLPC,2000-01-07,16.0,16.0,16.0,16.0
PLPC,2000-01-10,16.25,16.25,16.25,16.25
PLPC,2000-01-11,16.0,16.0,13.25,14.5
PLPC,2000-01-12,13.25,13.25,13.25,13.25
