ticker,date,open,high,low,close
RYET,2025-04-08,7.3,8.03,4.0,4.5111
RYET,2025-04-09,4.09,4.35,4.06,4.24
RYET,2025-04-10,4.3377,6.8,4.14,4.43
RYET,2025-04-11,4.44,5.025,4.44,4.76
RYET,2025-04-14,4.57,5.4,4.44,5.22
RYET,2025-04-15,5.3,7.24,5.0937,7.0
RYET,2025-04-16,7.11,8.34,5.785,6.02
RYET,2025-04-17,6.4,7.75,6.1015,7.72
RYET,2025-04-21,7.66,7.86,6.74,7.45
RYET,2025-04-22,7.25,7.88,7.0119,7.8
RYET,2025-04-23,6.81,6.81,6.105,6.81
RYET,2025-04-24,6.71,6.71,5.7518,5.8
RYET,2025-04-25,6.2,6.6524,5.5622,5.78
RYET,2025-04-28,5.84,6.23,4.85,4.98
RYET,2025-04-29,5.4,5.5,4.69,5.07
RYET,2025-04-30,5.1,8.698,4.88,8.2
RYET,2025-05-01,8.34,8.915,7.41,8.04
RYET,2025-05-02,8.06,8.61,6.45,6.76
RYET,2025-05-05,6.87,8.2,6.87,7.28
RYET,2025-05-06,7.11,8.4094,4.9,7.21
RYET,2025-05-07,7.2694,7.45,4.34,6.11
RYET,2025-05-08,6.075,8.3,5.91,7.82
RYET,2025-05-09,7.9,9.75,7.9,9.465
RYET,2025-05-12,9.27,13.2865,8.01,12.87
RYET,2025-05-13,13.18,15.2,11.49,14.46
RYET,2025-05-14,14.45,14.9828,2.68,9.575
RYET,2025-05-15,8.84,9.9,6.5001,7.8
RYET,2025-05-16,7.71,11.43,7.71,10.09
RYET,2025-05-19,10.0,13.0,9.97,12.38
RYET,2025-05-20,11.98,14.0,11.01,13.37
RYET,2025-05-21,13.32,14.2994,12.88,13.59
RYET,2025-05-22,13.5,15.3,13.3,13.77
RYET,2025-05-23,13.475,14.215,11.59,13.355
RYET,2025-05-27,12.97,14.365,12.97,14.12
RYET,2025-05-28,14.11,14.7,11.325,12.4
RYET,2025-05-29,12.42,13.23,9.83,10.73
RYET,2025-05-30,10.52,13.0,9.28,12.44
RYET,2025-06-02,11.89,12.76,9.3,9.6
RYET,2025-06-03,9.63,10.54,8.31,8.87
RYET,2025-06-04,8.86,11.19,8.6451,9.11
RYET,2025-06-05,8.61,9.18,7.7,7.72
RYET,2025-06-06,7.85,8.31,7.57,7.65
RYET,2025-06-09,7.75,9.35,7.4575,8.91
RYET,2025-06-10,8.64,9.64,8.15,8.43
RYET,2025-06-11,8.06,8.84,7.61,7.78
RYET,2025-06-12,7.63,8.1484,6.8,7.05
RYET,2025-06-13,6.97,7.9,6.6,7.18
RYET,2025-06-16,7.0,8.39,7.0,7.74
RYET,2025-06-17,7.74,9.5,7.5,8.85
RYET,2025-06-18,9.14,9.23,7.82,7.97
RYET,2025-06-20,8.04,8.34,7.3,7.59
RYET,2025-06-23,7.41,8.28,7.41,8.04
RYET,2025-06-24,8.01,9.1944,7.2,7.61
RYET,2025-06-25,7.61,8.2755,5.745,5.8
RYET,2025-06-26,5.72,6.67,5.36,6.55
RYET,2025-06-27,6.5,6.9,6.1123,6.15
RYET,2025-06-30,5.98,8.2,5.98,8.15
RYET,2025-07-01,8.18,8.3887,7.5,7.61
RYET,2025-07-02,7.61,9.545,7.61,9.46
RYET,2025-07-03,9.31,10.24,9.2,9.9
RYET,2025-07-07,9.9,10.27,9.2998,9.77
RYET,2025-07-08,9.76,10.1,8.945,9.92
RYET,2025-07-09,10.25,11.6179,9.98,11.17
RYET,2025-07-10,10.57,15.49,10.57,15.39
RYET,2025-07-11,18.445,21.0,18.445,20.22
RYET,2025-07-14,19.2,19.2,1.5,1.9
RYET,2025-07-15,1.64,2.46,1.6,1.94
RYET,2025-07-16,2.02,2.4,2.02,2.15
RYET,2025-07-17,2.21,2.9889,2.19,2.56
RYET,2025-07-18,2.7,2.86,2.2502,2.38
RYET,2025-07-21,2.52,2.67,2.1101,2.14
RYET,2025-07-22,2.14,2.2257,1.88,1.97
RYET,2025-07-23,2.01,2.18,1.9101,2.09
RYET,2025-07-24,2.09,2.1191,1.98,2.05
RYET,2025-07-25,2.04,2.075,1.97,1.98
RYET,2025-07-28,1.96,2.0017,1.88,1.94
RYET,2025-07-29,1.9,1.95,1.675,1.76
RYET,2025-07-30,1.8,1.85,1.68,1.68
RYET,2025-07-31,1.69,1.82,1.68,1.7
RYET,2025-08-01,1.68,1.69,1.58,1.63
RYET,2025-08-04,1.63,1.64,1.5,1.6
RYET,2025-08-05,1.55,1.65,1.55,1.6
RYET,2025-08-06,1.6,1.65,1.54,1.585
RYET,2025-08-07,1.57,1.7,1.54,1.56
RYET,2025-08-08,1.56,1.6,1.52,1.53
RYET,2025-08-11,1.52,1.58,1.51,1.51
