ticker,date,open,high,low,close
NXTC,2019-05-09,15.55,22.75,15.08,19.9
NXTC,2019-05-10,19.48,19.75,16.79,19.5
NXTC,2019-05-13,19.5,19.7,17.72,19.4
NXTC,2019-05-14,19.3,20.4875,18.5,19.48
NXTC,2019-05-15,19.45,20.5,19.45,20.01
NXTC,2019-05-16,19.96,20.4349,19.801,20.18
NXTC,2019-05-17,19.91,20.0,18.7167,19.8
NXTC,2019-05-20,19.84,21.32,19.48,20.64
NXTC,2019-05-21,20.75,21.0,19.89,20.01
NXTC,2019-05-22,20.0,20.15,18.9845,19.88
NXTC,2019-05-23,19.47,20.84,19.04,19.57
NXTC,2019-05-24,19.4542,20.8,19.445,19.9
NXTC,2019-05-28,19.73,20.62,19.45,19.72
NXTC,2019-05-29,19.47,20.22,18.17,18.34
NXTC,2019-05-30,18.25,20.455,18.25,19.18
NXTC,2019-05-31,18.99,20.14,18.54,18.62
NXTC,2019-06-03,18.89,19.0,17.16,17.35
NXTC,2019-06-04,17.19,18.8,17.03,17.71
NXTC,2019-06-05,18.05,18.86,16.01,16.25
NXTC,2019-06-06,16.25,17.93,15.5,16.65
NXTC,2019-06-07,16.96,17.3845,15.61,16.57
NXTC,2019-06-10,16.5,17.175,15.5,15.63
NXTC,2019-06-11,14.9,16.15,14.9,15.45
NXTC,2019-06-12,15.49,16.16,13.925,14.49
NXTC,2019-06-13,14.43,16.23,14.05,15.57
NXTC,2019-06-14,15.61,15.99,15.035,15.53
NXTC,2019-06-17,15.41,15.89,15.04,15.12
NXTC,2019-06-18,15.01,16.2,15.01,15.52
NXTC,2019-06-19,15.92,16.1209,15.38,15.42
NXTC,2019-06-20,15.44,16.25,15.17,15.17
NXTC,2019-06-21,15.39,15.65,14.55,14.62
NXTC,2019-06-24,14.53,15.255,13.86,14.56
NXTC,2019-06-25,14.47,14.76,14.13,14.34
NXTC,2019-06-26,14.46,14.7,14.2,14.4
NXTC,2019-06-27,14.41,14.845,14.01,14.16
NXTC,2019-06-28,14.22,15.91,14.12,14.98
NXTC,2019-07-01,15.16,18.3694,15.16,17.65
NXTC,2019-07-02,17.81,18.47,16.42,17.1
NXTC,2019-07-03,17.0,17.11,15.52,16.89
NXTC,2019-07-05,16.98,17.175,16.12,16.63
NXTC,2019-07-08,16.6289,16.97,15.69,15.73
NXTC,2019-07-09,15.99,17.17,15.99,16.95
NXTC,2019-07-10,17.36,18.09,16.21,16.65
NXTC,2019-07-11,16.75,17.34,16.35,17.01
NXTC,2019-07-12,17.0,17.245,16.5,16.78
NXTC,2019-07-15,16.68,16.955,16.53,16.57
NXTC,2019-07-16,16.51,18.0,16.15,16.28
NXTC,2019-07-17,16.17,16.98,16.04,16.5
NXTC,2019-07-18,16.36,17.7022,16.36,17.55
NXTC,2019-07-19,17.51,19.25,16.925,19.09
NXTC,2019-07-22,19.09,19.49,18.585,19.34
NXTC,2019-07-23,19.3,19.3,18.08,18.64
NXTC,2019-07-24,18.61,19.25,18.46,19.22
NXTC,2019-07-25,19.13,19.78,18.7,19.75
NXTC,2019-07-26,19.83,20.25,19.45,19.77
NXTC,2019-07-29,19.73,20.62,19.73,20.55
