ticker,date,open,high,low,close
JXG,2025-01-27,2.77,3.33,2.67,2.91
JXG,2025-01-28,3.0324,3.0324,2.37,2.87
JXG,2025-01-29,2.75,2.9987,2.73,2.75
JXG,2025-01-30,2.81,2.8824,2.64,2.7
JXG,2025-01-31,2.63,3.03,2.63,2.84
JXG,2025-02-03,2.77,2.811,2.6,2.6895
JXG,2025-02-04,2.835,2.9128,2.64,2.72
JXG,2025-02-05,2.65,2.72,2.47,2.52
JXG,2025-02-06,2.54,2.64,2.4,2.53
JXG,2025-02-07,2.56,2.795,2.41,2.5
JXG,2025-02-10,2.42,2.6145,2.42,2.6
JXG,2025-02-11,2.5101,2.7627,2.5101,2.58
JXG,2025-02-12,2.75,3.01,2.16,2.42
JXG,2025-02-13,2.58,2.58,2.42,2.4606
JXG,2025-02-14,2.47,2.53,2.4201,2.46
JXG,2025-02-18,2.5,2.56,2.41,2.5
JXG,2025-02-19,2.58,2.58,2.4,2.52
JXG,2025-02-20,2.5,2.5,2.2431,2.38
JXG,2025-02-21,2.37,2.3901,2.2702,2.3901
JXG,2025-02-24,2.4,2.4517,2.26,2.28
JXG,2025-02-25,2.28,2.53,2.23,2.49
JXG,2025-02-26,2.43,2.43,2.3101,2.43
JXG,2025-02-27,2.5138,2.558,2.5138,2.53
JXG,2025-02-28,2.45,2.5199,2.44,2.5014
JXG,2025-03-03,2.53,2.54,2.53,2.53
JXG,2025-03-04,2.2201,2.49,2.21,2.29
JXG,2025-03-05,2.385,2.4395,2.21,2.29
JXG,2025-03-06,2.21,2.3,2.17,2.23
JXG,2025-03-07,2.31,2.31,2.16,2.31
JXG,2025-03-10,2.33,2.33,2.21,2.235
JXG,2025-03-11,2.19,2.35,2.18,2.322
JXG,2025-03-12,2.2802,2.35,2.2802,2.347
JXG,2025-03-13,2.31,2.33,2.21,2.21
JXG,2025-03-14,2.185,2.27,2.1501,2.2283
JXG,2025-03-17,2.2251,2.2251,2.2251,2.2251
JXG,2025-03-18,2.22,2.5145,2.22,2.47
JXG,2025-03-19,2.4622,2.56,2.3956,2.55
JXG,2025-03-20,2.495,2.495,2.3411,2.4
JXG,2025-03-21,2.3521,2.49,2.2,2.324
JXG,2025-03-24,2.3952,2.44,2.35,2.44
JXG,2025-03-25,2.35,2.5699,2.35,2.54
JXG,2025-03-26,2.5503,2.58,2.2864,2.3
JXG,2025-03-27,2.48,2.48,2.3601,2.48
JXG,2025-03-28,2.3,2.52,2.3,2.52
JXG,2025-03-31,2.36,2.36,2.21,2.235
JXG,2025-04-01,2.19,2.3,2.19,2.3
JXG,2025-04-02,2.3097,2.4565,2.28,2.345
JXG,2025-04-03,2.367,2.367,2.12,2.17
JXG,2025-04-04,2.1636,2.41,2.1,2.16
JXG,2025-04-07,2.18,2.39,1.84,2.02
JXG,2025-04-08,2.4,2.4,2.0,2.14
JXG,2025-04-09,2.245,2.33,2.02,2.17
JXG,2025-04-10,2.26,2.26,2.26,2.26
JXG,2025-04-11,2.33,2.41,2.14,2.3
JXG,2025-04-14,2.31,2.31,2.06,2.31
JXG,2025-04-15,2.31,2.3615,2.31,2.31
JXG,2025-04-16,2.36,2.36,2.23,2.29
JXG,2025-04-17,2.33,2.38,2.2,2.3
JXG,2025-04-21,2.3,2.3691,2.2,2.31
JXG,2025-04-22,2.31,2.3652,2.23,2.3
JXG,2025-04-23,2.33,2.33,2.28,2.33
JXG,2025-04-24,2.4675,2.4675,2.26,2.407
JXG,2025-04-25,2.417,2.5362,2.33,2.4292
JXG,2025-04-28,2.39,2.4393,2.26,2.4393
JXG,2025-04-29,2.36,2.43,2.32,2.38
JXG,2025-04-30,2.375,2.41,2.3,2.37
JXG,2025-05-01,2.37,2.39,2.34,2.37
JXG,2025-05-02,2.4,2.4296,2.34,2.38
JXG,2025-05-05,2.36,2.42,2.36,2.39
JXG,2025-05-06,2.39,2.44,2.35,2.4
JXG,2025-05-07,2.39,2.4499,2.3,2.42
JXG,2025-05-08,2.39,2.54,2.31,2.44
JXG,2025-05-09,2.42,2.46,2.3,2.44
JXG,2025-05-12,2.42,2.55,2.38,2.55
JXG,2025-05-13,2.4999,2.59,2.4998,2.58
JXG,2025-05-14,2.54,2.57,2.41,2.54
JXG,2025-05-15,2.5294,2.55,2.3902,2.48
JXG,2025-05-16,2.48,2.7799,2.48,2.615
JXG,2025-05-19,2.6,2.6,2.49,2.58
JXG,2025-05-20,2.53,2.55,2.37,2.53
