ticker,date,open,high,low,close
PRME,2022-10-20,18.97,19.0,15.1,15.37
PRME,2022-10-21,15.48,16.24,14.94,15.76
PRME,2022-10-24,15.93,16.2499,14.52,15.2
PRME,2022-10-25,15.23,16.583,15.13,16.05
PRME,2022-10-26,15.92,17.14,15.91,16.41
PRME,2022-10-27,16.45,17.41,16.01,17.3
PRME,2022-10-28,17.35,18.84,16.9637,18.65
PRME,2022-10-31,18.9,19.43,18.25,18.82
PRME,2022-11-01,18.93,21.5275,18.445,21.12
PRME,2022-11-02,21.28,21.57,18.75,20.31
PRME,2022-11-03,19.87,21.725,18.2,18.64
PRME,2022-11-04,19.0,21.22,19.0,20.22
PRME,2022-11-07,20.2,20.375,17.66,18.15
PRME,2022-11-08,18.3,19.74,17.78,19.56
PRME,2022-11-09,19.25,20.55,18.975,19.52
PRME,2022-11-10,19.68,20.89,18.875,20.57
PRME,2022-11-11,20.82,21.25,19.965,21.12
PRME,2022-11-14,21.0,21.7301,18.555,19.61
PRME,2022-11-15,19.84,20.87,19.21,20.2
PRME,2022-11-16,20.29,20.41,18.1,18.22
PRME,2022-11-17,18.39,20.31,18.39,19.8
PRME,2022-11-18,20.06,20.33,19.18,19.4
PRME,2022-11-21,19.35,19.62,17.84,18.04
PRME,2022-11-22,18.18,19.53,17.84,19.14
PRME,2022-11-23,19.31,20.43,19.11,19.69
PRME,2022-11-25,20.01,21.005,20.0,20.71
PRME,2022-11-28,21.01,21.01,17.31,17.44
PRME,2022-11-29,17.49,18.8668,17.14,17.33
PRME,2022-11-30,17.3,18.21,16.11,17.19
PRME,2022-12-01,17.36,17.55,16.4626,16.5
PRME,2022-12-02,16.45,17.48,15.53,17.38
PRME,2022-12-05,16.92,18.93,15.75,18.24
PRME,2022-12-06,19.0,19.27,16.97,17.5
PRME,2022-12-07,17.32,17.44,16.56,16.86
PRME,2022-12-08,16.78,17.655,16.5,17.29
PRME,2022-12-09,17.31,17.565,16.67,16.87
PRME,2022-12-12,17.05,17.05,16.65,16.88
PRME,2022-12-13,17.4,18.27,16.6502,17.07
PRME,2022-12-14,17.25,17.63,16.51,17.02
PRME,2022-12-15,16.42,17.06,16.11,16.44
PRME,2022-12-16,16.65,17.19,16.3,16.85
PRME,2022-12-19,16.89,16.89,16.02,16.24
PRME,2022-12-20,16.32,16.74,16.06,16.5
PRME,2022-12-21,16.5,16.62,16.09,16.38
PRME,2022-12-22,16.16,16.88,16.05,16.83
PRME,2022-12-23,16.85,18.25,16.8,17.83
PRME,2022-12-27,17.72,18.25,17.135,18.13
PRME,2022-12-28,18.17,18.53,17.74,18.41
PRME,2022-12-29,18.54,19.9,18.4362,19.82
