ticker,date,open,high,low,close
NCT,2025-03-28,6.5,7.0,6.0,6.85
NCT,2025-03-31,6.8,6.95,5.71,5.82
NCT,2025-04-01,5.61,6.18,4.9001,5.4
NCT,2025-04-02,5.67,6.2,4.68,5.4
NCT,2025-04-03,5.08,6.0,4.5,5.75
NCT,2025-04-04,5.75,6.52,5.42,5.8
NCT,2025-04-07,5.81,5.81,5.48,5.55
NCT,2025-04-08,5.5792,5.5792,5.55,5.5792
NCT,2025-04-09,5.73,5.9999,5.402,5.7
NCT,2025-04-10,5.72,5.72,5.26,5.55
NCT,2025-04-11,5.7795,6.04,5.41,5.65
NCT,2025-04-14,5.66,6.0,5.45,5.7
NCT,2025-04-15,5.95,8.7599,5.42,8.01
NCT,2025-04-16,8.12,8.12,6.03,6.35
NCT,2025-04-17,6.6141,6.7,5.62,5.9
NCT,2025-04-21,5.79,6.08,5.3,5.36
NCT,2025-04-22,5.57,7.08,5.28,6.03
NCT,2025-04-23,6.1,6.6,5.465,6.29
NCT,2025-04-24,5.78,5.78,5.5,5.78
NCT,2025-04-25,5.8,5.9122,5.23,5.53
NCT,2025-04-28,5.58,5.8,4.365,4.49
NCT,2025-04-29,4.46,5.12,4.35,4.5
NCT,2025-04-30,4.36,4.36,4.1,4.27
NCT,2025-05-01,4.12,4.3682,3.94,4.05
NCT,2025-05-02,4.25,4.29,3.93,4.01
NCT,2025-05-05,4.2,4.27,3.56,4.0
NCT,2025-05-06,3.55,3.93,3.4649,3.65
NCT,2025-05-07,3.66,3.67,3.05,3.39
NCT,2025-05-08,3.45,3.45,3.21,3.35
NCT,2025-05-09,3.293,3.53,3.29,3.48
NCT,2025-05-12,3.45,3.805,3.35,3.78
NCT,2025-05-13,3.79,4.3,3.62,4.29
NCT,2025-05-14,4.03,4.49,3.79,3.94
NCT,2025-05-15,3.77,4.22,3.685,4.02
NCT,2025-05-16,4.14,4.43,3.91,4.18
NCT,2025-05-19,4.2,4.3,4.0163,4.1
NCT,2025-05-20,4.32,4.8499,3.9292,4.54
NCT,2025-05-21,4.43,5.21,4.43,4.85
NCT,2025-05-22,5.0,5.05,4.31,4.54
NCT,2025-05-23,4.9,5.35,4.16,4.44
NCT,2025-05-27,4.3,5.09,4.3,4.67
NCT,2025-05-28,4.7,4.7,4.22,4.24
NCT,2025-05-29,4.2,4.49,4.003,4.04
NCT,2025-05-30,4.1,4.1,3.68,3.99
NCT,2025-06-02,4.37,4.37,3.6,3.8
NCT,2025-06-03,3.95,4.3,3.705,4.25
NCT,2025-06-04,4.2,4.57,4.13,4.13
NCT,2025-06-05,4.19,4.52,4.15,4.16
NCT,2025-06-06,4.5,4.65,4.0,4.0
NCT,2025-06-09,3.808,3.82,3.3,3.79
NCT,2025-06-10,3.44,4.01,3.44,3.71
NCT,2025-06-11,3.63,3.85,3.43,3.46
NCT,2025-06-12,3.47,3.84,3.3,3.325
NCT,2025-06-13,3.415,3.88,3.36,3.4
NCT,2025-06-16,3.5,3.66,3.13,3.66
NCT,2025-06-17,3.34,3.57,3.15,3.15
NCT,2025-06-18,3.25,3.47,3.14,3.25
NCT,2025-06-20,3.46,3.98,3.37,3.95
NCT,2025-06-23,4.1,4.25,3.975,4.21
NCT,2025-06-24,4.19,4.29,3.6,3.63
NCT,2025-06-25,3.75,3.95,3.56,3.95
NCT,2025-06-26,3.54,3.89,3.54,3.54
NCT,2025-06-27,3.6,3.9,3.54,3.62
NCT,2025-06-30,3.71,4.01,3.3,3.3
NCT,2025-07-01,3.55,4.08,3.55,4.08
NCT,2025-07-02,3.95,4.5854,3.95,4.35
NCT,2025-07-03,4.35,4.8,4.32,4.56
NCT,2025-07-07,4.5,4.99,4.27,4.95
NCT,2025-07-08,4.61,5.1,4.06,4.71
NCT,2025-07-09,4.74,4.74,4.2629,4.4
NCT,2025-07-10,4.41,4.57,4.3,4.57
NCT,2025-07-11,4.378,4.378,4.378,4.378
NCT,2025-07-14,4.8638,4.8638,4.03,4.19
NCT,2025-07-15,4.325,4.325,3.83,3.83
NCT,2025-07-16,4.0,4.3,3.41,3.66
NCT,2025-07-17,3.53,3.81,3.5,3.5
NCT,2025-07-18,3.7,3.7,3.34,3.38
NCT,2025-07-21,3.23,3.73,3.15,3.64
NCT,2025-07-22,3.51,3.829,3.5,3.718
NCT,2025-07-23,3.97,4.24,3.75,4.22
NCT,2025-07-24,4.225,4.35,4.13,4.15
NCT,2025-07-25,4.24,4.3297,4.03,4.31
NCT,2025-07-28,4.0501,4.19,3.9,4.09
NCT,2025-07-29,4.18,4.28,3.15,3.44
NCT,2025-07-30,3.48,3.825,3.37,3.825
NCT,2025-07-31,3.64,4.04,3.53,3.68
NCT,2025-08-01,3.63,3.8,3.4,3.62
NCT,2025-08-04,3.719,4.15,3.51,3.5601
NCT,2025-08-05,3.5,3.79,2.9,3.1
NCT,2025-08-06,2.84,3.22,2.84,3.16
NCT,2025-08-07,3.18,3.2,2.8,2.8
NCT,2025-08-08,2.86,3.04,2.5,2.71
NCT,2025-08-11,2.71,3.0,2.71,3.0
NCT,2025-08-12,2.85,3.05,2.61,2.72
NCT,2025-08-13,2.8,2.9,2.61,2.655
NCT,2025-08-14,2.71,2.88,2.6,2.6
NCT,2025-08-15,2.73,2.73,2.51,2.51
NCT,2025-08-18,2.5,2.62,2.2001,2.485
NCT,2025-08-19,2.34,2.47,2.01,2.01
NCT,2025-08-20,2.21,3.7,1.41,1.98
NCT,2025-08-21,1.54,1.93,1.54,1.56
NCT,2025-08-22,1.53,1.67,1.29,1.46
NCT,2025-08-25,1.35,1.58,1.35,1.51
NCT,2025-08-26,1.41,1.5399,1.35,1.5
NCT,2025-08-27,1.47,1.56,1.43,1.48
NCT,2025-08-28,1.41,1.49,1.4,1.4311
NCT,2025-08-29,1.4,1.4,1.3,1.31
NCT,2025-09-02,1.26,1.3299,1.15,1.15
NCT,2025-09-03,1.24,1.27,1.105,1.17
NCT,2025-09-04,1.1,1.15,1.05,1.15
