ticker,date,open,high,low,close
WHWK,2025-03-19,1.77,2.2,1.77,2.02
WHWK,2025-03-20,1.96,1.96,1.91,1.96
WHWK,2025-03-21,1.99,2.05,1.905,2.025
WHWK,2025-03-24,2.0,2.09,1.94,1.98
WHWK,2025-03-25,1.99,2.0399,1.945,1.95
WHWK,2025-03-26,1.951,1.9622,1.91,1.92
WHWK,2025-03-27,1.92,1.94,1.87,1.9
WHWK,2025-03-28,1.88,1.925,1.85,1.91
WHWK,2025-03-31,1.92,1.92,1.73,1.78
WHWK,2025-04-01,1.78,1.78,1.67,1.7
WHWK,2025-04-02,1.7,1.7711,1.675,1.7
WHWK,2025-04-03,1.61,1.68,1.58,1.68
WHWK,2025-04-04,1.59,1.66,1.59,1.66
WHWK,2025-04-07,1.61,1.72,1.55,1.62
WHWK,2025-04-08,1.6752,1.72,1.58,1.595
WHWK,2025-04-09,1.6326,1.67,1.48,1.65
WHWK,2025-04-10,1.62,1.62,1.62,1.62
WHWK,2025-04-11,1.6246,1.71,1.62,1.64
WHWK,2025-04-14,1.64,1.77,1.64,1.71
WHWK,2025-04-15,1.68,1.68,1.6597,1.68
WHWK,2025-04-16,1.66,1.67,1.54,1.54
WHWK,2025-04-17,1.575,1.6062,1.53,1.57
WHWK,2025-04-21,1.55,1.62,1.53,1.55
WHWK,2025-04-22,1.53,1.5929,1.5189,1.54
WHWK,2025-04-23,1.54,1.595,1.54,1.55
WHWK,2025-04-24,1.57,1.57,1.5,1.51
WHWK,2025-04-25,1.51,1.51,1.39,1.45
WHWK,2025-04-28,1.43,1.54,1.43,1.48
WHWK,2025-04-29,1.4601,1.53,1.4601,1.47
WHWK,2025-04-30,1.46,1.52,1.44,1.48
WHWK,2025-05-01,1.48,1.67,1.44,1.67
WHWK,2025-05-02,1.65,1.75,1.62,1.725
WHWK,2025-05-05,1.72,1.77,1.61,1.61
WHWK,2025-05-06,1.63,1.65,1.53,1.58
WHWK,2025-05-07,1.58,1.66,1.58,1.63
WHWK,2025-05-08,1.66,1.67,1.55,1.64
WHWK,2025-05-09,1.74,1.74,1.61,1.7
WHWK,2025-05-12,1.7,1.73,1.63,1.67
WHWK,2025-05-13,1.63,1.69,1.59,1.65
WHWK,2025-05-14,1.69,1.72,1.679,1.68
WHWK,2025-05-15,1.675,1.7,1.63,1.69
WHWK,2025-05-16,1.72,1.7904,1.66,1.72
WHWK,2025-05-19,1.69,1.7687,1.69,1.76
WHWK,2025-05-20,1.76,2.2,1.7,1.99
WHWK,2025-05-21,2.04,2.0601,1.9,1.925
WHWK,2025-05-22,1.89,1.8991,1.78,1.88
WHWK,2025-05-23,1.851,1.8901,1.74,1.76
WHWK,2025-05-27,1.76,1.86,1.72,1.8
WHWK,2025-05-28,1.8,1.87,1.6614,1.74
WHWK,2025-05-29,1.7,1.81,1.7,1.8
WHWK,2025-05-30,1.82,1.82,1.68,1.69
WHWK,2025-06-02,1.68,1.75,1.64,1.74
WHWK,2025-06-03,1.76,1.79,1.64,1.7
WHWK,2025-06-04,1.67,1.7376,1.67,1.69
WHWK,2025-06-05,1.71,1.71,1.64,1.68
WHWK,2025-06-06,1.72,1.87,1.66,1.87
WHWK,2025-06-09,1.91,2.0,1.834,1.96
WHWK,2025-06-10,1.98,2.1,1.9444,1.99
WHWK,2025-06-11,1.955,2.0441,1.92,2.0
WHWK,2025-06-12,2.03,2.13,1.995,2.04
WHWK,2025-06-13,2.02,2.08,1.95,1.96
WHWK,2025-06-16,1.93,2.08,1.93,2.04
WHWK,2025-06-17,2.02,2.08,1.965,2.01
WHWK,2025-06-18,2.0,2.115,1.92,2.05
WHWK,2025-06-20,2.09,2.13,2.03,2.09
WHWK,2025-06-23,2.13,2.17,1.95,1.95
WHWK,2025-06-24,1.97,2.0,1.89,1.89
WHWK,2025-06-25,1.88,1.91,1.825,1.87
WHWK,2025-06-26,1.84,1.95,1.83,1.9
WHWK,2025-06-27,1.88,1.94,1.84,1.93
WHWK,2025-06-30,1.91,1.94,1.87,1.87
WHWK,2025-07-01,1.895,1.99,1.86,1.86
WHWK,2025-07-02,1.87,1.92,1.85,1.88
WHWK,2025-07-03,1.87,2.015,1.87,1.99
WHWK,2025-07-07,2.01,2.015,1.92,1.98
WHWK,2025-07-08,1.93,2.08,1.93,1.99
WHWK,2025-07-09,1.99,2.06,1.99,2.01
WHWK,2025-07-10,2.0249,2.08,1.95,1.97
WHWK,2025-07-11,1.91,1.91,1.91,1.91
WHWK,2025-07-14,1.91,2.05,1.91,2.05
WHWK,2025-07-15,2.02,2.05,1.91,1.94
WHWK,2025-07-16,1.94,1.98,1.91,1.95
WHWK,2025-07-17,1.96,1.9995,1.84,1.85
WHWK,2025-07-18,1.85,1.8899,1.79,1.8
WHWK,2025-07-21,1.8,1.85,1.8,1.85
WHWK,2025-07-22,1.82,1.91,1.82,1.87
WHWK,2025-07-23,1.91,2.01,1.89,2.01
WHWK,2025-07-24,1.98,2.0206,1.92,1.94
WHWK,2025-07-25,1.991,2.0,1.93,1.95
WHWK,2025-07-28,1.95,1.9667,1.81,1.81
WHWK,2025-07-29,1.8,1.81,1.71,1.72
WHWK,2025-07-30,1.78,1.84,1.76,1.79
WHWK,2025-07-31,1.82,1.825,1.7,1.76
WHWK,2025-08-01,1.74,1.82,1.72,1.74
WHWK,2025-08-04,1.74,1.78,1.7,1.76
WHWK,2025-08-05,1.77,1.79,1.76,1.77
WHWK,2025-08-06,1.77,1.81,1.701,1.8
WHWK,2025-08-07,1.76,1.775,1.7106,1.72
WHWK,2025-08-08,1.72,1.84,1.6699,1.75
WHWK,2025-08-11,1.75,1.75,1.66,1.69
WHWK,2025-08-12,1.695,1.78,1.682,1.71
WHWK,2025-08-13,1.7,1.8,1.7,1.71
WHWK,2025-08-14,1.68,1.69,1.61,1.62
WHWK,2025-08-15,1.62,1.655,1.6,1.6
WHWK,2025-08-18,1.6,1.652,1.59,1.61
WHWK,2025-08-19,1.61,1.69,1.57,1.65
WHWK,2025-08-20,1.66,1.68,1.62,1.65
WHWK,2025-08-21,1.62,1.68,1.6,1.65
WHWK,2025-08-22,1.68,1.76,1.68,1.74
WHWK,2025-08-25,1.71,1.75,1.7,1.7
WHWK,2025-08-26,1.71,1.835,1.71,1.81
WHWK,2025-08-27,1.81,1.86,1.81,1.81
WHWK,2025-08-28,1.81,1.8517,1.77,1.77
WHWK,2025-08-29,1.78,1.81,1.77,1.805
WHWK,2025-09-02,1.76,1.86,1.76,1.82
WHWK,2025-09-03,1.85,1.8699,1.8,1.81
WHWK,2025-09-04,1.8,1.8332,1.8,1.81
WHWK,2025-09-05,1.8,1.85,1.8,1.82
WHWK,2025-09-08,1.8,1.83,1.7701,1.79
WHWK,2025-09-09,1.76,1.85,1.76,1.8
WHWK,2025-09-10,1.8,1.84,1.79,1.79
WHWK,2025-09-11,1.79,2.04,1.78,2.01
WHWK,2025-09-12,1.94,2.0199,1.91,1.99
WHWK,2025-09-15,1.98,1.98,1.8,1.86
WHWK,2025-09-16,1.86,2.02,1.805,1.95
WHWK,2025-09-17,1.9221,2.0,1.9001,1.95
WHWK,2025-09-18,1.9505,2.0176,1.95,1.97
WHWK,2025-09-19,1.9699,2.01,1.885,1.92
WHWK,2025-09-22,2.0,2.0,1.89,1.9
WHWK,2025-09-23,1.93,1.97,1.87,1.92
WHWK,2025-09-24,1.94,1.94,1.87,1.91
WHWK,2025-09-25,1.95,1.95,1.88,1.89
WHWK,2025-09-26,1.89,1.9491,1.89,1.94
WHWK,2025-09-29,1.97,1.97,1.88,1.92
WHWK,2025-09-30,1.9,1.935,1.82,1.88
WHWK,2025-10-01,1.86,1.95,1.86,1.91
