ticker,date,open,high,low,close
JFB,2025-03-06,3.61,3.8,3.39,3.51
JFB,2025-03-07,3.5,3.7164,3.47,3.61
JFB,2025-03-10,3.59,3.665,3.55,3.6
JFB,2025-03-11,3.51,3.75,3.5,3.52
JFB,2025-03-12,3.55,3.82,3.55,3.61
JFB,2025-03-13,3.7076,3.76,3.55,3.57
JFB,2025-03-14,3.5868,3.94,3.5868,3.76
JFB,2025-03-17,3.9,3.9,3.5443,3.605
JFB,2025-03-18,3.6,3.79,3.6,3.7586
JFB,2025-03-19,3.75,3.85,3.62,3.65
JFB,2025-03-20,3.75,4.26,3.6,4.1325
JFB,2025-03-21,4.14,4.5,3.92,4.36
JFB,2025-03-24,4.47,4.87,4.1,4.21
JFB,2025-03-25,4.14,4.49,4.1139,4.15
JFB,2025-03-26,4.15,4.18,4.15,4.15
JFB,2025-03-27,4.11,4.3,4.08,4.08
JFB,2025-03-28,4.1158,4.3,3.804,4.1286
JFB,2025-03-31,4.08,4.4,3.8,4.24
JFB,2025-04-01,4.22,4.44,4.01,4.44
JFB,2025-04-02,4.41,4.41,4.04,4.06
JFB,2025-04-03,4.31,4.4,4.03,4.03
JFB,2025-04-04,4.18,4.44,4.18,4.265
JFB,2025-04-07,4.06,4.08,3.6101,3.7
JFB,2025-04-08,3.6,3.6,3.6,3.6
JFB,2025-04-09,3.985,3.985,3.8,3.96
JFB,2025-04-10,3.8,3.8447,3.73,3.8447
JFB,2025-04-11,4.04,4.3,3.9,4.07
JFB,2025-04-14,4.3202,4.71,3.85,4.03
JFB,2025-04-15,3.852,4.63,3.852,4.02
JFB,2025-04-16,4.03,4.71,4.02,4.4449
JFB,2025-04-17,4.4,4.4,4.305,4.4
JFB,2025-04-21,4.32,4.46,3.91,4.16
JFB,2025-04-22,4.38,4.71,4.1,4.27
JFB,2025-04-23,4.16,4.21,3.76,4.21
JFB,2025-04-24,4.3,4.5499,3.95,3.95
JFB,2025-04-25,4.0464,4.49,4.0,4.0
JFB,2025-04-28,4.05,4.44,3.99,3.99
JFB,2025-04-29,3.99,4.44,3.99,4.4
JFB,2025-04-30,4.25,4.69,4.1152,4.3
JFB,2025-05-01,4.19,4.72,4.19,4.56
JFB,2025-05-02,4.6,4.6,4.39,4.6
JFB,2025-05-05,4.45,4.59,4.21,4.21
JFB,2025-05-06,4.355,4.61,4.12,4.4728
JFB,2025-05-07,4.72,4.75,4.6,4.74
JFB,2025-05-08,4.6486,4.6486,4.5001,4.6486
JFB,2025-05-09,4.7,4.7455,4.5,4.73
JFB,2025-05-12,4.51,4.76,4.51,4.7331
JFB,2025-05-13,4.76,5.35,4.72,5.35
JFB,2025-05-14,5.29,5.37,5.23,5.37
JFB,2025-05-15,5.21,5.25,5.2,5.2
JFB,2025-05-16,5.09,5.1,5.0116,5.0264
JFB,2025-05-19,5.1,5.1,5.0003,5.09
JFB,2025-05-20,5.5,5.5,4.65,5.125
JFB,2025-05-21,5.48,5.48,4.91,4.9101
JFB,2025-05-22,5.27,5.27,5.0468,5.0468
JFB,2025-05-23,5.0722,5.25,4.8,4.8
JFB,2025-05-27,5.04,5.39,5.04,5.2302
JFB,2025-05-28,5.5,6.37,5.4,6.24
JFB,2025-05-29,6.43,6.5,6.0,6.49
JFB,2025-05-30,6.28,6.48,5.35,5.35
JFB,2025-06-02,5.63,5.9225,5.41,5.48
JFB,2025-06-03,5.99,5.99,5.4,5.4
JFB,2025-06-04,5.2774,5.39,5.19,5.39
JFB,2025-06-05,5.245,5.3899,5.24,5.3532
JFB,2025-06-06,5.4,5.4,5.02,5.28
JFB,2025-06-09,5.6,5.7043,5.17,5.3
JFB,2025-06-10,5.005,5.3561,4.9887,5.125
JFB,2025-06-11,4.756,5.34,4.756,4.82
JFB,2025-06-12,4.7964,5.05,4.76,5.01
JFB,2025-06-13,4.97,4.97,4.75,4.8
JFB,2025-06-16,4.99,5.07,4.655,5.01
JFB,2025-06-17,4.93,4.93,4.6,4.6
JFB,2025-06-18,4.81,5.25,4.65,5.13
JFB,2025-06-20,6.36,6.4,5.21,5.31
JFB,2025-06-23,5.4,5.9899,5.27,5.63
JFB,2025-06-24,5.84,6.3788,4.82,6.05
JFB,2025-06-25,6.24,6.45,6.2,6.22
JFB,2025-06-26,6.25,6.2831,6.0145,6.25
JFB,2025-06-27,6.3483,6.375,5.7374,6.35
JFB,2025-06-30,6.4,6.7,6.25,6.7
JFB,2025-07-01,6.75,7.09,6.26,7.09
JFB,2025-07-02,6.76,7.035,6.42,6.94
JFB,2025-07-03,7.0,7.4,6.71,7.01
JFB,2025-07-07,7.02,7.6893,6.684,6.95
JFB,2025-07-08,7.0,7.3664,6.3081,7.14
JFB,2025-07-09,7.05,7.5,7.0,7.4125
JFB,2025-07-10,7.07,7.4619,7.0624,7.29
JFB,2025-07-11,7.36,7.36,7.36,7.36
JFB,2025-07-14,7.5,10.46,7.5,8.57
JFB,2025-07-15,8.5,8.5,6.95,8.0112
JFB,2025-07-16,7.78,8.24,7.05,7.2799
JFB,2025-07-17,7.25,7.25,6.3,6.53
JFB,2025-07-18,6.62,6.94,6.5301,6.8799
JFB,2025-07-21,6.97,6.9851,6.26,6.35
JFB,2025-07-22,6.67,6.8977,6.37,6.77
JFB,2025-07-23,7.1,7.24,6.91,7.04
JFB,2025-07-24,7.24,7.67,6.98,7.13
JFB,2025-07-25,7.28,7.69,7.01,7.69
JFB,2025-07-28,7.69,8.0,6.96,8.0
JFB,2025-07-29,7.96,7.96,7.03,7.09
JFB,2025-07-30,7.26,7.26,6.64,6.8
JFB,2025-07-31,7.0,7.23,6.72,6.94
JFB,2025-08-01,6.9,6.99,6.37,6.99
JFB,2025-08-04,7.79,8.4424,7.534,8.2
JFB,2025-08-05,8.49,10.25,8.2164,10.0
JFB,2025-08-06,10.5,10.8,9.6934,10.0
JFB,2025-08-07,10.0,10.59,9.55,10.4
JFB,2025-08-08,10.62,10.63,8.24,8.49
JFB,2025-08-11,8.65,9.1609,7.9601,8.0
JFB,2025-08-12,8.02,8.482,7.2721,7.33
JFB,2025-08-13,7.3,7.64,7.01,7.08
