ticker,date,open,high,low,close
DRDB,2025-02-04,9.93,9.93,9.9,9.9
DRDB,2025-02-05,9.91,9.92,9.91,9.91
DRDB,2025-02-06,9.91,9.92,9.91,9.92
DRDB,2025-02-07,9.92,9.92,9.91,9.91
DRDB,2025-02-10,9.92,9.92,9.92,9.92
DRDB,2025-02-11,9.9201,9.93,9.92,9.93
DRDB,2025-02-12,9.92,9.93,9.92,9.92
DRDB,2025-02-13,9.94,9.94,9.92,9.92
DRDB,2025-02-14,9.93,9.93,9.9249,9.9299
DRDB,2025-02-18,9.93,9.93,9.93,9.93
DRDB,2025-02-19,9.93,9.93,9.93,9.93
DRDB,2025-02-20,9.935,10.015,9.93,9.94
DRDB,2025-02-21,9.94,9.94,9.93,9.93
DRDB,2025-02-24,9.95,9.95,9.94,9.94
DRDB,2025-02-25,9.95,9.95,9.93,9.935
DRDB,2025-02-26,9.93,9.95,9.93,9.95
DRDB,2025-02-27,9.94,9.95,9.94,9.95
DRDB,2025-02-28,9.9411,9.9451,9.94,9.94
DRDB,2025-03-03,9.94,9.95,9.94,9.95
DRDB,2025-03-04,9.94,9.95,9.94,9.95
DRDB,2025-03-05,9.9449,9.95,9.94,9.94
DRDB,2025-03-06,9.955,9.99,9.955,9.96
DRDB,2025-03-07,9.97,9.98,9.9699,9.98
DRDB,2025-03-10,9.98,9.98,9.97,9.97
DRDB,2025-03-11,9.98,9.98,9.98,9.98
DRDB,2025-03-12,9.97,9.98,9.97,9.98
DRDB,2025-03-13,9.94,9.99,9.94,9.99
DRDB,2025-03-14,9.98,9.98,9.98,9.98
DRDB,2025-03-17,9.98,9.99,9.98,9.99
DRDB,2025-03-18,9.99,10.0,9.99,10.0
DRDB,2025-03-19,9.98,9.98,9.98,9.98
DRDB,2025-03-20,9.99,10.01,9.99,10.01
DRDB,2025-03-21,10.01,10.01,9.99,10.01
DRDB,2025-03-24,10.0,10.02,10.0,10.0
DRDB,2025-03-25,10.0,10.0,10.0,10.0
DRDB,2025-03-26,10.01,10.01,10.0,10.0
DRDB,2025-03-27,10.01,10.0401,10.01,10.04
DRDB,2025-03-28,10.02,10.04,10.02,10.04
DRDB,2025-03-31,10.05,10.05,10.05,10.05
DRDB,2025-04-01,10.03,10.03,10.01,10.01
DRDB,2025-04-02,10.03,10.03,10.02,10.03
DRDB,2025-04-03,10.03,10.04,10.02,10.04
DRDB,2025-04-04,10.04,10.05,10.0077,10.02
DRDB,2025-04-07,10.011,10.03,9.96,10.0
DRDB,2025-04-08,10.0,10.01,10.0,10.0
DRDB,2025-04-09,10.0,10.0,10.0,10.0
DRDB,2025-04-10,9.995,10.0,9.99,10.0
DRDB,2025-04-11,10.0,10.0049,10.0,10.0
DRDB,2025-04-14,10.0,10.0,10.0,10.0
DRDB,2025-04-15,10.0,10.01,10.0,10.0096
DRDB,2025-04-17,10.0,10.0,9.995,9.9999
DRDB,2025-04-21,10.0,10.01,10.0,10.005
DRDB,2025-04-22,10.01,10.01,10.0,10.0
DRDB,2025-04-23,10.02,10.02,10.02,10.02
DRDB,2025-04-24,10.02,10.05,10.02,10.05
DRDB,2025-04-25,10.045,10.06,10.045,10.05
DRDB,2025-04-28,10.055,10.09,10.055,10.08
DRDB,2025-04-29,10.08,10.11,10.08,10.09
DRDB,2025-04-30,10.12,10.14,10.115,10.13
DRDB,2025-05-01,10.13,10.16,10.13,10.16
DRDB,2025-05-02,10.15,10.18,10.15,10.15
DRDB,2025-05-05,10.15,10.17,10.15,10.17
DRDB,2025-05-06,10.17,10.18,10.16,10.18
DRDB,2025-05-07,10.18,10.18,10.18,10.18
DRDB,2025-05-08,10.18,10.19,10.16,10.18
DRDB,2025-05-09,10.18,10.18,10.17,10.175
DRDB,2025-05-12,10.18,10.18,10.17,10.18
DRDB,2025-05-13,10.18,10.19,10.18,10.19
DRDB,2025-05-14,10.1799,10.25,10.17,10.24
DRDB,2025-05-15,10.21,10.21,10.2,10.205
DRDB,2025-05-16,10.21,10.21,10.2,10.205
DRDB,2025-05-19,10.18,10.22,10.18,10.22
DRDB,2025-05-20,10.2,10.25,10.2,10.22
DRDB,2025-05-21,10.18,10.23,10.18,10.22
DRDB,2025-05-22,10.17,10.21,10.17,10.21
DRDB,2025-05-23,10.16,10.22,10.16,10.22
DRDB,2025-05-27,10.23,10.25,10.23,10.25
DRDB,2025-05-28,10.2497,10.26,10.2269,10.26
DRDB,2025-05-29,10.26,10.27,10.25,10.25
DRDB,2025-05-30,10.27,10.285,10.255,10.27
DRDB,2025-06-02,10.31,10.31,10.2799,10.2799
DRDB,2025-06-03,10.3,10.32,10.29,10.3
DRDB,2025-06-04,10.3,10.32,10.2897,10.29
DRDB,2025-06-05,10.3,10.33,10.3,10.325
DRDB,2025-06-06,10.33,10.3402,10.325,10.33
DRDB,2025-06-09,10.34,10.36,10.34,10.35
DRDB,2025-06-10,10.33,10.36,10.33,10.36
DRDB,2025-06-11,10.36,10.37,10.35,10.35
DRDB,2025-06-12,10.3699,10.39,10.3654,10.39
DRDB,2025-06-13,10.35,10.39,10.35,10.35
DRDB,2025-06-16,10.38,10.39,10.35,10.35
DRDB,2025-06-17,10.39,10.39,10.35,10.37
DRDB,2025-06-18,10.35,10.39,10.34,10.36
DRDB,2025-06-20,10.39,10.39,10.35,10.36
DRDB,2025-06-23,10.351,10.43,10.33,10.35
DRDB,2025-06-24,10.3551,10.3731,10.3504,10.36
DRDB,2025-06-25,10.36,10.36,10.3,10.32
DRDB,2025-06-26,10.33,10.33,10.295,10.31
DRDB,2025-06-27,10.29,10.32,10.29,10.31
DRDB,2025-06-30,10.33,10.33,10.31,10.315
DRDB,2025-07-01,10.34,10.34,10.28,10.3
DRDB,2025-07-02,10.31,10.32,10.29,10.3
DRDB,2025-07-03,10.32,10.32,10.32,10.32
DRDB,2025-07-07,10.3,10.31,10.29,10.29
DRDB,2025-07-08,10.32,10.32,10.26,10.27
DRDB,2025-07-09,10.3,10.3,10.26,10.27
DRDB,2025-07-10,10.3,10.3,10.26,10.26
DRDB,2025-07-11,10.26,10.26,10.23,10.26
DRDB,2025-07-14,10.275,10.3,10.26,10.26
DRDB,2025-07-15,10.29,10.29,10.255,10.255
DRDB,2025-07-16,10.25,10.26,10.25,10.25
DRDB,2025-07-17,10.27,10.27,10.25,10.25
DRDB,2025-07-18,10.3,10.3,10.25,10.25
DRDB,2025-07-21,10.26,10.27,10.26,10.27
DRDB,2025-07-22,10.29,10.29,10.26,10.26
DRDB,2025-07-23,10.26,10.28,10.26,10.27
DRDB,2025-07-24,10.2788,10.28,10.26,10.28
DRDB,2025-07-25,10.2986,10.2986,10.275,10.28
DRDB,2025-07-28,10.27,10.29,10.27,10.285
DRDB,2025-07-29,10.28,10.3,10.275,10.275
DRDB,2025-07-30,10.28,10.285,10.26,10.275
DRDB,2025-07-31,10.3,10.3,10.27,10.275
DRDB,2025-08-01,10.275,10.28,10.27,10.275
DRDB,2025-08-04,10.3,10.3,10.26,10.27
DRDB,2025-08-05,10.29,10.29,10.265,10.27
DRDB,2025-08-06,10.285,10.2901,10.27,10.28
DRDB,2025-08-07,10.29,10.29,10.265,10.27
DRDB,2025-08-08,10.27,10.275,10.265,10.27
DRDB,2025-08-11,10.28,10.28,10.27,10.2729
DRDB,2025-08-12,10.27,10.27,10.25,10.25
DRDB,2025-08-13,10.26,10.27,10.255,10.2644
DRDB,2025-08-14,10.27,10.28,10.26,10.27
DRDB,2025-08-15,10.28,10.28,10.27,10.27
DRDB,2025-08-18,10.28,10.285,10.27,10.28
DRDB,2025-08-19,10.27,10.29,10.27,10.29
