ticker,date,open,high,low,close
MIMI,2025-01-27,4.95,6.2,4.71,5.86
MIMI,2025-01-28,5.91,6.84,5.74,6.62
MIMI,2025-01-29,6.83,6.83,6.01,6.32
MIMI,2025-01-30,6.3,6.61,5.32,5.56
MIMI,2025-01-31,5.67,5.97,5.61,5.76
MIMI,2025-02-03,5.93,6.26,5.61,5.98
MIMI,2025-02-04,5.96,6.2,5.35,5.595
MIMI,2025-02-05,5.81,5.906,4.8,5.15
MIMI,2025-02-06,5.21,5.64,5.21,5.64
MIMI,2025-02-07,5.11,5.5,5.02,5.46
MIMI,2025-02-10,5.61,5.61,5.58,5.59
MIMI,2025-02-11,5.59,5.6,5.32,5.43
MIMI,2025-02-12,5.43,5.43,4.6523,4.92
MIMI,2025-02-13,4.96,5.46,4.522,4.66
MIMI,2025-02-14,4.77,4.85,4.5226,4.76
MIMI,2025-02-18,4.87,4.9,4.68,4.9
MIMI,2025-02-19,4.93,5.3,4.9,5.1
MIMI,2025-02-20,5.19,5.35,5.13,5.18
MIMI,2025-02-21,5.33,5.4,5.11,5.2133
MIMI,2025-02-24,5.22,5.6,5.16,5.38
MIMI,2025-02-25,5.3,5.6,5.2033,5.3
MIMI,2025-02-26,5.3,5.3778,5.15,5.3
MIMI,2025-02-27,5.33,5.33,4.62,5.1505
MIMI,2025-02-28,5.24,5.52,4.79,5.515
MIMI,2025-03-03,5.57,5.92,5.39,5.4
MIMI,2025-03-04,5.59,5.59,5.2,5.41
MIMI,2025-03-05,5.5,5.75,5.34,5.545
MIMI,2025-03-06,5.6,5.69,5.34,5.5304
MIMI,2025-03-07,5.42,5.42,5.37,5.42
MIMI,2025-03-10,5.51,5.59,5.38,5.49
MIMI,2025-03-11,5.55,5.7,5.35,5.7
MIMI,2025-03-12,5.7,5.7,5.45,5.55
MIMI,2025-03-13,5.59,5.685,5.5,5.66
MIMI,2025-03-14,5.6,5.8,5.515,5.615
MIMI,2025-03-17,5.72,5.98,5.59,5.75
MIMI,2025-03-18,5.85,5.9799,5.53,5.63
MIMI,2025-03-19,5.71,5.89,5.7,5.82
MIMI,2025-03-20,5.79,5.89,5.6,5.66
MIMI,2025-03-21,5.66,5.87,5.575,5.7
MIMI,2025-03-24,5.84,6.04,5.6,6.02
MIMI,2025-03-25,6.03,6.051,5.66,6.01
MIMI,2025-03-26,6.0,6.33,5.7,6.19
MIMI,2025-03-27,6.09,6.29,6.03,6.0553
MIMI,2025-03-28,6.01,6.25,5.07,5.34
MIMI,2025-03-31,5.44,5.44,4.95,5.07
MIMI,2025-04-01,5.22,5.22,4.1364,4.29
MIMI,2025-04-02,4.15,4.1626,3.36,3.98
MIMI,2025-04-03,4.06,4.5169,4.06,4.11
MIMI,2025-04-04,4.13,4.225,3.9,3.94
MIMI,2025-04-07,3.93,3.99,3.55,3.58
MIMI,2025-04-08,3.85,3.85,3.7,3.7
MIMI,2025-04-09,3.722,4.03,3.61,3.7
MIMI,2025-04-10,3.8,4.2,3.8,4.07
MIMI,2025-04-11,3.95,4.08,3.5,3.99
MIMI,2025-04-14,3.75,4.1,3.75,4.04
MIMI,2025-04-15,3.97,4.13,3.97,4.02
MIMI,2025-04-16,3.9339,4.06,3.9339,4.05
MIMI,2025-04-17,3.98,4.01,3.9496,3.95
MIMI,2025-04-21,3.91,4.17,3.908,3.95
MIMI,2025-04-22,3.92,4.6032,3.92,4.1
MIMI,2025-04-23,4.25,4.28,4.1,4.15
MIMI,2025-04-24,4.2,4.36,4.18,4.2
MIMI,2025-04-25,4.04,4.04,4.03,4.04
MIMI,2025-04-28,4.22,4.3,4.07,4.1761
MIMI,2025-04-29,4.2,4.27,3.9,4.05
MIMI,2025-04-30,4.0,4.1,3.91,3.98
MIMI,2025-05-01,3.91,4.2,3.71,4.0
MIMI,2025-05-02,3.97,4.25,3.91,3.91
MIMI,2025-05-05,3.9,4.19,3.9,4.05
