ticker,date,open,high,low,close
SLSN,2025-04-08,16.56,16.56,1.36,1.785
SLSN,2025-04-09,1.79,2.15,1.56,1.76
SLSN,2025-04-10,1.73,1.84,1.66,1.68
SLSN,2025-04-11,1.64,2.04,1.635,1.76
SLSN,2025-04-14,1.77,2.39,1.77,2.21
SLSN,2025-04-15,2.23,2.3743,2.1,2.28
SLSN,2025-04-16,2.22,2.36,2.19,2.19
SLSN,2025-04-17,2.2,2.37,2.2,2.24
SLSN,2025-04-21,2.2495,2.345,2.08,2.25
SLSN,2025-04-22,2.18,2.349,2.175,2.28
SLSN,2025-04-23,2.155,2.44,2.155,2.38
SLSN,2025-04-24,2.31,2.58,2.31,2.54
SLSN,2025-04-25,2.47,2.5706,2.47,2.49
SLSN,2025-04-28,2.475,3.21,2.475,3.12
SLSN,2025-04-29,2.99,3.0269,2.7201,3.0
SLSN,2025-04-30,3.04,3.29,2.8601,3.08
SLSN,2025-05-01,3.1,3.1,2.98,3.07
SLSN,2025-05-02,2.915,3.25,2.915,3.13
SLSN,2025-05-05,3.25,3.25,3.01,3.09
SLSN,2025-05-06,2.64,2.97,2.58,2.82
SLSN,2025-05-07,2.7433,3.19,2.7401,3.04
SLSN,2025-05-08,3.2,3.5,3.0,3.36
SLSN,2025-05-09,3.265,3.47,3.0672,3.4
SLSN,2025-05-12,3.47,3.5,3.341,3.4
SLSN,2025-05-13,3.24,3.9,3.24,3.9
SLSN,2025-05-14,3.96,3.98,3.72,3.96
SLSN,2025-05-15,3.97,3.99,3.5708,3.77
SLSN,2025-05-16,3.81,3.88,3.65,3.71
SLSN,2025-05-19,3.71,3.9,3.6,3.83
SLSN,2025-05-20,3.9,3.9,3.71,3.9
SLSN,2025-05-21,3.85,3.9,3.6811,3.9
SLSN,2025-05-22,3.8,3.89,3.7,3.87
SLSN,2025-05-23,3.74,3.9,3.66,3.74
SLSN,2025-05-27,3.83,4.12,3.68,4.02
SLSN,2025-05-28,4.02,4.19,3.7786,4.15
SLSN,2025-05-29,4.15,4.31,4.09,4.15
SLSN,2025-05-30,4.03,4.15,3.8501,3.88
SLSN,2025-06-02,3.87,4.12,3.87,4.03
SLSN,2025-06-03,4.19,4.29,4.1,4.17
SLSN,2025-06-04,4.24,4.28,4.0,4.16
SLSN,2025-06-05,4.24,4.27,3.92,3.95
SLSN,2025-06-06,4.09,4.09,3.5001,3.84
SLSN,2025-06-09,3.93,4.28,3.81,3.99
SLSN,2025-06-10,4.01,4.25,3.9001,4.05
SLSN,2025-06-11,4.01,4.23,3.95,3.99
SLSN,2025-06-12,3.9114,4.2,3.8,4.12
SLSN,2025-06-13,4.14,4.28,4.015,4.07
SLSN,2025-06-16,3.99,4.28,3.99,4.11
SLSN,2025-06-17,4.08,4.35,3.97,4.29
SLSN,2025-06-18,4.18,4.69,4.1112,4.6
SLSN,2025-06-20,4.71,5.3,4.6,5.21
SLSN,2025-06-23,5.13,5.63,4.765,5.2
SLSN,2025-06-24,5.2,5.29,4.975,5.2
SLSN,2025-06-25,5.29,5.3344,4.78,4.81
SLSN,2025-06-26,4.84,4.92,4.25,4.59
SLSN,2025-06-27,4.47,4.75,4.2,4.36
SLSN,2025-06-30,4.25,4.45,4.16,4.41
