ticker,date,open,high,low,close
MAZE,2025-01-31,16.12,17.0,15.25,15.95
MAZE,2025-02-03,15.9,16.0918,14.15,15.0
MAZE,2025-02-04,14.94,15.395,13.01,13.25
MAZE,2025-02-05,13.07,13.5,11.86,12.83
MAZE,2025-02-06,12.82,13.0,11.3416,13.0
MAZE,2025-02-07,12.56,14.32,12.56,13.38
MAZE,2025-02-10,13.12,14.175,12.64,12.96
MAZE,2025-02-11,12.77,12.97,12.32,12.47
MAZE,2025-02-12,12.32,12.99,11.8,11.98
MAZE,2025-02-13,11.86,12.47,10.92,11.32
MAZE,2025-02-14,11.79,13.0,11.475,12.0
MAZE,2025-02-18,11.75,12.81,10.8,12.79
MAZE,2025-02-19,12.82,13.42,12.01,12.56
MAZE,2025-02-20,12.7,12.99,12.11,12.17
MAZE,2025-02-21,12.0,12.51,11.7,12.09
MAZE,2025-02-24,12.09,12.36,10.66,10.82
MAZE,2025-02-25,11.0,11.96,10.08,10.4
MAZE,2025-02-26,10.4,12.0257,10.385,11.7
MAZE,2025-02-27,11.62,13.24,11.24,12.72
MAZE,2025-02-28,12.73,12.73,11.675,12.23
MAZE,2025-03-03,12.17,12.58,10.64,11.03
MAZE,2025-03-04,11.15,12.11,11.15,11.76
MAZE,2025-03-05,11.78,12.54,11.49,11.87
MAZE,2025-03-06,11.5,11.91,11.33,11.77
MAZE,2025-03-07,11.91,13.04,11.57,12.0
MAZE,2025-03-10,11.91,12.88,11.65,11.65
MAZE,2025-03-11,11.72,11.75,10.79,11.24
MAZE,2025-03-12,11.38,11.98,10.54,11.3
MAZE,2025-03-13,11.45,11.63,11.22,11.3
MAZE,2025-03-14,11.7,11.775,10.8,10.99
MAZE,2025-03-17,10.85,13.0,10.61,11.49
MAZE,2025-03-18,11.22,12.945,10.87,12.06
MAZE,2025-03-19,12.2,12.6,11.585,12.14
MAZE,2025-03-20,11.97,12.36,11.54,11.96
MAZE,2025-03-21,11.61,12.88,10.76,11.06
MAZE,2025-03-24,11.03,11.86,10.42,11.86
MAZE,2025-03-25,11.73,12.37,11.3,11.63
MAZE,2025-03-26,11.46,11.61,10.65,10.76
MAZE,2025-03-27,10.87,11.45,10.535,11.27
MAZE,2025-03-28,11.22,11.42,10.93,11.42
MAZE,2025-03-31,10.91,11.94,10.17,11.005
MAZE,2025-04-01,10.7,10.77,9.495,9.9
MAZE,2025-04-02,9.9,10.43,9.81,10.37
MAZE,2025-04-03,9.3,9.3,9.3,9.3
MAZE,2025-04-04,8.425,9.25,8.425,9.07
MAZE,2025-04-07,9.09,9.425,8.8,8.92
MAZE,2025-04-08,7.52,7.52,7.295,7.52
MAZE,2025-04-09,7.46,8.1547,6.71,7.97
MAZE,2025-04-10,7.63,8.15,7.215,7.61
MAZE,2025-04-11,7.16,7.88,6.8,7.83
MAZE,2025-04-14,7.98,8.87,7.9001,8.5
MAZE,2025-04-15,8.53,9.13,7.93,8.1
MAZE,2025-04-16,7.95,8.29,7.52,8.18
MAZE,2025-04-17,8.14,8.46,8.12,8.41
MAZE,2025-04-21,8.38,9.16,8.325,9.13
MAZE,2025-04-22,9.13,10.3,9.07,9.86
MAZE,2025-04-23,10.255,10.73,9.205,9.55
MAZE,2025-04-24,9.65,9.65,7.5,7.7
MAZE,2025-04-25,8.075,8.34,7.16,8.21
MAZE,2025-04-28,8.6,8.6,7.785,8.38
MAZE,2025-04-29,8.44,8.97,7.99,8.79
MAZE,2025-04-30,8.79,9.32,8.79,9.22
MAZE,2025-05-01,9.48,10.81,9.11,10.59
MAZE,2025-05-02,10.78,11.9799,10.65,10.85
MAZE,2025-05-05,10.72,10.74,10.1,10.42
MAZE,2025-05-06,10.39,10.63,8.94,9.11
MAZE,2025-05-07,9.3,9.7,8.77,9.49
MAZE,2025-05-08,9.65,10.02,9.25,10.02
MAZE,2025-05-09,10.25,10.5216,9.57,9.62
MAZE,2025-05-12,9.9286,10.26,9.6,10.13
MAZE,2025-05-13,10.38,10.39,9.55,9.86
MAZE,2025-05-14,9.9095,9.9095,8.75,9.06
MAZE,2025-05-15,8.83,9.325,8.245,9.25
MAZE,2025-05-16,9.25,9.345,8.81,9.25
MAZE,2025-05-19,9.2,9.8799,9.155,9.7
MAZE,2025-05-20,9.8,10.33,9.41,10.11
MAZE,2025-05-21,10.135,10.628,9.87,10.52
MAZE,2025-05-22,10.51,10.51,9.94,10.17
MAZE,2025-05-23,10.01,10.4,9.75,10.28
MAZE,2025-05-27,10.58,11.6157,10.435,11.2
MAZE,2025-05-28,11.21,11.635,10.8,11.48
MAZE,2025-05-29,11.58,12.248,11.14,12.17
MAZE,2025-05-30,12.05,12.05,9.732,9.97
MAZE,2025-06-02,10.08,12.1801,10.08,12.1
MAZE,2025-06-03,12.29,13.78,11.71,13.66
MAZE,2025-06-04,13.69,14.4,13.025,13.87
MAZE,2025-06-05,13.93,13.94,12.87,13.34
MAZE,2025-06-06,13.48,13.6,12.78,12.93
MAZE,2025-06-09,13.23,13.4,12.61,12.81
MAZE,2025-06-10,12.78,13.3047,12.54,12.87
