ticker,date,open,high,low,close
IBIO,2008-08-19,2500.0,4750.0,2500.0,4750.0
IBIO,2008-08-20,5050.0,5500.0,5000.0,5050.0
IBIO,2008-08-21,5250.0,5250.0,5100.0,5250.0
IBIO,2008-08-22,5100.0,11250.0,5000.0,10000.0
IBIO,2008-08-25,9750.0,9750.0,5000.0,7500.0
IBIO,2008-08-26,6250.0,6250.0,6250.0,6250.0
IBIO,2008-08-27,8750.0,9750.0,8750.0,9750.0
IBIO,2008-08-28,5250.0,9250.0,5250.0,8250.0
IBIO,2008-08-29,5500.0,8000.0,5500.0,8000.0
IBIO,2008-09-02,6000.0,9750.0,6000.0,8500.0
IBIO,2008-09-03,5250.0,8500.0,5250.0,8500.0
IBIO,2008-09-04,8600.0,10000.0,8600.0,10000.0
IBIO,2008-09-05,6000.0,9750.0,6000.0,8800.0
IBIO,2008-09-08,8750.0,9000.0,8750.0,9000.0
IBIO,2008-09-09,6250.0,8900.0,6250.0,8900.0
IBIO,2008-09-10,8500.0,8750.0,8500.0,8500.0
IBIO,2008-09-11,8500.0,8500.0,7000.0,8500.0
IBIO,2008-09-12,6500.0,9500.0,6500.0,9500.0
IBIO,2008-09-15,6500.0,9500.0,6500.0,8500.0
IBIO,2008-09-16,8750.0,8750.0,6500.0,8250.0
IBIO,2008-09-17,6250.0,8000.0,6250.0,7750.0
IBIO,2008-09-18,7750.0,7750.0,6000.0,7500.0
IBIO,2008-09-19,6000.0,7500.0,6000.0,7500.0
IBIO,2008-09-22,6250.0,7450.0,5050.0,6200.0
IBIO,2008-09-23,6000.0,6000.0,6000.0,6000.0
IBIO,2008-09-24,5050.0,6000.0,5050.0,5950.0
IBIO,2008-09-25,5200.0,5900.0,5200.0,5900.0
IBIO,2008-09-26,5150.0,5500.0,5150.0,5500.0
IBIO,2008-09-29,5300.0,5750.0,5300.0,5500.0
IBIO,2008-09-30,5300.0,5300.0,3750.0,5000.0
IBIO,2008-10-01,5000.0,5000.0,5000.0,5000.0
IBIO,2008-10-02,4350.0,5000.0,4350.0,4950.0
IBIO,2008-10-03,4350.0,5000.0,3750.0,5000.0
IBIO,2008-10-06,5000.0,5000.0,3750.0,4750.0
IBIO,2008-10-07,2550.0,2750.0,2050.0,2750.0
IBIO,2008-10-08,2550.0,5000.0,2050.0,4500.0
IBIO,2008-10-09,2000.0,4450.0,2000.0,4250.0
IBIO,2008-10-10,2050.0,4250.0,2000.0,3000.0
IBIO,2008-10-13,2000.0,3000.0,2000.0,2900.0
IBIO,2008-10-14,2000.0,2750.0,2000.0,2750.0
IBIO,2008-10-15,1550.0,2550.0,1550.0,2550.0
IBIO,2008-10-16,1550.0,2550.0,1550.0,2350.0
IBIO,2008-10-17,2550.0,2550.0,1650.0,2550.0
IBIO,2008-10-21,2550.0,2800.0,1500.0,2750.0
IBIO,2008-10-22,2750.0,3100.0,2750.0,2950.0
IBIO,2008-10-23,2750.0,3250.0,2750.0,3200.0
IBIO,2008-10-24,1750.0,3750.0,1750.0,3750.0
IBIO,2008-10-27,1800.0,3750.0,1800.0,3750.0
IBIO,2008-10-28,1750.0,4250.0,1750.0,3950.0
IBIO,2008-10-29,2750.0,3150.0,2750.0,3150.0
IBIO,2008-10-30,3750.0,3750.0,3750.0,3750.0
IBIO,2008-10-31,3750.0,4200.0,3750.0,4200.0
IBIO,2008-11-03,3000.0,4000.0,3000.0,4000.0
IBIO,2008-11-04,3000.0,3000.0,3000.0,3000.0
IBIO,2008-11-05,3950.0,3950.0,3950.0,3950.0
IBIO,2008-11-06,3250.0,4000.0,3200.0,4000.0
IBIO,2008-11-07,3750.0,3750.0,3750.0,3750.0
IBIO,2008-11-10,3500.0,3750.0,3500.0,3750.0
IBIO,2008-11-12,2800.0,2800.0,2800.0,2800.0
IBIO,2008-11-13,2600.0,2750.0,2600.0,2750.0
IBIO,2008-11-18,3000.0,3500.0,3000.0,3500.0
IBIO,2008-11-19,2100.0,3350.0,2100.0,3350.0
IBIO,2008-11-20,2100.0,3000.0,2100.0,3000.0
IBIO,2008-11-21,2200.0,2200.0,1350.0,1650.0
IBIO,2008-11-25,1650.0,1650.0,1250.0,1500.0
IBIO,2008-11-26,1500.0,1500.0,1250.0,1500.0
IBIO,2008-11-28,1500.0,2000.0,1500.0,2000.0
IBIO,2008-12-01,1400.0,2250.0,1400.0,2250.0
IBIO,2008-12-02,1400.0,2250.0,1400.0,1750.0
IBIO,2008-12-04,1500.0,1750.0,1400.0,1750.0
IBIO,2008-12-05,1500.0,2250.0,1450.0,1750.0
IBIO,2008-12-08,1450.0,1450.0,1400.0,1400.0
IBIO,2008-12-10,1450.0,1450.0,1150.0,1150.0
IBIO,2008-12-11,950.0,1500.0,950.0,1400.0
IBIO,2008-12-12,900.0,1400.0,900.0,1400.0
IBIO,2008-12-15,1000.0,1000.0,900.0,950.0
IBIO,2008-12-16,900.0,1250.0,500.0,650.0
IBIO,2008-12-17,600.0,700.0,550.0,550.0
IBIO,2008-12-18,700.0,750.0,650.0,650.0
IBIO,2008-12-19,650.0,650.0,650.0,650.0
IBIO,2008-12-22,600.0,750.0,600.0,750.0
IBIO,2008-12-23,550.0,550.0,550.0,550.0
IBIO,2008-12-24,550.0,750.0,550.0,750.0
IBIO,2008-12-26,600.0,600.0,600.0,600.0
IBIO,2008-12-29,650.0,650.0,600.0,600.0
IBIO,2008-12-30,600.0,700.0,600.0,650.0
IBIO,2008-12-31,600.0,600.0,500.0,500.0
IBIO,2009-01-02,600.0,600.0,600.0,600.0
IBIO,2009-01-05,600.0,700.0,600.0,700.0
IBIO,2009-01-07,650.0,650.0,650.0,650.0
IBIO,2009-01-08,600.0,600.0,600.0,600.0
IBIO,2009-01-09,600.0,600.0,600.0,600.0
IBIO,2009-01-12,800.0,800.0,600.0,600.0
IBIO,2009-01-13,750.0,750.0,600.0,750.0
