ticker,date,open,high,low,close
RTAC,2025-06-10,11.4,11.43,11.26,11.3
RTAC,2025-06-11,11.31,11.47,11.215,11.325
RTAC,2025-06-12,11.28,11.5,11.28,11.39
RTAC,2025-06-13,11.12,11.2499,10.91,11.2
RTAC,2025-06-16,11.22,11.49,11.22,11.26
RTAC,2025-06-17,11.25,11.38,11.22,11.26
RTAC,2025-06-18,11.32,11.62,11.32,11.5
RTAC,2025-06-20,11.67,11.84,11.5905,11.62
RTAC,2025-06-23,11.91,12.46,11.86,12.08
RTAC,2025-06-24,12.35,12.4,11.9,11.99
RTAC,2025-06-25,12.0,12.15,11.12,11.19
RTAC,2025-06-26,11.51,11.79,11.38,11.38
RTAC,2025-06-27,11.53,11.83,11.41,11.6
RTAC,2025-06-30,11.79,11.8599,11.65,11.8
RTAC,2025-07-01,11.85,11.855,11.71,11.75
RTAC,2025-07-02,11.79,11.8,11.6,11.67
RTAC,2025-07-03,11.62,11.83,11.6,11.75
RTAC,2025-07-07,11.9,11.91,11.7,11.76
RTAC,2025-07-08,11.75,11.86,11.35,11.45
RTAC,2025-07-09,11.5,11.73,11.4,11.52
RTAC,2025-07-10,11.64,11.77,11.45,11.56
RTAC,2025-07-11,11.78,11.78,11.78,11.78
RTAC,2025-07-14,11.99,12.15,11.79,11.85
RTAC,2025-07-15,11.81,12.0,11.81,11.93
RTAC,2025-07-16,12.05,13.3782,11.7144,12.19
RTAC,2025-07-17,12.3,12.48,11.95,12.4
RTAC,2025-07-18,12.4,12.54,11.965,12.5
RTAC,2025-07-21,12.65,12.65,12.08,12.38
RTAC,2025-07-22,12.03,12.28,12.02,12.09
RTAC,2025-07-23,12.21,12.22,11.8838,11.93
RTAC,2025-07-24,11.8,12.03,11.73,11.8
RTAC,2025-07-25,11.71,12.0397,11.71,11.82
RTAC,2025-07-28,11.9,12.05,11.8,11.83
RTAC,2025-07-29,11.88,12.2,11.72,11.775
RTAC,2025-07-30,11.74,11.9,11.69,11.72
RTAC,2025-07-31,11.7,11.85,11.6,11.6
RTAC,2025-08-01,11.6,11.66,11.36,11.55
RTAC,2025-08-04,11.59,11.96,11.54,11.88
RTAC,2025-08-05,11.81,11.93,11.6,11.85
RTAC,2025-08-06,11.78,11.94,11.77,11.82
RTAC,2025-08-07,11.88,11.9,11.56,11.58
RTAC,2025-08-08,11.5,11.92,11.5,11.75
RTAC,2025-08-11,11.26,11.37,10.89,11.04
RTAC,2025-08-12,10.99,11.06,10.81,11.0
RTAC,2025-08-13,11.0,11.11,10.99,11.06
RTAC,2025-08-14,11.03,11.06,10.91,10.95
RTAC,2025-08-15,11.03,11.1783,10.92,10.97
RTAC,2025-08-18,10.96,11.08,10.92,11.02
RTAC,2025-08-19,10.92,11.01,10.6,10.66
RTAC,2025-08-20,10.66,10.74,10.606,10.65
RTAC,2025-08-21,10.66,10.67,10.6,10.65
RTAC,2025-08-22,10.64,10.95,10.64,10.84
RTAC,2025-08-25,10.86,10.99,10.722,10.85
RTAC,2025-08-26,10.75,10.87,10.55,10.6
RTAC,2025-08-27,10.6,10.65,10.5,10.51
RTAC,2025-08-28,10.61,10.915,10.5741,10.83
RTAC,2025-08-29,10.83,10.9409,10.65,10.72
RTAC,2025-09-02,10.68,10.8,10.61,10.67
RTAC,2025-09-03,10.68,10.73,10.54,10.6
RTAC,2025-09-04,10.62,10.625,10.45,10.5
RTAC,2025-09-05,10.6,10.61,10.48,10.54
RTAC,2025-09-08,10.5004,10.55,10.46,10.5
RTAC,2025-09-09,10.65,10.72,10.52,10.62
RTAC,2025-09-10,10.65,10.65,10.54,10.59
RTAC,2025-09-11,10.5825,10.79,10.53,10.59
RTAC,2025-09-12,10.71,10.71,10.6,10.61
RTAC,2025-09-15,10.62,10.65,10.5743,10.62
RTAC,2025-09-16,10.65,10.978,10.65,10.91
RTAC,2025-09-17,11.0,11.0,10.83,10.85
RTAC,2025-09-18,10.99,10.99,10.77,10.85
RTAC,2025-09-19,10.79,10.95,10.79,10.88
RTAC,2025-09-22,10.84,10.9519,10.84,10.89
RTAC,2025-09-23,10.9,10.99,10.75,10.82
RTAC,2025-09-24,10.83,10.94,10.75,10.88
RTAC,2025-09-25,10.92,10.9399,10.8,10.84
RTAC,2025-09-26,10.95,11.06,10.9,11.03
RTAC,2025-09-29,11.03,11.03,10.93,10.99
RTAC,2025-09-30,10.95,10.9966,10.85,10.91
RTAC,2025-10-01,10.875,11.12,10.875,11.06
