ticker,date,open,high,low,close
GRWG,2018-02-07,5.975,6.1,5.76,5.85
GRWG,2018-02-08,5.825,5.92,5.31,5.65
GRWG,2018-02-09,5.57,5.91,5.06,5.7
GRWG,2018-02-12,5.85,5.89,5.45,5.5
GRWG,2018-02-13,5.6,5.7,5.21,5.53
GRWG,2018-02-14,5.78,5.78,5.45,5.57
GRWG,2018-02-15,5.596,5.74,5.16,5.36
GRWG,2018-02-16,5.36,5.36,5.08,5.11
GRWG,2018-02-20,5.18,5.41,5.03,5.1
GRWG,2018-02-21,5.11,5.38,5.02,5.1
GRWG,2018-02-22,5.15,5.18,4.81,4.98
GRWG,2018-02-23,4.9,4.9,4.4,4.51
GRWG,2018-02-26,4.505,4.51,4.01,4.13
GRWG,2018-02-27,4.13,4.15,3.65,3.8
GRWG,2018-02-28,3.8,4.28,3.69,4.18
GRWG,2018-03-01,4.22,4.29,4.1,4.21
GRWG,2018-03-02,4.175,4.25,4.14,4.22
GRWG,2018-03-05,4.15,4.33,4.15,4.28
GRWG,2018-03-06,4.34,4.83,4.31,4.35
GRWG,2018-03-07,4.3,4.6,4.3,4.53
GRWG,2018-03-08,4.45,4.55,4.45,4.55
GRWG,2018-03-09,4.535,4.74,4.28,4.64
GRWG,2018-03-12,4.64,4.75,4.63,4.71
GRWG,2018-03-13,4.75,4.75,4.7,4.74
GRWG,2018-03-14,4.78,5.0,4.65,4.65
GRWG,2018-03-15,4.7,4.87,4.6,4.62
GRWG,2018-03-16,4.65,4.65,4.31,4.5
GRWG,2018-03-19,4.43,4.5,4.16,4.49
GRWG,2018-03-20,4.49,4.5,4.24,4.35
GRWG,2018-03-21,4.35,4.51,4.15,4.225
GRWG,2018-03-22,4.16,4.218,4.06,4.17
GRWG,2018-03-23,4.17,4.2,4.0,4.07
GRWG,2018-03-26,3.96,4.0,3.79,4.0
GRWG,2018-03-27,4.0,4.44,3.78,4.38
GRWG,2018-03-28,4.12,4.48,3.85,4.28
GRWG,2018-03-29,4.15,4.35,4.01,4.07
GRWG,2018-04-02,4.06,4.11,3.65,3.75
GRWG,2018-04-03,3.78,4.25,3.53,3.6
GRWG,2018-04-04,3.585,3.6,3.1,3.59
GRWG,2018-04-05,3.52,3.59,3.31,3.5
GRWG,2018-04-06,3.31,3.4,3.25,3.3
GRWG,2018-04-09,3.35,3.72,3.29,3.44
GRWG,2018-04-10,3.5,3.5,3.27,3.36
GRWG,2018-04-11,3.37,3.6,3.3,3.45
