ticker,date,open,high,low,close
NNNN,2025-02-19,5.26,5.89,5.18,5.77
NNNN,2025-02-20,5.61,5.75,5.32,5.67
NNNN,2025-02-21,5.72,5.96,5.6,5.77
NNNN,2025-02-24,5.77,6.3,5.77,6.22
NNNN,2025-02-25,6.3,6.35,6.04,6.14
NNNN,2025-02-26,6.15,6.4,6.125,6.38
NNNN,2025-02-27,6.35,6.39,6.3001,6.35
NNNN,2025-02-28,6.39,6.9,6.33,6.66
NNNN,2025-03-03,6.95,7.6999,6.75,6.76
NNNN,2025-03-04,6.82,7.0704,6.3672,6.46
NNNN,2025-03-05,6.4,7.04,6.4,7.01
NNNN,2025-03-06,7.1,7.26,6.82,7.18
NNNN,2025-03-07,7.21,7.27,6.86,6.93
NNNN,2025-03-10,7.002,7.195,6.03,6.21
NNNN,2025-03-11,6.18,6.96,6.18,6.96
NNNN,2025-03-12,6.97,6.97,6.55,6.68
NNNN,2025-03-13,6.4508,6.81,6.4508,6.81
NNNN,2025-03-14,6.7,7.35,6.425,7.13
NNNN,2025-03-17,7.1,7.4841,6.685,6.9005
NNNN,2025-03-18,7.07,7.25,6.75,6.9
NNNN,2025-03-19,6.95,7.8,6.8401,7.17
NNNN,2025-03-20,7.09,7.6,6.9601,7.49
NNNN,2025-03-21,7.32,7.65,7.13,7.63
NNNN,2025-03-24,7.7573,7.7573,7.4,7.52
NNNN,2025-03-25,7.4,7.79,7.29,7.4
NNNN,2025-03-26,7.58,7.69,7.35,7.475
NNNN,2025-03-27,7.55,7.55,7.32,7.41
NNNN,2025-03-28,7.6499,7.6499,7.38,7.55
NNNN,2025-03-31,7.4,7.51,7.35,7.46
NNNN,2025-04-01,7.62,7.62,7.22,7.27
NNNN,2025-04-02,7.39,7.44,7.0,7.0
NNNN,2025-04-03,7.3,7.82,7.13,7.29
NNNN,2025-04-04,6.98,7.5,6.98,7.22
NNNN,2025-04-07,6.84,7.4,6.84,7.055
NNNN,2025-04-08,7.05,7.43,6.01,6.5
NNNN,2025-04-09,6.25,6.25,5.89,6.25
NNNN,2025-04-10,6.85,6.94,5.9,6.11
NNNN,2025-04-11,5.99,6.7375,5.99,6.29
NNNN,2025-04-14,6.36,6.57,6.02,6.41
NNNN,2025-04-15,6.37,6.6,6.25,6.38
NNNN,2025-04-16,6.29,6.58,6.0677,6.57
NNNN,2025-04-17,6.36,6.61,6.36,6.61
NNNN,2025-04-21,6.5,6.915,6.49,6.64
NNNN,2025-04-22,6.65,7.06,6.615,6.89
NNNN,2025-04-23,6.8,7.2,6.8,6.925
NNNN,2025-04-24,7.09,7.2,6.66,6.7
NNNN,2025-04-25,6.53,6.53,6.49,6.53
NNNN,2025-04-28,6.34,6.69,6.26,6.44
NNNN,2025-04-29,6.32,6.69,6.32,6.43
NNNN,2025-04-30,6.125,6.125,6.125,6.125
NNNN,2025-05-01,6.0533,6.69,6.05,6.29
NNNN,2025-05-02,6.275,7.0,6.275,6.43
NNNN,2025-05-05,6.7249,6.8218,6.3,6.31
NNNN,2025-05-06,6.26,6.64,6.26,6.57
NNNN,2025-05-07,6.58,6.66,6.4,6.53
NNNN,2025-05-08,6.5679,6.83,6.34,6.63
NNNN,2025-05-09,7.2,7.2,6.4,6.43
NNNN,2025-05-12,6.73,6.82,6.4,6.82
NNNN,2025-05-13,6.7,7.25,6.69,7.09
NNNN,2025-05-14,7.06,7.25,6.85,7.03
NNNN,2025-05-15,7.1,7.655,6.9,7.46
NNNN,2025-05-16,7.35,7.68,7.35,7.54
NNNN,2025-05-19,7.67,7.73,7.2,7.54
NNNN,2025-05-20,7.855,8.0,7.389,8.0
NNNN,2025-05-21,7.8,7.8,7.3,7.8
NNNN,2025-05-22,7.8,8.22,7.62,7.75
NNNN,2025-05-23,7.69,7.9652,7.23,7.7
NNNN,2025-05-27,7.71,8.0244,7.5,7.66
NNNN,2025-05-28,7.7644,7.895,7.5752,7.725
NNNN,2025-05-29,7.8,7.9,7.73,7.75
NNNN,2025-05-30,7.89,7.9,7.75,7.87
NNNN,2025-06-02,7.85,8.05,7.82,7.915
NNNN,2025-06-03,8.0,8.226,7.7628,8.1984
NNNN,2025-06-04,8.0,8.79,8.0,8.41
NNNN,2025-06-05,8.3701,8.56,7.92,8.36
NNNN,2025-06-06,8.114,8.59,8.03,8.57
NNNN,2025-06-09,8.6,8.7708,8.34,8.42
NNNN,2025-06-10,8.42,8.74,8.35,8.66
NNNN,2025-06-11,8.71,8.996,8.4295,8.675
NNNN,2025-06-12,8.84,8.86,8.6201,8.8
NNNN,2025-06-13,8.7,9.0356,8.55,8.66
NNNN,2025-06-16,8.73,9.24,8.6,9.01
NNNN,2025-06-17,9.14,9.99,8.94,9.95
NNNN,2025-06-18,9.9,11.73,9.2,11.56
NNNN,2025-06-20,11.75,18.5,11.7,16.1
NNNN,2025-06-23,17.33,19.32,15.3682,18.85
NNNN,2025-06-24,18.98,24.3292,18.3,24.08
NNNN,2025-06-25,24.93,35.9,22.3457,31.83
NNNN,2025-06-26,32.06,37.075,31.21,33.64
NNNN,2025-06-27,32.66,35.375,30.0,31.26
NNNN,2025-06-30,30.64,33.9558,29.13,31.63
