ticker,date,open,high,low,close
CUPR,2025-04-10,4.4,4.79,3.51,4.21
CUPR,2025-04-11,4.07,4.5,4.02,4.48
CUPR,2025-04-14,4.45,4.71,4.3,4.56
CUPR,2025-04-15,4.41,4.62,4.25,4.26
CUPR,2025-04-16,4.3,5.0,4.3,4.955
CUPR,2025-04-17,4.8444,5.81,4.71,4.95
CUPR,2025-04-21,4.5,5.0,4.3,4.85
CUPR,2025-04-22,4.3,4.85,4.3,4.5439
CUPR,2025-04-23,4.64,5.0,4.64,4.75
CUPR,2025-04-24,4.61,4.83,4.4,4.55
CUPR,2025-04-25,4.6,4.74,4.48,4.74
CUPR,2025-04-28,4.7579,4.87,4.3001,4.55
CUPR,2025-04-29,4.4874,4.6,4.34,4.55
CUPR,2025-04-30,4.6,4.81,4.47,4.81
CUPR,2025-05-01,4.57,4.85,4.4,4.76
CUPR,2025-05-02,4.8,6.42,4.58,6.08
CUPR,2025-05-05,5.48,5.48,5.21,5.48
CUPR,2025-05-06,5.78,5.94,5.48,5.775
CUPR,2025-05-07,5.67,6.72,5.3,5.3
CUPR,2025-05-08,5.4001,5.9223,4.5,4.92
CUPR,2025-05-09,4.9161,4.9161,4.02,4.85
CUPR,2025-05-12,5.05,5.16,4.88,4.95
CUPR,2025-05-13,4.7,4.71,4.2601,4.33
CUPR,2025-05-14,4.55,4.59,4.4,4.43
CUPR,2025-05-15,4.54,4.94,4.5,4.72
CUPR,2025-05-16,4.75,4.75,4.48,4.48
CUPR,2025-05-19,4.5,4.53,4.48,4.48
CUPR,2025-05-20,4.4,4.4,4.39,4.4
CUPR,2025-05-21,4.45,4.77,4.425,4.55
CUPR,2025-05-22,4.64,4.64,4.42,4.54
CUPR,2025-05-23,4.5197,4.8,4.41,4.49
CUPR,2025-05-27,4.77,4.83,4.5,4.5
CUPR,2025-05-28,4.54,4.82,4.51,4.63
CUPR,2025-05-29,4.69,4.75,4.69,4.75
CUPR,2025-05-30,4.76,4.96,4.665,4.96
CUPR,2025-06-02,4.8,4.948,4.7,4.7
CUPR,2025-06-03,4.7785,4.92,4.68,4.92
CUPR,2025-06-04,4.9,5.49,4.7573,5.0
CUPR,2025-06-05,5.5,5.82,4.83,5.45
CUPR,2025-06-06,5.3,5.6,4.94,5.18
CUPR,2025-06-09,5.3,6.98,5.03,6.0
CUPR,2025-06-10,6.0,6.0,5.22,5.77
CUPR,2025-06-11,5.56,5.84,5.51,5.74
CUPR,2025-06-12,5.2,5.76,5.2,5.69
CUPR,2025-06-13,5.12,5.81,5.04,5.73
CUPR,2025-06-16,5.66,6.12,5.5,5.58
CUPR,2025-06-17,5.41,5.93,5.295,5.33
CUPR,2025-06-18,5.71,5.8,5.295,5.52
CUPR,2025-06-20,5.39,5.84,5.39,5.7
CUPR,2025-06-23,5.96,5.96,5.62,5.819
CUPR,2025-06-24,5.69,5.9336,5.69,5.8
CUPR,2025-06-25,6.2,6.51,5.7154,6.25
CUPR,2025-06-26,6.25,6.25,5.7,5.85
CUPR,2025-06-27,6.25,6.25,5.75,5.82
CUPR,2025-06-30,5.86,6.22,5.25,5.86
CUPR,2025-07-01,5.8772,7.39,5.8772,6.785
CUPR,2025-07-02,6.75,6.9864,6.4,6.68
CUPR,2025-07-03,6.75,6.95,6.6,6.9
CUPR,2025-07-07,7.08,7.46,6.58,6.84
CUPR,2025-07-08,6.88,7.18,6.6,7.0
CUPR,2025-07-09,7.13,7.39,6.6,7.38
CUPR,2025-07-10,7.2,7.3492,7.0006,7.1
CUPR,2025-07-11,7.16,7.39,7.16,7.3
CUPR,2025-07-14,7.15,7.3,6.38,7.22
CUPR,2025-07-15,7.0,7.6,6.5,7.39
CUPR,2025-07-16,7.27,7.5,7.27,7.5
CUPR,2025-07-17,7.5,7.56,7.3,7.5
CUPR,2025-07-18,7.47,7.57,7.4,7.57
CUPR,2025-07-21,7.51,8.0,7.48,7.95
CUPR,2025-07-22,7.71,8.0,7.6001,7.73
CUPR,2025-07-23,7.7,7.99,7.7,7.75
CUPR,2025-07-24,7.8,7.9,7.69,7.73
CUPR,2025-07-25,7.75,7.8,7.7,7.79
CUPR,2025-07-28,7.76,7.88,7.53,7.78
CUPR,2025-07-29,7.54,8.15,7.5,7.74
CUPR,2025-07-30,7.55,8.0,7.55,7.83
CUPR,2025-07-31,7.98,8.05,7.71,8.0
CUPR,2025-08-01,7.93,8.29,7.75,8.12
CUPR,2025-08-04,8.15,8.3,8.0,8.22
CUPR,2025-08-05,8.15,8.6,8.11,8.43
CUPR,2025-08-06,8.75,9.12,8.3,8.74
CUPR,2025-08-07,8.55,8.62,7.86,8.325
CUPR,2025-08-08,8.16,8.91,8.16,8.21
CUPR,2025-08-11,8.21,8.5,6.5101,8.35
CUPR,2025-08-12,8.3,9.0,8.3,8.86
CUPR,2025-08-13,8.86,9.47,8.8,9.21
CUPR,2025-08-14,8.96,9.41,8.1,9.4
CUPR,2025-08-15,9.4,9.5,0.85,1.19
CUPR,2025-08-18,1.28,1.39,1.04,1.3
CUPR,2025-08-19,1.19,1.2,0.95,0.95
CUPR,2025-08-20,0.8628,0.9029,0.8051,0.8399
CUPR,2025-08-21,0.8232,1.39,0.801,1.12
CUPR,2025-08-22,1.09,1.09,0.9601,1.01
CUPR,2025-08-25,1.03,1.12,1.02,1.04
CUPR,2025-08-26,1.04,1.05,0.98,0.98
CUPR,2025-08-27,0.9798,1.04,0.95,0.965
CUPR,2025-08-28,0.9268,0.9648,0.9,0.9191
CUPR,2025-08-29,0.92,0.9638,0.9001,0.92
CUPR,2025-09-02,0.9,0.913903,0.8248,0.8882
CUPR,2025-09-03,0.86,0.915,0.825,0.86025
CUPR,2025-09-04,0.78,0.8495,0.7648,0.778
CUPR,2025-09-05,0.775,0.8105,0.68,0.7
CUPR,2025-09-08,0.68,0.684999,0.6112,0.6255
CUPR,2025-09-09,0.62,0.75,0.62,0.702
CUPR,2025-09-10,1.83,2.45,1.36,1.62
CUPR,2025-09-11,1.0,1.5,1.0,1.41
CUPR,2025-09-12,1.33,1.7,1.33,1.45
CUPR,2025-09-15,1.55,1.55,1.39,1.42
CUPR,2025-09-16,1.44,1.51,1.4,1.46
CUPR,2025-09-17,1.4,1.52,1.39,1.41
CUPR,2025-09-18,1.4,1.5407,1.4,1.465
CUPR,2025-09-19,1.43,1.46,1.31,1.355
CUPR,2025-09-22,1.35,1.35,1.25,1.25
CUPR,2025-09-23,1.25,1.25,1.1189,1.14
CUPR,2025-09-24,1.17,1.17,0.9998,1.04
CUPR,2025-09-25,0.99,1.05,0.98,1.02
CUPR,2025-09-26,0.99,1.01,0.96,0.996
CUPR,2025-09-29,0.96,1.02,0.9,0.95
CUPR,2025-09-30,0.935,0.9724,0.9,0.94
CUPR,2025-10-01,0.94,1.05,0.935,1.05
