ticker,date,open,high,low,close
LIMN,2025-05-02,9.15,9.15,6.01,8.04
LIMN,2025-05-05,7.6,7.99,6.3908,7.2
LIMN,2025-05-06,6.4,7.79,5.5,5.5
LIMN,2025-05-07,6.15,6.6,5.8,5.996
LIMN,2025-05-08,5.8,6.5999,5.8,6.15
LIMN,2025-05-09,6.36,7.45,6.06,7.45
LIMN,2025-05-12,7.6,9.25,7.1282,7.1282
LIMN,2025-05-13,7.13,7.2696,6.5666,6.5666
LIMN,2025-05-14,6.66,7.59,6.5,6.5
LIMN,2025-05-15,7.1,7.3193,6.63,6.63
LIMN,2025-05-16,6.82,6.99,5.75,6.45
LIMN,2025-05-19,6.59,6.59,5.84,6.3
LIMN,2025-05-20,6.713,6.713,6.0,6.3
LIMN,2025-05-21,6.625,6.625,5.649,6.15
LIMN,2025-05-22,6.16,6.16,5.03,5.5
LIMN,2025-05-23,5.4835,6.0,5.38,5.56
LIMN,2025-05-27,5.85,6.59,5.07,5.07
LIMN,2025-05-28,5.07,5.17,4.4,4.56
LIMN,2025-05-29,5.46,5.46,5.02,5.22
LIMN,2025-05-30,5.74,5.74,4.76,5.43
LIMN,2025-06-02,5.3,5.51,4.55,5.39
LIMN,2025-06-03,5.05,5.7,5.05,5.3
LIMN,2025-06-04,5.78,12.71,5.3,12.71
LIMN,2025-06-05,21.29,24.88,15.2974,24.6
LIMN,2025-06-06,20.4,25.0,18.0,24.22
LIMN,2025-06-09,22.55,26.68,20.4928,26.0
LIMN,2025-06-10,23.75,26.4,22.305,22.42
LIMN,2025-06-11,21.5,22.1296,10.8,11.11
LIMN,2025-06-12,12.3,23.38,12.01,20.31
LIMN,2025-06-13,17.41,18.82,14.31,14.42
LIMN,2025-06-16,14.42,14.73,11.73,12.11
LIMN,2025-06-17,12.22,14.16,12.22,12.81
LIMN,2025-06-18,13.71,13.71,12.61,12.8
LIMN,2025-06-20,12.87,16.13,12.87,14.31
LIMN,2025-06-23,13.97,22.13,13.5001,20.0
LIMN,2025-06-24,22.27,27.0,20.0,26.67
LIMN,2025-06-25,30.25,33.66,19.21,23.98
LIMN,2025-06-26,22.5,22.71,16.5,16.6
LIMN,2025-06-27,17.15,17.47,9.0,9.0
LIMN,2025-06-30,11.0,12.9,10.6674,11.15
LIMN,2025-07-01,11.78,11.8999,10.12,10.4852
LIMN,2025-07-02,10.4,10.75,8.8,8.8
LIMN,2025-07-03,9.7,10.198,8.74,9.02
LIMN,2025-07-07,9.0,9.0,6.7986,6.93
LIMN,2025-07-08,7.98,8.1,5.9225,6.28
LIMN,2025-07-09,6.0,6.355,5.05,5.22
LIMN,2025-07-10,6.01,7.45,5.82,7.2
LIMN,2025-07-11,6.65,6.65,6.3284,6.65
LIMN,2025-07-14,6.55,6.8975,6.0,6.33
LIMN,2025-07-15,6.1,6.37,5.52,5.59
LIMN,2025-07-16,5.6,5.7,5.25,5.4
LIMN,2025-07-17,5.8,6.0583,5.3,5.47
LIMN,2025-07-18,5.58,5.7764,5.25,5.42
LIMN,2025-07-21,5.91,5.91,5.44,5.58
LIMN,2025-07-22,5.76,7.459,5.55,5.78
LIMN,2025-07-23,6.54,7.1899,6.23,6.47
LIMN,2025-07-24,7.75,8.7,7.13,8.47
LIMN,2025-07-25,8.1,9.38,7.9,8.71
LIMN,2025-07-28,8.72,8.89,7.7,8.08
LIMN,2025-07-29,7.99,8.06,6.63,6.69
LIMN,2025-07-30,6.78,7.1,6.66,6.8
LIMN,2025-07-31,6.62,6.84,6.11,6.23
LIMN,2025-08-01,6.05,6.28,5.85,5.93
LIMN,2025-08-04,6.02,6.3075,4.2,5.09
LIMN,2025-08-05,5.13,5.18,4.635,4.94
LIMN,2025-08-06,5.03,5.06,4.6,4.7
LIMN,2025-08-07,4.71,4.87,4.7,4.78
LIMN,2025-08-08,4.65,4.7627,4.39,4.42
LIMN,2025-08-11,4.42,4.5884,4.4,4.52
LIMN,2025-08-12,4.44,4.595,4.2701,4.35
LIMN,2025-08-13,4.28,4.69,4.11,4.4
