ticker,date,open,high,low,close
MGPI,1988-10-21,0.0,4.96,4.92,4.92
MGPI,1988-10-24,0.0,5.12,5.04,5.04
MGPI,1988-10-25,0.0,5.12,5.08,5.08
MGPI,1988-10-26,0.0,5.17,5.08,5.08
MGPI,1988-10-27,0.0,5.08,5.04,5.04
MGPI,1988-10-28,0.0,5.04,5.0,5.0
MGPI,1988-10-31,0.0,5.04,5.0,5.0
MGPI,1988-11-01,0.0,5.04,5.0,5.04
MGPI,1988-11-02,0.0,5.04,5.0,5.0
MGPI,1988-11-03,0.0,5.17,5.04,5.17
MGPI,1988-11-04,0.0,5.17,5.04,5.04
MGPI,1988-11-07,0.0,5.08,5.0,5.04
MGPI,1988-11-08,0.0,5.04,4.96,5.0
MGPI,1988-11-09,0.0,5.04,5.0,5.04
MGPI,1988-11-10,0.0,5.33,5.04,5.25
MGPI,1988-11-11,0.0,5.33,5.21,5.21
MGPI,1988-11-14,0.0,5.38,5.25,5.25
MGPI,1988-11-15,0.0,5.54,5.25,5.46
MGPI,1988-11-16,0.0,5.54,5.33,5.42
MGPI,1988-11-17,0.0,5.54,5.33,5.42
MGPI,1988-11-18,0.0,5.62,5.42,5.5
MGPI,1988-11-21,0.0,5.67,5.5,5.62
MGPI,1988-11-22,0.0,5.88,5.62,5.79
MGPI,1988-11-23,0.0,5.96,5.79,5.96
MGPI,1988-11-25,0.0,5.92,5.79,5.92
MGPI,1988-11-28,0.0,5.96,5.83,5.92
MGPI,1988-11-29,0.0,5.96,5.83,5.92
MGPI,1988-11-30,0.0,5.92,5.83,5.83
MGPI,1988-12-01,0.0,5.92,5.83,5.83
MGPI,1988-12-02,0.0,6.04,5.83,6.0
MGPI,1988-12-05,0.0,6.25,6.04,6.12
MGPI,1988-12-06,0.0,6.29,6.12,6.29
MGPI,1988-12-07,0.0,6.29,6.21,6.25
MGPI,1988-12-08,0.0,6.29,6.17,6.17
MGPI,1988-12-09,0.0,6.25,6.17,6.21
MGPI,1988-12-12,0.0,6.33,6.17,6.25
MGPI,1988-12-13,0.0,6.46,6.29,6.46
MGPI,1988-12-14,0.0,6.58,6.38,6.58
MGPI,1988-12-15,0.0,6.58,6.54,6.58
