ticker,date,open,high,low,close
STAK,2025-02-26,3.62,4.53,3.53,3.73
STAK,2025-02-27,3.8,3.85,3.51,3.63
STAK,2025-02-28,3.6,4.02,2.78,3.97
STAK,2025-03-03,3.88,4.09,3.8,3.98
STAK,2025-03-04,3.9,3.95,3.62,3.705
STAK,2025-03-05,3.6663,3.9501,3.54,3.54
STAK,2025-03-06,3.65,3.86,3.5,3.86
STAK,2025-03-07,4.04,4.39,3.955,4.15
STAK,2025-03-10,4.0519,4.23,3.98,3.98
STAK,2025-03-11,3.98,3.98,3.68,3.68
STAK,2025-03-12,3.99,3.99,3.75,3.75
STAK,2025-03-13,3.77,4.1473,3.77,3.77
STAK,2025-03-14,3.89,4.1,3.75,3.75
STAK,2025-03-17,3.8,3.93,3.57,3.57
STAK,2025-03-18,3.57,3.91,2.97,3.255
STAK,2025-03-19,3.6,3.6,3.125,3.28
STAK,2025-03-20,3.25,3.89,3.16,3.43
STAK,2025-03-21,3.48,3.95,3.31,3.64
STAK,2025-03-24,3.54,3.805,3.31,3.65
STAK,2025-03-25,3.77,3.84,3.3517,3.7
STAK,2025-03-26,3.56,3.79,3.55,3.55
STAK,2025-03-27,3.54,3.67,2.96,3.3022
STAK,2025-03-28,3.39,3.39,3.2,3.3
STAK,2025-03-31,3.5,3.65,3.5,3.57
STAK,2025-04-01,3.27,3.78,3.225,3.36
STAK,2025-04-02,3.58,3.58,3.09,3.09
STAK,2025-04-03,3.265,3.53,3.06,3.2
STAK,2025-04-04,3.0641,3.45,3.06,3.41
STAK,2025-04-07,1.9772,4.1,1.9772,2.61
STAK,2025-04-08,2.73,3.2,2.21,2.36
STAK,2025-04-09,2.4,2.5,1.66,1.66
STAK,2025-04-10,1.13,1.13,1.13,1.13
STAK,2025-04-11,1.24,1.425,1.14,1.14
STAK,2025-04-14,1.25,2.68,1.25,2.22
STAK,2025-04-15,1.68,2.04,1.58,1.68
STAK,2025-04-16,1.62,1.89,1.601,1.69
STAK,2025-04-17,1.665,1.79,1.65,1.74
STAK,2025-04-21,1.71,1.99,1.652,1.82
STAK,2025-04-22,1.88,2.2,1.84,2.17
STAK,2025-04-23,2.18,2.48,2.18,2.33
STAK,2025-04-24,2.31,3.2,2.31,2.94
STAK,2025-04-25,2.76,2.94,2.75,2.75
STAK,2025-04-28,2.5733,2.73,2.4,2.46
STAK,2025-04-29,2.49,2.6151,2.37,2.37
STAK,2025-04-30,2.46,2.7,2.34,2.42
STAK,2025-05-01,2.486,2.5499,2.4,2.54
STAK,2025-05-02,2.41,2.4419,2.37,2.38
STAK,2025-05-05,2.5751,2.5751,2.36,2.36
STAK,2025-05-06,2.38,2.6,2.0086,2.4875
STAK,2025-05-07,2.39,2.5,2.352,2.48
STAK,2025-05-08,2.39,2.41,2.3,2.32
STAK,2025-05-09,2.32,2.4543,2.03236,2.11
STAK,2025-05-12,2.33,2.4778,1.81,2.15
STAK,2025-05-13,2.28,2.28,2.05,2.05
STAK,2025-05-14,2.2,2.35,2.09,2.17
STAK,2025-05-15,2.225,2.225,1.9001,2.12
STAK,2025-05-16,2.2,2.25,1.8475,1.95
STAK,2025-05-19,2.05,2.05,1.8301,1.89
STAK,2025-05-20,1.9,1.9,1.8,1.81
STAK,2025-05-21,1.81,1.8899,1.74,1.84
STAK,2025-05-22,1.85,1.95,1.77,1.77
STAK,2025-05-23,1.755,1.78,1.755,1.78
STAK,2025-05-27,1.82,1.89,1.74,1.75
STAK,2025-05-28,1.7208,1.79,1.57,1.66
STAK,2025-05-29,1.68,1.89,1.68,1.89
STAK,2025-05-30,1.75,1.77,1.7162,1.75
STAK,2025-06-02,1.75,2.11,1.69,1.85
STAK,2025-06-03,1.85,2.01,1.725,1.9063
STAK,2025-06-04,1.92,1.92,1.72,1.88
STAK,2025-06-05,1.83,1.915,1.5,1.67
STAK,2025-06-06,1.67,1.85,1.67,1.78
STAK,2025-06-09,1.7,1.85,1.7,1.83
STAK,2025-06-10,1.66,1.8,1.66,1.69
STAK,2025-06-11,1.67,1.9,1.67,1.89
STAK,2025-06-12,1.89,1.9,1.7,1.82
STAK,2025-06-13,1.8519,2.1236,1.85,1.95
STAK,2025-06-16,3.74,3.97,2.13,2.31
STAK,2025-06-17,2.11,2.55,2.0301,2.44
STAK,2025-06-18,2.27,2.558,2.2,2.4
STAK,2025-06-20,2.29,2.38,2.05,2.05
STAK,2025-06-23,2.1,2.41,2.02,2.31
STAK,2025-06-24,1.98,2.11,1.95,1.99
STAK,2025-06-25,1.94,2.01,1.9,1.92
STAK,2025-06-26,1.83,1.93,1.73,1.8
STAK,2025-06-27,1.775,1.825,1.7104,1.73
STAK,2025-06-30,1.7,1.94,1.695,1.84
STAK,2025-07-01,1.77,1.95,1.77,1.88
STAK,2025-07-02,1.94,1.98,1.86,1.95
STAK,2025-07-03,1.95,1.965,1.82,1.87
STAK,2025-07-07,1.87,1.97,1.68,1.8
STAK,2025-07-08,1.75,1.81,1.74,1.8
STAK,2025-07-09,1.79,1.79,1.59,1.66
STAK,2025-07-10,1.71,1.8954,1.71,1.85
STAK,2025-07-11,1.72,1.72,1.7105,1.72
STAK,2025-07-14,1.76,1.8136,1.695,1.79
STAK,2025-07-15,1.79,1.79,1.63,1.66
STAK,2025-07-16,1.76,1.77,1.68,1.77
STAK,2025-07-17,1.8,1.83,1.72,1.8
STAK,2025-07-18,1.75,1.96,1.7109,1.73
STAK,2025-07-21,1.73,1.8,1.65,1.675
STAK,2025-07-22,1.71,2.2,1.68,1.93
STAK,2025-07-23,1.86,1.92,1.8,1.9
