ticker,date,open,high,low,close
BRKR,2000-08-04,20.47,25.19,19.19,23.06
BRKR,2000-08-07,23.12,24.75,22.5,23.88
BRKR,2000-08-08,23.62,26.36,23.62,25.0
BRKR,2000-08-09,25.12,25.62,25.0,25.38
BRKR,2000-08-10,24.94,25.12,24.5,24.75
BRKR,2000-08-11,24.5,24.62,23.88,24.38
BRKR,2000-08-14,24.25,24.88,24.0,24.62
BRKR,2000-08-15,24.88,25.31,24.62,25.19
BRKR,2000-08-16,25.06,26.25,24.69,26.25
BRKR,2000-08-17,26.0,26.25,23.12,24.5
BRKR,2000-08-18,24.12,25.12,24.12,24.88
BRKR,2000-08-21,24.88,28.81,24.88,28.75
BRKR,2000-08-22,28.75,32.12,28.0,31.94
BRKR,2000-08-23,31.62,32.5,28.62,30.5
BRKR,2000-08-24,30.5,37.62,30.5,37.62
BRKR,2000-08-25,36.19,39.0,36.12,38.0
BRKR,2000-08-28,39.0,39.56,37.56,38.0
BRKR,2000-08-29,38.5,38.5,37.0,37.56
BRKR,2000-08-30,37.38,38.25,36.5,38.12
BRKR,2000-08-31,38.25,51.38,38.12,50.25
BRKR,2000-09-01,49.44,49.5,46.25,46.56
BRKR,2000-09-05,46.5,46.5,43.38,44.5
BRKR,2000-09-06,44.0,44.25,37.5,37.75
BRKR,2000-09-07,38.41,38.5,37.12,37.88
BRKR,2000-09-08,37.5,37.5,31.88,34.0
BRKR,2000-09-11,34.56,34.56,33.0,33.06
BRKR,2000-09-12,33.5,36.25,33.5,34.0
BRKR,2000-09-13,34.97,36.25,33.75,34.0
BRKR,2000-09-14,34.0,36.0,33.97,35.06
BRKR,2000-09-15,35.09,35.09,34.0,34.25
BRKR,2000-09-18,34.0,34.5,28.75,29.38
BRKR,2000-09-19,29.75,30.38,29.62,29.88
BRKR,2000-09-20,29.12,29.88,27.0,27.5
BRKR,2000-09-21,27.5,28.88,27.12,28.75
BRKR,2000-09-22,28.5,32.75,27.5,32.75
BRKR,2000-09-25,32.56,34.62,31.5,33.0
BRKR,2000-09-26,33.06,36.12,33.06,36.0
BRKR,2000-09-27,35.88,39.5,35.25,38.94
BRKR,2000-09-28,38.5,46.88,35.81,45.12
BRKR,2000-09-29,44.5,44.88,43.62,44.38
BRKR,2000-10-02,46.44,47.31,45.75,46.0
BRKR,2000-10-03,46.25,46.75,39.88,41.62
BRKR,2000-10-04,40.06,41.56,37.81,38.0
BRKR,2000-10-05,38.0,41.5,37.75,39.75
BRKR,2000-10-06,40.62,40.62,36.0,37.5
BRKR,2000-10-09,36.5,36.5,32.0,32.0
BRKR,2000-10-10,33.12,35.75,33.06,34.0
BRKR,2000-10-11,33.88,33.88,31.5,31.62
BRKR,2000-10-12,32.88,33.12,29.12,30.38
BRKR,2000-10-13,29.25,30.12,28.25,28.88
BRKR,2000-10-16,29.62,35.75,29.06,30.88
BRKR,2000-10-17,31.98,32.0,30.38,31.38
BRKR,2000-10-18,31.0,32.0,30.88,31.38
BRKR,2000-10-19,32.75,33.62,32.25,33.62
BRKR,2000-10-20,34.0,39.0,33.25,38.0
BRKR,2000-10-23,38.73,39.75,36.75,37.5
BRKR,2000-10-24,38.0,38.5,36.5,36.75
BRKR,2000-10-25,36.75,37.25,36.38,36.69
BRKR,2000-10-26,36.44,36.44,36.38,36.44
BRKR,2000-10-27,36.38,36.5,36.12,36.12
BRKR,2000-10-30,35.88,35.88,33.0,33.19
BRKR,2000-10-31,34.0,35.5,34.0,34.25
BRKR,2000-11-01,34.0,35.25,34.0,35.12
BRKR,2000-11-02,35.25,38.0,35.12,36.75
BRKR,2000-11-03,37.12,37.38,36.62,37.25
