ticker,date,open,high,low,close
TWNP,2025-01-30,17.45,19.04,16.0,17.1
TWNP,2025-01-31,18.19,18.19,14.8,14.95
TWNP,2025-02-03,15.34,15.4,14.01,14.01
TWNP,2025-02-04,14.0,14.1,10.41,11.37
TWNP,2025-02-05,11.51,11.51,10.825,10.95
TWNP,2025-02-06,11.0,11.0,9.12,9.48
TWNP,2025-02-07,9.65,10.0,9.16,9.5
TWNP,2025-02-10,9.64,9.9115,9.0,9.58
TWNP,2025-02-11,9.5,10.5399,9.31,9.92
TWNP,2025-02-12,9.9,10.7399,9.58,10.36
TWNP,2025-02-13,10.4,10.64,10.281,10.36
TWNP,2025-02-14,10.75,10.75,9.59,9.95
TWNP,2025-02-18,9.96,10.07,9.53,9.75
TWNP,2025-02-19,9.74,9.82,9.29,9.3
TWNP,2025-02-20,9.26,9.27,8.05,8.12
TWNP,2025-02-21,8.2,8.68,7.9,8.4
TWNP,2025-02-24,8.51,8.9423,8.26,8.4
TWNP,2025-02-25,8.37,8.465,8.0432,8.23
TWNP,2025-02-26,8.45,8.7199,8.1,8.1
TWNP,2025-02-27,8.75,8.75,8.2701,8.3
TWNP,2025-02-28,8.4,8.4,7.6,8.24
TWNP,2025-03-03,8.12,8.5149,7.51,7.695
TWNP,2025-03-04,7.86,8.03,7.5428,7.57
TWNP,2025-03-05,7.9408,7.9408,7.65,7.75
TWNP,2025-03-06,7.75,8.1091,7.26,7.27
TWNP,2025-03-07,7.379,7.73,7.3,7.73
TWNP,2025-03-10,7.7922,7.7922,7.03,7.15
TWNP,2025-03-11,7.22,7.7499,7.0,7.135
TWNP,2025-03-12,7.38,7.4143,7.05,7.095
TWNP,2025-03-13,7.15,7.45,7.01,7.22
TWNP,2025-03-14,7.17,7.4358,7.05,7.25
TWNP,2025-03-17,7.27,7.2899,7.01,7.18
TWNP,2025-03-18,7.4,7.51,7.2516,7.34
TWNP,2025-03-19,7.49,7.49,6.7,7.0
TWNP,2025-03-20,7.34,7.34,6.67,6.94
TWNP,2025-03-21,7.02,7.11,6.75,7.095
TWNP,2025-03-24,7.1,7.1,6.9119,7.1
TWNP,2025-03-25,7.1,7.1,6.9,7.03
TWNP,2025-03-26,7.1,7.205,6.99,7.06
TWNP,2025-03-27,7.0,7.1251,6.885,7.03
TWNP,2025-03-28,7.0125,7.1498,6.75,6.81
TWNP,2025-03-31,6.82,7.1375,6.55,6.64
TWNP,2025-04-01,6.92,7.13,6.762,6.94
TWNP,2025-04-02,7.08,7.08,6.82,7.01
TWNP,2025-04-03,6.76,7.05,6.47,6.47
TWNP,2025-04-04,6.43,6.82,5.95,6.0
TWNP,2025-04-07,5.9519,6.1074,5.1,5.24
TWNP,2025-04-08,5.19,5.19,5.14,5.19
TWNP,2025-04-09,5.2,5.3899,5.2,5.2
TWNP,2025-04-10,5.4,5.5353,5.33,5.33
TWNP,2025-04-11,5.56,5.9174,5.56,5.76
TWNP,2025-04-14,5.77,6.34,5.77,6.34
TWNP,2025-04-15,6.21,6.21,6.08,6.21
TWNP,2025-04-16,6.45,6.45,5.8901,6.45
TWNP,2025-04-17,6.45,6.45,6.14,6.45
TWNP,2025-04-21,6.26,6.7197,6.26,6.43
TWNP,2025-04-22,6.45,6.45,6.39,6.45
TWNP,2025-04-23,6.45,6.45,6.35,6.45
TWNP,2025-04-24,6.45,6.61,6.3605,6.61
TWNP,2025-04-25,6.45,6.46,6.3376,6.44
TWNP,2025-04-28,6.59,6.59,6.4,6.57
TWNP,2025-04-29,6.5,6.56,6.445,6.53
TWNP,2025-04-30,6.68,6.68,6.34,6.45
TWNP,2025-05-01,6.75,6.75,6.2,6.5
TWNP,2025-05-02,6.64,6.8,6.2335,6.8
TWNP,2025-05-05,6.45,6.45,6.24,6.45
TWNP,2025-05-06,6.46,6.5985,6.19,6.38
TWNP,2025-05-07,6.45,6.5,6.1,6.31
TWNP,2025-05-08,6.21,6.75,6.0315,6.19
TWNP,2025-05-09,6.45,6.45,6.0101,6.45
TWNP,2025-05-12,6.6,6.89,6.6,6.89
TWNP,2025-05-13,6.88,7.05,6.56,7.05
TWNP,2025-05-14,7.0,7.18,6.67,6.67
TWNP,2025-05-15,6.62,6.8,6.01,6.01
TWNP,2025-05-16,6.6,6.6,5.53,5.53
TWNP,2025-05-19,5.5,5.9625,5.32,5.43
TWNP,2025-05-20,5.25,5.25,4.63,4.67
TWNP,2025-05-21,5.16,5.16,4.7081,4.75
TWNP,2025-05-22,4.64,4.99,4.345,4.81
TWNP,2025-05-23,4.67,4.96,4.67,4.83
TWNP,2025-05-27,4.84,4.95,4.5,4.5
TWNP,2025-05-28,4.42,4.6681,4.42,4.45
TWNP,2025-05-29,4.42,4.91,4.36,4.36
TWNP,2025-05-30,4.31,4.74,4.28,4.4585
TWNP,2025-06-02,4.41,4.6099,4.34,4.39
TWNP,2025-06-03,4.34,4.6274,4.2,4.26
TWNP,2025-06-04,4.26,4.4999,4.2323,4.24
TWNP,2025-06-05,4.02,4.65,4.02,4.03
TWNP,2025-06-06,4.05,4.33,4.0374,4.23
TWNP,2025-06-09,4.44,8.67,4.44,6.34
TWNP,2025-06-10,6.45,6.74,5.8901,6.43
TWNP,2025-06-11,6.21,7.43,6.05,6.16
TWNP,2025-06-12,6.17,6.49,5.58,5.9
TWNP,2025-06-13,5.73,5.9087,4.8118,5.03
TWNP,2025-06-16,5.13,5.41,4.99,5.0
TWNP,2025-06-17,4.88,5.24,4.76,4.89
TWNP,2025-06-18,4.89,5.1572,4.76,4.8
TWNP,2025-06-20,4.76,5.24,4.25,5.24
TWNP,2025-06-23,4.8,4.87,4.56,4.715
TWNP,2025-06-24,4.57,4.87,4.57,4.78
TWNP,2025-06-25,4.77,4.96,4.49,4.59
TWNP,2025-06-26,4.56,4.9,4.5,4.55
TWNP,2025-06-27,4.5,4.67,4.45,4.5
TWNP,2025-06-30,4.71,4.7964,4.4,4.52
TWNP,2025-07-01,4.43,4.73,4.41,4.5582
TWNP,2025-07-02,4.5,4.935,4.5,4.61
TWNP,2025-07-03,4.55,5.0,4.5,4.61
TWNP,2025-07-07,4.65,4.85,4.6,4.61
TWNP,2025-07-08,4.59,4.93,4.44,4.44
TWNP,2025-07-09,4.4,4.55,4.3,4.31
TWNP,2025-07-10,4.32,4.5,4.3,4.42
TWNP,2025-07-11,4.4,4.4,4.4,4.4
TWNP,2025-07-14,4.475,4.7,4.29,4.35
