ticker,date,open,high,low,close
DVLT,2025-02-14,1.18,1.3299,1.15,1.22
DVLT,2025-02-18,1.2,1.205,1.0905,1.15
DVLT,2025-02-19,1.1,1.1,1.05,1.09
DVLT,2025-02-20,1.07,1.12,0.9763,1.08
DVLT,2025-02-21,1.06,1.29,1.03,1.12
DVLT,2025-02-24,1.01,1.01,1.01,1.01
DVLT,2025-02-25,1.015,1.03,0.904,0.975
DVLT,2025-02-26,0.9745,1.06,0.945,1.04
DVLT,2025-02-27,1.02,1.08,0.9401,0.9638
DVLT,2025-02-28,0.96,0.96,0.9019,0.9115
DVLT,2025-03-03,0.905,0.93,0.8205,0.86
DVLT,2025-03-04,0.8299,0.8299,0.781,0.8299
DVLT,2025-03-05,0.86,0.86,0.7496,0.805
DVLT,2025-03-06,0.784,0.784,0.74,0.7651
DVLT,2025-03-07,0.7253,0.7598,0.693,0.741
DVLT,2025-03-10,0.74,0.749,0.73,0.7333
DVLT,2025-03-11,0.74,0.767,0.7166,0.7515
DVLT,2025-03-12,0.7375,0.799,0.7375,0.7749
DVLT,2025-03-13,0.767,0.87,0.767,0.8321
DVLT,2025-03-14,0.85,0.93,0.7821,0.9131
DVLT,2025-03-17,1.02,1.03,0.803,0.8632
DVLT,2025-03-18,0.833,1.06,0.7901,0.9601
DVLT,2025-03-19,0.9342,0.9342,0.9078,0.9342
DVLT,2025-03-20,0.9342,1.05,0.8951,1.01
DVLT,2025-03-21,1.01,1.13,0.8675,1.065
DVLT,2025-03-24,1.2,1.21,0.88,0.9537
DVLT,2025-03-25,0.96,0.9658,0.87,0.9201
DVLT,2025-03-26,0.91,0.92,0.822,0.885
DVLT,2025-03-27,0.8889,0.908,0.8466,0.895
DVLT,2025-03-28,0.86,0.9192,0.82,0.897
DVLT,2025-03-31,0.88,0.89,0.8065,0.8491
DVLT,2025-04-01,0.8336,0.85,0.78,0.7991
DVLT,2025-04-02,0.8,0.8,0.7132,0.7754
DVLT,2025-04-03,0.7499,0.7627,0.7204,0.7399
DVLT,2025-04-04,0.73,0.73,0.6366,0.674
DVLT,2025-04-07,0.622,0.665,0.60111,0.665
DVLT,2025-04-08,0.675,0.6909,0.6501,0.661
DVLT,2025-04-09,0.652,0.6849,0.6011,0.6513
