ticker,date,open,high,low,close
AEP,1962-01-02,0.0,35.12,34.31,34.31
AEP,1962-01-03,0.0,34.75,34.06,34.25
AEP,1962-01-04,0.0,34.31,33.75,33.75
AEP,1962-01-05,0.0,33.62,32.62,33.0
AEP,1962-01-08,0.0,33.19,32.0,32.75
AEP,1962-01-09,0.0,32.81,32.38,32.5
AEP,1962-01-10,0.0,33.0,32.62,33.0
AEP,1962-01-11,0.0,33.0,32.62,32.94
AEP,1962-01-12,0.0,33.44,33.0,33.44
AEP,1962-01-15,0.0,33.25,33.0,33.0
AEP,1962-01-16,0.0,33.0,32.75,32.88
AEP,1962-01-17,0.0,33.31,32.94,32.94
AEP,1962-01-18,0.0,33.38,32.88,33.12
AEP,1962-01-19,0.0,33.38,33.06,33.12
AEP,1962-01-22,0.0,33.25,32.81,32.88
AEP,1962-01-23,0.0,33.06,32.81,32.88
AEP,1962-01-24,0.0,32.94,32.69,32.94
AEP,1962-01-25,0.0,33.0,32.75,32.88
AEP,1962-01-26,0.0,33.12,32.44,32.44
AEP,1962-01-29,0.0,32.38,32.06,32.31
AEP,1962-01-30,0.0,32.44,32.19,32.44
AEP,1962-01-31,0.0,32.5,32.38,32.5
AEP,1962-02-01,0.0,32.69,32.38,32.62
AEP,1962-02-02,0.0,32.69,32.44,32.5
AEP,1962-02-05,0.0,32.75,32.38,32.56
AEP,1962-02-06,0.0,32.88,32.5,32.88
AEP,1962-02-07,0.0,33.75,33.31,33.62
AEP,1962-02-08,0.0,34.5,33.88,34.38
AEP,1962-02-09,0.0,34.5,34.12,34.5
AEP,1962-02-12,0.0,34.44,34.31,34.38
AEP,1962-02-13,0.0,34.56,34.12,34.38
AEP,1962-02-14,0.0,34.62,34.12,34.5
AEP,1962-02-15,0.0,35.31,34.62,35.25
AEP,1962-02-16,0.0,35.25,34.94,34.94
AEP,1962-02-19,0.0,35.0,34.69,34.69
AEP,1962-02-20,0.0,34.94,34.38,34.94
AEP,1962-02-21,0.0,35.06,34.75,34.75
AEP,1962-02-23,0.0,34.94,34.56,34.81
AEP,1962-02-26,0.0,34.75,34.56,34.69
AEP,1962-02-27,0.0,34.81,34.62,34.62
AEP,1962-02-28,0.0,34.69,34.25,34.25
AEP,1962-03-01,0.0,34.5,34.31,34.5
AEP,1962-03-02,0.0,34.88,34.5,34.88
AEP,1962-03-05,0.0,35.06,34.38,34.5
AEP,1962-03-06,0.0,34.44,34.19,34.31
AEP,1962-03-07,0.0,34.44,34.12,34.44
AEP,1962-03-08,0.0,35.56,34.5,35.56
AEP,1962-03-09,0.0,35.75,35.38,35.75
AEP,1962-03-12,0.0,35.75,35.5,35.5
AEP,1962-03-13,0.0,35.69,35.38,35.69
AEP,1962-03-14,0.0,36.0,35.62,35.81
AEP,1962-03-15,0.0,35.88,35.56,35.56
AEP,1962-03-16,0.0,35.69,35.38,35.69
AEP,1962-03-19,0.0,36.12,35.5,36.0
AEP,1962-03-20,0.0,36.12,35.88,36.0
AEP,1962-03-21,0.0,36.25,36.0,36.0
AEP,1962-03-22,0.0,36.06,36.0,36.0
AEP,1962-03-23,0.0,36.25,35.88,36.0
AEP,1962-03-26,0.0,35.94,35.56,35.56
AEP,1962-03-27,0.0,35.75,35.25,35.25
AEP,1962-03-28,0.0,35.31,35.0,35.31
AEP,1962-03-29,0.0,35.56,35.25,35.25
AEP,1962-03-30,0.0,35.69,35.5,35.69
AEP,1962-04-02,0.0,35.69,35.38,35.69
AEP,1962-04-03,0.0,35.62,35.44,35.5
AEP,1962-04-04,0.0,35.5,35.31,35.44
AEP,1962-04-05,0.0,35.69,35.19,35.69
AEP,1962-04-06,0.0,35.94,35.44,35.62
AEP,1962-04-09,0.0,35.94,35.31,35.31
AEP,1962-04-10,0.0,35.69,35.31,35.5
AEP,1962-04-11,0.0,35.69,35.31,35.31
AEP,1962-04-12,0.0,35.69,35.31,35.44
AEP,1962-04-13,0.0,35.5,35.19,35.25
AEP,1962-04-16,0.0,35.31,35.0,35.0
AEP,1962-04-17,0.0,35.19,34.88,34.94
AEP,1962-04-18,0.0,35.0,34.75,34.88
AEP,1962-04-19,0.0,35.25,34.94,35.25
AEP,1962-04-23,0.0,35.62,35.25,35.25
AEP,1962-04-24,0.0,35.44,35.25,35.44
AEP,1962-04-25,0.0,35.75,35.44,35.58
AEP,1962-04-26,0.0,35.75,35.58,35.58
AEP,1962-04-27,0.0,35.69,35.0,35.0
AEP,1962-04-30,0.0,34.81,33.38,33.5
AEP,1962-05-01,0.0,33.62,32.5,33.62
AEP,1962-05-02,0.0,34.0,33.0,33.0
AEP,1962-05-03,0.0,33.25,32.5,32.5
AEP,1962-05-04,0.0,32.88,32.5,32.69
AEP,1962-05-07,0.0,32.62,32.31,32.31
AEP,1962-05-08,0.0,32.44,32.25,32.31
AEP,1962-05-09,0.0,32.31,31.81,32.25
AEP,1962-05-10,0.0,32.38,32.12,32.25
AEP,1962-05-11,0.0,32.44,32.12,32.19
AEP,1962-05-14,0.0,32.25,31.88,32.25
AEP,1962-05-15,0.0,33.19,32.5,33.0
AEP,1962-05-16,0.0,33.44,33.12,33.19
AEP,1962-05-17,0.0,33.38,33.12,33.25
AEP,1962-05-18,0.0,33.44,33.12,33.25
AEP,1962-05-21,0.0,33.38,33.12,33.38
AEP,1962-05-22,0.0,33.44,32.75,32.94
AEP,1962-05-23,0.0,32.88,32.5,32.5
AEP,1962-05-24,0.0,32.44,32.0,32.0
AEP,1962-05-25,0.0,31.88,29.75,29.75
AEP,1962-05-28,0.0,29.19,26.75,27.0
AEP,1962-05-29,0.0,29.75,27.12,29.75
AEP,1962-05-31,0.0,31.12,30.25,31.12
AEP,1962-06-01,0.0,31.44,30.12,30.25
AEP,1962-06-04,0.0,30.44,28.88,29.25
AEP,1962-06-05,0.0,30.0,29.25,29.5
AEP,1962-06-06,0.0,30.5,29.75,30.5
AEP,1962-06-07,0.0,31.25,30.5,30.88
AEP,1962-06-08,0.0,31.25,30.62,31.0
AEP,1962-06-11,0.0,30.75,30.12,30.38
AEP,1962-06-12,0.0,30.44,29.62,29.88
AEP,1962-06-13,0.0,29.88,29.25,29.5
AEP,1962-06-14,0.0,29.5,28.25,28.5
AEP,1962-06-15,0.0,28.88,27.75,28.62
AEP,1962-06-18,0.0,29.12,28.25,28.94
AEP,1962-06-19,0.0,29.12,28.38,29.12
AEP,1962-06-20,0.0,29.12,28.69,28.81
AEP,1962-06-21,0.0,28.44,28.06,28.25
AEP,1962-06-22,0.0,28.0,27.5,28.0
AEP,1962-06-25,0.0,27.75,27.0,27.44
AEP,1962-06-26,0.0,27.75,27.12,27.31
AEP,1962-06-27,0.0,27.0,26.0,27.0
AEP,1962-06-28,0.0,28.12,27.0,28.12
AEP,1962-06-29,0.0,28.25,27.88,28.19
AEP,1962-07-02,0.0,28.75,28.19,28.62
AEP,1962-07-03,0.0,30.0,29.25,30.0
AEP,1962-07-05,0.0,30.5,30.12,30.5
AEP,1962-07-06,0.0,31.0,30.44,30.69
AEP,1962-07-09,0.0,30.94,30.38,30.75
AEP,1962-07-10,0.0,31.25,30.5,30.75
AEP,1962-07-11,0.0,31.0,30.62,31.0
AEP,1962-07-12,0.0,31.38,30.62,31.12
AEP,1962-07-13,0.0,31.38,31.06,31.38
AEP,1962-07-16,0.0,32.12,31.69,32.0
AEP,1962-07-17,0.0,32.12,31.38,31.69
AEP,1962-07-18,0.0,31.44,30.94,31.0
AEP,1962-07-19,0.0,31.0,30.56,30.94
AEP,1962-07-20,0.0,31.0,30.62,31.0
AEP,1962-07-23,0.0,31.19,30.88,31.12
AEP,1962-07-24,0.0,31.19,30.81,31.0
AEP,1962-07-25,0.0,31.75,30.88,31.38
AEP,1962-07-26,0.0,31.69,31.38,31.38
AEP,1962-07-27,0.0,32.0,31.38,31.88
AEP,1962-07-30,0.0,32.88,32.12,32.75
AEP,1962-07-31,0.0,33.0,32.5,32.56
AEP,1962-08-01,0.0,32.75,32.25,32.25
AEP,1962-08-02,0.0,32.31,32.06,32.25
AEP,1962-08-03,0.0,32.31,32.0,32.25
AEP,1962-08-06,0.0,32.19,31.75,31.94
AEP,1962-08-07,0.0,31.88,31.69,31.81
AEP,1962-08-08,0.0,31.81,31.62,31.75
AEP,1962-08-09,0.0,31.81,31.62,31.75
AEP,1962-08-10,0.0,31.75,31.5,31.5
AEP,1962-08-13,0.0,31.69,31.31,31.5
AEP,1962-08-14,0.0,31.69,31.38,31.5
AEP,1962-08-15,0.0,31.62,31.25,31.38
AEP,1962-08-16,0.0,31.62,31.12,31.31
AEP,1962-08-17,0.0,31.31,31.12,31.12
AEP,1962-08-20,0.0,31.69,31.19,31.69
AEP,1962-08-21,0.0,31.75,31.5,31.62
AEP,1962-08-22,0.0,31.62,31.44,31.44
