ticker,date,open,high,low,close
NCSM,2017-04-28,400.0,406.0,385.0,400.2
NCSM,2017-05-01,391.2,419.78,391.2,409.0
NCSM,2017-05-02,410.2,413.77,407.01,410.2
NCSM,2017-05-03,409.4,420.4,404.22,414.2
NCSM,2017-05-04,413.2,426.2,400.6,400.6
NCSM,2017-05-05,408.8,408.8,399.5,400.8
NCSM,2017-05-08,400.6,430.0,400.6,426.4
NCSM,2017-05-09,429.4,439.4,404.0,423.2
NCSM,2017-05-10,423.4,431.6,414.6,416.8
NCSM,2017-05-11,419.2,438.8,419.2,419.4
NCSM,2017-05-12,420.2,420.6,414.2,417.4
NCSM,2017-05-15,418.2,431.6,414.5,422.8
NCSM,2017-05-16,420.6,449.4,420.6,437.0
NCSM,2017-05-17,426.0,461.7,426.0,457.2
NCSM,2017-05-18,457.0,485.0,446.0,457.6
NCSM,2017-05-19,449.0,488.3,446.0,481.8
NCSM,2017-05-22,489.0,489.0,470.8,479.0
NCSM,2017-05-23,463.4,493.5,446.7,481.4
NCSM,2017-05-24,482.0,517.4,467.5,495.4
NCSM,2017-05-25,500.0,537.2,480.6,504.4
NCSM,2017-05-26,509.0,564.0,497.2,540.8
NCSM,2017-05-30,542.0,581.4,506.4,522.4
NCSM,2017-05-31,522.8,535.0,490.0,524.8
NCSM,2017-06-01,529.8,557.0,517.6,528.2
NCSM,2017-06-02,527.2,529.2,506.5,519.4
NCSM,2017-06-05,528.8,536.0,505.0,521.0
NCSM,2017-06-06,508.6,530.0,502.8,522.2
NCSM,2017-06-07,520.4,525.4,486.0,502.0
NCSM,2017-06-08,498.8,521.4,490.2,515.4
NCSM,2017-06-09,514.0,520.8,500.0,515.8
NCSM,2017-06-12,516.0,528.76,501.0,524.6
NCSM,2017-06-13,526.0,532.8,515.84,523.4
NCSM,2017-06-14,523.4,525.8,503.2,518.0
NCSM,2017-06-15,512.2,518.0,494.0,498.4
NCSM,2017-06-16,494.8,502.0,460.4,464.6
NCSM,2017-06-19,466.0,489.2,457.37,482.4
NCSM,2017-06-20,481.0,485.0,461.0,482.2
NCSM,2017-06-21,482.2,482.2,431.8,441.2
NCSM,2017-06-22,440.0,460.0,436.5,439.8
NCSM,2017-06-23,441.4,459.4,439.6,453.8
NCSM,2017-06-26,450.2,454.9,431.8,441.4
NCSM,2017-06-27,439.4,473.0,437.2,460.0
NCSM,2017-06-28,451.3,487.6,451.3,470.0
NCSM,2017-06-29,475.6,493.2,475.6,488.4
NCSM,2017-06-30,500.2,507.1,467.8,503.6
NCSM,2017-07-03,505.6,519.2,505.36,513.2
NCSM,2017-07-05,517.8,517.8,488.8,496.8
NCSM,2017-07-06,494.8,494.8,446.8,460.4
NCSM,2017-07-07,460.4,469.8,454.0,455.6
NCSM,2017-07-10,455.0,489.8,430.74,488.0
NCSM,2017-07-11,484.8,489.2,449.62,460.6
NCSM,2017-07-12,463.0,466.0,451.0,458.2
NCSM,2017-07-13,458.8,470.1,447.2,459.0
NCSM,2017-07-14,456.6,469.24,454.0,462.4
NCSM,2017-07-17,463.6,483.8,452.0,457.0
NCSM,2017-07-18,458.2,463.6,446.6,452.8
NCSM,2017-07-19,454.2,466.6,453.8,463.6
NCSM,2017-07-20,467.4,482.0,455.6,474.8
NCSM,2017-07-21,479.0,479.0,434.62,451.8
NCSM,2017-07-24,451.8,471.6,428.4,438.0
