ticker,date,open,high,low,close
OLMA,2020-11-19,45.0,49.03,40.0,49.0
OLMA,2020-11-20,47.0,49.05,41.05,48.9
OLMA,2020-11-23,48.0,56.4322,46.0001,52.78
OLMA,2020-11-24,53.34,56.105,46.02,47.11
OLMA,2020-11-25,46.2,51.5,44.0,49.5
OLMA,2020-11-27,48.81,51.35,48.01,49.8
OLMA,2020-11-30,50.25,52.01,49.21,51.0
OLMA,2020-12-01,51.21,55.93,50.0,54.5
OLMA,2020-12-02,53.68,60.27,53.24,53.39
OLMA,2020-12-03,53.83,56.5,49.615,50.83
OLMA,2020-12-04,51.18,52.6017,48.24,49.0
OLMA,2020-12-07,48.73,50.0,44.0,44.93
OLMA,2020-12-08,45.0,46.0,42.3,42.87
OLMA,2020-12-09,42.5,44.57,42.13,43.72
OLMA,2020-12-10,44.12,45.93,42.78,45.73
OLMA,2020-12-11,45.8,45.8,43.21,43.28
OLMA,2020-12-14,45.55,45.68,39.76,40.2
OLMA,2020-12-15,40.0,40.05,38.6,39.26
OLMA,2020-12-16,39.38,39.38,36.8,37.09
OLMA,2020-12-17,37.0,41.92,35.73,40.07
OLMA,2020-12-18,40.09,45.45,39.965,44.0
OLMA,2020-12-21,44.46,46.98,42.0,43.0
OLMA,2020-12-22,43.0,46.38,41.91,46.24
OLMA,2020-12-23,46.0,50.98,44.86,49.75
OLMA,2020-12-24,49.7,51.7,49.01,51.5
OLMA,2020-12-28,50.82,51.13,48.2,48.74
OLMA,2020-12-29,49.0,49.72,45.77,46.76
OLMA,2020-12-30,46.75,50.09,46.53,48.76
OLMA,2020-12-31,49.22,50.77,47.37,48.08
OLMA,2021-01-04,48.46,49.063,45.02,45.68
OLMA,2021-01-05,45.04,45.82,42.08,42.32
OLMA,2021-01-06,42.3,43.47,42.0,43.12
OLMA,2021-01-07,43.47,43.98,42.6903,42.77
OLMA,2021-01-08,42.75,43.29,42.12,42.21
OLMA,2021-01-11,42.16,42.575,40.7,41.39
OLMA,2021-01-12,41.38,42.0,40.94,42.0
OLMA,2021-01-13,41.71,42.575,41.03,42.1
OLMA,2021-01-14,42.56,42.89,40.81,41.37
OLMA,2021-01-15,41.46,43.075,40.82,41.79
OLMA,2021-01-19,42.25,43.4195,41.8,42.97
OLMA,2021-01-20,43.2,43.2,41.39,41.86
OLMA,2021-01-21,41.86,42.77,40.1,42.63
OLMA,2021-01-22,43.0,45.84,40.84,44.95
OLMA,2021-01-25,46.32,47.49,44.34,46.36
OLMA,2021-01-26,46.85,52.24,46.85,48.73
OLMA,2021-01-27,47.95,49.365,44.31,46.06
