ticker,date,open,high,low,close
BCTX,2012-03-14,156.35,156.35,156.35,156.35
BCTX,2012-03-15,156.35,156.35,156.35,156.35
BCTX,2012-03-16,156.35,156.35,156.35,156.35
BCTX,2012-03-19,156.35,156.35,156.35,156.35
BCTX,2012-03-20,156.35,156.35,156.35,156.35
BCTX,2012-03-21,156.35,156.35,156.35,156.35
BCTX,2012-03-22,156.35,156.35,156.35,156.35
BCTX,2012-03-23,156.35,156.35,156.35,156.35
BCTX,2012-03-26,156.35,156.35,156.35,156.35
BCTX,2012-03-27,156.35,156.35,156.35,156.35
BCTX,2012-03-28,156.35,156.35,156.35,156.35
BCTX,2012-03-29,156.35,156.35,156.35,156.35
BCTX,2012-03-30,156.35,156.35,156.35,156.35
BCTX,2012-04-02,156.35,156.35,156.35,156.35
BCTX,2012-04-03,156.35,156.35,156.35,156.35
BCTX,2012-04-04,156.35,156.35,156.35,156.35
BCTX,2012-04-05,156.35,156.35,156.35,156.35
BCTX,2012-04-09,156.35,156.35,156.35,156.35
BCTX,2012-04-10,156.35,156.35,156.35,156.35
BCTX,2012-04-11,156.35,156.35,156.35,156.35
BCTX,2012-04-12,146.58,146.58,146.58,146.58
BCTX,2012-04-13,146.58,146.58,146.58,146.58
BCTX,2012-04-16,146.58,146.58,146.58,146.58
BCTX,2012-04-17,146.58,146.58,146.58,146.58
BCTX,2012-04-18,146.58,146.58,146.58,146.58
BCTX,2012-04-19,146.58,146.58,146.58,146.58
BCTX,2012-04-20,146.58,146.58,146.58,146.58
BCTX,2012-04-23,146.58,146.58,146.58,146.58
BCTX,2012-04-24,146.58,146.58,146.58,146.58
BCTX,2012-04-25,136.81,136.81,136.81,136.81
BCTX,2012-04-26,136.81,136.81,136.81,136.81
BCTX,2012-04-27,136.81,136.81,136.81,136.81
BCTX,2012-04-30,146.58,146.58,136.81,146.58
BCTX,2012-05-01,146.58,146.58,146.58,146.58
BCTX,2012-05-02,146.58,146.58,146.58,146.58
BCTX,2012-05-03,146.58,146.58,146.58,146.58
BCTX,2012-05-04,146.58,146.58,146.58,146.58
BCTX,2012-05-07,146.58,146.58,146.58,146.58
BCTX,2012-05-08,146.58,146.58,146.58,146.58
BCTX,2012-05-09,146.58,146.58,146.58,146.58
BCTX,2012-05-10,136.81,136.81,136.81,136.81
BCTX,2012-05-11,136.81,136.81,136.81,136.81
BCTX,2012-05-14,136.81,136.81,136.81,136.81
BCTX,2012-05-15,136.81,136.81,136.81,136.81
BCTX,2012-05-16,136.81,136.81,136.81,136.81
BCTX,2012-05-17,136.81,136.81,136.81,136.81
BCTX,2012-05-18,136.81,136.81,136.81,136.81
BCTX,2012-05-21,136.81,136.81,136.81,136.81
BCTX,2012-05-22,136.81,136.81,136.81,136.81
BCTX,2012-05-23,136.81,136.81,136.81,136.81
BCTX,2012-05-24,136.81,136.81,136.81,136.81
BCTX,2012-05-25,136.81,136.81,136.81,136.81
BCTX,2012-05-29,136.81,136.81,136.81,136.81
BCTX,2012-05-30,127.04,127.04,127.04,127.04
BCTX,2012-05-31,127.04,127.04,127.04,127.04
BCTX,2012-06-01,127.04,127.04,127.04,127.04
BCTX,2012-06-04,127.04,127.04,127.04,127.04
BCTX,2012-06-05,127.04,127.04,127.04,127.04
BCTX,2012-06-06,127.04,127.04,127.04,127.04
BCTX,2012-06-07,127.04,127.04,127.04,127.04
BCTX,2012-06-08,127.04,127.04,127.04,127.04
BCTX,2012-06-11,127.04,127.04,127.04,127.04
BCTX,2012-06-12,127.04,127.04,127.04,127.04
BCTX,2012-06-13,127.04,127.04,127.04,127.04
BCTX,2012-06-14,127.04,127.04,127.04,127.04
BCTX,2012-06-15,127.04,127.04,127.04,127.04
BCTX,2012-06-18,127.04,127.04,127.04,127.04
BCTX,2012-06-19,127.04,127.04,127.04,127.04
BCTX,2012-06-20,127.04,127.04,127.04,127.04
BCTX,2012-06-21,127.04,127.04,127.04,127.04
BCTX,2012-06-22,127.04,127.04,127.04,127.04
BCTX,2012-06-25,127.04,127.04,127.04,127.04
BCTX,2012-06-26,127.04,127.04,127.04,127.04
BCTX,2012-06-27,127.04,127.04,127.04,127.04
BCTX,2012-06-28,127.04,127.04,127.04,127.04
BCTX,2012-06-29,127.04,127.04,127.04,127.04
BCTX,2012-07-02,127.04,127.04,127.04,127.04
BCTX,2012-07-03,127.04,127.04,127.04,127.04
BCTX,2012-07-05,127.04,127.04,127.04,127.04
BCTX,2012-07-06,127.04,127.04,127.04,127.04
BCTX,2012-07-09,127.04,127.04,127.04,127.04
BCTX,2012-07-10,127.04,127.04,127.04,127.04
BCTX,2012-07-11,127.04,127.04,127.04,127.04
BCTX,2012-07-12,127.04,127.04,127.04,127.04
BCTX,2012-07-13,127.04,127.04,127.04,127.04
BCTX,2012-07-16,127.04,127.04,127.04,127.04
BCTX,2012-07-17,127.04,127.04,127.04,127.04
BCTX,2012-07-18,127.04,127.04,127.04,127.04
BCTX,2012-07-19,127.04,127.04,127.04,127.04
BCTX,2012-07-20,127.04,127.04,127.04,127.04
BCTX,2012-07-23,127.04,127.04,127.04,127.04
BCTX,2012-07-24,127.04,127.04,127.04,127.04
BCTX,2012-07-25,127.04,127.04,127.04,127.04
BCTX,2012-07-26,127.04,127.04,127.04,127.04
BCTX,2012-07-27,127.04,127.04,127.04,127.04
BCTX,2012-07-30,127.04,127.04,127.04,127.04
BCTX,2012-07-31,127.04,127.04,127.04,127.04
BCTX,2012-08-01,127.04,127.04,127.04,127.04
BCTX,2012-08-02,127.04,127.04,127.04,127.04
BCTX,2012-08-03,127.04,127.04,127.04,127.04
BCTX,2012-08-06,127.04,127.04,127.04,127.04
BCTX,2012-08-07,87.95,87.95,87.95,87.95
BCTX,2012-08-08,87.95,87.95,87.95,87.95
BCTX,2012-08-09,87.95,87.95,87.95,87.95
BCTX,2012-08-10,87.95,87.95,87.95,87.95
BCTX,2012-08-13,87.95,87.95,87.95,87.95
BCTX,2012-08-14,87.95,87.95,87.95,87.95
BCTX,2012-08-15,87.95,87.95,87.95,87.95
BCTX,2012-08-16,87.95,87.95,87.95,87.95
BCTX,2012-08-17,87.95,87.95,87.95,87.95
BCTX,2012-08-20,87.95,87.95,87.95,87.95
BCTX,2012-08-21,87.95,87.95,87.95,87.95
BCTX,2012-08-22,87.95,87.95,87.95,87.95
BCTX,2012-08-23,87.95,87.95,87.95,87.95
BCTX,2012-08-24,87.95,87.95,87.95,87.95
BCTX,2012-08-27,87.95,87.95,87.95,87.95
BCTX,2012-08-28,87.95,87.95,87.95,87.95
BCTX,2012-08-29,87.95,87.95,87.95,87.95
BCTX,2012-08-30,87.95,87.95,87.95,87.95
BCTX,2012-08-31,87.95,87.95,87.95,87.95
BCTX,2012-09-04,87.95,87.95,87.95,87.95
BCTX,2012-09-05,87.95,87.95,87.95,87.95
BCTX,2012-09-06,87.95,87.95,87.95,87.95
BCTX,2012-09-07,68.4,68.4,68.4,68.4
BCTX,2012-09-10,68.4,68.4,68.4,68.4
BCTX,2012-09-11,68.4,68.4,68.4,68.4
BCTX,2012-09-12,68.4,68.4,68.4,68.4
BCTX,2012-09-13,68.4,68.4,68.4,68.4
BCTX,2012-09-14,68.4,68.4,68.4,68.4
BCTX,2012-09-17,68.4,68.4,68.4,68.4
BCTX,2012-09-18,68.4,68.4,68.4,68.4
BCTX,2012-09-19,68.4,68.4,68.4,68.4
BCTX,2012-09-20,68.4,68.4,68.4,68.4
BCTX,2012-09-21,68.4,68.4,68.4,68.4
BCTX,2012-09-24,68.4,68.4,68.4,68.4
BCTX,2012-09-25,68.4,68.4,68.4,68.4
BCTX,2012-09-26,68.4,68.4,68.4,68.4
BCTX,2012-09-27,68.4,68.4,68.4,68.4
BCTX,2012-09-28,68.4,68.4,68.4,68.4
BCTX,2012-10-01,68.4,68.4,68.4,68.4
BCTX,2012-10-02,68.4,68.4,68.4,68.4
BCTX,2012-10-03,68.4,68.4,68.4,68.4
BCTX,2012-10-04,68.4,68.4,68.4,68.4
BCTX,2012-10-05,68.4,68.4,68.4,68.4
BCTX,2012-10-08,68.4,68.4,68.4,68.4
BCTX,2012-10-09,68.4,68.4,68.4,68.4
BCTX,2012-10-10,68.4,68.4,68.4,68.4
BCTX,2012-10-11,68.4,68.4,68.4,68.4
BCTX,2012-10-12,68.4,68.4,68.4,68.4
BCTX,2012-10-15,68.4,68.4,68.4,68.4
BCTX,2012-10-16,68.4,68.4,68.4,68.4
BCTX,2012-10-17,68.4,68.4,68.4,68.4
BCTX,2012-10-18,68.4,68.4,68.4,68.4
BCTX,2012-10-19,68.4,68.4,68.4,68.4
BCTX,2012-10-22,68.4,68.4,68.4,68.4
BCTX,2012-10-23,68.4,68.4,68.4,68.4
BCTX,2012-10-24,68.4,68.4,68.4,68.4
BCTX,2012-10-25,68.4,68.4,68.4,68.4
BCTX,2012-10-26,68.4,68.4,68.4,68.4
BCTX,2012-10-31,68.4,68.4,68.4,68.4
BCTX,2012-11-01,68.4,68.4,68.4,68.4
BCTX,2012-11-02,68.4,68.4,68.4,68.4
BCTX,2012-11-05,68.4,68.4,68.4,68.4
BCTX,2012-11-06,68.4,68.4,68.4,68.4
BCTX,2012-11-07,68.4,68.4,68.4,68.4
BCTX,2012-11-08,68.4,68.4,68.4,68.4
BCTX,2012-11-09,68.4,68.4,68.4,68.4
BCTX,2012-11-12,68.4,68.4,68.4,68.4
BCTX,2012-11-13,48.86,48.86,48.86,48.86
BCTX,2012-11-14,48.86,48.86,48.86,48.86
BCTX,2012-11-15,48.86,48.86,48.86,48.86
BCTX,2012-11-16,48.86,48.86,48.86,48.86
BCTX,2012-11-19,48.86,48.86,48.86,48.86
BCTX,2012-11-20,48.86,48.86,48.86,48.86
BCTX,2012-11-21,48.86,48.86,48.86,48.86
BCTX,2012-11-23,48.86,48.86,48.86,48.86
BCTX,2012-11-26,48.86,48.86,48.86,48.86
BCTX,2012-11-27,48.86,48.86,48.86,48.86
BCTX,2012-11-28,48.86,48.86,48.86,48.86
BCTX,2012-11-29,48.86,48.86,48.86,48.86
BCTX,2012-11-30,48.86,48.86,48.86,48.86
BCTX,2012-12-03,48.86,48.86,48.86,48.86
BCTX,2012-12-04,48.86,48.86,48.86,48.86
BCTX,2012-12-05,48.86,48.86,48.86,48.86
BCTX,2012-12-06,48.86,48.86,48.86,48.86
BCTX,2012-12-07,48.86,48.86,48.86,48.86
BCTX,2012-12-10,48.86,48.86,48.86,48.86
