ticker,date,open,high,low,close
CIIT,2025-04-10,3.3,3.47,2.3,2.8
CIIT,2025-04-11,2.661,2.99,2.661,2.75
CIIT,2025-04-14,2.8496,3.15,2.71,3.023
CIIT,2025-04-15,3.0,3.0,2.6,2.79
CIIT,2025-04-16,2.6932,2.7799,2.6932,2.7799
CIIT,2025-04-17,2.76,2.84,2.225,2.78
CIIT,2025-04-21,2.89,2.89,2.39,2.735
CIIT,2025-04-22,2.9,2.9,2.63,2.75
CIIT,2025-04-23,2.6023,2.84,2.5201,2.84
CIIT,2025-04-24,2.745,2.89,2.73,2.88
CIIT,2025-04-25,2.7501,2.7501,2.6,2.7501
CIIT,2025-04-28,2.62,2.75,2.41,2.7039
CIIT,2025-04-29,2.48,2.84,2.48,2.69
CIIT,2025-04-30,2.66,2.69,2.38,2.5999
CIIT,2025-05-01,2.52,2.928,2.28,2.39
CIIT,2025-05-02,2.61,2.61,2.11,2.5
CIIT,2025-05-05,2.41,2.59,2.16,2.4399
CIIT,2025-05-06,2.38,2.59,2.38,2.59
CIIT,2025-05-07,2.38,2.76,2.25,2.42
CIIT,2025-05-08,2.5098,2.57,2.225,2.57
CIIT,2025-05-09,2.35,2.35,2.0,2.2
CIIT,2025-05-12,2.07,2.2,1.98,2.18
CIIT,2025-05-13,2.2,2.21,1.94,1.94
CIIT,2025-05-14,2.0,2.3,2.0,2.22
CIIT,2025-05-15,2.25,2.25,2.05,2.15
CIIT,2025-05-16,2.01,2.1999,1.99,2.08
CIIT,2025-05-19,2.02,2.07,1.7,1.78
CIIT,2025-05-20,1.79,2.07,1.79,1.86
CIIT,2025-05-21,1.98,1.98,1.8,1.94
CIIT,2025-05-22,1.9436,1.9542,1.86,1.9
CIIT,2025-05-23,1.9123,2.0,1.84,1.955
CIIT,2025-05-27,1.89,1.9828,1.7002,1.9828
CIIT,2025-05-28,1.92,1.9825,1.8,1.92
CIIT,2025-05-29,2.01,2.09,1.82,2.09
CIIT,2025-05-30,1.85,2.0,1.85,2.0
CIIT,2025-06-02,1.6,2.11,1.6,1.9498
CIIT,2025-06-03,1.838,2.1,1.77,2.1
CIIT,2025-06-04,1.8,2.15,1.8,2.1199
CIIT,2025-06-05,2.16,2.25,2.05,2.2409
CIIT,2025-06-06,2.25,2.4857,2.1,2.26
CIIT,2025-06-09,2.35,2.4,2.28,2.4
CIIT,2025-06-10,2.3999,2.4899,2.05,2.48
CIIT,2025-06-11,2.48,2.4899,2.3693,2.48
CIIT,2025-06-12,2.48,2.48,2.1601,2.47
CIIT,2025-06-13,2.4,2.5,2.215,2.38
CIIT,2025-06-16,2.42,2.49,2.3,2.38
CIIT,2025-06-17,2.42,2.57,2.04,2.34
CIIT,2025-06-18,2.345,2.5728,1.98,2.19
CIIT,2025-06-20,2.2,2.37,2.08,2.26
CIIT,2025-06-23,2.28,2.28,1.95,2.18
CIIT,2025-06-24,2.22,2.22,1.96,2.14
CIIT,2025-06-25,2.12,2.1899,2.0,2.08
CIIT,2025-06-26,2.07,2.1,1.71,2.01
CIIT,2025-06-27,2.01,2.025,1.81,1.9199
CIIT,2025-06-30,1.95,1.98,0.6329,0.77
CIIT,2025-07-01,0.7877,0.7877,0.6689,0.6878
CIIT,2025-07-02,0.7108,0.7108,0.6,0.675
CIIT,2025-07-03,0.69,0.7189,0.69,0.7189
CIIT,2025-07-07,0.681,0.7013,0.56,0.6789
CIIT,2025-07-08,0.6906,0.9799,0.6498,0.937
CIIT,2025-07-09,0.9463,1.26,0.9135,1.235
CIIT,2025-07-10,1.25,1.29,1.14,1.205
CIIT,2025-07-11,1.18,1.28,1.18,1.26
CIIT,2025-07-14,1.18,1.28,1.12,1.15
CIIT,2025-07-15,1.0566,1.198,1.04,1.14
CIIT,2025-07-16,1.0844,1.15,1.05,1.14
CIIT,2025-07-17,1.17,1.27,1.113,1.23
CIIT,2025-07-18,1.21,1.21,0.98,1.05
CIIT,2025-07-21,1.12,1.18,1.0,1.08
CIIT,2025-07-22,1.05,1.17,1.0001,1.17
CIIT,2025-07-23,1.11,1.15,1.04,1.1
CIIT,2025-07-24,1.06,1.14,1.02,1.09
CIIT,2025-07-25,1.07,1.1353,0.9923,1.06
CIIT,2025-07-28,1.01,1.0899,0.94,1.0019
CIIT,2025-07-29,1.0,1.02,0.916,1.0
CIIT,2025-07-30,0.98,1.0283,0.93,0.99
CIIT,2025-07-31,1.01,1.12,0.97,1.06
CIIT,2025-08-01,1.02,1.06,0.93,1.05
CIIT,2025-08-04,0.96,1.05,0.764999,1.05
CIIT,2025-08-05,1.0,1.04,0.89,1.02
CIIT,2025-08-06,0.96,1.035,0.76,1.03
CIIT,2025-08-07,0.97,0.97,0.8486,0.9528
CIIT,2025-08-08,0.99,1.08,0.87,0.9477
CIIT,2025-08-11,0.9342,1.12,0.9,0.9
CIIT,2025-08-12,0.91,0.91,0.8,0.89005
CIIT,2025-08-13,0.88,0.9225,0.81,0.8402
CIIT,2025-08-14,0.863,1.03,0.83,0.868
CIIT,2025-08-15,0.869,0.9088,0.8,0.9013
CIIT,2025-08-18,0.8906,0.96,0.850629,0.95
CIIT,2025-08-19,0.8601,1.03,0.8601,1.01
CIIT,2025-08-20,1.02,1.02,0.84,0.96
CIIT,2025-08-21,0.93,0.93,0.9,0.93
CIIT,2025-08-22,0.914999,0.99,0.8782,0.99
CIIT,2025-08-25,0.96,0.96,0.8564,0.86
CIIT,2025-08-26,0.83,0.8865,0.7503,0.8
CIIT,2025-08-27,0.76,0.79,0.6601,0.72
CIIT,2025-08-28,0.7344,0.746,0.6675,0.68
CIIT,2025-08-29,0.8,0.8,0.6152,0.6474
CIIT,2025-09-02,0.67,0.67,0.61,0.61
CIIT,2025-09-03,0.5805,0.599,0.5596,0.5608
CIIT,2025-09-04,0.547,0.6513,0.51,0.6413
CIIT,2025-09-05,0.645,0.83,0.5885,0.7
CIIT,2025-09-08,0.6919,0.7077,0.6495,0.6496
CIIT,2025-09-09,0.7299,0.8,0.65,0.787
CIIT,2025-09-10,0.7718,0.92,0.605001,0.899
CIIT,2025-09-11,0.7695,0.98,0.58,0.7294
CIIT,2025-09-12,0.751,1.24,0.71,0.844
CIIT,2025-09-15,0.779,0.94,0.7,0.89
CIIT,2025-09-16,0.81,1.05,0.8,1.02
CIIT,2025-09-17,0.97,0.9883,0.9006,0.9299
CIIT,2025-09-18,0.9,0.92,0.8102,0.8311
CIIT,2025-09-19,0.8062,0.8062,0.71,0.72
CIIT,2025-09-22,0.7002,0.76,0.67,0.7399
CIIT,2025-09-23,0.7,0.7001,0.6501,0.6905
CIIT,2025-09-24,0.69,0.6904,0.645,0.6599
CIIT,2025-09-25,0.717,0.7179,0.593,0.6001
CIIT,2025-09-26,0.625,0.625,0.521,0.5899
CIIT,2025-09-29,0.59,0.59,0.5356,0.5533
CIIT,2025-09-30,0.5698,0.5699,0.53,0.5579
CIIT,2025-10-01,0.56,0.5844,0.54,0.5589
