ticker,date,open,high,low,close
DFLI,2021-08-24,9.8,10.1,9.78,9.82
DFLI,2021-08-25,9.82,9.85,9.8,9.8
DFLI,2021-08-26,9.79,9.8,9.79,9.8
DFLI,2021-08-27,9.8,9.85,9.78,9.85
DFLI,2021-08-30,9.8,9.85,9.79,9.8
DFLI,2021-08-31,9.82,10.06,9.82,9.93
DFLI,2021-09-01,9.85,10.05,9.8,9.85
DFLI,2021-09-02,9.85,10.0,9.83,9.89
DFLI,2021-09-03,9.83,9.89,9.83,9.89
DFLI,2021-09-07,9.83,9.95,9.82,9.94
DFLI,2021-09-08,9.85,9.85,9.85,9.85
DFLI,2021-09-09,9.87,9.92,9.87,9.9
DFLI,2021-09-10,9.9,9.9,9.9,9.9
DFLI,2021-09-13,9.89,9.9,9.89,9.9
DFLI,2021-09-14,9.9,9.93,9.885,9.93
DFLI,2021-09-15,9.9,9.9,9.88,9.88
DFLI,2021-09-16,9.86,9.9,9.86,9.89
DFLI,2021-09-17,9.9,9.9,9.9,9.9
DFLI,2021-09-20,9.91,9.91,9.91,9.91
DFLI,2021-09-21,9.92,9.92,9.91,9.92
DFLI,2021-09-22,9.93,9.94,9.93,9.93
DFLI,2021-09-23,9.93,9.94,9.93,9.93
DFLI,2021-09-24,9.93,9.93,9.93,9.93
DFLI,2021-09-27,9.93,9.93,9.93,9.93
DFLI,2021-09-28,9.93,9.94,9.93,9.935
DFLI,2021-09-29,9.93,9.93,9.93,9.93
DFLI,2021-09-30,9.93,9.93,9.93,9.93
DFLI,2021-10-01,9.93,9.94,9.93,9.93
DFLI,2021-10-04,9.94,9.94,9.93,9.93
DFLI,2021-10-05,9.95,9.95,9.94,9.94
DFLI,2021-10-06,9.93,9.94,9.93,9.94
DFLI,2021-10-07,9.95,9.95,9.94,9.94
DFLI,2021-10-08,9.94,9.94,9.94,9.94
DFLI,2021-10-11,9.94,9.94,9.94,9.94
DFLI,2021-10-12,9.94,9.94,9.94,9.94
DFLI,2021-10-13,9.94,9.94,9.94,9.94
DFLI,2021-10-14,9.95,9.96,9.95,9.96
DFLI,2021-10-15,9.95,9.95,9.93,9.93
DFLI,2021-10-18,9.955,9.955,9.955,9.955
DFLI,2021-10-19,9.955,9.955,9.955,9.955
DFLI,2021-10-20,9.95,9.95,9.95,9.95
DFLI,2021-10-21,9.96,9.98,9.95,9.95
DFLI,2021-10-22,9.95,9.95,9.95,9.95
DFLI,2021-10-25,9.95,9.95,9.95,9.95
DFLI,2021-10-26,10.0,10.02,10.0,10.02
DFLI,2021-10-27,10.02,10.02,10.02,10.02
DFLI,2021-10-28,10.02,10.02,10.02,10.02
DFLI,2021-10-29,9.97,9.97,9.96,9.96
DFLI,2021-11-01,9.98,10.0,9.94,9.95
DFLI,2021-11-02,9.95,9.95,9.95,9.95
DFLI,2021-11-03,9.95,9.96,9.95,9.96
DFLI,2021-11-04,9.97,9.97,9.97,9.97
DFLI,2021-11-05,9.98,9.98,9.98,9.98
DFLI,2021-11-08,9.98,9.98,9.98,9.98
DFLI,2021-11-09,9.97,9.97,9.97,9.97
DFLI,2021-11-10,9.96,9.96,9.96,9.96
DFLI,2021-11-11,9.96,9.96,9.96,9.96
DFLI,2021-11-12,9.96,9.96,9.96,9.96
DFLI,2021-11-15,9.9999,9.9999,9.9999,9.9999
DFLI,2021-11-16,10.0,10.0,10.0,10.0
DFLI,2021-11-17,10.0,10.0,10.0,10.0
DFLI,2021-11-18,10.0,10.0,10.0,10.0
DFLI,2021-11-19,9.96,9.99,9.96,9.99
DFLI,2021-11-22,9.96,9.9999,9.96,9.98
DFLI,2021-11-23,10.0,10.0,9.96,9.98
DFLI,2021-11-24,9.98,9.98,9.98,9.98
DFLI,2021-11-26,9.98,9.98,9.98,9.98
DFLI,2021-11-29,9.99,9.99,9.99,9.99
DFLI,2021-11-30,9.9799,9.98,9.9799,9.98
DFLI,2021-12-01,10.02,10.02,9.975,9.99
DFLI,2021-12-02,9.9899,9.99,9.9899,9.99
DFLI,2021-12-03,9.99,10.01,9.99,10.0
DFLI,2021-12-06,10.0,10.0,10.0,10.0
DFLI,2021-12-07,10.0,10.0,10.0,10.0
DFLI,2021-12-08,9.9774,9.98,9.9774,9.98
DFLI,2021-12-09,9.98,9.98,9.98,9.98
DFLI,2021-12-10,9.98,9.98,9.98,9.98
DFLI,2021-12-13,9.98,9.98,9.98,9.98
DFLI,2021-12-14,9.98,9.98,9.98,9.98
DFLI,2021-12-15,9.98,9.98,9.98,9.98
DFLI,2021-12-16,9.98,9.98,9.98,9.98
DFLI,2021-12-17,9.98,9.98,9.98,9.98
DFLI,2021-12-20,9.98,9.98,9.98,9.98
DFLI,2021-12-21,9.98,9.98,9.98,9.98
DFLI,2021-12-22,9.95,9.95,9.95,9.95
DFLI,2021-12-23,9.96,9.97,9.95,9.97
DFLI,2021-12-27,9.97,9.97,9.97,9.97
DFLI,2021-12-28,9.97,9.97,9.97,9.97
DFLI,2021-12-29,9.97,9.97,9.97,9.97
DFLI,2021-12-30,9.95,9.97,9.95,9.97
DFLI,2021-12-31,9.97,9.97,9.97,9.97
DFLI,2022-01-03,9.97,9.97,9.97,9.97
DFLI,2022-01-04,9.98,9.98,9.98,9.98
DFLI,2022-01-05,10.01,10.03,9.97,9.98
DFLI,2022-01-06,9.98,9.98,9.98,9.98
DFLI,2022-01-07,9.96,9.98,9.96,9.98
DFLI,2022-01-10,10.0,10.0,10.0,10.0
DFLI,2022-01-11,10.0,10.0,10.0,10.0
DFLI,2022-01-12,9.99,9.99,9.99,9.99
DFLI,2022-01-13,9.9899,9.9899,9.9899,9.9899
DFLI,2022-01-14,9.99,9.99,9.99,9.99
DFLI,2022-01-18,9.99,9.99,9.99,9.99
DFLI,2022-01-19,9.99,9.99,9.99,9.99
