ticker,date,open,high,low,close
QNCX,2019-05-09,20.0,34.73,19.5,32.89
QNCX,2019-05-10,33.0,33.5,23.85,23.86
QNCX,2019-05-13,23.5,26.4717,23.325,23.9
QNCX,2019-05-14,23.51,25.43,23.51,24.0
QNCX,2019-05-15,24.01,25.9475,24.01,25.0
QNCX,2019-05-16,25.01,26.449,24.73,25.15
QNCX,2019-05-17,25.15,26.0,25.15,26.0
QNCX,2019-05-20,26.0,26.45,25.5,26.09
QNCX,2019-05-21,26.44,27.37,26.1716,27.32
QNCX,2019-05-22,27.34,27.9508,27.0358,27.35
QNCX,2019-05-23,27.12,27.49,26.5,27.49
QNCX,2019-05-24,27.49,27.49,26.6727,27.36
QNCX,2019-05-28,27.03,27.24,26.81,26.86
QNCX,2019-05-29,26.7,26.7,26.0211,26.27
QNCX,2019-05-30,26.3,26.65,25.5859,26.65
QNCX,2019-05-31,26.75,26.75,24.62,25.67
QNCX,2019-06-03,25.02,26.111,23.03,24.13
QNCX,2019-06-04,23.91,25.9999,23.2301,24.6
QNCX,2019-06-05,25.02,25.59,24.4,24.4
QNCX,2019-06-06,24.49,25.73,24.293,25.73
QNCX,2019-06-07,25.75,25.75,24.56,24.97
QNCX,2019-06-10,24.95,25.97,24.325,25.6
QNCX,2019-06-11,26.0,26.48,25.2,26.06
QNCX,2019-06-12,26.36,28.0,25.53,27.52
QNCX,2019-06-13,28.0,31.63,27.6834,31.42
QNCX,2019-06-14,31.92,31.92,29.98,31.41
QNCX,2019-06-17,31.23,39.83,31.23,38.22
QNCX,2019-06-18,38.22,47.5,37.88,42.0
QNCX,2019-06-19,42.97,42.97,39.35,40.97
QNCX,2019-06-20,40.95,41.36,35.19,36.18
QNCX,2019-06-21,36.06,38.9299,34.31,35.89
QNCX,2019-06-24,36.0,38.1599,35.07,35.5
QNCX,2019-06-25,35.5,38.74,35.5,38.05
QNCX,2019-06-26,38.27,40.2,38.27,38.61
QNCX,2019-06-27,39.05,40.5,39.05,39.8
QNCX,2019-06-28,40.5,43.685,39.34,42.51
QNCX,2019-07-01,42.79,45.42,42.66,45.28
QNCX,2019-07-02,45.86,45.9509,39.82,40.31
QNCX,2019-07-03,40.14,41.5,39.24,40.07
QNCX,2019-07-05,39.87,41.98,36.75,37.58
QNCX,2019-07-08,37.59,38.76,37.12,37.85
QNCX,2019-07-09,37.71,41.0,37.07,40.51
QNCX,2019-07-10,40.62,41.5,38.8678,40.6
QNCX,2019-07-11,39.63,42.4,39.63,41.74
QNCX,2019-07-12,41.84,42.0,40.115,41.3
QNCX,2019-07-15,41.45,41.9159,40.0,41.49
QNCX,2019-07-16,42.0,42.49,37.48,38.8
