ticker,date,open,high,low,close
BOOM,1989-01-05,0.62,0.94,0.62,0.62
BOOM,1989-01-06,0.62,0.62,0.62,0.62
BOOM,1989-01-09,0.62,0.94,0.62,0.62
BOOM,1989-01-10,0.62,0.78,0.47,0.47
BOOM,1989-01-11,0.47,0.78,0.47,0.47
BOOM,1989-01-12,0.47,0.78,0.47,0.47
BOOM,1989-01-13,0.47,0.78,0.47,0.47
BOOM,1989-01-16,0.47,0.78,0.39,0.39
BOOM,1989-01-17,0.39,0.39,0.39,0.39
BOOM,1989-01-18,0.39,0.39,0.39,0.39
BOOM,1989-01-19,0.39,0.78,0.39,0.39
BOOM,1989-01-20,0.39,0.39,0.39,0.39
BOOM,1989-01-23,0.39,0.39,0.39,0.39
BOOM,1989-01-24,0.39,0.39,0.39,0.39
BOOM,1989-01-25,0.39,0.39,0.39,0.39
BOOM,1989-01-26,0.39,0.39,0.39,0.39
BOOM,1989-01-27,0.39,0.39,0.39,0.39
BOOM,1989-01-30,0.39,0.39,0.39,0.39
BOOM,1989-01-31,0.39,0.39,0.39,0.39
BOOM,1989-02-01,0.39,0.39,0.39,0.39
BOOM,1989-02-02,0.39,0.39,0.39,0.39
BOOM,1989-02-03,0.39,0.39,0.39,0.39
BOOM,1989-02-06,0.39,0.39,0.39,0.39
BOOM,1989-02-07,0.39,0.39,0.39,0.39
BOOM,1989-02-08,0.39,0.39,0.39,0.39
BOOM,1989-02-09,0.39,0.39,0.39,0.39
BOOM,1989-02-10,0.39,0.39,0.39,0.39
BOOM,1989-02-13,0.39,0.39,0.39,0.39
BOOM,1989-02-14,0.39,0.39,0.39,0.39
BOOM,1989-02-15,0.39,0.39,0.39,0.39
BOOM,1989-02-16,0.39,0.39,0.39,0.39
BOOM,1989-02-17,0.39,0.39,0.39,0.39
BOOM,1989-02-21,0.39,0.39,0.39,0.39
BOOM,1989-02-22,0.39,0.39,0.39,0.39
BOOM,1989-02-23,0.39,0.78,0.31,0.31
BOOM,1989-02-24,0.31,0.78,0.31,0.31
BOOM,1989-02-27,0.55,1.02,0.55,0.55
BOOM,1989-02-28,0.55,1.09,0.55,0.55
BOOM,1989-03-01,0.55,1.09,0.55,0.55
BOOM,1989-03-02,0.55,0.55,0.55,0.55
BOOM,1989-03-03,0.55,0.55,0.55,0.55
BOOM,1989-03-06,0.55,1.09,0.55,0.55
BOOM,1989-03-07,0.55,0.55,0.55,0.55
BOOM,1989-03-08,0.55,1.09,0.55,0.55
BOOM,1989-03-09,0.55,0.55,0.55,0.55
BOOM,1989-03-10,0.55,0.55,0.55,0.55
BOOM,1989-03-13,0.55,0.55,0.55,0.55
BOOM,1989-03-14,0.62,1.09,0.62,0.62
BOOM,1989-03-15,0.62,1.09,0.62,0.62
BOOM,1989-03-16,0.62,1.09,0.62,0.62
BOOM,1989-03-17,0.62,0.62,0.62,0.62
BOOM,1989-03-20,0.62,1.09,0.62,0.62
