ticker,date,open,high,low,close
HBNB,2025-07-01,4.0,4.17,2.75,3.28
HBNB,2025-07-02,3.24,3.4,2.85,3.15
HBNB,2025-07-03,3.35,3.73,3.26,3.4
HBNB,2025-07-07,3.39,3.4955,3.12,3.2
HBNB,2025-07-08,3.18,3.38,3.101,3.26
HBNB,2025-07-09,3.23,3.6375,3.16,3.61
HBNB,2025-07-10,3.5,3.69,3.41,3.46
HBNB,2025-07-11,3.28,3.28,3.18,3.28
HBNB,2025-07-14,3.22,3.27,3.03,3.05
HBNB,2025-07-15,3.02,3.06,2.78,2.9
HBNB,2025-07-16,2.9,2.9,2.53,2.61
HBNB,2025-07-17,2.67,2.6829,2.385,2.43
HBNB,2025-07-18,2.39,2.4532,2.04,2.17
HBNB,2025-07-21,2.08,2.54,2.02,2.54
HBNB,2025-07-22,2.44,2.5689,2.25,2.335
HBNB,2025-07-23,2.33,2.505,2.29,2.46
HBNB,2025-07-24,2.41,2.4775,2.31,2.41
HBNB,2025-07-25,2.41,2.48,2.35,2.465
HBNB,2025-07-28,2.47,2.9199,2.3904,2.89
HBNB,2025-07-29,2.8,2.84,2.44,2.61
HBNB,2025-07-30,2.618,2.6732,2.49,2.64
HBNB,2025-07-31,2.59,2.59,2.12,2.12
HBNB,2025-08-01,2.2,2.2905,2.01,2.05
HBNB,2025-08-04,2.04,2.2605,1.855,1.92
HBNB,2025-08-05,1.9,1.98,1.72,1.74
HBNB,2025-08-06,1.8,1.8499,1.7667,1.83
HBNB,2025-08-07,1.79,1.85,1.67,1.72
HBNB,2025-08-08,1.78,1.85,1.7,1.75
HBNB,2025-08-11,1.78,1.85,1.6301,1.66
HBNB,2025-08-12,1.68,1.7955,1.5501,1.78
HBNB,2025-08-13,1.8,2.0924,1.7815,2.08
HBNB,2025-08-14,2.06,2.08,1.91,1.99
HBNB,2025-08-15,1.94,2.04,1.8915,1.97
HBNB,2025-08-18,1.94,2.3,1.94,2.27
HBNB,2025-08-19,2.27,2.27,2.1002,2.22
HBNB,2025-08-20,2.22,2.28,2.0301,2.115
HBNB,2025-08-21,2.12,2.2314,2.07,2.1422
HBNB,2025-08-22,2.15,2.29,1.8901,2.234
HBNB,2025-08-25,2.28,2.29,2.1601,2.24
HBNB,2025-08-26,2.11,2.49,2.11,2.455
HBNB,2025-08-27,2.44,2.54,2.3338,2.51
HBNB,2025-08-28,2.44,2.545,2.42,2.52
HBNB,2025-08-29,2.45,2.79,2.42,2.69
HBNB,2025-09-02,2.69,3.078,2.69,3.02
HBNB,2025-09-03,3.16,3.16,2.72,3.08
HBNB,2025-09-04,3.1041,3.1041,3.02,3.08
HBNB,2025-09-05,3.03,3.16,3.02,3.09
HBNB,2025-09-08,3.01,3.1,2.75,2.9
HBNB,2025-09-09,2.85,3.03,2.85,2.94
HBNB,2025-09-10,2.86,3.0,2.86,2.96
HBNB,2025-09-11,2.89,3.1,2.88,2.96
HBNB,2025-09-12,3.05,3.1381,2.9104,2.94
HBNB,2025-09-15,3.06,3.0888,2.98,2.98
HBNB,2025-09-16,2.98,3.0314,2.95,3.0
HBNB,2025-09-17,3.03,3.09,2.9968,3.064
HBNB,2025-09-18,3.01,3.08,2.95,3.05
HBNB,2025-09-19,3.08,3.09,2.97,2.9902
HBNB,2025-09-22,3.08,3.08,2.97,3.0
HBNB,2025-09-23,3.04,3.04,2.95,2.98
HBNB,2025-09-24,3.06,3.06,2.98,2.99
HBNB,2025-09-25,3.0172,3.0172,2.96,2.98
HBNB,2025-09-26,3.0,3.02,2.99,2.99
HBNB,2025-09-29,3.0,3.04,2.99,3.02
HBNB,2025-09-30,3.15,3.15,3.06,3.06
HBNB,2025-10-01,3.0,3.04,2.97,3.0007
