ticker,date,open,high,low,close
NWTG,2025-03-17,2.06,2.67,1.76,1.98
NWTG,2025-03-18,1.96,2.39,1.7,2.26
NWTG,2025-03-19,2.08,2.33,1.92,2.24
NWTG,2025-03-20,2.1,2.35,2.0,2.01
NWTG,2025-03-21,2.05,2.17,1.76,1.85
NWTG,2025-03-24,1.85,1.85,1.72,1.73
NWTG,2025-03-25,1.77,1.8,1.6,1.65
NWTG,2025-03-26,1.68,1.95,1.68,1.83
NWTG,2025-03-27,1.74,1.83,1.65,1.73
NWTG,2025-03-28,1.66,1.7,1.35,1.49
NWTG,2025-03-31,1.73,2.53,1.729,2.1
NWTG,2025-04-01,2.12,2.12,1.63,1.75
NWTG,2025-04-02,1.69,1.85,1.63,1.72
NWTG,2025-04-03,1.58,1.6,1.47,1.48
NWTG,2025-04-04,1.625,1.99,1.561,1.886
NWTG,2025-04-07,2.375,3.5,2.32,2.7864
NWTG,2025-04-08,3.1,3.3,2.4,2.525
NWTG,2025-04-09,2.49,2.541,2.0,2.36
NWTG,2025-04-10,2.34,2.45,1.8601,1.97
NWTG,2025-04-11,1.92,2.0,1.84,1.85
NWTG,2025-04-14,1.85,2.08,1.85,1.89
NWTG,2025-04-15,1.86,1.8999,1.77,1.81
NWTG,2025-04-16,1.9,1.9,1.78,1.83
NWTG,2025-04-17,1.86,2.01,1.86,1.94
NWTG,2025-04-21,2.07,2.1,1.84,1.88
NWTG,2025-04-22,1.89,1.95,1.83,1.85
NWTG,2025-04-23,1.88,1.9283,1.77,1.775
NWTG,2025-04-24,1.79,1.8659,1.7,1.86
NWTG,2025-04-25,1.84,2.08,1.8305,1.96
NWTG,2025-04-28,1.94,1.965,1.75,1.85
NWTG,2025-04-29,1.8,1.93,1.8,1.88
NWTG,2025-04-30,1.85,1.8736,1.72,1.78
NWTG,2025-05-01,1.72,1.83,1.72,1.78
NWTG,2025-05-02,1.75,1.7978,1.7,1.72
NWTG,2025-05-05,1.7,1.75,1.66,1.69
NWTG,2025-05-06,1.6,1.6,1.57,1.6
NWTG,2025-05-07,1.56,1.77,1.51,1.68
NWTG,2025-05-08,1.67,1.93,1.67,1.87
NWTG,2025-05-09,1.89,1.89,1.78,1.84
NWTG,2025-05-12,1.8806,2.22,1.8806,2.13
NWTG,2025-05-13,2.12,2.12,1.97,2.12
NWTG,2025-05-14,2.18,2.2,2.0305,2.16
NWTG,2025-05-15,2.5,2.57,1.92,2.06
NWTG,2025-05-16,2.03,2.0326,1.7701,1.8
NWTG,2025-05-19,1.77,1.82,1.71,1.82
NWTG,2025-05-20,1.81,1.85,1.76,1.8
NWTG,2025-05-21,1.76,1.7899,1.6,1.705
NWTG,2025-05-22,1.71,1.8,1.6948,1.8
NWTG,2025-05-23,1.69,1.75,1.6897,1.75
NWTG,2025-05-27,1.75,1.7561,1.64,1.68
NWTG,2025-05-28,1.7,1.73,1.61,1.73
NWTG,2025-05-29,1.73,1.75,1.65,1.69
NWTG,2025-05-30,1.68,1.68,1.58,1.61
NWTG,2025-06-02,1.6,1.65,1.56,1.58
NWTG,2025-06-03,1.62,1.73,1.59,1.73
NWTG,2025-06-04,1.71,1.7386,1.646,1.685
NWTG,2025-06-05,1.67,1.7,1.62,1.635
NWTG,2025-06-06,1.62,1.67417,1.62,1.65
NWTG,2025-06-09,1.66,1.76,1.63,1.73
NWTG,2025-06-10,1.73,1.73,1.61,1.68
NWTG,2025-06-11,1.7,1.72,1.65,1.66
NWTG,2025-06-12,1.65,1.6797,1.6,1.62
NWTG,2025-06-13,1.6,1.61,1.52,1.53
NWTG,2025-06-16,1.52,1.6,1.47,1.57
NWTG,2025-06-17,1.6,1.6,1.51,1.55
NWTG,2025-06-18,1.51,1.5896,1.51,1.57
NWTG,2025-06-20,1.55,1.65,1.5496,1.56
