ticker,date,open,high,low,close
GITS,2025-01-27,2.03,5.06,1.81,3.05
GITS,2025-01-28,2.86,3.15,2.31,2.4
GITS,2025-01-29,2.34,2.95,2.34,2.68
GITS,2025-01-30,2.6,2.745,2.3178,2.6348
GITS,2025-01-31,2.55,2.55,2.31,2.335
GITS,2025-02-03,2.31,2.31,2.01,2.07
GITS,2025-02-04,2.01,2.13,1.86,2.07
GITS,2025-02-05,2.08,2.2946,1.9901,2.17
GITS,2025-02-06,2.13,2.24,2.01,2.15
GITS,2025-02-07,2.18,2.4,2.16,2.16
GITS,2025-02-10,2.16,2.3999,2.16,2.38
GITS,2025-02-11,2.39,2.4,2.2001,2.23
GITS,2025-02-12,2.32,2.32,2.24,2.3
GITS,2025-02-13,2.29,2.33,2.19,2.29
GITS,2025-02-14,2.2,2.27,2.12,2.12
GITS,2025-02-18,2.11,2.35,2.11,2.27
GITS,2025-02-19,2.37,2.64,2.295,2.52
GITS,2025-02-20,2.44,2.44,2.23,2.38
GITS,2025-02-21,2.32,2.4,2.2,2.38
GITS,2025-02-24,2.28,2.28,2.14,2.16
GITS,2025-02-25,2.23,2.34,2.16,2.2999
GITS,2025-02-26,2.37,2.39,2.37,2.39
GITS,2025-02-27,2.38,2.47,2.3502,2.37
GITS,2025-02-28,2.35,2.4,2.31,2.4
GITS,2025-03-03,2.39,2.39,2.39,2.39
GITS,2025-03-04,2.255,2.26,2.24,2.2546
GITS,2025-03-05,2.25,2.35859,2.25,2.27
GITS,2025-03-06,2.21,2.21,2.21,2.21
GITS,2025-03-07,2.19,2.2894,2.19,2.28
GITS,2025-03-10,2.24,2.24,2.1102,2.16
GITS,2025-03-11,1.99,1.99,1.99,1.99
GITS,2025-03-12,1.91,1.91,1.8,1.8
GITS,2025-03-13,1.905,1.905,1.73,1.73
GITS,2025-03-14,1.77,2.0,1.77,1.8223
GITS,2025-03-17,1.881,1.9,1.765,1.83
GITS,2025-03-18,1.82,1.85,1.7007,1.72
GITS,2025-03-19,1.78,1.78,1.7001,1.7001
GITS,2025-03-20,1.7454,1.7459,1.74,1.74
GITS,2025-03-21,1.74,2.1,1.5,1.8
GITS,2025-03-24,1.8,2.0,1.67,1.8
GITS,2025-03-25,1.78,2.2,1.3,1.504
GITS,2025-03-26,1.54,1.7552,1.47,1.47
GITS,2025-03-27,1.525,1.65,1.45,1.49
GITS,2025-03-28,1.47,1.725,1.315,1.34
GITS,2025-03-31,1.38,1.38,1.2,1.24
GITS,2025-04-01,1.3541,1.3693,1.17,1.18
GITS,2025-04-02,1.18,1.22,1.13,1.17
GITS,2025-04-03,1.13,1.35,1.075,1.075
GITS,2025-04-04,1.14,1.14,0.92,0.95
GITS,2025-04-07,0.9305,1.14,0.87,1.085
GITS,2025-04-08,1.1,1.1,0.9962,1.02
GITS,2025-04-09,0.99,1.09,0.99,1.07
GITS,2025-04-10,1.07,1.071,1.05,1.06
GITS,2025-04-11,1.06,1.3,0.9751,1.1
GITS,2025-04-14,1.1,1.19,1.1,1.155
GITS,2025-04-15,1.2,1.215,1.2,1.215
GITS,2025-04-16,1.19,1.22,1.156,1.16
GITS,2025-04-17,1.18,1.2849,1.18,1.19
GITS,2025-04-21,1.21,1.2109,1.21,1.21
GITS,2025-04-22,1.25,1.86,0.9765,1.18
GITS,2025-04-23,1.17,1.2,1.1,1.15
GITS,2025-04-24,1.132,1.28,1.13,1.17
GITS,2025-04-25,1.19,1.25,1.1875,1.25
GITS,2025-04-28,1.25,1.4,1.22,1.27
GITS,2025-04-29,1.25,1.495,1.24,1.26
GITS,2025-04-30,1.42,1.48,1.2528,1.29
GITS,2025-05-01,1.3,1.4004,1.3,1.321
GITS,2025-05-02,1.46427,1.46427,1.34,1.34
GITS,2025-05-05,1.34,1.4,1.34,1.34
GITS,2025-05-06,1.35,1.38,1.35,1.38
GITS,2025-05-07,1.38,1.38,1.36,1.37
GITS,2025-05-08,1.38,1.38,1.3006,1.3429
GITS,2025-05-09,1.345,1.555,1.345,1.51
GITS,2025-05-12,1.4987,1.65,1.4987,1.57
GITS,2025-05-13,1.6117,1.6129,1.46,1.5
GITS,2025-05-14,1.63,1.68,1.5409,1.61
GITS,2025-05-15,1.61,1.62,1.46,1.55
GITS,2025-05-16,1.45,1.53,1.45,1.46
GITS,2025-05-19,1.47,1.5,1.35,1.35
GITS,2025-05-20,1.48,1.6,1.425,1.425
GITS,2025-05-21,1.43,1.48,1.25,1.2806
GITS,2025-05-22,1.3,1.3,1.18,1.21
GITS,2025-05-23,1.0601,1.0601,1.04,1.0601
GITS,2025-05-27,1.07,1.11,1.0,1.01
GITS,2025-05-28,1.01,1.03,0.95,0.9701
GITS,2025-05-29,0.97,0.9999,0.95,0.95
GITS,2025-05-30,3.02,3.1199,1.9,2.38
GITS,2025-06-02,2.04,2.52,2.04,2.32
GITS,2025-06-03,2.13,2.28,2.01,2.02
GITS,2025-06-04,2.05,2.47,2.05,2.25
GITS,2025-06-05,2.25,2.2899,2.02,2.03
GITS,2025-06-06,2.06,2.189,2.02,2.02
GITS,2025-06-09,2.1,2.1,1.88,1.89
GITS,2025-06-10,1.97,1.97,1.7,1.73
GITS,2025-06-11,1.74,1.8,1.67,1.68
GITS,2025-06-12,1.65,1.68,1.5,1.51
GITS,2025-06-13,1.5,1.5501,1.47,1.47
GITS,2025-06-16,1.45,1.45,1.33,1.34
GITS,2025-06-17,1.35,1.42,1.29,1.29
GITS,2025-06-18,1.26,1.47,1.2517,1.35
GITS,2025-06-20,1.41,1.59,1.36,1.45
GITS,2025-06-23,1.43,1.56,1.36,1.43
GITS,2025-06-24,1.49,1.5399,1.4405,1.47
GITS,2025-06-25,1.43,1.5495,1.35,1.43
GITS,2025-06-26,1.38,1.448,1.3504,1.38
GITS,2025-06-27,1.38,1.41,1.3401,1.38
GITS,2025-06-30,1.36,1.44,1.35,1.38
GITS,2025-07-01,1.36,1.4099,1.36,1.4
GITS,2025-07-02,1.48,1.63,1.26,1.63
