ticker,date,open,high,low,close
JBIO,2025-04-29,12.74,13.5011,9.41,10.14
JBIO,2025-04-30,9.4001,10.61,9.06,9.5
JBIO,2025-05-01,9.66,10.55,9.02,10.0
JBIO,2025-05-02,10.18,13.4716,9.6601,12.48
JBIO,2025-05-05,12.51,13.0,11.422,11.5
JBIO,2025-05-06,11.501,11.58,9.74,10.09
JBIO,2025-05-07,10.25,10.4088,9.25,9.26
JBIO,2025-05-08,9.51,9.51,8.82,9.0
JBIO,2025-05-09,8.56,9.4,8.47,8.65
JBIO,2025-05-12,9.3135,9.3135,8.2,8.58
JBIO,2025-05-13,8.16,8.61,8.02,8.61
JBIO,2025-05-14,7.55,7.55,7.42,7.55
JBIO,2025-05-15,7.5,7.5,7.05,7.4
JBIO,2025-05-16,7.5,7.59,7.12,7.345
JBIO,2025-05-19,7.28,7.64,7.05,7.42
JBIO,2025-05-20,7.73,8.1354,7.41,7.715
JBIO,2025-05-21,7.74,7.83,7.3,7.49
JBIO,2025-05-22,7.59,7.615,6.98,7.32
JBIO,2025-05-23,7.02,7.44,6.71,7.03
JBIO,2025-05-27,7.04,7.6437,6.98,7.37
JBIO,2025-05-28,7.09,7.61,7.09,7.25
JBIO,2025-05-29,7.44,7.625,6.99,7.09
JBIO,2025-05-30,7.25,7.4,6.88,7.24
JBIO,2025-06-02,7.24,7.5,7.015,7.2
JBIO,2025-06-03,7.16,7.9115,7.13,7.25
JBIO,2025-06-04,7.23,8.01,7.12,7.21
JBIO,2025-06-05,7.15,7.45,6.9,7.0
JBIO,2025-06-06,6.88,7.72,6.785,7.19
JBIO,2025-06-09,8.08,8.4531,7.265,7.71
JBIO,2025-06-10,7.59,7.845,6.925,7.06
JBIO,2025-06-11,6.99,7.33,6.96,7.03
JBIO,2025-06-12,6.93,7.3,6.87,6.94
JBIO,2025-06-13,6.98,7.26,6.565,6.76
JBIO,2025-06-16,7.25,7.25,6.61,6.99
JBIO,2025-06-17,6.9,8.3438,6.9,8.29
JBIO,2025-06-18,8.23,9.51,7.925,9.41
JBIO,2025-06-20,9.84,10.09,9.435,9.87
JBIO,2025-06-23,9.85,10.2951,9.44,9.87
JBIO,2025-06-24,9.9,10.6655,9.3339,10.48
JBIO,2025-06-25,10.45,10.89,10.13,10.51
JBIO,2025-06-26,10.14,10.82,9.1,9.25
JBIO,2025-06-27,9.29,9.83,8.61,9.105
JBIO,2025-06-30,8.98,10.16,8.69,9.96
JBIO,2025-07-01,9.95,11.19,9.85,10.845
JBIO,2025-07-02,10.83,11.275,10.47,10.8
JBIO,2025-07-03,10.79,11.3263,10.1373,11.14
JBIO,2025-07-07,11.0,11.31,10.382,10.45
JBIO,2025-07-08,10.57,10.645,9.69,10.48
JBIO,2025-07-09,10.79,11.1,10.4172,10.51
JBIO,2025-07-10,10.42,10.83,10.16,10.52
JBIO,2025-07-11,9.82,9.82,9.78,9.82
JBIO,2025-07-14,9.92,10.05,8.82,9.0
JBIO,2025-07-15,8.98,9.1,8.46,8.58
JBIO,2025-07-16,8.68,9.065,8.57,8.81
JBIO,2025-07-17,8.87,9.55,8.82,9.51
JBIO,2025-07-18,9.63,9.7,9.355,9.47
JBIO,2025-07-21,9.4,9.5693,8.55,8.69
JBIO,2025-07-22,8.62,9.0,8.42,8.98
JBIO,2025-07-23,9.03,9.06,8.51,8.71
JBIO,2025-07-24,8.68,8.71,8.29,8.33
JBIO,2025-07-25,8.46,8.46,7.9,8.28
JBIO,2025-07-28,8.31,8.3349,7.74,7.75
JBIO,2025-07-29,7.85,7.85,7.3,7.53
JBIO,2025-07-30,7.6,7.74,6.69,6.88
JBIO,2025-07-31,6.77,7.31,6.77,7.165
JBIO,2025-08-01,7.14,7.56,6.87,6.89
JBIO,2025-08-04,6.93,7.5,6.73,7.29
JBIO,2025-08-05,7.26,8.15,7.18,7.94
JBIO,2025-08-06,7.92,8.13,7.78,7.83
JBIO,2025-08-07,7.74,8.0011,7.2,7.32
JBIO,2025-08-08,7.39,7.5779,7.12,7.49
JBIO,2025-08-11,7.41,7.72,7.205,7.4
JBIO,2025-08-12,7.55,8.0036,7.29,7.39
JBIO,2025-08-13,7.25,7.402,7.09,7.33
JBIO,2025-08-14,7.76,7.76,6.71,6.77
JBIO,2025-08-15,6.79,7.39,6.67,7.36
JBIO,2025-08-18,7.42,7.62,7.25,7.5
JBIO,2025-08-19,7.52,7.64,7.28,7.36
JBIO,2025-08-20,7.38,7.38,6.8,6.85
JBIO,2025-08-21,7.0,7.45,6.71,7.38
JBIO,2025-08-22,7.52,8.3,7.18,8.23
JBIO,2025-08-25,8.21,8.21,7.65,7.9
JBIO,2025-08-26,7.91,8.12,7.69,8.03
JBIO,2025-08-27,8.04,8.375,7.83,7.95
JBIO,2025-08-28,7.98,8.168,7.84,8.08
JBIO,2025-08-29,8.12,8.12,7.79,7.9
JBIO,2025-09-02,7.9,8.111,7.57,7.62
JBIO,2025-09-03,7.56,7.9765,7.43,7.53
JBIO,2025-09-04,7.56,7.8709,7.32,7.78
JBIO,2025-09-05,7.86,8.075,7.62,7.77
JBIO,2025-09-08,7.83,7.935,7.33,7.5
JBIO,2025-09-09,7.42,7.665,7.1827,7.62
JBIO,2025-09-10,7.53,7.751,7.5,7.575
JBIO,2025-09-11,7.66,7.94,7.66,7.76
JBIO,2025-09-12,7.72,7.96,7.58,7.7
JBIO,2025-09-15,7.78,7.8,6.985,7.07
JBIO,2025-09-16,7.05,7.35,6.91,7.14
JBIO,2025-09-17,7.17,7.3719,6.93,6.95
JBIO,2025-09-18,7.07,7.85,7.0001,7.76
JBIO,2025-09-19,7.8,7.88,7.38,7.4
