ticker,date,open,high,low,close
LOKV,2025-04-21,10.1,10.23,9.8,9.93
LOKV,2025-04-22,9.94,9.94,9.94,9.94
LOKV,2025-04-23,10.25,10.25,9.92,9.9499
LOKV,2025-04-24,9.9478,9.96,9.9478,9.9599
LOKV,2025-04-25,9.9512,9.9853,9.95,9.97
LOKV,2025-04-28,9.98,10.015,9.97,10.015
LOKV,2025-04-29,10.04,10.04,10.01,10.02
LOKV,2025-04-30,10.02,10.03,10.02,10.03
LOKV,2025-05-01,10.03,10.03,10.03,10.03
LOKV,2025-05-02,10.04,10.05,10.03,10.03
LOKV,2025-05-05,10.04,10.04,10.03,10.04
LOKV,2025-05-06,10.04,10.04,10.04,10.04
LOKV,2025-05-07,10.04,10.04,10.03,10.04
LOKV,2025-05-08,10.04,10.05,10.035,10.05
LOKV,2025-05-14,10.05,10.07,10.05,10.07
LOKV,2025-05-28,10.06,10.06,10.06,10.06
LOKV,2025-05-29,10.06,10.17,10.06,10.17
LOKV,2025-05-30,10.09,10.35,10.09,10.35
LOKV,2025-06-03,10.44,10.44,10.35,10.4
LOKV,2025-06-04,10.44,10.45,10.36,10.36
LOKV,2025-06-05,10.4,10.41,10.35,10.35
LOKV,2025-06-06,10.35,10.39,10.35,10.39
LOKV,2025-06-09,10.49,10.49,10.49,10.49
LOKV,2025-06-10,10.45,10.45,10.45,10.45
LOKV,2025-06-12,10.45,10.48,10.45,10.48
LOKV,2025-06-13,10.55,10.6,10.5,10.54
LOKV,2025-06-17,10.8105,10.8105,10.81,10.81
LOKV,2025-06-18,10.51,10.73,10.5,10.57
LOKV,2025-06-20,10.61,11.67,10.52,10.7
LOKV,2025-06-23,10.79,10.79,10.7471,10.7471
LOKV,2025-06-24,10.75,10.76,10.7,10.7
LOKV,2025-06-25,10.72,10.72,10.6,10.6
LOKV,2025-06-26,10.6,11.37,10.58,10.7
LOKV,2025-06-27,10.79,10.79,10.25,10.72
LOKV,2025-06-30,10.75,10.75,10.72,10.72
LOKV,2025-07-01,10.72,10.72,10.57,10.57
LOKV,2025-07-02,10.55,10.56,10.47,10.47
LOKV,2025-07-03,10.5999,10.64,10.48,10.5
LOKV,2025-07-07,10.72,10.72,10.4687,10.7
LOKV,2025-07-08,10.6,10.6,10.42,10.55
LOKV,2025-07-09,10.6222,10.6999,10.25,10.4
LOKV,2025-07-10,10.315,10.57,10.25,10.285
LOKV,2025-07-11,10.3,10.6,10.3,10.5
LOKV,2025-07-14,10.317,10.475,10.29,10.37
LOKV,2025-07-15,10.29,10.2999,9.88,10.29
LOKV,2025-07-16,10.2,10.45,10.18,10.2
LOKV,2025-07-17,10.25,10.7,10.25,10.5
LOKV,2025-07-18,10.57,10.5994,10.38,10.5
LOKV,2025-07-21,10.5,10.54,10.296,10.35
LOKV,2025-07-22,10.4,10.7,10.4,10.59
LOKV,2025-07-23,10.6,10.615,10.4505,10.5
LOKV,2025-07-24,10.52,10.52,10.45,10.48
LOKV,2025-07-25,10.49,10.49,10.458,10.458
LOKV,2025-07-28,10.46,10.46,9.98,10.23
LOKV,2025-07-29,10.232,10.232,10.16,10.2
LOKV,2025-07-30,10.19,10.22,10.19,10.21
LOKV,2025-07-31,10.24,10.66,10.2199,10.62
LOKV,2025-08-01,10.6,10.69,10.52,10.6
LOKV,2025-08-04,10.65,10.65,10.31,10.55
LOKV,2025-08-05,10.52,10.52,10.339,10.4
LOKV,2025-08-06,10.33,10.35,10.2699,10.35
LOKV,2025-08-07,10.4,10.4,10.3,10.3
LOKV,2025-08-08,10.3,10.32,10.27,10.29
LOKV,2025-08-11,10.2825,10.2825,10.15,10.2
LOKV,2025-08-12,10.19,10.21,10.18,10.18
LOKV,2025-08-13,10.2,10.22,10.19,10.2
LOKV,2025-08-14,10.22,10.3,10.2,10.235
LOKV,2025-08-15,10.255,10.255,10.19,10.19
LOKV,2025-08-18,10.2,10.225,10.19,10.225
LOKV,2025-08-19,10.2,10.2,10.18,10.1963
LOKV,2025-08-20,10.2,10.2,10.185,10.19
LOKV,2025-08-21,10.17,10.23,10.17,10.23
LOKV,2025-08-22,10.23,10.23,10.19,10.2038
LOKV,2025-08-25,10.18,10.21,10.15,10.19
LOKV,2025-08-26,10.1642,10.2,10.1554,10.18
LOKV,2025-08-27,10.21,10.21,10.15,10.18
LOKV,2025-08-28,10.16,10.19,10.15,10.16
LOKV,2025-08-29,10.16,10.19,10.16,10.175
LOKV,2025-09-02,10.19,10.19,10.15,10.165
LOKV,2025-09-03,10.16,10.17,10.16,10.17
LOKV,2025-09-04,10.17,10.1895,10.1501,10.16
LOKV,2025-09-05,10.175,10.18,10.175,10.18
