ticker,date,open,high,low,close
AZ,2021-01-08,1.995,1.995,1.71,1.71
AZ,2021-01-11,1.77,2.19,1.77,2.115
AZ,2021-01-12,2.25,2.331,1.92,2.001
AZ,2021-01-13,2.1,2.1,1.962,1.998
AZ,2021-01-14,1.884,2.25,1.884,2.04
AZ,2021-01-15,2.04,2.07,1.971,2.046
AZ,2021-01-19,2.073,2.073,1.848,1.95
AZ,2021-01-20,1.965,2.037,1.839,1.911
AZ,2021-01-21,1.857,1.92,1.8,1.92
AZ,2021-01-22,1.935,2.04,1.935,2.04
AZ,2021-01-25,2.055,2.055,1.896,2.001
AZ,2021-01-26,2.007,2.061,1.872,1.98
AZ,2021-01-27,1.806,2.304,1.806,2.25
AZ,2021-01-28,2.304,2.373,2.133,2.202
AZ,2021-01-29,2.22,2.808,2.22,2.808
AZ,2021-02-01,2.97,3.876,2.802,3.846
AZ,2021-02-02,3.885,4.44,2.85,4.419
AZ,2021-02-03,4.5,4.512,3.93,4.32
AZ,2021-02-04,4.668,5.4,4.11,5.25
AZ,2021-02-05,5.559,8.22,5.52,7.47
AZ,2021-02-08,8.55,9.3,5.037,7.05
AZ,2021-02-09,7.08,7.62,6.24,7.05
AZ,2021-02-10,7.2,7.38,6.24,7.218
AZ,2021-02-11,7.35,8.865,7.221,8.22
AZ,2021-02-12,8.4,9.15,8.4,9.15
AZ,2021-02-16,9.21,10.68,9.21,10.56
AZ,2021-02-17,10.191,10.8,9.9,10.68
AZ,2021-02-18,11.25,11.295,9.57,10.392
AZ,2021-02-19,10.5,11.19,10.38,11.19
AZ,2021-02-22,11.445,11.91,11.19,11.79
AZ,2021-02-23,11.82,11.94,11.25,11.58
AZ,2021-02-24,11.85,11.91,10.83,11.124
AZ,2021-02-25,10.95,10.95,8.94,9.15
AZ,2021-02-26,9.0,10.47,8.535,9.57
AZ,2021-03-01,10.299,10.71,9.0,9.33
AZ,2021-03-02,10.08,10.2,8.16,8.7
AZ,2021-03-03,9.0,9.0,7.05,7.107
AZ,2021-03-04,7.14,8.34,4.98,5.37
AZ,2021-03-05,5.55,7.299,5.07,6.87
AZ,2021-03-08,7.26,8.82,6.9,8.31
AZ,2021-03-09,8.7,9.0,7.143,7.74
AZ,2021-03-10,7.8,7.98,7.41,7.605
AZ,2021-03-11,7.872,7.872,7.41,7.5
AZ,2021-03-12,7.5,7.53,6.972,7.488
AZ,2021-03-15,7.545,8.1,7.32,7.95
AZ,2021-03-16,8.22,8.325,7.8,7.8
AZ,2021-03-17,8.28,8.28,7.644,8.1
AZ,2021-03-18,8.196,8.4,7.65,8.079
AZ,2021-03-19,8.385,8.385,7.26,7.65
AZ,2021-03-22,7.77,8.07,7.41,7.89
AZ,2021-03-23,7.77,7.89,7.41,7.8
AZ,2021-03-24,7.959,8.19,7.53,7.74
AZ,2021-03-25,7.5,7.5,6.93,7.29
AZ,2021-03-26,7.35,8.19,7.32,7.65
AZ,2021-03-29,7.623,8.19,7.38,8.19
AZ,2021-03-30,8.19,8.379,7.5,7.53
AZ,2021-03-31,7.74,7.83,7.347,7.38
AZ,2021-04-01,7.65,7.791,7.38,7.71
AZ,2021-04-05,7.452,8.01,7.44,7.668
AZ,2021-04-06,8.01,8.04,7.5,7.77
AZ,2021-04-07,7.782,7.803,7.14,7.2
AZ,2021-04-08,7.2,7.29,6.705,7.05
AZ,2021-04-09,7.044,7.14,6.69,6.9
AZ,2021-04-12,6.78,6.84,6.6,6.633
AZ,2021-04-13,6.999,7.002,6.75,6.84
AZ,2021-04-14,7.11,7.29,6.57,6.825
AZ,2021-04-15,6.999,7.11,6.78,6.93
AZ,2021-04-16,7.062,7.26,6.75,7.26
