ticker,date,open,high,low,close
EMPD,2025-07-31,10.5,10.7733,10.1,10.175
EMPD,2025-08-01,9.8,10.04,9.51,9.75
EMPD,2025-08-04,9.5,9.725,8.8,9.04
EMPD,2025-08-05,8.86,10.4584,8.86,9.76
EMPD,2025-08-06,9.8,10.3743,9.6903,10.19
EMPD,2025-08-07,10.45,10.45,9.75,9.75
EMPD,2025-08-08,9.67,10.0,9.55,9.8
EMPD,2025-08-11,9.99,10.38,9.9006,10.3
EMPD,2025-08-12,10.01,11.2,10.01,11.075
EMPD,2025-08-13,11.0,11.3706,10.35,10.52
EMPD,2025-08-14,10.37,10.8153,9.9,10.31
EMPD,2025-08-15,9.96,10.15,8.801,9.0
EMPD,2025-08-18,7.68,7.7,6.86,7.23
EMPD,2025-08-19,7.38,7.4,7.07,7.19
EMPD,2025-08-20,7.22,7.41,7.11,7.295
EMPD,2025-08-21,7.5,7.5,7.16,7.33
EMPD,2025-08-22,7.32,7.7,7.18,7.52
EMPD,2025-08-25,7.37,7.6402,7.1,7.22
EMPD,2025-08-26,7.05,7.3055,6.9,6.91
EMPD,2025-08-27,7.06,7.16,6.75,7.02
EMPD,2025-08-28,6.95,7.35,6.95,6.99
EMPD,2025-08-29,6.9,7.17,6.8,7.05
EMPD,2025-09-02,7.14,7.2806,7.05,7.16
EMPD,2025-09-03,7.02,7.24,7.02,7.15
EMPD,2025-09-04,7.01,7.18,6.5,6.86
EMPD,2025-09-05,7.09,7.15,6.75,6.98
EMPD,2025-09-08,7.09,7.25,6.92,6.95
EMPD,2025-09-09,7.01,7.37,6.992,7.03
EMPD,2025-09-10,7.15,7.29,7.02,7.09
EMPD,2025-09-11,7.06,7.5,7.06,7.14
EMPD,2025-09-12,7.14,7.42,7.02,7.08
EMPD,2025-09-15,6.92,7.33,6.92,7.31
EMPD,2025-09-16,7.34,7.67,7.24,7.58
EMPD,2025-09-17,7.42,7.85,7.42,7.575
EMPD,2025-09-18,7.6,7.925,7.49,7.73
EMPD,2025-09-19,7.5,7.79,7.42,7.62
EMPD,2025-09-22,7.63,8.09,7.51,7.94
EMPD,2025-09-23,7.78,8.03,7.71,7.73
EMPD,2025-09-24,7.63,8.17,7.63,7.94
EMPD,2025-09-25,7.79,7.905,7.5,7.53
EMPD,2025-09-26,7.55,7.748,7.48,7.69
EMPD,2025-09-29,7.75,8.02,7.58,7.63
EMPD,2025-09-30,7.53,7.705,7.35,7.5
EMPD,2025-10-01,7.53,7.72,7.53,7.61
